lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32
# Adaptation terminated
# Step size = 0.254705
# Diagonal elements of inverse mass matrix:
# 0.00555406, 8.59389, 3.94882e-05
-9.98256,0.959841,0.254705,3,7,0,11.0265,0.349617,63.4052,0.00451051,0.349617,63.4052,0.00451051,65.9212,66.6871,67.875,69.9585,70.3472,71.2259,71.2703,74.5098,74.9928,78.6183,80.0977,81.178,81.1999,82.556,83.6804,85.1131,85.5954,85.6946,92.5998,98.3299,103.2,105.43,112.47,112.856,114.412,125.586,149.606,155.88,162.782,173.533,199.174,227.054
-10.4459,0.978885,0.254705,3,7,0,10.6851,0.34368,62.9546,0.00405168,0.34368,62.9546,0.00405168,65.4053,66.1514,67.3088,69.3388,69.7176,70.5738,70.6171,73.774,74.2447,77.7778,79.2195,80.2722,80.2935,81.615,82.7105,84.1064,84.5764,84.673,91.399,96.978,101.717,103.887,110.732,111.107,112.62,123.471,146.748,152.816,159.486,169.866,194.571,221.359
-10.7333,0.980465,0.254705,2,3,0,11.194,0.348289,62.7021,0.00476653,0.348289,62.7021,0.00476653,65.185,65.9411,67.1139,69.1714,69.5553,70.4233,70.4672,73.6682,74.1457,77.7301,79.1934,80.2621,80.2836,81.6255,82.7381,84.1561,84.6336,84.7318,91.5705,97.2503,102.081,104.294,111.284,111.667,113.213,124.323,148.25,154.51,161.4,172.143,197.803,225.762
-9.22023,0.991191,0.254705,3,7,0,11.0339,0.377506,64.5856,0.00286155,0.377506,64.5856,0.00286155,67.3175,68.1466,69.4302,71.6752,72.0932,73.037,73.0847,76.5528,77.0684,80.9268,82.4956,83.6391,83.6622,85.0953,86.2814,87.7904,88.2978,88.4021,95.6315,101.586,106.616,108.91,116.118,116.512,118.098,129.411,153.333,159.499,166.245,176.681,201.236,227.466
-13.265,0.751495,0.254705,3,7,0,14.4966,0.402836,62.8977,0.00755968,0.402836,62.8977,0.00755968,65.8007,66.6824,68.0482,70.4393,70.8848,71.8914,71.9423,75.647,76.1986,80.3347,82.0205,83.2511,83.2759,84.8201,86.0999,87.7304,88.2793,88.3921,96.2477,102.769,108.317,110.86,118.9,119.341,121.122,133.937,161.709,169.017,177.08,189.695,220.025,253.363
-9.12492,0.969172,0.254705,3,15,0,14.8031,0.412503,65.5701,-0.00744534,0.412503,65.5701,-0.00744534,68.429,69.2893,70.6145,72.913,73.3383,74.2954,74.3437,77.8233,78.3358,82.1303,83.6528,84.7553,84.7774,86.1501,87.2788,88.705,89.1821,89.28,95.9388,101.231,105.563,107.496,113.392,113.706,114.963,123.537,139.276,142.779,146.34,151.274,159.99,164.431
-8.6226,0.917584,0.254705,4,15,0,10.2992,0.394389,64.181,-0.00221176,0.394389,64.181,-0.00221176,66.9346,67.7667,69.0519,71.2903,71.7057,72.6424,72.6897,76.1134,76.6201,80.3924,81.9164,83.0239,83.0462,84.4297,85.5713,87.0189,87.5045,87.6043,94.4571,100.01,104.636,106.727,113.211,113.562,114.97,124.836,144.641,149.509,154.721,162.552,179.859,196.62
-7.74757,0.989254,0.254705,3,7,0,8.97993,0.361487,67.5511,-0.000877925,0.361487,67.5511,-0.000877925,70.2307,71.0429,72.2993,74.4933,74.9013,75.822,75.8686,79.2444,79.7453,83.4845,85.0001,86.1032,86.1254,87.5055,88.6459,90.0941,90.5805,90.6804,97.5721,103.194,107.903,110.038,116.691,117.052,118.504,128.739,149.647,154.87,160.504,169.056,188.387,207.827
-7.61826,0.950384,0.254705,3,7,0,8.18183,0.329037,67.8814,-0.00235221,0.329037,67.8814,-0.00235221,70.3111,71.0483,72.1891,74.1826,74.5535,75.3906,75.4329,78.5033,78.9589,82.3608,83.7394,84.7426,84.7628,86.0176,87.0543,88.3704,88.8122,88.903,95.1551,100.24,104.484,106.404,112.365,112.687,113.982,123.058,141.227,145.673,150.42,157.522,173.05,187.773
-7.89755,0.992768,0.254705,3,11,0,8.00914,0.37844,67.4927,-0.00220241,0.37844,67.4927,-0.00220241,70.2723,71.1131,72.4124,74.6772,75.0978,76.0464,76.0943,79.5645,80.0784,83.9073,85.4555,86.5808,86.6035,88.0099,89.1707,90.6431,91.1371,91.2386,98.2154,103.875,108.592,110.725,117.342,117.7,119.137,129.211,149.435,154.404,159.724,167.713,185.348,202.386
-8.47778,0.964914,0.254705,3,7,0,8.50994,0.373109,66.291,-0.0051397,0.373109,66.291,-0.0051397,68.936,69.7348,70.9678,73.1134,73.5113,74.408,74.4533,77.7256,78.2091,81.802,83.2497,84.3002,84.3214,85.632,86.7117,88.0788,88.5368,88.6308,95.0606,100.221,104.48,106.392,112.268,112.583,113.847,122.566,139.224,143.106,147.153,152.992,164.644,173.695
-9.05157,0.971888,0.254705,2,7,0,9.67114,0.380675,65.3064,0.00220522,0.380675,65.3064,0.00220522,68.0808,68.9223,70.2246,72.5009,72.9246,73.8809,73.9293,77.4408,77.9625,81.8641,83.4489,84.6038,84.6271,86.0737,87.2705,88.7925,89.3041,89.4092,96.6893,102.673,107.719,110.018,117.229,117.623,119.207,130.486,154.201,160.285,166.927,177.174,201.158,226.587
