# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 21:22:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpwbqecknw/m1gsq8qu.json
# random
#   seed = 53331
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cmb/cmb-20230727222250.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,zeta,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 1.46149e-05
# Diagonal elements of inverse mass matrix:
# 2.43903e-05, 2.43951e-05, 2.44002e-05, 0.000252491
-590758,0.857143,1.46149e-05,2,7,1,590759,70.7337,0.200145,0.866048,3.46658e-08,0.707337,0.200145,0.665903,4.15e-05,8.29459e-05,0.133869,0.707337,0.200145,0.665903,8.29459e-05,0.133869,3.46658e-08,70.7337,0.866048,0.0173053,0.421809,1067.93,0,0,2.061,2.061,0.0290004,223.267,1.918,0.100138,-78.3026,0.177304,0.0778576
-590758,0,1.46149e-05,0,1,1,590760,70.7337,0.200145,0.866048,3.46658e-08,0.707337,0.200145,0.665903,4.15e-05,8.29459e-05,0.133869,0.707337,0.200145,0.665903,8.29459e-05,0.133869,3.46658e-08,70.7337,0.866048,0.0173053,0.421809,1067.93,0,0,2.061,2.061,0.0290004,223.267,1.918,0.100138,-78.3026,0.177304,0.0778576
-590758,0.967742,1.46149e-05,4,31,1,590760,70.7337,0.200144,0.86605,2.3129e-06,0.707337,0.200144,0.665905,4.15e-05,8.29459e-05,0.133867,0.707337,0.200144,0.665905,8.29459e-05,0.133867,2.3129e-06,70.7337,0.86605,0.0173053,0.421809,1067.93,0,0,2.061,2.061,0.0290003,223.267,1.918,0.100137,-78.3027,0.177304,0.0778574
-590759,0.9375,1.46149e-05,4,16,1,590759,70.7337,0.200144,0.86605,3.45171e-06,0.707337,0.200144,0.665905,4.15e-05,8.29459e-05,0.133867,0.707337,0.200144,0.665905,8.29459e-05,0.133867,3.45171e-06,70.7337,0.86605,0.0173053,0.421809,1067.93,0,0,2.061,2.061,0.0290003,223.267,1.918,0.100137,-78.3028,0.177304,0.0778574
-590759,0.95238,1.46149e-05,4,21,1,590759,70.7337,0.200144,0.86605,3.24964e-06,0.707337,0.200144,0.665905,4.15e-05,8.29459e-05,0.133867,0.707337,0.200144,0.665905,8.29459e-05,0.133867,3.24964e-06,70.7337,0.86605,0.0173053,0.421809,1067.93,0,0,2.061,2.061,0.0290003,223.267,1.918,0.100137,-78.3028,0.177304,0.0778574
-590758,0.923076,1.46149e-05,3,13,1,590759,70.7337,0.200144,0.86605,2.78979e-06,0.707337,0.200144,0.665905,4.15e-05,8.29459e-05,0.133867,0.707337,0.200144,0.665905,8.29459e-05,0.133867,2.78979e-06,70.7337,0.86605,0.0173053,0.421809,1067.93,0,0,2.061,2.061,0.0290003,223.267,1.918,0.100137,-78.3028,0.177304,0.0778574
