# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 20:31:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpfdist83k/pudhnfkr.json
# random
#   seed = 21181
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cmb/cmb-20230727213100.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,zeta,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 9.74741e-05
# Diagonal elements of inverse mass matrix:
# 2.43903e-05, 2.43902e-05, 2.43903e-05, 2.43903e-05
-682442,0.8,9.74741e-05,2,5,1,682443,124.854,0.0666412,0.517225,1.20565e-06,1.24854,0.0666412,0.450584,4.15e-05,2.6622e-05,0.482748,1.24854,0.0666412,0.450584,2.6622e-05,0.482748,1.20565e-06,0.0167397,0.414773,1071.06,0,0,2.55719,2.55719,0.0372989,215.386,1.83909,0.103884,-86.184,0.0983917,0.0816044
-682442,0.666667,9.74741e-05,1,3,1,682444,124.854,0.0666413,0.517225,7.15308e-07,1.24854,0.0666413,0.450584,4.15e-05,2.6622e-05,0.482748,1.24854,0.0666413,0.450584,2.6622e-05,0.482748,7.15308e-07,0.0167397,0.414773,1071.06,0,0,2.55719,2.55719,0.0372989,215.386,1.83909,0.103884,-86.184,0.0983919,0.0816043
-682443,0.875,9.74741e-05,3,8,1,682445,124.854,0.0666415,0.517226,3.76919e-06,1.24854,0.0666415,0.450585,4.15e-05,2.6622e-05,0.482747,1.24854,0.0666415,0.450585,2.6622e-05,0.482747,3.76919e-06,0.0167396,0.414772,1071.06,0,0,2.55719,2.55719,0.0372988,215.386,1.83909,0.103885,-86.1839,0.0983912,0.0816049
-682443,0.85714,9.74741e-05,2,7,1,682446,124.854,0.0666414,0.517225,3.03945e-06,1.24854,0.0666414,0.450584,4.15e-05,2.66221e-05,0.482748,1.24854,0.0666414,0.450584,2.66221e-05,0.482748,3.03945e-06,0.0167396,0.414772,1071.06,0,0,2.55719,2.55719,0.0372989,215.386,1.83909,0.103885,-86.184,0.0983913,0.0816045
-682444,0.961538,9.74741e-05,4,26,1,682447,124.855,0.0666409,0.517229,7.71474e-06,1.24855,0.0666409,0.450588,4.15e-05,2.66216e-05,0.482745,1.24855,0.0666409,0.450588,2.66216e-05,0.482745,7.71474e-06,0.0167395,0.414771,1071.06,0,0,2.55718,2.55718,0.0372987,215.386,1.83909,0.103885,-86.1837,0.098391,0.0816053
-682442,0.969696,9.74741e-05,5,33,1,682451,124.852,0.0666418,0.517234,1.10678e-05,1.24852,0.0666418,0.450592,4.15e-05,2.66228e-05,0.48274,1.24852,0.0666418,0.450592,2.66228e-05,0.48274,1.10678e-05,0.01674,0.414777,1071.06,0,0,2.55717,2.55717,0.0372987,215.385,1.83909,0.103882,-86.1847,0.0983917,0.0816022
-682442,0.967742,9.74741e-05,4,31,1,682442,124.853,0.066642,0.517235,1.25248e-05,1.24853,0.066642,0.450593,4.15e-05,2.66228e-05,0.482739,1.24853,0.066642,0.450593,2.66228e-05,0.482739,1.25248e-05,0.0167399,0.414776,1071.06,0,0,2.55717,2.55717,0.0372987,215.385,1.83909,0.103883,-86.1846,0.0983915,0.0816026
-682442,0.933331,9.74741e-05,3,15,1,682444,124.853,0.066642,0.517235,1.17843e-05,1.24853,0.066642,0.450593,4.15e-05,2.66228e-05,0.482739,1.24853,0.066642,0.450593,2.66228e-05,0.482739,1.17843e-05,0.0167399,0.414776,1071.06,0,0,2.55717,2.55717,0.0372987,215.385,1.83909,0.103883,-86.1846,0.0983917,0.0816026
-682440,0.947368,9.74741e-05,4,19,1,682442,124.852,0.0666417,0.517236,8.26681e-06,1.24852,0.0666417,0.450594,4.15e-05,2.66228e-05,0.482737,1.24852,0.0666417,0.450594,2.66228e-05,0.482737,8.26681e-06,0.01674,0.414777,1071.06,0,0,2.55717,2.55717,0.0372986,215.385,1.83909,0.103882,-86.1847,0.0983932,0.0816019
-682441,0.92857,9.74741e-05,3,14,1,682442,124.852,0.0666416,0.517237,1.34137e-05,1.24852,0.0666416,0.450596,4.15e-05,2.66229e-05,0.482736,1.24852,0.0666416,0.450596,2.66229e-05,0.482736,1.34137e-05,0.0167401,0.414778,1071.06,0,0,2.55716,2.55716,0.0372986,215.385,1.83909,0.103881,-86.185,0.0983922,0.0816013
-682440,0.928571,9.74741e-05,3,14,1,682442,124.852,0.0666417,0.517238,9.9054e-06,1.24852,0.0666417,0.450597,4.15e-05,2.66228e-05,0.482735,1.24852,0.0666417,0.450597,2.66228e-05,0.482735,9.9054e-06,0.01674,0.414777,1071.06,0,0,2.55716,2.55716,0.0372986,215.385,1.83909,0.103882,-86.1846,0.0983934,0.081602
-682440,0.96875,9.74741e-05,5,32,1,682442,124.854,0.0666416,0.51724,1.23679e-05,1.24854,0.0666416,0.450599,4.15e-05,2.66223e-05,0.482733,1.24854,0.0666416,0.450599,2.66223e-05,0.482733,1.23679e-05,0.0167398,0.414774,1071.06,0,0,2.55716,2.55716,0.0372984,215.386,1.83909,0.103884,-86.184,0.0983933,0.0816037
-682438,0.937498,9.74741e-05,4,16,1,682441,124.853,0.0666414,0.51724,6.71947e-06,1.24853,0.0666414,0.450599,4.15e-05,2.66225e-05,0.482733,1.24853,0.0666414,0.450599,2.66225e-05,0.482733,6.71947e-06,0.0167399,0.414776,1071.06,0,0,2.55716,2.55716,0.0372984,215.386,1.83909,0.103883,-86.1842,0.0983949,0.0816027
-682438,0.966666,9.74741e-05,4,30,1,682441,124.853,0.0666419,0.517243,9.05893e-06,1.24853,0.0666419,0.450601,4.15e-05,2.66225e-05,0.48273,1.24853,0.0666419,0.450601,2.66225e-05,0.48273,9.05893e-06,0.0167398,0.414774,1071.06,0,0,2.55715,2.55715,0.0372983,215.386,1.8391,0.103883,-86.1839,0.0983951,0.0816034
-682438,0.967742,9.74741e-05,4,31,1,682439,124.853,0.066642,0.517244,1.0871e-05,1.24853,0.066642,0.450602,4.15e-05,2.66226e-05,0.482729,1.24853,0.066642,0.450602,2.66226e-05,0.482729,1.0871e-05,0.0167398,0.414775,1071.06,0,0,2.55715,2.55715,0.0372983,215.386,1.83909,0.103883,-86.1839,0.0983949,0.0816033
-682437,0.947367,9.74741e-05,4,19,1,682439,124.852,0.066642,0.517244,9.39765e-06,1.24852,0.066642,0.450602,4.15e-05,2.66228e-05,0.482729,1.24852,0.066642,0.450602,2.66228e-05,0.482729,9.39765e-06,0.0167399,0.414776,1071.06,0,0,2.55715,2.55715,0.0372983,215.386,1.8391,0.103882,-86.1842,0.0983953,0.0816025
-682436,0.96296,9.74741e-05,4,27,1,682442,124.852,0.066642,0.517246,8.8276e-06,1.24852,0.066642,0.450604,4.15e-05,2.66231e-05,0.482728,1.24852,0.066642,0.450604,2.66231e-05,0.482728,8.8276e-06,0.0167401,0.414779,1071.06,0,0,2.55715,2.55715,0.0372983,215.385,1.8391,0.103881,-86.1846,0.098396,0.0816011
-682436,0.964283,9.74741e-05,4,28,1,682439,124.851,0.066642,0.517242,4.99968e-06,1.24851,0.066642,0.4506,4.15e-05,2.66235e-05,0.482731,1.24851,0.066642,0.4506,2.66235e-05,0.482731,4.99968e-06,0.0167403,0.414781,1071.06,0,0,2.55716,2.55716,0.0372985,215.385,1.8391,0.10388,-86.185,0.098396,0.0815998
-682435,0.944444,9.74741e-05,4,18,1,682436,124.851,0.0666419,0.517244,4.50832e-06,1.24851,0.0666419,0.450602,4.15e-05,2.66234e-05,0.48273,1.24851,0.0666419,0.450602,2.66234e-05,0.48273,4.50832e-06,0.0167403,0.41478,1071.06,0,0,2.55715,2.55715,0.0372985,215.385,1.8391,0.10388,-86.1848,0.0983965,0.0816002
-682433,0.954545,9.74741e-05,4,22,1,682439,124.85,0.066643,0.517251,5.09343e-06,1.2485,0.066643,0.450608,4.15e-05,2.66236e-05,0.482722,1.2485,0.066643,0.450608,2.66236e-05,0.482722,5.09343e-06,0.0167402,0.41478,1071.06,0,0,2.55714,2.55714,0.0372982,215.386,1.8391,0.103881,-86.1844,0.0983986,0.0816007
-682433,0.933333,9.74741e-05,3,15,1,682433,124.851,0.0666429,0.517251,5.53187e-06,1.24851,0.0666429,0.450608,4.15e-05,2.66236e-05,0.482723,1.24851,0.0666429,0.450608,2.66236e-05,0.482723,5.53187e-06,0.0167402,0.414779,1071.06,0,0,2.55714,2.55714,0.0372982,215.386,1.8391,0.103881,-86.1844,0.0983984,0.0816009
-682432,0.949998,9.74741e-05,4,20,1,682434,124.851,0.0666429,0.517253,4.91083e-06,1.24851,0.0666429,0.45061,4.15e-05,2.66235e-05,0.482721,1.24851,0.0666429,0.45061,2.66235e-05,0.482721,4.91083e-06,0.0167401,0.414778,1071.06,0,0,2.55714,2.55714,0.0372981,215.386,1.8391,0.103881,-86.1842,0.0983992,0.0816013
-682432,0.90909,9.74741e-05,3,11,1,682433,124.851,0.0666428,0.517253,2.65735e-06,1.24851,0.0666428,0.45061,4.15e-05,2.66235e-05,0.482721,1.24851,0.0666428,0.45061,2.66235e-05,0.482721,2.65735e-06,0.0167402,0.414779,1071.06,0,0,2.55714,2.55714,0.0372981,215.386,1.8391,0.103881,-86.1842,0.0983997,0.081601
-682431,0.75,9.74741e-05,2,4,1,682437,124.851,0.0666428,0.517253,1.70152e-06,1.24851,0.0666428,0.45061,4.15e-05,2.66235e-05,0.48272,1.24851,0.0666428,0.45061,2.66235e-05,0.48272,1.70152e-06,0.0167402,0.414779,1071.06,0,0,2.55714,2.55714,0.0372981,215.386,1.8391,0.103881,-86.1842,0.0984001,0.0816008
-682432,0.833332,9.74741e-05,2,6,1,682434,124.851,0.0666428,0.517252,3.0678e-06,1.24851,0.0666428,0.450609,4.15e-05,2.66236e-05,0.482722,1.24851,0.0666428,0.450609,2.66236e-05,0.482722,3.0678e-06,0.0167402,0.41478,1071.06,0,0,2.55714,2.55714,0.0372982,215.386,1.8391,0.103881,-86.1844,0.0983993,0.0816006
-682430,0.9375,9.74741e-05,4,16,1,682435,124.849,0.0666432,0.517254,1.24074e-06,1.24849,0.0666432,0.450611,4.15e-05,2.66242e-05,0.482719,1.24849,0.0666432,0.450611,2.66242e-05,0.482719,1.24074e-06,0.0167404,0.414783,1071.06,0,0,2.55713,2.55713,0.0372982,215.385,1.8391,0.103879,-86.1847,0.0984007,0.081599
-682430,0.899999,9.74741e-05,3,10,1,682431,124.849,0.0666429,0.517254,8.72081e-07,1.24849,0.0666429,0.450611,4.15e-05,2.66241e-05,0.482719,1.24849,0.0666429,0.450611,2.66241e-05,0.482719,8.72081e-07,0.0167405,0.414783,1071.06,0,0,2.55713,2.55713,0.0372982,215.385,1.8391,0.103879,-86.1848,0.0984007,0.0815989
-682429,0.5,9.74741e-05,1,2,1,682431,124.849,0.066643,0.517254,9.20624e-08,1.24849,0.066643,0.450611,4.15e-05,2.66241e-05,0.482719,1.24849,0.066643,0.450611,2.66241e-05,0.482719,9.20624e-08,0.0167405,0.414783,1071.06,0,0,2.55713,2.55713,0.0372982,215.385,1.8391,0.103879,-86.1847,0.0984009,0.0815989
-682429,0,9.74741e-05,0,1,1,682431,124.849,0.066643,0.517254,9.20624e-08,1.24849,0.066643,0.450611,4.15e-05,2.66241e-05,0.482719,1.24849,0.066643,0.450611,2.66241e-05,0.482719,9.20624e-08,0.0167405,0.414783,1071.06,0,0,2.55713,2.55713,0.0372982,215.385,1.8391,0.103879,-86.1847,0.0984009,0.0815989
-682429,0,9.74741e-05,0,1,1,682431,124.849,0.066643,0.517254,9.20624e-08,1.24849,0.066643,0.450611,4.15e-05,2.66241e-05,0.482719,1.24849,0.066643,0.450611,2.66241e-05,0.482719,9.20624e-08,0.0167405,0.414783,1071.06,0,0,2.55713,2.55713,0.0372982,215.385,1.8391,0.103879,-86.1847,0.0984009,0.0815989
-682429,0.666667,9.74741e-05,1,3,1,682430,124.849,0.066643,0.517255,1.16391e-07,1.24849,0.066643,0.450612,4.15e-05,2.66241e-05,0.482719,1.24849,0.066643,0.450612,2.66241e-05,0.482719,1.16391e-07,0.0167405,0.414783,1071.06,0,0,2.55713,2.55713,0.0372982,215.385,1.8391,0.103879,-86.1847,0.098401,0.0815989
-682429,0,9.74741e-05,0,1,1,682432,124.849,0.066643,0.517255,1.16391e-07,1.24849,0.066643,0.450612,4.15e-05,2.66241e-05,0.482719,1.24849,0.066643,0.450612,2.66241e-05,0.482719,1.16391e-07,0.0167405,0.414783,1071.06,0,0,2.55713,2.55713,0.0372982,215.385,1.8391,0.103879,-86.1847,0.098401,0.0815989
-682429,0,9.74741e-05,0,1,1,682430,124.849,0.066643,0.517255,1.16391e-07,1.24849,0.066643,0.450612,4.15e-05,2.66241e-05,0.482719,1.24849,0.066643,0.450612,2.66241e-05,0.482719,1.16391e-07,0.0167405,0.414783,1071.06,0,0,2.55713,2.55713,0.0372982,215.385,1.8391,0.103879,-86.1847,0.098401,0.0815989
-682429,0,9.74741e-05,0,1,1,682430,124.849,0.066643,0.517255,1.16391e-07,1.24849,0.066643,0.450612,4.15e-05,2.66241e-05,0.482719,1.24849,0.066643,0.450612,2.66241e-05,0.482719,1.16391e-07,0.0167405,0.414783,1071.06,0,0,2.55713,2.55713,0.0372982,215.385,1.8391,0.103879,-86.1847,0.098401,0.0815989
-682429,0,9.74741e-05,0,1,1,682434,124.849,0.066643,0.517255,1.16391e-07,1.24849,0.066643,0.450612,4.15e-05,2.66241e-05,0.482719,1.24849,0.066643,0.450612,2.66241e-05,0.482719,1.16391e-07,0.0167405,0.414783,1071.06,0,0,2.55713,2.55713,0.0372982,215.385,1.8391,0.103879,-86.1847,0.098401,0.0815989
-682430,0.874997,9.74741e-05,3,8,1,682432,124.849,0.0666431,0.517253,1.34548e-06,1.24849,0.0666431,0.45061,4.15e-05,2.66243e-05,0.482721,1.24849,0.0666431,0.45061,2.66243e-05,0.482721,1.34548e-06,0.0167405,0.414784,1071.06,0,0,2.55714,2.55714,0.0372983,215.385,1.8391,0.103878,-86.185,0.0984001,0.0815984
-682430,0.8,9.74741e-05,2,5,1,682432,124.849,0.0666431,0.517252,1.8102e-06,1.24849,0.0666431,0.450609,4.15e-05,2.66243e-05,0.482721,1.24849,0.0666431,0.450609,2.66243e-05,0.482721,1.8102e-06,0.0167405,0.414784,1071.06,0,0,2.55714,2.55714,0.0372983,215.385,1.8391,0.103878,-86.1851,0.0983999,0.0815984
-682431,0.8,9.74741e-05,2,5,1,682435,124.849,0.066643,0.517252,3.84747e-06,1.24849,0.066643,0.450609,4.15e-05,2.66242e-05,0.482722,1.24849,0.066643,0.450609,2.66242e-05,0.482722,3.84747e-06,0.0167405,0.414784,1071.06,0,0,2.55714,2.55714,0.0372983,215.385,1.8391,0.103878,-86.1851,0.0983992,0.0815984
-682432,0.952381,9.74741e-05,4,21,1,682432,124.849,0.0666429,0.517252,5.80189e-06,1.24849,0.0666429,0.450609,4.15e-05,2.66242e-05,0.482721,1.24849,0.0666429,0.450609,2.66242e-05,0.482721,5.80189e-06,0.0167405,0.414784,1071.06,0,0,2.55714,2.55714,0.0372983,215.385,1.8391,0.103879,-86.1851,0.0983988,0.0815985
-682432,0.95,9.74741e-05,4,20,1,682433,124.85,0.066643,0.517254,6.98355e-06,1.2485,0.066643,0.450611,4.15e-05,2.66238e-05,0.482719,1.2485,0.066643,0.450611,2.66238e-05,0.482719,6.98355e-06,0.0167403,0.414781,1071.06,0,0,2.55713,2.55713,0.0372981,215.385,1.8391,0.10388,-86.1845,0.0983991,0.0816002
-682431,0.949998,9.74741e-05,4,20,1,682434,124.85,0.0666438,0.517254,4.0977e-06,1.2485,0.0666438,0.45061,4.15e-05,2.66239e-05,0.482719,1.2485,0.0666438,0.45061,2.66239e-05,0.482719,4.0977e-06,0.0167402,0.414779,1071.06,0,0,2.55713,2.55713,0.037298,215.386,1.8391,0.103881,-86.1842,0.0983998,0.081601
-682432,0.933327,9.74741e-05,3,15,1,682434,124.85,0.0666436,0.517252,3.70649e-06,1.2485,0.0666436,0.450608,4.15e-05,2.6624e-05,0.482721,1.2485,0.0666436,0.450608,2.6624e-05,0.482721,3.70649e-06,0.0167403,0.41478,1071.06,0,0,2.55714,2.55714,0.0372982,215.385,1.8391,0.10388,-86.1845,0.0983992,0.0816002
-682432,0.857143,9.74741e-05,2,7,1,682434,124.849,0.0666437,0.517251,4.75316e-06,1.24849,0.0666437,0.450608,4.15e-05,2.66241e-05,0.482722,1.24849,0.0666437,0.450608,2.66241e-05,0.482722,4.75316e-06,0.0167403,0.414781,1071.06,0,0,2.55714,2.55714,0.0372982,215.385,1.8391,0.10388,-86.1846,0.0983988,0.0816
-682433,0.947368,9.74741e-05,4,19,1,682436,124.849,0.066644,0.517252,7.39324e-06,1.24849,0.066644,0.450608,4.15e-05,2.66243e-05,0.482722,1.24849,0.066644,0.450608,2.66243e-05,0.482722,7.39324e-06,0.0167403,0.414781,1071.06,0,0,2.55714,2.55714,0.0372982,215.385,1.8391,0.10388,-86.1848,0.0983982,0.0815998
-682434,0.966667,9.74741e-05,4,30,1,682435,124.849,0.0666438,0.517253,1.1691e-05,1.24849,0.0666438,0.450609,4.15e-05,2.66243e-05,0.482721,1.24849,0.0666438,0.450609,2.66243e-05,0.482721,1.1691e-05,0.0167404,0.414782,1071.06,0,0,2.55713,2.55713,0.0372982,215.385,1.8391,0.10388,-86.185,0.0983974,0.0815995
-682435,0.962953,9.74741e-05,4,27,1,682436,124.849,0.066644,0.51725,1.28106e-05,1.24849,0.066644,0.450606,4.15e-05,2.66242e-05,0.482723,1.24849,0.066644,0.450606,2.66242e-05,0.482723,1.28106e-05,0.0167403,0.41478,1071.06,0,0,2.55714,2.55714,0.0372982,215.385,1.8391,0.10388,-86.1848,0.0983963,0.0816003
-682434,0.95,9.74741e-05,4,20,1,682436,124.85,0.0666439,0.517251,1.04819e-05,1.2485,0.0666439,0.450607,4.15e-05,2.6624e-05,0.482722,1.2485,0.0666439,0.450607,2.6624e-05,0.482722,1.04819e-05,0.0167402,0.414779,1071.06,0,0,2.55714,2.55714,0.0372981,215.386,1.8391,0.103881,-86.1845,0.0983972,0.081601
-682433,0.923077,9.74741e-05,3,13,1,682439,124.85,0.066644,0.517254,6.43038e-06,1.2485,0.066644,0.45061,4.15e-05,2.66237e-05,0.482719,1.2485,0.066644,0.45061,2.66237e-05,0.482719,6.43038e-06,0.01674,0.414777,1071.06,0,0,2.55713,2.55713,0.037298,215.386,1.8391,0.103882,-86.1839,0.0983992,0.0816021
-682432,0.85714,9.74741e-05,2,7,1,682435,124.85,0.066644,0.517254,4.78777e-06,1.2485,0.066644,0.45061,4.15e-05,2.66237e-05,0.48272,1.2485,0.066644,0.45061,2.66237e-05,0.48272,4.78777e-06,0.01674,0.414776,1071.06,0,0,2.55713,2.55713,0.037298,215.386,1.8391,0.103882,-86.1838,0.0983995,0.0816023
-682432,0.941175,9.74741e-05,4,17,1,682433,124.851,0.0666441,0.517253,4.41748e-06,1.24851,0.0666441,0.450609,4.15e-05,2.66236e-05,0.48272,1.24851,0.0666441,0.450609,2.66236e-05,0.48272,4.41748e-06,0.0167399,0.414776,1071.06,0,0,2.55713,2.55713,0.037298,215.386,1.8391,0.103883,-86.1836,0.0983995,0.0816027
-682432,0.958333,9.74741e-05,4,24,1,682434,124.85,0.0666439,0.517254,6.0691e-06,1.2485,0.0666439,0.450611,4.15e-05,2.66238e-05,0.482719,1.2485,0.0666439,0.450611,2.66238e-05,0.482719,6.0691e-06,0.0167401,0.414778,1071.06,0,0,2.55713,2.55713,0.037298,215.386,1.8391,0.103882,-86.184,0.0983994,0.0816016
-682432,0.923075,9.74741e-05,3,13,1,682434,124.85,0.0666437,0.517256,8.0921e-06,1.2485,0.0666437,0.450612,4.15e-05,2.66238e-05,0.482718,1.2485,0.0666437,0.450612,2.66238e-05,0.482718,8.0921e-06,0.0167401,0.414778,1071.06,0,0,2.55713,2.55713,0.037298,215.386,1.8391,0.103881,-86.1841,0.0983992,0.0816013
