# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 20:31:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpfdist83k/pudhnfkr.json
# random
#   seed = 21181
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cmb/cmb-20230727213100.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,zeta,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 1.76364e-05
# Diagonal elements of inverse mass matrix:
# 2.43984e-05, 2.43929e-05, 6.69746e-05, 0.00709137
-703266,0.5,1.76364e-05,1,2,1,703267,127.302,0.0658962,0.467725,8.60593e-07,1.27302,0.0658962,0.401828,4.15e-05,2.56079e-05,0.53225,1.27302,0.0658962,0.401828,2.56079e-05,0.53225,8.60593e-07,0.016326,0.409336,1070.15,0,0,2.66546,2.66546,0.0390452,214.463,1.82292,0.106791,-87.1066,0.0822153,0.0845108
-703266,0.666666,1.76364e-05,1,3,1,703268,127.302,0.0658962,0.467725,1.01072e-06,1.27302,0.0658962,0.401828,4.15e-05,2.56079e-05,0.53225,1.27302,0.0658962,0.401828,2.56079e-05,0.53225,1.01072e-06,0.016326,0.409336,1070.15,0,0,2.66546,2.66546,0.0390452,214.463,1.82292,0.106791,-87.1066,0.0822153,0.0845108
-703266,0.5,1.76364e-05,1,2,1,703269,127.302,0.0658962,0.467724,2.42221e-06,1.27302,0.0658962,0.401828,4.15e-05,2.56079e-05,0.53225,1.27302,0.0658962,0.401828,2.56079e-05,0.53225,2.42221e-06,0.016326,0.409336,1070.15,0,0,2.66546,2.66546,0.0390452,214.463,1.82291,0.106791,-87.1066,0.0822149,0.0845108
-703267,0.666666,1.76364e-05,1,3,1,703271,127.302,0.0658962,0.467724,2.73007e-06,1.27302,0.0658962,0.401828,4.15e-05,2.56079e-05,0.53225,1.27302,0.0658962,0.401828,2.56079e-05,0.53225,2.73007e-06,0.0163261,0.409336,1070.15,0,0,2.66545,2.66545,0.0390452,214.463,1.82291,0.106791,-87.1067,0.0822148,0.0845107
-703267,0.666666,1.76364e-05,1,3,1,703268,127.302,0.0658962,0.467724,3.24184e-06,1.27302,0.0658962,0.401828,4.15e-05,2.56079e-05,0.53225,1.27302,0.0658962,0.401828,2.56079e-05,0.53225,3.24184e-06,0.016326,0.409336,1070.15,0,0,2.66545,2.66545,0.0390452,214.463,1.82291,0.106791,-87.1067,0.0822146,0.0845108
-703266,0.75,1.76364e-05,2,4,1,703268,127.302,0.0658962,0.467725,2.46193e-06,1.27302,0.0658962,0.401828,4.15e-05,2.56079e-05,0.53225,1.27302,0.0658962,0.401828,2.56079e-05,0.53225,2.46193e-06,0.016326,0.409336,1070.15,0,0,2.66545,2.66545,0.0390452,214.463,1.82291,0.106791,-87.1066,0.0822149,0.0845108
-703266,0.666666,1.76364e-05,1,3,1,703267,127.302,0.0658962,0.467725,1.61945e-06,1.27302,0.0658962,0.401828,4.15e-05,2.56079e-05,0.53225,1.27302,0.0658962,0.401828,2.56079e-05,0.53225,1.61945e-06,0.016326,0.409336,1070.15,0,0,2.66546,2.66546,0.0390452,214.463,1.82292,0.106791,-87.1066,0.0822151,0.0845108
-703266,0.8,1.76364e-05,2,5,1,703270,127.302,0.0658962,0.467724,1.25132e-06,1.27302,0.0658962,0.401828,4.15e-05,2.56079e-05,0.53225,1.27302,0.0658962,0.401828,2.56079e-05,0.53225,1.25132e-06,0.016326,0.409336,1070.15,0,0,2.66546,2.66546,0.0390452,214.463,1.82292,0.106791,-87.1066,0.0822152,0.0845108
-703266,0,1.76364e-05,0,1,1,703271,127.302,0.0658962,0.467724,1.25132e-06,1.27302,0.0658962,0.401828,4.15e-05,2.56079e-05,0.53225,1.27302,0.0658962,0.401828,2.56079e-05,0.53225,1.25132e-06,0.016326,0.409336,1070.15,0,0,2.66546,2.66546,0.0390452,214.463,1.82292,0.106791,-87.1066,0.0822152,0.0845108
-703268,0.875,1.76364e-05,3,8,1,703270,127.302,0.0658962,0.467725,8.41236e-06,1.27302,0.0658962,0.401828,4.15e-05,2.56079e-05,0.53225,1.27302,0.0658962,0.401828,2.56079e-05,0.53225,8.41236e-06,0.016326,0.409336,1070.15,0,0,2.66545,2.66545,0.0390452,214.463,1.82291,0.106791,-87.1068,0.0822134,0.0845108
-703268,0.888889,1.76364e-05,3,9,1,703272,127.302,0.0658962,0.467725,7.29222e-06,1.27302,0.0658962,0.401829,4.15e-05,2.56079e-05,0.532249,1.27302,0.0658962,0.401829,2.56079e-05,0.532249,7.29222e-06,0.016326,0.409336,1070.15,0,0,2.66545,2.66545,0.0390452,214.463,1.82291,0.106791,-87.1067,0.0822139,0.0845109
