# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 20:18:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp_7mg7k3w/ep1ooquo.json
# random
#   seed = 84276
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cmb/cmb-20230727211806.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,zeta,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 1.40017e-05
# Diagonal elements of inverse mass matrix:
# 2.43904e-05, 2.44111e-05, 2.4465e-05, 0.00177907
-590921,0.874999,1.40017e-05,3,8,1,590926,81.7621,0.150042,0.86612,3.56571e-08,0.817621,0.150042,0.716077,4.15e-05,6.20789e-05,0.133818,0.817621,0.150042,0.716077,6.20789e-05,0.133818,3.56571e-08,0.0172793,0.421496,1069.57,0,0,2.06098,2.06098,0.0289925,223.325,1.91806,0.100304,-78.2446,0.177364,0.0780241
-590921,0,1.40017e-05,0,1,1,590923,81.7621,0.150042,0.86612,3.56571e-08,0.817621,0.150042,0.716077,4.15e-05,6.20789e-05,0.133818,0.817621,0.150042,0.716077,6.20789e-05,0.133818,3.56571e-08,0.0172793,0.421496,1069.57,0,0,2.06098,2.06098,0.0289925,223.325,1.91806,0.100304,-78.2446,0.177364,0.0780241
-590921,0.5,1.40017e-05,1,2,1,590922,81.7621,0.150042,0.86612,6.07369e-07,0.817621,0.150042,0.716077,4.15e-05,6.20789e-05,0.133818,0.817621,0.150042,0.716077,6.20789e-05,0.133818,6.07369e-07,0.0172793,0.421496,1069.57,0,0,2.06098,2.06098,0.0289925,223.325,1.91806,0.100304,-78.2446,0.177363,0.0780241
-590921,0.5,1.40017e-05,1,2,1,590924,81.7621,0.150042,0.86612,2.42118e-07,0.817621,0.150042,0.716077,4.15e-05,6.20789e-05,0.133818,0.817621,0.150042,0.716077,6.20789e-05,0.133818,2.42118e-07,0.0172793,0.421496,1069.57,0,0,2.06098,2.06098,0.0289925,223.325,1.91806,0.100304,-78.2446,0.177364,0.0780241
-590921,0.666667,1.40017e-05,1,3,1,590923,81.7621,0.150043,0.86612,2.17745e-07,0.817621,0.150043,0.716077,4.15e-05,6.20789e-05,0.133818,0.817621,0.150043,0.716077,6.20789e-05,0.133818,2.17745e-07,0.0172793,0.421496,1069.57,0,0,2.06098,2.06098,0.0289925,223.325,1.91806,0.100304,-78.2446,0.177364,0.0780241
-590921,0.5,1.40017e-05,1,2,1,590924,81.7621,0.150043,0.86612,3.74383e-07,0.817621,0.150043,0.716077,4.15e-05,6.20789e-05,0.133818,0.817621,0.150043,0.716077,6.20789e-05,0.133818,3.74383e-07,0.0172793,0.421496,1069.57,0,0,2.06098,2.06098,0.0289925,223.325,1.91806,0.100304,-78.2446,0.177364,0.0780242
-590921,0.75,1.40017e-05,2,4,1,590922,81.7621,0.150043,0.86612,5.16677e-07,0.817621,0.150043,0.716077,4.15e-05,6.20789e-05,0.133818,0.817621,0.150043,0.716077,6.20789e-05,0.133818,5.16677e-07,0.0172793,0.421496,1069.57,0,0,2.06098,2.06098,0.0289925,223.325,1.91806,0.100304,-78.2446,0.177363,0.0780243
-590921,0.5,1.40017e-05,1,2,1,590926,81.7621,0.150043,0.86612,1.49055e-06,0.817621,0.150043,0.716077,4.15e-05,6.20789e-05,0.133818,0.817621,0.150043,0.716077,6.20789e-05,0.133818,1.49055e-06,0.0172793,0.421495,1069.57,0,0,2.06098,2.06098,0.0289925,223.325,1.91806,0.100304,-78.2446,0.177363,0.0780243
-590921,0.8,1.40017e-05,2,5,1,590923,81.7621,0.150043,0.86612,1.74845e-06,0.817621,0.150043,0.716077,4.15e-05,6.20789e-05,0.133818,0.817621,0.150043,0.716077,6.20789e-05,0.133818,1.74845e-06,0.0172793,0.421496,1069.57,0,0,2.06098,2.06098,0.0289925,223.325,1.91806,0.100304,-78.2446,0.177363,0.0780243
-590921,0.857143,1.40017e-05,2,7,1,590924,81.7621,0.150043,0.86612,1.75924e-06,0.817621,0.150043,0.716077,4.15e-05,6.20788e-05,0.133818,0.817621,0.150043,0.716077,6.20788e-05,0.133818,1.75924e-06,0.0172793,0.421495,1069.57,0,0,2.06098,2.06098,0.0289925,223.325,1.91806,0.100304,-78.2446,0.177363,0.0780244
-590922,0.833333,1.40017e-05,2,6,1,590924,81.7621,0.150043,0.86612,2.72846e-06,0.817621,0.150043,0.716077,4.15e-05,6.20788e-05,0.133818,0.817621,0.150043,0.716077,6.20788e-05,0.133818,2.72846e-06,0.0172793,0.421495,1069.57,0,0,2.06098,2.06098,0.0289925,223.325,1.91806,0.100305,-78.2445,0.177363,0.0780245
-590922,0.916666,1.40017e-05,3,12,1,590923,81.7621,0.150043,0.86612,2.50781e-06,0.817621,0.150043,0.716077,4.15e-05,6.20789e-05,0.133818,0.817621,0.150043,0.716077,6.20789e-05,0.133818,2.50781e-06,0.0172793,0.421495,1069.57,0,0,2.06098,2.06098,0.0289925,223.325,1.91806,0.100304,-78.2446,0.177363,0.0780244
-590922,0.857142,1.40017e-05,2,7,1,590923,81.7621,0.150043,0.86612,2.41136e-06,0.817621,0.150043,0.716077,4.15e-05,6.20788e-05,0.133818,0.817621,0.150043,0.716077,6.20788e-05,0.133818,2.41136e-06,0.0172793,0.421495,1069.57,0,0,2.06098,2.06098,0.0289925,223.325,1.91806,0.100305,-78.2445,0.177363,0.0780245
-590922,0.909091,1.40017e-05,3,11,1,590924,81.7622,0.150043,0.86612,3.81344e-06,0.817622,0.150043,0.716077,4.15e-05,6.20788e-05,0.133818,0.817622,0.150043,0.716077,6.20788e-05,0.133818,3.81344e-06,0.0172793,0.421495,1069.57,0,0,2.06098,2.06098,0.0289925,223.325,1.91806,0.100304,-78.2447,0.177362,0.0780243
-590922,0.799999,1.40017e-05,2,5,1,590923,81.7622,0.150043,0.86612,2.84879e-06,0.817622,0.150043,0.716077,4.15e-05,6.20788e-05,0.133818,0.817622,0.150043,0.716077,6.20788e-05,0.133818,2.84879e-06,0.0172793,0.421495,1069.57,0,0,2.06098,2.06098,0.0289925,223.325,1.91806,0.100304,-78.2446,0.177363,0.0780243
-590921,0.833332,1.40017e-05,2,6,1,590922,81.7621,0.150043,0.86612,2.11377e-06,0.817621,0.150043,0.716077,4.15e-05,6.20788e-05,0.133818,0.817621,0.150043,0.716077,6.20788e-05,0.133818,2.11377e-06,0.0172793,0.421496,1069.57,0,0,2.06098,2.06098,0.0289925,223.325,1.91806,0.100304,-78.2446,0.177363,0.0780243
-590923,0.941176,1.40017e-05,4,17,1,590924,81.7622,0.150044,0.86612,5.50932e-06,0.817622,0.150044,0.716076,4.15e-05,6.20787e-05,0.133818,0.817622,0.150044,0.716076,6.20787e-05,0.133818,5.50932e-06,0.0172792,0.421494,1069.57,0,0,2.06098,2.06098,0.0289925,223.326,1.91806,0.100305,-78.2445,0.177362,0.0780251
-590927,0.966666,1.40017e-05,4,30,1,590928,81.7621,0.150043,0.86612,1.64292e-05,0.817621,0.150043,0.716077,4.15e-05,6.20789e-05,0.133818,0.817621,0.150043,0.716077,6.20789e-05,0.133818,1.64292e-05,0.0172792,0.421495,1069.57,0,0,2.06097,2.06097,0.0289925,223.325,1.91806,0.100305,-78.2451,0.177358,0.0780246
-590926,0.961535,1.40017e-05,4,26,1,590930,81.7621,0.150043,0.86612,1.51683e-05,0.817621,0.150043,0.716077,4.15e-05,6.20788e-05,0.133818,0.817621,0.150043,0.716077,6.20788e-05,0.133818,1.51683e-05,0.0172792,0.421495,1069.57,0,0,2.06097,2.06097,0.0289925,223.325,1.91806,0.100305,-78.245,0.177358,0.0780247
-590924,0.954542,1.40017e-05,4,22,1,590927,81.7621,0.150043,0.86612,1.00369e-05,0.817621,0.150043,0.716077,4.15e-05,6.20789e-05,0.133818,0.817621,0.150043,0.716077,6.20789e-05,0.133818,1.00369e-05,0.0172793,0.421496,1069.57,0,0,2.06098,2.06098,0.0289925,223.325,1.91806,0.100304,-78.245,0.17736,0.0780241
-590924,0.933331,1.40017e-05,3,15,1,590927,81.7621,0.150043,0.86612,9.60631e-06,0.817621,0.150043,0.716077,4.15e-05,6.20789e-05,0.133818,0.817621,0.150043,0.716077,6.20789e-05,0.133818,9.60631e-06,0.0172793,0.421495,1069.57,0,0,2.06098,2.06098,0.0289925,223.325,1.91806,0.100304,-78.2449,0.17736,0.0780244
-590924,0.958331,1.40017e-05,4,24,1,590925,81.7621,0.150043,0.86612,1.03829e-05,0.817621,0.150043,0.716077,4.15e-05,6.20789e-05,0.133818,0.817621,0.150043,0.716077,6.20789e-05,0.133818,1.03829e-05,0.0172793,0.421496,1069.57,0,0,2.06098,2.06098,0.0289925,223.325,1.91806,0.100304,-78.245,0.17736,0.0780243
-590923,0.916664,1.40017e-05,3,12,1,590925,81.7621,0.150043,0.86612,7.41411e-06,0.817621,0.150043,0.716077,4.15e-05,6.20789e-05,0.133818,0.817621,0.150043,0.716077,6.20789e-05,0.133818,7.41411e-06,0.0172793,0.421496,1069.57,0,0,2.06098,2.06098,0.0289925,223.325,1.91806,0.100304,-78.2449,0.177361,0.0780242
-590925,0.916666,1.40017e-05,3,12,1,590928,81.7621,0.150042,0.86612,1.30175e-05,0.817621,0.150042,0.716077,4.15e-05,6.20789e-05,0.133818,0.817621,0.150042,0.716077,6.20789e-05,0.133818,1.30175e-05,0.0172794,0.421497,1069.57,0,0,2.06098,2.06098,0.0289925,223.325,1.91806,0.100304,-78.2453,0.177359,0.0780237
-590925,0.999999,1.40017e-05,4,15,0,590926,81.7621,0.150042,0.866119,1.18563e-05,0.817621,0.150042,0.716077,4.15e-05,6.20789e-05,0.133819,0.817621,0.150042,0.716077,6.20789e-05,0.133819,1.18563e-05,0.0172794,0.421497,1069.57,0,0,2.06098,2.06098,0.0289925,223.325,1.91806,0.100304,-78.2452,0.177359,0.0780238
-590923,0.916664,1.40017e-05,3,12,1,590930,81.7621,0.150042,0.866119,7.48894e-06,0.817621,0.150042,0.716076,4.15e-05,6.20789e-05,0.133819,0.817621,0.150042,0.716076,6.20789e-05,0.133819,7.48894e-06,0.0172794,0.421496,1069.57,0,0,2.06098,2.06098,0.0289925,223.325,1.91806,0.100304,-78.245,0.177361,0.0780238
-590923,0.933332,1.40017e-05,3,15,1,590925,81.7621,0.150041,0.866118,7.41458e-06,0.817621,0.150041,0.716077,4.15e-05,6.20789e-05,0.13382,0.817621,0.150041,0.716077,6.20789e-05,0.13382,7.41458e-06,0.0172795,0.421498,1069.57,0,0,2.06098,2.06098,0.0289926,223.325,1.91806,0.100303,-78.2452,0.177361,0.0780232
-590925,0.916666,1.40017e-05,3,12,1,590927,81.762,0.150041,0.866118,1.26624e-05,0.81762,0.150041,0.716077,4.15e-05,6.2079e-05,0.13382,0.81762,0.150041,0.716077,6.2079e-05,0.13382,1.26624e-05,0.0172795,0.421498,1069.57,0,0,2.06098,2.06098,0.0289926,223.324,1.91806,0.100303,-78.2455,0.177359,0.078023
-590923,0.916663,1.40017e-05,3,12,1,590927,81.762,0.150041,0.866118,7.42005e-06,0.81762,0.150041,0.716077,4.15e-05,6.2079e-05,0.13382,0.81762,0.150041,0.716077,6.2079e-05,0.13382,7.42005e-06,0.0172795,0.421498,1069.57,0,0,2.06098,2.06098,0.0289926,223.325,1.91806,0.100303,-78.2454,0.177361,0.0780228
-590923,0.933332,1.40017e-05,3,15,1,590926,81.7621,0.15004,0.866118,7.58627e-06,0.817621,0.15004,0.716078,4.15e-05,6.2079e-05,0.13382,0.817621,0.15004,0.716078,6.2079e-05,0.13382,7.58627e-06,0.0172796,0.421499,1069.57,0,0,2.06098,2.06098,0.0289926,223.324,1.91806,0.100302,-78.2455,0.177361,0.0780224
-590924,0.958332,1.40017e-05,4,24,1,590925,81.762,0.150041,0.866118,9.09606e-06,0.81762,0.150041,0.716078,4.15e-05,6.2079e-05,0.13382,0.81762,0.150041,0.716078,6.2079e-05,0.13382,9.09606e-06,0.0172796,0.421499,1069.57,0,0,2.06098,2.06098,0.0289926,223.324,1.91806,0.100303,-78.2455,0.17736,0.0780226
