# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 20:18:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp_7mg7k3w/ep1ooquo.json
# random
#   seed = 84276
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cmb/cmb-20230727211806.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,zeta,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 1.32469e-05
# Diagonal elements of inverse mass matrix:
# 2.44115e-05, 2.46858e-05, 2.53401e-05, 0.00703159
-596019,0.874999,1.32469e-05,3,8,1,596024,83.2688,0.145367,0.839688,3.98124e-06,0.832688,0.145367,0.69432,4.15e-05,5.98527e-05,0.160252,0.832688,0.145367,0.69432,5.98527e-05,0.160252,3.98124e-06,0.0172035,0.420576,1069.52,0,0,2.08819,2.08819,0.0294219,222.971,1.9135,0.100793,-78.5989,0.1728,0.0785134
-596020,0.899999,1.32469e-05,3,10,1,596025,83.2689,0.145368,0.839688,4.62181e-06,0.832689,0.145368,0.69432,4.15e-05,5.98525e-05,0.160252,0.832689,0.145368,0.69432,5.98525e-05,0.160252,4.62181e-06,0.0172034,0.420575,1069.52,0,0,2.08819,2.08819,0.0294219,222.971,1.9135,0.100794,-78.5987,0.1728,0.078514
-596019,0.749998,1.32469e-05,2,4,1,596021,83.2689,0.145368,0.839688,2.05685e-06,0.832689,0.145368,0.69432,4.15e-05,5.98525e-05,0.160252,0.832689,0.145368,0.69432,5.98525e-05,0.160252,2.05685e-06,0.0172034,0.420575,1069.52,0,0,2.08819,2.08819,0.0294219,222.971,1.9135,0.100794,-78.5987,0.172801,0.0785139
-596019,0.666666,1.32469e-05,1,3,1,596019,83.2689,0.145368,0.839688,2.57343e-06,0.832689,0.145368,0.69432,4.15e-05,5.98525e-05,0.160252,0.832689,0.145368,0.69432,5.98525e-05,0.160252,2.57343e-06,0.0172034,0.420575,1069.52,0,0,2.08819,2.08819,0.0294219,222.971,1.9135,0.100794,-78.5987,0.172801,0.0785139
-596019,0.666666,1.32469e-05,1,3,1,596022,83.2689,0.145368,0.839688,3.32043e-06,0.832689,0.145368,0.69432,4.15e-05,5.98525e-05,0.160252,0.832689,0.145368,0.69432,5.98525e-05,0.160252,3.32043e-06,0.0172034,0.420574,1069.52,0,0,2.08819,2.08819,0.0294219,222.971,1.9135,0.100794,-78.5987,0.1728,0.078514
-596022,1,1.32469e-05,3,7,0,596023,83.2689,0.145368,0.839688,1.15925e-05,0.832689,0.145368,0.69432,4.15e-05,5.98525e-05,0.160252,0.832689,0.145368,0.69432,5.98525e-05,0.160252,1.15925e-05,0.0172034,0.420574,1069.52,0,0,2.08818,2.08818,0.0294219,222.971,1.9135,0.100794,-78.599,0.172798,0.0785141
-596023,0.857139,1.32469e-05,2,7,1,596025,83.2689,0.145368,0.839688,1.33538e-05,0.832689,0.145368,0.69432,4.15e-05,5.98525e-05,0.160252,0.832689,0.145368,0.69432,5.98525e-05,0.160252,1.33538e-05,0.0172034,0.420574,1069.52,0,0,2.08818,2.08818,0.0294219,222.971,1.9135,0.100794,-78.5991,0.172797,0.0785141
-596019,0.874995,1.32469e-05,3,8,1,596026,83.2688,0.145369,0.839689,1.39571e-06,0.832688,0.145369,0.69432,4.15e-05,5.98527e-05,0.160251,0.832688,0.145369,0.69432,5.98527e-05,0.160251,1.39571e-06,0.0172034,0.420574,1069.52,0,0,2.08819,2.08819,0.0294219,222.971,1.9135,0.100794,-78.5986,0.172801,0.0785141
-596019,0,1.32469e-05,0,1,1,596023,83.2688,0.145369,0.839689,1.39571e-06,0.832688,0.145369,0.69432,4.15e-05,5.98527e-05,0.160251,0.832688,0.145369,0.69432,5.98527e-05,0.160251,1.39571e-06,0.0172034,0.420574,1069.52,0,0,2.08819,2.08819,0.0294219,222.971,1.9135,0.100794,-78.5986,0.172801,0.0785141
-596019,0.833333,1.32469e-05,2,6,1,596020,83.2688,0.145369,0.839689,2.53762e-06,0.832688,0.145369,0.69432,4.15e-05,5.98526e-05,0.160251,0.832688,0.145369,0.69432,5.98526e-05,0.160251,2.53762e-06,0.0172034,0.420574,1069.52,0,0,2.08819,2.08819,0.0294219,222.971,1.9135,0.100794,-78.5986,0.172801,0.0785142
-596019,0.666666,1.32469e-05,1,3,1,596021,83.2688,0.145369,0.839689,1.68648e-06,0.832688,0.145369,0.69432,4.15e-05,5.98526e-05,0.160251,0.832688,0.145369,0.69432,5.98526e-05,0.160251,1.68648e-06,0.0172034,0.420574,1069.52,0,0,2.08819,2.08819,0.0294219,222.971,1.9135,0.100794,-78.5985,0.172801,0.0785142
-596019,0.666666,1.32469e-05,1,3,1,596020,83.2688,0.145369,0.839689,2.84e-06,0.832688,0.145369,0.69432,4.15e-05,5.98527e-05,0.160251,0.832688,0.145369,0.69432,5.98527e-05,0.160251,2.84e-06,0.0172034,0.420574,1069.52,0,0,2.08819,2.08819,0.0294219,222.971,1.9135,0.100794,-78.5986,0.172801,0.0785142
-596019,0.799999,1.32469e-05,2,5,1,596021,83.2688,0.145369,0.839689,2.10902e-06,0.832688,0.145369,0.69432,4.15e-05,5.98527e-05,0.160251,0.832688,0.145369,0.69432,5.98527e-05,0.160251,2.10902e-06,0.0172034,0.420574,1069.52,0,0,2.08819,2.08819,0.0294219,222.971,1.9135,0.100794,-78.5985,0.172801,0.0785143
-596019,0.75,1.32469e-05,2,4,1,596020,83.2688,0.145369,0.839689,2.77791e-06,0.832688,0.145369,0.69432,4.15e-05,5.98527e-05,0.160251,0.832688,0.145369,0.69432,5.98527e-05,0.160251,2.77791e-06,0.0172034,0.420574,1069.52,0,0,2.08819,2.08819,0.0294219,222.971,1.9135,0.100794,-78.5986,0.172801,0.0785142
-596019,0.666665,1.32469e-05,1,3,1,596020,83.2688,0.145369,0.839689,1.79782e-06,0.832688,0.145369,0.69432,4.15e-05,5.98527e-05,0.160251,0.832688,0.145369,0.69432,5.98527e-05,0.160251,1.79782e-06,0.0172034,0.420574,1069.52,0,0,2.08819,2.08819,0.0294219,222.971,1.9135,0.100794,-78.5985,0.172801,0.0785142
-596019,0.749999,1.32469e-05,2,4,1,596020,83.2688,0.145369,0.839689,1.29508e-06,0.832688,0.145369,0.69432,4.15e-05,5.98527e-05,0.160251,0.832688,0.145369,0.69432,5.98527e-05,0.160251,1.29508e-06,0.0172034,0.420574,1069.52,0,0,2.08819,2.08819,0.0294219,222.971,1.9135,0.100794,-78.5985,0.172801,0.0785142
-596019,0.5,1.32469e-05,1,2,1,596021,83.2688,0.145369,0.839689,2.78451e-06,0.832688,0.145369,0.69432,4.15e-05,5.98527e-05,0.160251,0.832688,0.145369,0.69432,5.98527e-05,0.160251,2.78451e-06,0.0172034,0.420574,1069.52,0,0,2.08819,2.08819,0.0294219,222.971,1.9135,0.100794,-78.5986,0.172801,0.0785142
-596020,0.5,1.32469e-05,1,2,1,596024,83.2688,0.145369,0.839689,5.99955e-06,0.832688,0.145369,0.69432,4.15e-05,5.98527e-05,0.160251,0.832688,0.145369,0.69432,5.98527e-05,0.160251,5.99955e-06,0.0172034,0.420574,1069.52,0,0,2.08819,2.08819,0.0294219,222.971,1.9135,0.100794,-78.5987,0.1728,0.0785142
-596019,0.874999,1.32469e-05,3,8,1,596022,83.2688,0.145368,0.839689,1.60778e-06,0.832688,0.145368,0.69432,4.15e-05,5.98526e-05,0.160251,0.832688,0.145368,0.69432,5.98526e-05,0.160251,1.60778e-06,0.0172034,0.420575,1069.52,0,0,2.08819,2.08819,0.0294219,222.971,1.9135,0.100794,-78.5986,0.172801,0.078514
-596018,0.499999,1.32469e-05,1,2,1,596024,83.2688,0.145368,0.839689,5.80848e-07,0.832688,0.145368,0.694321,4.15e-05,5.98526e-05,0.160251,0.832688,0.145368,0.694321,5.98526e-05,0.160251,5.80848e-07,0.0172034,0.420575,1069.52,0,0,2.08819,2.08819,0.0294219,222.971,1.9135,0.100794,-78.5986,0.172801,0.0785139
-596019,0.5,1.32469e-05,1,2,1,596019,83.2688,0.145368,0.839689,1.44091e-06,0.832688,0.145368,0.694321,4.15e-05,5.98526e-05,0.160251,0.832688,0.145368,0.694321,5.98526e-05,0.160251,1.44091e-06,0.0172034,0.420575,1069.52,0,0,2.08819,2.08819,0.0294219,222.971,1.9135,0.100794,-78.5986,0.172801,0.0785139
-596019,0.75,1.32469e-05,2,4,1,596020,83.2688,0.145368,0.839689,1.20252e-06,0.832688,0.145368,0.69432,4.15e-05,5.98526e-05,0.160251,0.832688,0.145368,0.69432,5.98526e-05,0.160251,1.20252e-06,0.0172034,0.420574,1069.52,0,0,2.08819,2.08819,0.0294219,222.971,1.9135,0.100794,-78.5986,0.172801,0.0785141
-596019,0,1.32469e-05,0,1,1,596020,83.2688,0.145368,0.839689,1.20252e-06,0.832688,0.145368,0.69432,4.15e-05,5.98526e-05,0.160251,0.832688,0.145368,0.69432,5.98526e-05,0.160251,1.20252e-06,0.0172034,0.420574,1069.52,0,0,2.08819,2.08819,0.0294219,222.971,1.9135,0.100794,-78.5986,0.172801,0.0785141
-596019,0.857143,1.32469e-05,2,7,1,596020,83.2688,0.145368,0.839689,2.84708e-06,0.832688,0.145368,0.694321,4.15e-05,5.98526e-05,0.160251,0.832688,0.145368,0.694321,5.98526e-05,0.160251,2.84708e-06,0.0172034,0.420575,1069.52,0,0,2.08819,2.08819,0.0294219,222.971,1.9135,0.100794,-78.5987,0.172801,0.078514
-596019,0,1.32469e-05,0,1,1,596024,83.2688,0.145368,0.839689,2.84708e-06,0.832688,0.145368,0.694321,4.15e-05,5.98526e-05,0.160251,0.832688,0.145368,0.694321,5.98526e-05,0.160251,2.84708e-06,0.0172034,0.420575,1069.52,0,0,2.08819,2.08819,0.0294219,222.971,1.9135,0.100794,-78.5987,0.172801,0.078514
-596019,0.874999,1.32469e-05,3,8,1,596021,83.2688,0.145369,0.839689,7.85114e-07,0.832688,0.145369,0.69432,4.15e-05,5.98526e-05,0.160251,0.832688,0.145369,0.69432,5.98526e-05,0.160251,7.85114e-07,0.0172034,0.420574,1069.52,0,0,2.08819,2.08819,0.0294218,222.972,1.9135,0.100794,-78.5984,0.172801,0.0785144
-596019,0.5,1.32469e-05,1,2,1,596020,83.2688,0.145369,0.839689,1.4719e-06,0.832688,0.145369,0.69432,4.15e-05,5.98526e-05,0.160251,0.832688,0.145369,0.69432,5.98526e-05,0.160251,1.4719e-06,0.0172034,0.420574,1069.52,0,0,2.08819,2.08819,0.0294218,222.972,1.9135,0.100794,-78.5985,0.172801,0.0785143
-596019,0.75,1.32469e-05,2,4,1,596021,83.2688,0.145369,0.839689,2.73605e-06,0.832688,0.145369,0.69432,4.15e-05,5.98526e-05,0.160251,0.832688,0.145369,0.69432,5.98526e-05,0.160251,2.73605e-06,0.0172033,0.420574,1069.52,0,0,2.08819,2.08819,0.0294218,222.972,1.9135,0.100794,-78.5985,0.172801,0.0785145
-596020,0.666666,1.32469e-05,1,3,1,596021,83.2688,0.145369,0.839689,4.13556e-06,0.832688,0.145369,0.69432,4.15e-05,5.98526e-05,0.160251,0.832688,0.145369,0.69432,5.98526e-05,0.160251,4.13556e-06,0.0172033,0.420574,1069.52,0,0,2.08819,2.08819,0.0294218,222.971,1.9135,0.100794,-78.5985,0.1728,0.0785145
