# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 20:32:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpkd37ey9d/ghaz6qxv.json
# random
#   seed = 15198
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cmb/cmb-20230727213247.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,zeta,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 4.36599e-05
# Diagonal elements of inverse mass matrix:
# 2.43903e-05, 2.43903e-05, 2.43904e-05, 2.46095e-05
-679153,0.962963,4.36599e-05,4,27,1,679155,119.05,0.0732597,0.525732,4.87605e-06,1.1905,0.0732597,0.452472,4.15e-05,2.92812e-05,0.474239,1.1905,0.0732597,0.452472,2.92812e-05,0.474239,4.87605e-06,119.05,0.525732,0.0167476,0.414874,1070.55,0,0,2.53998,2.53998,0.0370004,215.662,1.84167,0.10383,-85.908,0.100974,0.0815502
-679151,0.98039,4.36599e-05,5,51,1,679155,119.05,0.0732595,0.525734,1.49611e-06,1.1905,0.0732595,0.452475,4.15e-05,2.9281e-05,0.474237,1.1905,0.0732595,0.452475,2.9281e-05,0.474237,1.49611e-06,119.05,0.525734,0.0167475,0.414873,1070.55,0,0,2.53998,2.53998,0.0370003,215.662,1.84168,0.103831,-85.9077,0.100976,0.0815507
-679151,0.916666,4.36599e-05,3,12,1,679152,119.051,0.0732595,0.525734,2.10888e-06,1.19051,0.0732595,0.452475,4.15e-05,2.9281e-05,0.474236,1.19051,0.0732595,0.452475,2.9281e-05,0.474236,2.10888e-06,119.051,0.525734,0.0167475,0.414873,1070.55,0,0,2.53998,2.53998,0.0370003,215.662,1.84168,0.103831,-85.9076,0.100975,0.0815508
-679152,0.95652,4.36599e-05,4,23,1,679152,119.051,0.0732594,0.525734,1.70952e-06,1.19051,0.0732594,0.452474,4.15e-05,2.92809e-05,0.474237,1.19051,0.0732594,0.452474,2.92809e-05,0.474237,1.70952e-06,119.051,0.525734,0.0167475,0.414873,1070.55,0,0,2.53998,2.53998,0.0370003,215.662,1.84168,0.103831,-85.9076,0.100975,0.081551
-679151,0.944444,4.36599e-05,4,18,1,679152,119.051,0.0732595,0.525734,8.42973e-07,1.19051,0.0732595,0.452474,4.15e-05,2.92809e-05,0.474237,1.19051,0.0732595,0.452474,2.92809e-05,0.474237,8.42973e-07,119.051,0.525734,0.0167474,0.414872,1070.55,0,0,2.53998,2.53998,0.0370003,215.663,1.84168,0.103831,-85.9075,0.100976,0.0815513
-679151,0.857143,4.36599e-05,2,7,1,679152,119.051,0.0732596,0.525734,5.92599e-07,1.19051,0.0732596,0.452474,4.15e-05,2.92809e-05,0.474237,1.19051,0.0732596,0.452474,2.92809e-05,0.474237,5.92599e-07,119.051,0.525734,0.0167474,0.414872,1070.55,0,0,2.53998,2.53998,0.0370003,215.663,1.84168,0.103831,-85.9074,0.100976,0.0815514
-679151,0.5,4.36599e-05,1,2,1,679153,119.051,0.0732596,0.525734,1.92584e-07,1.19051,0.0732596,0.452474,4.15e-05,2.92809e-05,0.474237,1.19051,0.0732596,0.452474,2.92809e-05,0.474237,1.92584e-07,119.051,0.525734,0.0167474,0.414872,1070.55,0,0,2.53998,2.53998,0.0370003,215.663,1.84168,0.103831,-85.9074,0.100976,0.0815514
-679151,0.75,4.36599e-05,2,4,1,679155,119.051,0.0732596,0.525734,4.60356e-07,1.19051,0.0732596,0.452475,4.15e-05,2.92808e-05,0.474236,1.19051,0.0732596,0.452475,2.92808e-05,0.474236,4.60356e-07,119.051,0.525734,0.0167474,0.414872,1070.55,0,0,2.53998,2.53998,0.0370003,215.663,1.84168,0.103832,-85.9074,0.100976,0.0815515
-679152,0.9375,4.36599e-05,4,16,1,679152,119.051,0.0732596,0.525734,2.42564e-06,1.19051,0.0732596,0.452475,4.15e-05,2.92809e-05,0.474236,1.19051,0.0732596,0.452475,2.92809e-05,0.474236,2.42564e-06,119.051,0.525734,0.0167474,0.414872,1070.55,0,0,2.53998,2.53998,0.0370003,215.663,1.84168,0.103831,-85.9075,0.100975,0.0815514
-679152,0.833331,4.36599e-05,2,6,1,679155,119.051,0.0732596,0.525734,1.50741e-06,1.19051,0.0732596,0.452474,4.15e-05,2.92808e-05,0.474237,1.19051,0.0732596,0.452474,2.92808e-05,0.474237,1.50741e-06,119.051,0.525734,0.0167474,0.414872,1070.55,0,0,2.53998,2.53998,0.0370003,215.663,1.84168,0.103831,-85.9074,0.100975,0.0815515
