# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 20:31:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpfdist83k/pudhnfkr.json
# random
#   seed = 21181
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cmb/cmb-20230727213100.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,zeta,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.000137138
# Diagonal elements of inverse mass matrix:
# 2.43902e-05, 2.43902e-05, 2.43902e-05, 2.43902e-05
-680553,0.923076,0.000137138,3,13,1,680555,124.627,0.0667508,0.522165,7.86038e-06,1.24627,0.0667508,0.455414,4.15e-05,2.67192e-05,0.477808,1.24627,0.0667508,0.455414,2.67192e-05,0.477808,7.86038e-06,0.01677,0.415162,1071.14,0,0,2.54716,2.54716,0.0371341,215.493,1.84061,0.103677,-86.0768,0.0999065,0.0813966
-680553,0.923075,0.000137138,3,13,1,680555,124.627,0.0667505,0.522167,8.56212e-06,1.24627,0.0667505,0.455416,4.15e-05,2.67193e-05,0.477807,1.24627,0.0667505,0.455416,2.67193e-05,0.477807,8.56212e-06,0.0167701,0.415163,1071.14,0,0,2.54716,2.54716,0.0371341,215.493,1.84061,0.103676,-86.077,0.0999068,0.0813959
-680553,0.899989,0.000137138,3,10,1,680557,124.627,0.0667505,0.522164,6.34904e-06,1.24627,0.0667505,0.455413,4.15e-05,2.67191e-05,0.47781,1.24627,0.0667505,0.455413,2.67191e-05,0.47781,6.34904e-06,0.01677,0.415162,1071.14,0,0,2.54717,2.54717,0.0371342,215.493,1.84061,0.103677,-86.0768,0.0999065,0.0813966
-680555,0.899999,0.000137138,3,10,1,680558,124.627,0.0667508,0.522164,1.31775e-05,1.24627,0.0667508,0.455413,4.15e-05,2.67191e-05,0.477809,1.24627,0.0667508,0.455413,2.67191e-05,0.477809,1.31775e-05,0.01677,0.415161,1071.14,0,0,2.54716,2.54716,0.0371342,215.493,1.8406,0.103677,-86.0769,0.0999048,0.0813969
-680555,0.95454,0.000137138,4,22,1,680560,124.628,0.0667507,0.522165,1.27845e-05,1.24628,0.0667507,0.455415,4.15e-05,2.67189e-05,0.477808,1.24628,0.0667507,0.455415,2.67189e-05,0.477808,1.27845e-05,0.0167699,0.41516,1071.14,0,0,2.54716,2.54716,0.0371341,215.493,1.84061,0.103678,-86.0766,0.0999053,0.0813975
-680555,0.954545,0.000137138,4,22,1,680557,124.628,0.0667508,0.522166,1.28681e-05,1.24628,0.0667508,0.455415,4.15e-05,2.67189e-05,0.477807,1.24628,0.0667508,0.455415,2.67189e-05,0.477807,1.28681e-05,0.0167698,0.415159,1071.14,0,0,2.54716,2.54716,0.037134,215.494,1.84061,0.103678,-86.0765,0.0999054,0.081398
