# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 21:22:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpwbqecknw/m1gsq8qu.json
# random
#   seed = 53331
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cmb/cmb-20230727222250.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,zeta,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 5.0045e-05
# Diagonal elements of inverse mass matrix:
# 2.43903e-05, 2.43912e-05, 2.43915e-05, 0.000116271
-589125,0.928571,5.0045e-05,3,14,1,589125,70.7293,0.201626,0.87686,4.11037e-06,0.707293,0.201626,0.675234,4.15e-05,8.29562e-05,0.123057,0.707293,0.201626,0.675234,8.29562e-05,0.123057,4.11037e-06,70.7293,0.87686,0.0171923,0.420439,1067.89,0,0,2.0502,2.0502,0.0287869,223.743,1.91982,0.100866,-77.8267,0.17912,0.078586
-589125,0.933333,5.0045e-05,3,15,1,589126,70.7293,0.201626,0.876859,3.54899e-06,0.707293,0.201626,0.675233,4.15e-05,8.29562e-05,0.123058,0.707293,0.201626,0.675233,8.29562e-05,0.123058,3.54899e-06,70.7293,0.876859,0.0171923,0.420439,1067.89,0,0,2.0502,2.0502,0.0287869,223.743,1.91982,0.100866,-77.8266,0.179121,0.0785863
-589124,0.857142,5.0045e-05,2,7,1,589125,70.7293,0.201626,0.876859,2.63425e-06,0.707293,0.201626,0.675234,4.15e-05,8.29562e-05,0.123058,0.707293,0.201626,0.675234,8.29562e-05,0.123058,2.63425e-06,70.7293,0.876859,0.0171923,0.420439,1067.89,0,0,2.0502,2.0502,0.0287869,223.743,1.91982,0.100866,-77.8267,0.179121,0.078586
-589123,0.941176,5.0045e-05,4,17,1,589126,70.7293,0.201621,0.87686,1.52699e-06,0.707293,0.201621,0.675239,4.15e-05,8.29562e-05,0.123057,0.707293,0.201621,0.675239,8.29562e-05,0.123057,1.52699e-06,70.7293,0.87686,0.0171926,0.420443,1067.89,0,0,2.0502,2.0502,0.028787,223.743,1.91982,0.100864,-77.8274,0.179121,0.0785839
-589123,0.857143,5.0045e-05,2,7,1,589127,70.7293,0.201621,0.876861,1.53466e-06,0.707293,0.201621,0.675239,4.15e-05,8.29562e-05,0.123056,0.707293,0.201621,0.675239,8.29562e-05,0.123056,1.53466e-06,70.7293,0.876861,0.0171926,0.420443,1067.89,0,0,2.0502,2.0502,0.028787,223.743,1.91982,0.100864,-77.8274,0.179122,0.0785839
-589123,0.888889,5.0045e-05,3,9,1,589127,70.7293,0.20162,0.876863,3.16405e-06,0.707293,0.20162,0.675243,4.15e-05,8.29562e-05,0.123054,0.707293,0.20162,0.675243,8.29562e-05,0.123054,3.16405e-06,70.7293,0.876863,0.0171928,0.420445,1067.89,0,0,2.05019,2.05019,0.028787,223.742,1.91982,0.100863,-77.8277,0.179121,0.078583
-589122,0.916666,5.0045e-05,3,12,1,589123,70.7293,0.201618,0.876863,2.99663e-06,0.707293,0.201618,0.675245,4.15e-05,8.29562e-05,0.123054,0.707293,0.201618,0.675245,8.29562e-05,0.123054,2.99663e-06,70.7293,0.876863,0.0171929,0.420446,1067.89,0,0,2.05019,2.05019,0.0287871,223.742,1.91982,0.100862,-77.828,0.179121,0.0785823
-589122,0.9375,5.0045e-05,4,16,1,589124,70.7293,0.201615,0.876864,3.74113e-06,0.707293,0.201615,0.675249,4.15e-05,8.29562e-05,0.123053,0.707293,0.201615,0.675249,8.29562e-05,0.123053,3.74113e-06,70.7293,0.876864,0.0171931,0.420449,1067.89,0,0,2.05019,2.05019,0.0287871,223.741,1.91982,0.100861,-77.8286,0.179121,0.0785807
-589122,0.916666,5.0045e-05,3,12,1,589122,70.7293,0.201615,0.876864,3.59786e-06,0.707293,0.201615,0.675249,4.15e-05,8.29562e-05,0.123053,0.707293,0.201615,0.675249,8.29562e-05,0.123053,3.59786e-06,70.7293,0.876864,0.0171931,0.420449,1067.89,0,0,2.05019,2.05019,0.0287871,223.741,1.91982,0.100861,-77.8285,0.179121,0.0785808
-589121,0.928571,5.0045e-05,3,14,1,589123,70.7293,0.201614,0.876865,3.71624e-06,0.707293,0.201614,0.675251,4.15e-05,8.29562e-05,0.123052,0.707293,0.201614,0.675251,8.29562e-05,0.123052,3.71624e-06,70.7293,0.876865,0.0171932,0.42045,1067.89,0,0,2.05019,2.05019,0.0287871,223.741,1.91982,0.10086,-77.8287,0.179122,0.0785803
