# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = snia_model
# start_datetime = 2023-07-19 14:09:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpzvtcylkn/f2c8wxg1.json
# random
#   seed = 32083
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/snia/snia-20230719150953.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.248998
# Diagonal elements of inverse mass matrix:
# 0.000522428, 77.3995, 4.40351e-05
-47.0655,0.963724,0.248998,4,15,0,48.4972,0.199165,69.0446,0.0156903,0.199165,69.0446,0.0156903,3.25806e+07,1.36957e+06,57571.6,23.8145,23.7546,23.7796,23.7781,23.7788,23.7687,23.7383,23.7697,23.7653,23.8717,23.8062,23.8691,23.8447,23.7869,23.813,23.8668,23.7913,23.7346,23.807,23.8042,23.7869,23.7916,23.7802,23.7788,23.7468,23.7779,23.8133,23.7847,23.7786,23.7891,23.7784,23.7985,23.7721,23.7978,23.7571,23.7527,23.7992,23.81,23.8014,23.7551
-48.4984,0.97628,0.248998,4,15,0,49.1776,0.248568,53.0687,0.0087398,0.248568,53.0687,0.0087398,3.26114e+07,1.37021e+06,57571.6,23.8153,23.7557,23.7811,23.78,23.7811,23.7714,23.7414,23.7733,23.7694,23.8763,23.8112,23.8747,23.8506,23.7935,23.82,23.8744,23.7996,23.7435,23.8165,23.8143,23.7978,23.8032,23.7926,23.7919,23.7607,23.7926,23.8288,23.8011,23.7958,23.8072,23.7974,23.8183,23.7926,23.8189,23.7785,23.7738,23.819,23.8268,23.8076,23.7426
-46.7146,1,0.248998,4,15,0,48.7219,0.239583,74.3242,0.00915299,0.239583,74.3242,0.00915299,3.26025e+07,1.37003e+06,57571.6,23.8151,23.7554,23.7807,23.7795,23.7805,23.7708,23.7407,23.7725,23.7684,23.8752,23.81,23.8734,23.8492,23.792,23.8183,23.8726,23.7976,23.7413,23.8142,23.8118,23.7951,23.8003,23.7895,23.7886,23.7572,23.7888,23.8248,23.7968,23.7912,23.8023,23.7921,23.8126,23.7866,23.8124,23.7716,23.7662,23.811,23.8182,23.7986,23.734
-48.0969,0.898901,0.248998,2,7,0,49.1257,0.262044,79.7181,0.00603018,0.262044,79.7181,0.00603018,3.26165e+07,1.37032e+06,57571.6,23.8155,23.756,23.7814,23.7804,23.7816,23.772,23.7421,23.7741,23.7703,23.8773,23.8123,23.8759,23.8519,23.795,23.8215,23.876,23.8014,23.7453,23.8186,23.8165,23.8001,23.8056,23.7951,23.7945,23.7635,23.7955,23.8318,23.8042,23.799,23.8105,23.8007,23.8216,23.7959,23.8221,23.7813,23.7759,23.8201,23.826,23.8015,23.7273
-48.5598,0.983838,0.248998,4,31,0,51.2268,0.207982,88.219,0.0164095,0.207982,88.219,0.0164095,3.25939e+07,1.36985e+06,57571.6,23.8147,23.7549,23.78,23.7786,23.7795,23.7695,23.7392,23.7708,23.7665,23.8731,23.8077,23.8708,23.8465,23.789,23.8152,23.8692,23.794,23.7375,23.8101,23.8075,23.7905,23.7955,23.7844,23.7833,23.7517,23.7831,23.8189,23.7908,23.7852,23.7962,23.7861,23.8069,23.7812,23.8079,23.7681,23.7652,23.8131,23.8256,23.8202,23.777
-47.89,0.987319,0.248998,3,7,0,49.359,0.216956,86.7019,0.0137706,0.216956,86.7019,0.0137706,3.25941e+07,1.36985e+06,57571.6,23.8148,23.755,23.7802,23.7788,23.7797,23.7698,23.7395,23.7711,23.7669,23.8736,23.8082,23.8713,23.8471,23.7896,23.8158,23.8698,23.7947,23.7382,23.8109,23.8083,23.7913,23.7963,23.7853,23.7842,23.7526,23.784,23.8198,23.7916,23.7859,23.7968,23.7866,23.8071,23.7811,23.8074,23.767,23.7629,23.8095,23.8198,23.8091,23.7584
