lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.170091
# Diagonal elements of inverse mass matrix:
# 0.000689728, 106.591, 5.11679e-05
-46.6455,0.941525,0.170091,3,15,0,47.322,0.217394,66.5925,0.0142017,0.217394,66.5925,0.0142017,3.25963e+07,1.3699e+06,57571.6,23.8148,23.7551,23.7802,23.7789,23.7798,23.7699,23.7396,23.7713,23.7671,23.8737,23.8084,23.8716,23.8473,23.7899,23.8161,23.8702,23.795,23.7386,23.8113,23.8088,23.7918,23.7969,23.7859,23.7848,23.7533,23.7848,23.8206,23.7925,23.7869,23.798,23.7878,23.8085,23.7827,23.8091,23.769,23.7653,23.8122,23.8232,23.8136,23.7644
-46.9529,0.990752,0.170091,4,15,0,47.4049,0.229786,60.4521,0.011552,0.229786,60.4521,0.011552,3.26004e+07,1.36998e+06,57571.6,23.815,23.7553,23.7805,23.7793,23.7802,23.7704,23.7403,23.772,23.7679,23.8746,23.8093,23.8726,23.8484,23.7911,23.8174,23.8716,23.7966,23.7402,23.8131,23.8106,23.7938,23.7989,23.7881,23.7871,23.7557,23.7873,23.8232,23.7952,23.7896,23.8007,23.7906,23.8112,23.7853,23.8115,23.771,23.7666,23.8124,23.8215,23.807,23.75
-47.3486,0.999649,0.170091,4,15,0,47.9505,0.254088,76.5581,0.00699195,0.254088,76.5581,0.00699195,3.2611e+07,1.3702e+06,57571.6,23.8153,23.7558,23.7812,23.7801,23.7812,23.7715,23.7416,23.7735,23.7696,23.8765,23.8114,23.875,23.8509,23.7938,23.8203,23.8747,23.8,23.7438,23.8169,23.8147,23.7982,23.8036,23.793,23.7923,23.7611,23.7929,23.8291,23.8014,23.796,23.8074,23.7974,23.8181,23.7922,23.8182,23.7774,23.7719,23.8161,23.8223,23.7991,23.7278
-47.0276,0.999104,0.170091,4,15,0,48.1101,0.222545,80.7848,0.0122039,0.222545,80.7848,0.0122039,3.25945e+07,1.36986e+06,57571.6,23.8149,23.7551,23.7803,23.779,23.7798,23.7699,23.7397,23.7714,23.7672,23.8738,23.8085,23.8717,23.8474,23.79,23.8162,23.8703,23.7951,23.7387,23.8114,23.8089,23.7919,23.7969,23.7859,23.7848,23.7532,23.7846,23.8204,23.7922,23.7865,23.7973,23.787,23.8074,23.7813,23.8073,23.7666,23.7619,23.8076,23.8167,23.8027,23.7472
-46.8502,1,0.170091,4,15,0,47.2598,0.232935,78.4025,0.0106223,0.232935,78.4025,0.0106223,3.26005e+07,1.36998e+06,57571.6,23.815,23.7553,23.7806,23.7793,23.7803,23.7705,23.7404,23.7721,23.768,23.8748,23.8095,23.8728,23.8486,23.7913,23.8176,23.8718,23.7968,23.7405,23.8133,23.8109,23.7941,23.7992,23.7884,23.7874,23.756,23.7875,23.8235,23.7955,23.7899,23.8009,23.7907,23.8113,23.7853,23.8113,23.7706,23.7658,23.8111,23.8194,23.8028,23.7429
-47.5991,0.911332,0.170091,4,23,0,49.0871,0.19713,68.5161,0.0151302,0.19713,68.5161,0.0151302,3.2576e+07,1.36947e+06,57571.6,23.8144,23.7545,23.7794,23.7779,23.7786,23.7685,23.738,23.7694,23.7649,23.8713,23.8057,23.8686,23.8441,23.7863,23.8123,23.866,23.7905,23.7337,23.806,23.8031,23.7857,23.7904,23.7788,23.7774,23.7452,23.7762,23.8114,23.7827,23.7764,23.7866,23.7758,23.7956,23.7689,23.7942,23.7531,23.748,23.7938,23.8037,23.7933,23.7451
-47.5351,0.987227,0.170091,5,31,0,52.6975,0.237633,65.1875,0.00743989,0.237633,65.1875,0.00743989,3.25934e+07,1.36984e+06,57571.6,23.815,23.7553,23.7805,23.7792,23.7802,23.7703,23.7402,23.7719,23.7677,23.8745,23.8092,23.8724,23.8482,23.7908,23.8171,23.8712,23.7961,23.7397,23.8125,23.8099,23.793,23.798,23.787,23.7859,23.7543,23.7856,23.8213,23.793,23.7871,23.7977,23.787,23.807,23.7803,23.8053,23.7635,23.7566,23.7995,23.8044,23.7793,23.7074
-46.9103,0.988002,0.170091,3,11,0,48.7451,0.239528,73.2129,0.0105482,0.239528,73.2129,0.0105482,3.26079e+07,1.37014e+06,57571.6,23.8152,23.7555,23.7808,23.7797,23.7807,23.771,23.741,23.7728,23.7687,23.8756,23.8104,23.8739,23.8498,23.7926,23.819,23.8733,23.7984,23.7422,23.8152,23.8129,23.7963,23.8016,23.7909,23.7901,23.7588,23.7906,23.8268,23.799,23.7936,23.805,23.7951,23.816,23.7903,23.8168,23.7765,23.7723,23.8182,23.8272,23.8115,23.7522
-47.0773,0.940322,0.170091,3,15,0,48.6289,0.214188,71.8045,0.0158224,0.214188,71.8045,0.0158224,3.25988e+07,1.36995e+06,57571.6,23.8148,23.7551,23.7802,23.7789,23.7798,23.7699,23.7397,23.7713,23.7671,23.8738,23.8084,23.8716,23.8474,23.7899,23.8162,23.8703,23.7952,23.7387,23.8115,23.809,23.7921,23.7972,23.7862,23.7853,23.7538,23.7853,23.8213,23.7933,23.7878,23.7991,23.7891,23.8101,23.7846,23.8115,23.7718,23.7691,23.817,23.8295,23.8236,23.7792
-46.879,0.994417,0.170091,4,15,0,47.9364,0.223829,74.1377,0.0136671,0.223829,74.1377,0.0136671,3.26017e+07,1.37001e+06,57571.6,23.815,23.7552,23.7804,23.7792,23.7801,23.7703,23.7401,23.7718,23.7677,23.8744,23.8091,23.8724,23.8482,23.7909,23.8172,23.8714,23.7963,23.74,23.8128,23.8104,23.7936,23.7987,23.7878,23.7869,23.7555,23.7872,23.8232,23.7952,23.7898,23.801,23.7911,23.8119,23.7864,23.813,23.7731,23.7697,23.8167,23.8277,23.8178,23.7675
