# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = snia_model
# start_datetime = 2023-07-20 13:47:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpu228vuyi/g0sfij6q.json
# random
#   seed = 16219
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/snia/snia-20230720144753.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,zeta,theta.1,theta.2,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.206998
# Diagonal elements of inverse mass matrix:
# 0.000689103, 5.22124e-05
-46.8372,0.964059,0.206998,3,11,0,47.8472,0.205472,0.0165179,0.205472,0.0165179,3.25913e+07,1.36979e+06,57571.6,23.8147,23.7548,23.7799,23.7785,23.7793,23.7693,23.739,23.7706,23.7662,23.8728,23.8074,23.8705,23.8461,23.7885,23.8147,23.8687,23.7934,23.7369,23.8095,23.8068,23.7898,23.7947,23.7835,23.7824,23.7507,23.7821,23.8178,23.7896,23.7839,23.7948,23.7846,23.8053,23.7795,23.8061,23.7661,23.763,23.8108,23.8232,23.8177,23.7746
-46.6815,0.988438,0.206998,3,15,0,47.1516,0.224759,0.0132351,0.224759,0.0132351,3.26011e+07,1.37e+06,57571.6,23.815,23.7552,23.7804,23.7792,23.7801,23.7703,23.7401,23.7718,23.7677,23.8744,23.8091,23.8724,23.8482,23.7909,23.8172,23.8713,23.7963,23.7399,23.8128,23.8103,23.7935,23.7987,23.7878,23.7869,23.7554,23.787,23.823,23.7951,23.7896,23.8008,23.7908,23.8116,23.7859,23.8125,23.7724,23.7687,23.8155,23.8261,23.8152,23.7635
-46.7138,0.96367,0.206998,2,3,0,47.0507,0.223191,0.0109854,0.223191,0.0109854,3.25904e+07,1.36977e+06,57571.6,23.8148,23.755,23.7802,23.7789,23.7797,23.7698,23.7395,23.7712,23.7669,23.8736,23.8082,23.8713,23.8471,23.7896,23.8158,23.8698,23.7946,23.7381,23.8107,23.8081,23.7911,23.796,23.7849,23.7838,23.752,23.7833,23.8189,23.7906,23.7847,23.7954,23.7848,23.8049,23.7785,23.8039,23.7627,23.7571,23.8018,23.8095,23.7922,23.7324
-46.6964,0.995539,0.206998,2,3,0,46.8162,0.230189,0.0122116,0.230189,0.0122116,3.26035e+07,1.37005e+06,57571.6,23.815,23.7553,23.7806,23.7794,23.7803,23.7705,23.7404,23.7722,23.7681,23.8749,23.8096,23.8729,23.8488,23.7915,23.8178,23.872,23.7971,23.7407,23.8136,23.8112,23.7945,23.7997,23.7889,23.788,23.7566,23.7883,23.8244,23.7965,23.791,23.8023,23.7923,23.8131,23.7874,23.814,23.7738,23.7699,23.8163,23.8263,23.8136,23.759
-46.7292,0.998717,0.206998,2,7,0,46.7422,0.228513,0.0100173,0.228513,0.0100173,3.25929e+07,1.36982e+06,57571.6,23.8149,23.7552,23.7803,23.779,23.7799,23.7701,23.7398,23.7715,23.7673,23.874,23.8087,23.8719,23.8476,23.7902,23.8164,23.8705,23.7954,23.7389,23.8116,23.8091,23.7921,23.7971,23.786,23.7849,23.7533,23.7846,23.8203,23.792,23.7862,23.7969,23.7864,23.8065,23.7801,23.8055,23.7643,23.7584,23.8028,23.8099,23.7908,23.728
-47.5333,0.924875,0.206998,2,3,0,47.5361,0.226536,0.00912185,0.226536,0.00912185,3.25869e+07,1.3697e+06,57571.6,23.8148,23.755,23.7802,23.7788,23.7797,23.7698,23.7395,23.7711,23.7668,23.8735,23.8081,23.8712,23.8469,23.7894,23.8156,23.8696,23.7943,23.7378,23.8104,23.8078,23.7907,23.7956,23.7843,23.7831,23.7513,23.7825,23.818,23.7895,23.7834,23.7938,23.783,23.8029,23.776,23.8009,23.7591,23.7523,23.7957,23.8014,23.7793,23.7127
