# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = snia_model
# start_datetime = 2023-07-19 14:09:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpzvtcylkn/f2c8wxg1.json
# random
#   seed = 32083
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/snia/snia-20230719150953.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.213385
# Diagonal elements of inverse mass matrix:
# 0.000647645, 92.1747, 4.8247e-05
-48.1669,0.989187,0.213385,4,27,0,48.8155,0.186471,77.0758,0.0174018,0.186471,77.0758,0.0174018,3.25723e+07,1.36939e+06,57571.6,23.8143,23.7543,23.7792,23.7776,23.7782,23.768,23.7374,23.7688,23.7642,23.8705,23.8049,23.8676,23.8431,23.7852,23.8111,23.8648,23.7892,23.7323,23.8045,23.8015,23.784,23.7885,23.7769,23.7754,23.7431,23.774,23.8091,23.7803,23.774,23.7842,23.7733,23.7932,23.7666,23.7921,23.7513,23.7469,23.7936,23.8051,23.7989,23.7568
-47.4356,0.914834,0.213385,3,7,0,48.7851,0.188739,73.2643,0.0181687,0.188739,73.2643,0.0181687,3.25781e+07,1.36951e+06,57571.6,23.8144,23.7544,23.7793,23.7778,23.7785,23.7683,23.7378,23.7692,23.7647,23.8711,23.8055,23.8683,23.8438,23.786,23.812,23.8657,23.7902,23.7334,23.8057,23.8028,23.7855,23.7901,23.7786,23.7772,23.7451,23.7761,23.8114,23.7829,23.7768,23.7872,23.7766,23.7968,23.7706,23.7966,23.7563,23.7527,23.8003,23.8129,23.809,23.7694
-47.8895,0.999266,0.213385,4,15,0,48.3362,0.181754,65.4042,0.0206621,0.181754,65.4042,0.0206621,3.25796e+07,1.36955e+06,57571.6,23.8143,23.7544,23.7792,23.7777,23.7783,23.7682,23.7376,23.769,23.7645,23.8709,23.8052,23.8681,23.8436,23.7857,23.8117,23.8654,23.7899,23.7331,23.8054,23.8025,23.7852,23.7898,23.7783,23.777,23.745,23.776,23.8114,23.783,23.777,23.7876,23.7772,23.7977,23.7718,23.7984,23.7588,23.7564,23.8055,23.8202,23.8213,23.7881
-46.7028,0.993873,0.213385,4,15,0,48.0455,0.242596,70.7131,0.0089644,0.242596,70.7131,0.0089644,3.26053e+07,1.37009e+06,57571.6,23.8152,23.7555,23.7808,23.7797,23.7807,23.771,23.7409,23.7728,23.7687,23.8756,23.8104,23.8738,23.8497,23.7925,23.8189,23.8732,23.7982,23.742,23.815,23.8126,23.796,23.8012,23.7905,23.7896,23.7583,23.79,23.8261,23.7982,23.7927,23.8039,23.7938,23.8144,23.7884,23.8145,23.7737,23.7686,23.8134,23.8208,23.8012,23.7362
-46.477,0.934692,0.213385,3,11,0,47.6797,0.225975,72.629,0.011656,0.225975,72.629,0.011656,3.25963e+07,1.3699e+06,57571.6,23.8149,23.7552,23.7804,23.7791,23.78,23.7701,23.7399,23.7716,23.7674,23.8741,23.8088,23.8721,23.8478,23.7904,23.8167,23.8708,23.7957,23.7393,23.812,23.8095,23.7926,23.7977,23.7867,23.7856,23.7541,23.7856,23.8214,23.7932,23.7875,23.7985,23.7882,23.8086,23.7826,23.8085,23.7678,23.763,23.8086,23.8174,23.8025,23.7455
-47.2727,0.944451,0.213385,4,19,0,47.4231,0.200024,68.2667,0.0181861,0.200024,68.2667,0.0181861,3.25915e+07,1.3698e+06,57571.6,23.8146,23.7548,23.7798,23.7784,23.7792,23.7692,23.7388,23.7704,23.766,23.8726,23.8071,23.8702,23.8458,23.7882,23.8144,23.8683,23.793,23.7364,23.809,23.8064,23.7893,23.7942,23.7831,23.7819,23.7502,23.7816,23.8174,23.7892,23.7836,23.7946,23.7845,23.8053,23.7797,23.8066,23.767,23.7647,23.8133,23.827,23.8248,23.7862
-49.2527,0.75045,0.213385,4,19,0,50.4144,0.253646,62.4735,0.0102143,0.253646,62.4735,0.0102143,3.2623e+07,1.37046e+06,57571.6,23.8155,23.756,23.7814,23.7804,23.7816,23.772,23.7422,23.7742,23.7703,23.8774,23.8124,23.8761,23.8521,23.7952,23.8218,23.8763,23.8017,23.7457,23.819,23.817,23.8007,23.8063,23.796,23.7955,23.7647,23.7969,23.8335,23.8062,23.8013,23.8133,23.8039,23.8255,23.8005,23.8279,23.7884,23.7854,23.8323,23.8424,23.8282,23.7694
-51.2546,0.694182,0.213385,3,11,0,54.9064,0.250909,82.367,0.0120101,0.250909,82.367,0.0120101,3.26267e+07,1.37054e+06,57571.6,23.8155,23.756,23.7815,23.7805,23.7817,23.7721,23.7423,23.7743,23.7705,23.8775,23.8126,23.8763,23.8523,23.7954,23.8221,23.8767,23.8021,23.7461,23.8195,23.8175,23.8013,23.807,23.7967,23.7963,23.7656,23.7979,23.8347,23.8075,23.8028,23.815,23.8059,23.8278,23.8032,23.8311,23.7922,23.7903,23.8384,23.8503,23.8404,23.7875
-47.1866,0.910935,0.213385,2,7,0,53.0586,0.23418,81.0421,0.00966394,0.23418,81.0421,0.00966394,3.25981e+07,1.36994e+06,57571.6,23.815,23.7553,23.7805,23.7793,23.7803,23.7704,23.7403,23.772,23.7679,23.8747,23.8094,23.8727,23.8485,23.7911,23.8174,23.8716,23.7966,23.7402,23.813,23.8106,23.7937,23.7988,23.7879,23.7869,23.7554,23.7869,23.8227,23.7946,23.7889,23.7998,23.7895,23.8099,23.7836,23.8093,23.7683,23.7628,23.8075,23.8147,23.7957,23.7322
-46.7916,0.97596,0.213385,3,15,0,47.5144,0.222332,76.8965,0.0116031,0.222332,76.8965,0.0116031,3.25918e+07,1.3698e+06,57571.6,23.8148,23.7551,23.7802,23.7789,23.7797,23.7698,23.7396,23.7712,23.767,23.8736,23.8083,23.8714,23.8472,23.7897,23.8159,23.8699,23.7947,23.7383,23.8109,23.8083,23.7913,23.7963,23.7852,23.7841,23.7524,23.7837,23.8194,23.7911,23.7853,23.796,23.7856,23.8058,23.7795,23.8052,23.7642,23.759,23.8042,23.8125,23.7968,23.7391
-48.2747,0.997583,0.213385,4,15,0,48.7953,0.185938,80.7802,0.020406,0.185938,80.7802,0.020406,3.25836e+07,1.36963e+06,57571.6,23.8144,23.7545,23.7794,23.7779,23.7786,23.7684,23.738,23.7694,23.7649,23.8713,23.8058,23.8687,23.8442,23.7864,23.8125,23.8662,23.7908,23.7341,23.8065,23.8036,23.7864,23.7911,23.7797,23.7784,23.7465,23.7777,23.8132,23.7849,23.779,23.7899,23.7796,23.8002,23.7745,23.8013,23.7618,23.7597,23.8089,23.8237,23.8248,23.7912
-48.0667,0.830327,0.213385,4,31,0,49.9206,0.189989,70.1993,0.016216,0.189989,70.1993,0.016216,3.25718e+07,1.36938e+06,57571.6,23.8143,23.7543,23.7792,23.7777,23.7783,23.7681,23.7375,23.7689,23.7643,23.8707,23.805,23.8678,23.8433,23.7854,23.8113,23.8649,23.7893,23.7325,23.8047,23.8017,23.7842,23.7887,23.7771,23.7755,23.7433,23.7741,23.8092,23.7804,23.774,23.7841,23.7732,23.7929,23.7661,23.7914,23.7503,23.7453,23.7913,23.8018,23.7931,23.7476
-47.2578,1,0.213385,1,3,0,48.1093,0.190817,69.8538,0.0179501,0.190817,69.8538,0.0179501,3.25797e+07,1.36955e+06,57571.6,23.8144,23.7545,23.7794,23.7779,23.7786,23.7684,23.7379,23.7693,23.7649,23.8713,23.8057,23.8686,23.8441,23.7863,23.8123,23.866,23.7906,23.7338,23.8062,23.8033,23.786,23.7906,23.7792,23.7778,23.7458,23.7768,23.8122,23.7837,23.7776,23.7882,23.7776,23.7978,23.7716,23.7977,23.7575,23.754,23.8016,23.8141,23.81,23.7699
-46.9314,0.92078,0.213385,3,15,0,49.2508,0.242062,76.3767,0.0083341,0.242062,76.3767,0.0083341,3.26022e+07,1.37002e+06,57571.6,23.8151,23.7555,23.7808,23.7796,23.7806,23.7708,23.7408,23.7726,23.7685,23.8753,23.8101,23.8735,23.8493,23.7921,23.8185,23.8727,23.7977,23.7415,23.8144,23.812,23.7953,23.8005,23.7896,23.7887,23.7573,23.7889,23.8249,23.7969,23.7913,23.8023,23.792,23.8125,23.7863,23.812,23.7709,23.7652,23.8095,23.816,23.7945,23.7269
