lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,zeta,theta.1,theta.2,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.204307
# Diagonal elements of inverse mass matrix:
# 0.000495151, 4.12255e-05
-47.6955,0.985397,0.204307,3,7,0,47.7932,0.264448,0.0048331,0.264448,0.0048331,3.26146e+07,1.37028e+06,57571.6,23.8155,23.756,23.7814,23.7804,23.7816,23.772,23.7421,23.7741,23.7702,23.8773,23.8122,23.8759,23.8519,23.7949,23.8215,23.876,23.8013,23.7452,23.8184,23.8163,23.7999,23.8053,23.7948,23.7942,23.7631,23.7951,23.8314,23.8037,23.7984,23.8098,23.7998,23.8205,23.7945,23.8204,23.7793,23.7731,23.8165,23.8212,23.7935,23.7144
-48.2725,0.940252,0.204307,3,7,0,48.3388,0.269402,0.00526039,0.269402,0.00526039,3.2622e+07,1.37044e+06,57571.6,23.8156,23.7561,23.7817,23.7807,23.7819,23.7725,23.7427,23.7747,23.7709,23.8781,23.8131,23.8768,23.8529,23.7961,23.8227,23.8773,23.8027,23.7468,23.8202,23.8181,23.8019,23.8075,23.7972,23.7967,23.7658,23.798,23.8345,23.807,23.802,23.8137,23.804,23.8251,23.7996,23.826,23.7854,23.7801,23.8244,23.8302,23.8048,23.7284
-46.4862,0.997426,0.204307,3,15,0,49.9731,0.221831,0.0120074,0.221831,0.0120074,3.25928e+07,1.36982e+06,57571.6,23.8148,23.7551,23.7802,23.7789,23.7798,23.7699,23.7396,23.7713,23.767,23.8737,23.8083,23.8715,23.8472,23.7898,23.816,23.87,23.7949,23.7384,23.8111,23.8085,23.7915,23.7965,23.7854,23.7843,23.7526,23.784,23.8197,23.7915,23.7857,23.7965,23.7861,23.8064,23.7802,23.806,23.7652,23.7602,23.8057,23.8145,23.7998,23.7436
-46.6015,0.988628,0.204307,3,15,0,47.188,0.238849,0.00934895,0.238849,0.00934895,3.26024e+07,1.37002e+06,57571.6,23.8151,23.7554,23.7807,23.7795,23.7805,23.7708,23.7407,23.7725,23.7684,23.8752,23.81,23.8733,23.8492,23.7919,23.8183,23.8725,23.7975,23.7412,23.8142,23.8118,23.795,23.8002,23.7894,23.7885,23.7571,23.7887,23.8247,23.7967,23.7911,23.8022,23.792,23.8126,23.7865,23.8124,23.7716,23.7663,23.8112,23.8186,23.7994,23.7354
-46.5068,0.979319,0.204307,3,15,0,46.8979,0.229649,0.0116438,0.229649,0.0116438,3.26006e+07,1.36999e+06,57571.6,23.815,23.7553,23.7805,23.7793,23.7802,23.7704,23.7403,23.772,23.7679,23.8746,23.8093,23.8726,23.8485,23.7911,23.8174,23.8716,23.7966,23.7402,23.8131,23.8106,23.7938,23.799,23.7881,23.7872,23.7557,23.7873,23.8233,23.7953,23.7897,23.8008,23.7907,23.8113,23.7855,23.8117,23.7712,23.7668,23.8128,23.822,23.8076,23.751
-46.5217,0.998823,0.204307,4,19,0,46.6541,0.219659,0.012276,0.219659,0.012276,3.25913e+07,1.36979e+06,57571.6,23.8148,23.755,23.7801,23.7788,23.7797,23.7697,23.7395,23.7711,23.7668,23.8735,23.8081,23.8712,23.8469,23.7894,23.8157,23.8697,23.7945,23.738,23.8106,23.808,23.791,23.7959,23.7848,23.7837,23.752,23.7833,23.819,23.7907,23.7849,23.7956,23.7852,23.8055,23.7792,23.805,23.7641,23.7592,23.8047,23.8135,23.7992,23.7437
-46.6616,0.946721,0.204307,2,7,0,47.2043,0.220408,0.013955,0.220408,0.013955,3.25988e+07,1.36995e+06,57571.6,23.8149,23.7552,23.7803,23.779,23.7799,23.7701,23.7399,23.7715,23.7674,23.8741,23.8087,23.872,23.8477,23.7903,23.8166,23.8707,23.7956,23.7392,23.812,23.8095,23.7927,23.7977,23.7868,23.7858,23.7543,23.7859,23.8218,23.7938,23.7883,23.7994,23.7893,23.8101,23.7844,23.811,23.7709,23.7674,23.8144,23.8253,23.8156,23.7659
-47.3514,0.976643,0.204307,3,15,0,47.841,0.249327,0.00919902,0.249327,0.00919902,3.2614e+07,1.37027e+06,57571.6,23.8153,23.7558,23.7811,23.7801,23.7812,23.7715,23.7416,23.7735,23.7696,23.8765,23.8114,23.875,23.8509,23.7939,23.8204,23.8748,23.8001,23.7439,23.8171,23.8149,23.7984,23.8039,23.7933,23.7927,23.7616,23.7935,23.8299,23.8022,23.7971,23.8086,23.7989,23.8199,23.7944,23.821,23.7808,23.7766,23.8223,23.8307,23.813,23.7498
-46.8977,0.997211,0.204307,4,19,0,47.5654,0.203846,0.0168706,0.203846,0.0168706,3.25908e+07,1.36978e+06,57571.6,23.8146,23.7548,23.7799,23.7785,23.7793,23.7693,23.7389,23.7705,23.7661,23.8727,23.8073,23.8703,23.846,23.7884,23.8145,23.8685,23.7932,23.7366,23.8092,23.8066,23.7895,23.7944,23.7832,23.7821,23.7504,23.7817,23.8174,23.7892,23.7835,23.7945,23.7843,23.8049,23.7792,23.8058,23.7659,23.7629,23.8108,23.8234,23.8186,23.7764
-46.9374,0.991613,0.204307,4,19,0,47.5016,0.2415,0.00770353,0.2415,0.00770353,3.2599e+07,1.36995e+06,57571.6,23.8151,23.7554,23.7807,23.7795,23.7805,23.7707,23.7406,23.7724,23.7683,23.8751,23.8098,23.8732,23.849,23.7917,23.818,23.8722,23.7972,23.7409,23.8138,23.8113,23.7946,23.7997,23.7888,23.7878,23.7563,23.7878,23.8237,23.7956,23.7898,23.8007,23.7903,23.8105,23.7841,23.8095,23.7681,23.7618,23.8054,23.8111,23.7876,23.7173
