# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = snia_model
# start_datetime = 2023-07-19 14:09:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpzvtcylkn/f2c8wxg1.json
# random
#   seed = 32083
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/snia/snia-20230719150953.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.210899
# Diagonal elements of inverse mass matrix:
# 0.000659314, 93.4857, 4.915e-05
-48.0802,0.825105,0.210899,3,15,0,51.6801,0.249764,71.7594,0.0101379,0.249764,71.7594,0.0101379,3.26182e+07,1.37036e+06,57571.6,23.8154,23.7558,23.7812,23.7802,23.7813,23.7717,23.7418,23.7738,23.7698,23.8769,23.8118,23.8754,23.8514,23.7944,23.8209,23.8754,23.8007,23.7447,23.8179,23.8157,23.7994,23.8049,23.7944,23.7939,23.7629,23.795,23.8314,23.804,23.7989,23.8107,23.8012,23.8225,23.7973,23.8243,23.7846,23.7811,23.8276,23.8372,23.8222,23.7626
-47.0135,0.898415,0.210899,2,7,0,49.3867,0.245744,69.5537,0.007076,0.245744,69.5537,0.007076,3.26015e+07,1.37001e+06,57571.6,23.8152,23.7555,23.7808,23.7796,23.7807,23.7709,23.7408,23.7727,23.7686,23.8754,23.8102,23.8736,23.8495,23.7923,23.8186,23.8729,23.7979,23.7417,23.8146,23.8122,23.7955,23.8006,23.7898,23.7889,23.7575,23.7891,23.825,23.7969,23.7913,23.8022,23.7918,23.8121,23.7858,23.8112,23.7698,23.7635,23.807,23.8123,23.7878,23.7155
-46.9387,0.999732,0.210899,2,7,0,47.0581,0.244572,69.547,0.00738226,0.244572,69.547,0.00738226,3.26013e+07,1.37e+06,57571.6,23.8151,23.7555,23.7808,23.7796,23.7806,23.7709,23.7408,23.7726,23.7685,23.8754,23.8102,23.8735,23.8494,23.7922,23.8185,23.8728,23.7978,23.7415,23.8144,23.8121,23.7953,23.8005,23.7896,23.7887,23.7573,23.7889,23.8248,23.7967,23.7911,23.802,23.7917,23.812,23.7857,23.8112,23.7698,23.7636,23.8073,23.8129,23.789,23.7179
-49.8063,0.717721,0.210899,3,15,0,51.0886,0.267117,67.3546,0.00785269,0.267117,67.3546,0.00785269,3.26294e+07,1.37059e+06,57571.6,23.8157,23.7562,23.7818,23.7809,23.7821,23.7727,23.743,23.7751,23.7713,23.8785,23.8136,23.8774,23.8535,23.7968,23.8235,23.8782,23.8037,23.7478,23.8213,23.8194,23.8033,23.809,23.7989,23.7985,23.7679,23.8002,23.837,23.8098,23.8051,23.8173,23.808,23.8296,23.8047,23.8321,23.7924,23.789,23.8352,23.8439,23.8256,23.7597
-47.2083,0.979692,0.210899,3,11,0,51.3564,0.253243,65.8689,0.00736921,0.253243,65.8689,0.00736921,3.26115e+07,1.37022e+06,57571.6,23.8153,23.7558,23.7811,23.7801,23.7812,23.7715,23.7416,23.7735,23.7696,23.8765,23.8114,23.875,23.8509,23.7938,23.8203,23.8747,23.8,23.7438,23.8169,23.8147,23.7982,23.8036,23.793,23.7923,23.7612,23.793,23.8293,23.8015,23.7962,23.8076,23.7976,23.8184,23.7925,23.8187,23.7779,23.7726,23.8171,23.8237,23.8015,23.7316
-47.4371,0.994925,0.210899,3,7,0,47.4993,0.255757,66.6866,0.00543225,0.255757,66.6866,0.00543225,3.26068e+07,1.37012e+06,57571.6,23.8153,23.7557,23.7811,23.78,23.7811,23.7714,23.7414,23.7733,23.7694,23.8763,23.8112,23.8747,23.8506,23.7935,23.8199,23.8743,23.7995,23.7433,23.8163,23.8141,23.7975,23.8028,23.7921,23.7913,23.76,23.7917,23.8278,23.7998,23.7943,23.8054,23.7951,23.8156,23.7893,23.8147,23.7733,23.7667,23.8097,23.8141,23.7865,23.7086
