lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,lambda,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.586977
# Diagonal elements of inverse mass matrix:
# 8.24914e-05, 1.063, 0.0161354
-60.5971,0.981734,0.586977,2,7,0,61.4881,0.272972,68.544,-0.245156,68.544,0.272972,-0.245156,3.26238e+07,1.37047e+06,57571.6,23.8159,23.7565,23.7822,23.7814,23.7827,23.7734,23.7437,23.7759,23.7722,23.8795,23.8147,23.8786,23.8547,23.798,23.8248,23.8795,23.805,23.7492,23.8227,23.8207,23.8046,23.8102,23.8,23.7995,23.7686,23.8007,23.8372,23.8096,23.8044,23.8158,23.8057,23.8262,23.7999,23.8251,23.7831,23.775,23.8157,23.816,23.7756,23.6743,70.7574,71.4282,72.4664,74.2816,74.6195,75.3827,75.4213,78.2263,78.6435,81.7669,83.0375,83.9638,83.9825,85.1437,86.1048,87.3277,87.7389,87.8235,93.6814,98.5006,102.564,104.415,110.213,110.529,111.801,120.827,139.595,144.351,149.513,157.409,175.554,194.246,1252.82,1651.22,2040.96,2125.02,2465.44,3891.18,150,299790
-59.1751,0.991082,0.586977,2,7,0,61.4438,0.285455,69.4717,-0.0918729,69.4717,0.285455,-0.0918729,3.26226e+07,1.37045e+06,57571.6,23.8158,23.7564,23.782,23.7811,23.7824,23.7731,23.7434,23.7755,23.7718,23.879,23.8141,23.878,23.8541,23.7974,23.8241,23.8788,23.8043,23.7484,23.8219,23.8199,23.8037,23.8094,23.7991,23.7986,23.7678,23.7999,23.8364,23.8088,23.8036,23.8151,23.8051,23.8258,23.7996,23.8251,23.7834,23.7757,23.817,23.818,23.7792,23.6798,71.6882,72.3632,73.4102,75.2467,75.5893,76.3638,76.403,79.2572,79.6826,82.8725,84.1725,85.1211,85.1402,86.3299,87.3153,88.5697,88.9916,89.0784,95.0963,100.054,104.238,106.144,112.117,112.442,113.753,123.057,142.404,147.306,152.627,160.766,179.463,198.718,1259.12,1659.02,2049.67,2133.84,2474.36,3893.6,150,299790
-59.929,0.893562,0.586977,2,3,0,60.2249,0.282642,70.1535,-0.0954551,70.1535,0.282642,-0.0954551,3.26195e+07,1.37038e+06,57571.6,23.8157,23.7563,23.7819,23.781,23.7823,23.7729,23.7431,23.7752,23.7715,23.8787,23.8138,23.8776,23.8537,23.7969,23.8235,23.8782,23.8036,23.7477,23.8211,23.8191,23.8028,23.8084,23.7981,23.7976,23.7666,23.7986,23.835,23.8074,23.8021,23.8134,23.8034,23.8239,23.7976,23.8228,23.7809,23.773,23.8139,23.8146,23.7751,23.6751,72.3718,73.0474,74.0954,75.934,76.277,77.0524,77.0917,79.9498,80.3758,83.5709,84.8732,85.8235,85.8427,87.0347,88.022,89.279,89.7018,89.7888,95.8205,100.791,104.986,106.897,112.888,113.215,114.53,123.864,143.28,148.202,153.543,161.714,180.488,199.826,1250.97,1648.76,2037.57,2121.37,2460.51,3875.62,150,299790
-59.2103,0.855143,0.586977,1,3,0,61.6405,0.288587,68.9742,-0.027066,68.9742,0.288587,-0.027066,3.26239e+07,1.37048e+06,57571.6,23.8158,23.7564,23.782,23.7812,23.7825,23.7731,23.7434,23.7756,23.7719,23.8791,23.8142,23.8781,23.8542,23.7975,23.8242,23.879,23.8045,23.7486,23.8221,23.8202,23.804,23.8097,23.7995,23.799,23.7682,23.8004,23.8369,23.8094,23.8043,23.8158,23.8059,23.8267,23.8006,23.8262,23.7846,23.7772,23.8186,23.8199,23.7816,23.6828,71.1804,71.8527,72.8958,74.7262,75.0678,75.84,75.879,78.7257,79.1501,82.3329,83.6302,84.5769,84.596,85.7834,86.767,88.019,88.4402,88.5268,94.5343,99.4836,103.66,105.563,111.526,111.851,113.159,122.447,141.756,146.649,151.958,160.08,178.736,197.946,1266.64,1668.64,2061.14,2145.68,2487.61,3910.99,150,299790
-59.9999,0.936802,0.586977,2,3,0,60.2398,0.281579,68.2427,-0.00018908,68.2427,0.281579,-0.00018908,3.26155e+07,1.3703e+06,57571.6,23.8156,23.7562,23.7817,23.7808,23.782,23.7725,23.7428,23.7748,23.771,23.8782,23.8132,23.8769,23.853,23.7961,23.8227,23.8773,23.8027,23.7467,23.82,23.818,23.8016,23.8071,23.7967,23.7961,23.765,23.7969,23.8332,23.8055,23.8001,23.8113,23.801,23.8214,23.7949,23.82,23.7779,23.7697,23.8104,23.8107,23.7708,23.6703,70.3716,71.0207,72.0282,73.7969,74.127,74.8736,74.9114,77.6649,78.0756,81.157,82.4136,83.3308,83.3493,84.5,85.4534,86.6672,87.0756,87.1596,92.9879,97.7936,101.851,103.7,109.498,109.814,111.086,120.123,138.927,143.694,148.869,156.786,174.978,193.719,1268.27,1672.06,2066.91,2152.04,2496.6,3935.01,150,299790
-60.8444,0.902942,0.586977,3,7,0,61.9896,0.297424,70.8687,-0.00287281,70.8687,0.297424,-0.00287281,3.26339e+07,1.37069e+06,57571.6,23.816,23.7567,23.7824,23.7816,23.783,23.7738,23.7442,23.7765,23.7729,23.8802,23.8155,23.8795,23.8557,23.7992,23.826,23.8809,23.8066,23.7509,23.8246,23.8228,23.8069,23.8128,23.8028,23.8025,23.772,23.8044,23.8413,23.8141,23.8093,23.8212,23.8117,23.8329,23.8074,23.8336,23.7926,23.7861,23.8285,23.8308,23.7946,23.6978,73.202,73.9127,75.015,76.9484,77.3091,78.1243,78.1655,81.1692,81.6167,84.9719,86.3387,87.3358,87.3559,88.6062,89.6417,90.9595,91.4027,91.4939,97.8119,103.012,107.398,109.395,115.652,115.993,117.365,127.1,147.321,152.441,157.996,166.491,185.996,206.072,1256.04,1653.15,2040.17,2123.44,2459.91,3855.75,150,299790
-60.3337,1,0.586977,3,7,0,60.821,0.295962,70.6327,-0.0155554,70.6327,0.295962,-0.0155554,3.26323e+07,1.37065e+06,57571.6,23.816,23.7566,23.7823,23.7815,23.783,23.7737,23.7441,23.7763,23.7727,23.8801,23.8153,23.8793,23.8555,23.7989,23.8257,23.8806,23.8063,23.7506,23.8242,23.8224,23.8064,23.8123,23.8022,23.802,23.7714,23.8038,23.8406,23.8133,23.8085,23.8204,23.8108,23.8319,23.8063,23.8324,23.7913,23.7847,23.8269,23.8291,23.7925,23.6954,72.9476,73.6526,74.7464,76.6648,77.0227,77.8317,77.8726,80.8535,81.2977,84.628,85.9847,86.9745,86.9945,88.2358,89.2638,90.5721,91.0122,91.1026,97.376,102.541,106.896,108.88,115.094,115.433,116.796,126.468,146.559,151.647,157.167,165.61,184.995,204.949,1257.08,1654.77,2042.46,2125.9,2463.06,3862.59,150,299790
-59.8789,0.913703,0.586977,2,7,0,61.7857,0.293023,68.7228,-0.0339001,68.7228,0.293023,-0.0339001,3.26292e+07,1.37059e+06,57571.6,23.8159,23.7566,23.7822,23.7814,23.7828,23.7735,23.7438,23.7761,23.7724,23.8797,23.8149,23.8788,23.855,23.7984,23.8252,23.88,23.8056,23.7499,23.8234,23.8216,23.8055,23.8113,23.8012,23.8009,23.7702,23.8025,23.8392,23.8119,23.8069,23.8187,23.809,23.8299,23.8042,23.83,23.7888,23.7818,23.8238,23.8256,23.7884,23.6906,70.9551,71.6351,72.6901,74.5406,74.8859,75.6664,75.7059,78.5821,79.0107,82.2248,83.5344,84.4899,84.5092,85.7075,86.7,87.9632,88.3881,88.4755,94.534,99.5229,103.731,105.648,111.654,111.982,113.299,122.648,142.077,146.998,152.338,160.505,179.26,198.567,1272.03,1674.94,2067.96,2152.57,2494.58,3915.86,150,299790
-59.4013,0.987451,0.586977,3,7,0,60.9031,0.280452,68.9342,0.0707765,68.9342,0.280452,0.0707765,3.26157e+07,1.3703e+06,57571.6,23.8157,23.7562,23.7817,23.7808,23.7821,23.7726,23.7428,23.7749,23.7711,23.8782,23.8132,23.877,23.8531,23.7962,23.8228,23.8774,23.8028,23.7468,23.8201,23.8181,23.8017,23.8072,23.7968,23.7962,23.7651,23.7971,23.8333,23.8056,23.8002,23.8114,23.8012,23.8215,23.795,23.82,23.7779,23.7697,23.8104,23.8106,23.7706,23.6699,71.0879,71.7442,72.7626,74.55,74.8836,75.6378,75.676,78.4571,78.8717,81.9828,83.2513,84.177,84.1957,85.3571,86.3192,87.5442,87.9563,88.0411,93.922,98.7703,102.864,104.729,110.577,110.896,112.179,121.294,140.261,145.07,150.289,158.275,176.625,195.529,1260.63,1662.02,2054.58,2139.22,2481.83,3912.77,150,299790
-60.103,0.918058,0.586977,3,7,0,61.4536,0.281389,69.4063,-0.198577,69.4063,0.281389,-0.198577,3.26273e+07,1.37055e+06,57571.6,23.8159,23.7566,23.7823,23.7814,23.7828,23.7735,23.7439,23.7761,23.7725,23.8798,23.8149,23.8789,23.8551,23.7984,23.8252,23.88,23.8056,23.7498,23.8233,23.8215,23.8054,23.8111,23.8009,23.8006,23.7698,23.802,23.8386,23.8112,23.8061,23.8177,23.8078,23.8286,23.8025,23.828,23.7864,23.7789,23.8202,23.8212,23.7823,23.6826,71.6627,72.3477,73.4088,75.266,75.612,76.3937,76.4332,79.3087,79.7366,82.9421,84.2467,85.1982,85.2174,86.4101,87.3976,88.6541,89.0767,89.1635,95.1845,100.139,104.317,106.22,112.18,112.505,113.812,123.091,142.376,147.261,152.563,160.674,179.304,198.489,1253.55,1651.38,2040.05,2123.81,2462.73,3877.39,150,299790
