lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,chi
# Adaptation terminated
# Step size = 0.050426
# Diagonal elements of inverse mass matrix:
# 0.00807833, 84.0001, 2.41231
-10.2985,0.977561,0.050426,6,63,0,11.3702,0.453659,71.7188,-0.336081,0.453659,71.7188,-0.336081,70.1759,70.5698,71.347,73.0128,73.3531,74.1484,74.1895,77.3562,77.8515,81.6966,83.3145,84.5091,84.5334,86.0461,87.3095,88.9293,89.4768,89.5895,97.5049,104.118,109.732,112.296,120.344,120.784,122.551,135.097,161.12,167.694,174.82,185.7,210.617,236.18,20.4718
-7.85053,0.992986,0.050426,4,31,0,11.9002,0.351463,65.5623,0.13755,0.351463,65.5623,0.13755,69.5382,70.4973,71.9349,74.3617,74.8048,75.7975,75.8475,79.4216,79.9453,83.8172,85.3715,86.4985,86.5212,87.9268,89.085,90.5523,91.0441,91.1452,98.0802,103.706,108.407,110.537,117.17,117.531,118.978,129.195,150.192,155.474,161.194,169.92,189.883,210.35,15.4934
-7.67428,0.994517,0.050426,6,63,0,8.07538,0.325075,65.1163,0.113596,0.325075,65.1163,0.113596,68.5484,69.4038,70.6933,72.8853,73.2872,74.1892,74.2346,77.4973,77.977,81.5353,82.9685,84.0092,84.0302,85.3299,86.4021,87.762,88.2182,88.312,94.7628,100.016,104.416,106.413,112.642,112.98,114.341,123.963,143.801,148.802,154.22,162.493,181.441,200.893,15.1074
-8.12203,0.982911,0.050426,6,63,0,8.55462,0.363657,72.5625,-0.400784,0.363657,72.5625,-0.400784,70.485,70.6864,71.1618,72.2967,72.5385,73.1119,73.1418,75.5065,75.8846,78.8725,80.152,81.1036,81.1229,82.3356,83.3542,84.6672,85.1127,85.2046,91.7269,97.2669,102.019,104.203,111.099,111.477,112.999,123.874,146.692,152.497,158.801,168.452,190.638,213.487,16.1606
-7.74025,0.995118,0.050426,4,31,0,9.74391,0.267981,70.9403,-0.0396839,0.267981,70.9403,-0.0396839,72.6997,73.2958,74.2328,75.9003,76.2139,76.925,76.961,79.6041,80.0004,82.9877,84.2117,85.1068,85.1249,86.2499,87.1834,88.3738,88.7747,88.8572,94.5991,99.3556,103.384,105.223,110.998,111.314,112.583,121.617,140.481,145.274,150.48,158.451,176.79,195.707,15.4675
-7.48898,0.991302,0.050426,5,39,0,9.94831,0.352635,67.6285,-0.0872585,0.352635,67.6285,-0.0872585,69.3039,69.9754,71.0463,72.9766,73.3416,74.171,74.2131,77.3063,77.7707,81.2722,82.7058,83.7535,83.7747,85.0904,86.1813,87.571,88.0388,88.135,94.8135,100.318,104.961,107.075,113.695,114.056,115.507,125.795,147.117,152.506,158.349,167.278,187.75,208.785,14.9106
-8.347,0.999821,0.050426,5,47,0,8.63247,0.251348,74.2307,-0.172269,0.251348,74.2307,-0.172269,74.8031,75.2304,75.9432,77.2871,77.5474,78.1444,78.1749,80.4587,80.8078,83.4814,84.5942,85.4133,85.4299,86.465,87.3283,88.4344,88.8082,88.8851,94.2954,98.8395,102.721,104.501,110.12,110.428,111.668,120.535,139.218,143.989,149.18,157.143,175.514,194.517,16.5052
-9.32224,0.997537,0.050426,3,15,0,9.92879,0.226706,75.2158,-0.147177,0.226706,75.2158,-0.147177,75.9404,76.3593,77.0488,78.3339,78.5814,79.1481,79.177,81.3356,81.6648,84.1817,85.228,85.998,86.0135,86.9863,87.7976,88.8369,89.188,89.2603,94.3456,98.6208,102.276,103.954,109.255,109.545,110.717,119.1,136.815,141.348,146.284,153.862,171.373,189.516,18.3507
-8.84239,0.991902,0.050426,3,11,0,10.349,0.240208,74.7452,-0.12131,0.240208,74.7452,-0.12131,75.7258,76.1966,76.9615,78.3688,78.6381,79.2531,79.2844,81.6113,81.9646,84.6548,85.7688,86.5871,86.6036,87.636,88.4958,89.5958,89.9671,90.0436,95.4041,99.8916,103.718,105.471,111.001,111.303,112.524,121.239,139.589,144.274,149.371,157.189,175.23,193.895,17.4452
-9.73984,0.924108,0.050426,2,7,0,10.2822,0.237024,75.0009,-0.0325575,0.237024,75.0009,-0.0325575,76.7072,77.2744,78.165,79.7491,80.047,80.7227,80.757,83.2709,83.6482,86.4958,87.6644,88.5197,88.537,89.6127,90.506,91.646,92.0302,92.1092,97.6228,102.205,106.095,107.874,113.47,113.775,115.008,123.791,142.211,146.904,152.006,159.828,177.859,196.496,19.2137
-7.50997,0.945329,0.050426,5,63,0,10.5113,0.35196,74.494,-0.381713,0.35196,74.494,-0.381713,72.6743,72.9087,73.4262,74.6181,74.8688,75.461,75.4918,77.912,78.297,81.3291,82.6236,83.5854,83.6049,84.8295,85.8574,87.1816,87.6307,87.7233,94.2916,99.8653,104.645,106.841,113.776,114.156,115.688,126.626,149.591,155.435,161.784,171.505,193.859,216.891,14.8057
