lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,chi
# Adaptation terminated
# Step size = 0.0804643
# Diagonal elements of inverse mass matrix:
# 0.00472994, 61.2621, 0.94125
-7.41601,0.9396,0.0804643,4,31,0,10.4584,0.329008,66.3488,0.0652309,0.329008,66.3488,0.0652309,69.41,70.229,71.4765,73.6212,74.0168,74.907,74.9519,78.1925,78.6712,82.2336,83.6737,84.7209,84.742,86.0514,87.1329,88.506,88.967,89.0617,95.5946,100.93,105.407,107.44,113.789,114.134,115.522,125.345,145.627,150.744,156.29,164.758,184.162,204.09,14.6953
-8.22884,0.992583,0.0804643,5,31,0,8.43689,0.268204,76.263,-0.294463,0.268204,76.263,-0.294463,75.7053,76.0084,76.571,77.73,77.9636,78.5074,78.5355,80.6895,81.0261,83.6471,84.7555,85.5763,85.593,86.6358,87.5094,88.6334,89.0143,89.0928,94.6551,99.376,103.432,105.297,111.204,111.528,112.835,122.2,142.005,147.072,152.586,161.048,180.581,200.791,16.0605
-8.79056,0.973704,0.0804643,5,63,0,10.4678,0.224524,66.3431,0.452575,0.224524,66.3431,0.452575,71.0502,71.964,73.2855,75.4303,75.8136,76.6649,76.7075,79.7077,80.1409,83.3091,84.5673,85.4759,85.4942,86.6236,87.5515,88.7239,89.1163,89.1968,94.701,99.1423,102.845,104.521,109.738,110.022,111.16,119.196,135.742,139.914,144.434,151.339,167.168,183.441,17.4226
-8.70256,0.995645,0.0804643,2,3,0,8.88178,0.224807,66.4724,0.460792,0.224807,66.4724,0.460792,71.2487,72.1725,73.5073,75.6718,76.0583,76.9167,76.9596,79.983,80.4193,83.6091,84.8754,85.7896,85.808,86.9442,87.8776,89.0568,89.4513,89.5324,95.0658,99.5288,103.248,104.932,110.172,110.456,111.599,119.667,136.272,140.458,144.993,151.92,167.799,184.121,17.2559
-7.88206,0.999304,0.0804643,4,31,0,9.6138,0.322772,62.5462,0.410669,0.322772,62.5462,0.410669,68.4702,69.6267,71.2971,74.0006,74.4825,75.5518,75.6052,79.358,79.898,83.8322,85.3878,86.5087,86.5312,87.9219,89.0623,90.5005,90.9811,91.0798,97.7891,103.163,107.619,109.63,115.867,116.205,117.56,127.095,146.554,151.431,156.706,164.743,183.095,201.879,15.2048
-9.70263,0.994542,0.0804643,5,31,0,10.2223,0.443121,72.6061,-0.448404,0.443121,72.6061,-0.448404,69.3076,69.4474,69.889,71.0781,71.3412,71.9723,72.0055,74.6702,75.1015,78.5336,80.0109,81.1112,81.1335,82.5369,83.7161,85.2368,85.7527,85.859,93.406,99.7985,105.266,107.773,115.672,116.104,117.844,130.235,156.067,162.61,169.707,180.552,205.416,230.948,19.2534
-9.80523,0.994553,0.0804643,4,15,0,10.4766,0.434336,75.8019,-0.49771,0.434336,75.8019,-0.49771,71.6175,71.644,71.9421,72.9416,73.1757,73.7473,73.7777,76.2805,76.6938,80.0283,81.4817,82.5692,82.5913,83.9837,85.1578,86.6764,87.1926,87.2991,94.8986,101.383,106.951,109.51,117.587,118.029,119.812,132.524,159.102,165.843,173.158,184.343,209.998,236.357,19.1992
-9.60174,0.877394,0.0804643,3,7,0,10.3444,0.42555,76.7908,-0.534791,0.42555,76.7908,-0.534791,72.0298,71.9675,72.1458,72.9706,73.1758,73.6856,73.713,76.0228,76.4111,79.5822,80.9792,82.0287,82.0501,83.3983,84.5384,86.0167,86.5201,86.624,94.0743,100.471,105.982,108.519,116.542,116.982,118.755,131.417,157.956,164.696,172.012,183.202,208.885,235.286,18.6764
-10.5287,0.909987,0.0804643,3,11,0,11.6745,0.441546,77.8646,-0.582166,0.441546,77.8646,-0.582166,72.0187,71.8309,71.8572,72.4969,72.676,73.1344,73.1594,75.3524,75.7308,78.8725,80.2757,81.335,81.3566,82.7225,83.8812,85.3878,85.9018,86.0079,93.6531,100.251,105.949,108.574,116.883,117.339,119.176,132.303,159.817,166.803,174.386,185.981,212.583,239.917,20.3553
-9.97216,0.514838,0.0804643,2,7,0,11.7955,0.428933,77.4811,-0.588788,0.428933,77.4811,-0.588788,71.7241,71.5262,71.5295,72.1148,72.2824,72.7137,72.7373,74.8209,75.1821,78.1916,79.5398,80.5588,80.5796,81.8949,83.0118,84.4653,84.9615,85.0639,92.4589,98.8569,104.392,106.944,115.03,115.474,117.263,130.059,156.925,163.754,171.167,182.508,208.54,235.303,19.3147
