lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,chi
# Adaptation terminated
# Step size = 0.094574
# Diagonal elements of inverse mass matrix:
# 0.00431774, 59.3123, 0.727336
-8.31144,0.99646,0.094574,4,27,0,10.0552,0.265174,63.1118,0.68286,0.265174,63.1118,0.68286,70.0364,71.2617,72.998,75.7456,76.2289,77.2955,77.3486,81.0395,81.5652,85.3631,86.852,87.9211,87.9425,89.2648,90.3463,91.7066,92.1604,92.2535,98.5531,103.563,107.7,109.563,115.327,115.638,116.889,125.667,143.521,147.988,152.816,160.17,176.949,194.114,16.1389
-8.07458,1,0.094574,2,7,0,8.32101,0.266842,62.8262,0.597168,0.266842,62.8262,0.597168,69.1441,70.2933,71.9312,74.5419,75.0031,76.0229,76.0738,79.6201,80.1271,83.8015,85.2467,86.2859,86.3068,87.5938,88.6476,89.9746,90.4176,90.5085,96.6739,101.594,105.665,107.501,113.187,113.495,114.73,123.411,141.112,145.547,150.343,157.652,174.343,191.432,15.6266
-9.55583,0.86646,0.094574,2,7,0,9.86016,0.270246,62.0785,0.430638,0.270246,62.0785,0.430638,67.1836,68.1778,69.615,71.9446,72.3604,73.2836,73.3298,76.5768,77.0449,80.4617,81.8158,82.7925,82.8122,84.0251,85.0208,86.2776,86.6979,86.7842,92.6657,97.3938,101.325,103.101,108.621,108.92,110.122,118.59,135.945,140.307,145.029,152.231,168.708,185.606,18.4788
-7.9202,0.998685,0.094574,2,7,0,9.58313,0.275743,63.5432,0.468692,0.275743,63.5432,0.468692,69.1621,70.236,71.7823,74.2769,74.7209,75.7054,75.7546,79.206,79.7023,83.3176,84.747,85.7772,85.7979,87.0761,88.1245,89.4469,89.8889,89.9796,96.1539,101.106,105.216,107.072,112.834,113.146,114.399,123.223,141.274,145.806,150.709,158.186,175.279,192.797,15.4189
-8.1131,0.979468,0.094574,3,11,0,8.3017,0.266718,63.7985,0.586539,0.266718,63.7985,0.586539,70.1334,71.2899,72.9398,75.5721,76.0374,77.0665,77.1178,80.699,81.2112,84.9251,86.3865,87.4376,87.4587,88.7607,89.8268,91.1696,91.618,91.71,97.9516,102.935,107.06,108.92,114.683,114.995,116.247,125.048,143,147.498,152.364,159.779,176.715,194.057,15.8337
-8.64873,0.927148,0.094574,5,31,0,10.2417,0.418348,64.3744,0.0165298,0.418348,64.3744,0.0165298,67.5381,68.4593,69.8752,72.3292,72.7835,73.8068,73.8584,77.5905,78.1421,82.2458,83.903,85.1073,85.1316,86.6364,87.8783,89.4537,89.9824,90.091,97.5636,103.642,108.726,111.031,118.211,118.601,120.168,131.226,153.933,159.641,165.819,175.24,196.774,218.831,16.925
-9.10128,0.475269,0.094574,2,7,0,13.292,0.39762,61.9193,0.0692319,0.39762,61.9193,0.0692319,65.4004,66.3206,67.7173,70.1062,70.5453,71.5319,71.5816,75.1556,75.6815,79.5804,81.1498,82.2888,82.3118,83.7334,84.9057,86.3914,86.8897,86.992,94.0233,99.7313,104.501,106.662,113.392,113.757,115.225,125.583,146.844,152.188,157.973,166.794,186.957,207.613,17.5114
-12.0886,0.939063,0.094574,5,31,0,12.766,0.416017,49.0178,1.10407,0.416017,49.0178,1.10407,60.6198,62.4222,64.9002,68.6739,69.3219,70.7375,70.8075,75.5689,76.2324,80.9368,82.7433,84.029,84.0547,85.6325,86.9135,88.5137,89.0448,89.1536,96.405,102.041,106.624,108.671,114.942,115.278,116.627,126.005,144.71,149.331,154.306,161.847,178.919,196.237,19.7086
-10.5026,0.991837,0.094574,5,63,0,13.7326,0.440157,72.1976,-0.3063,0.440157,72.1976,-0.3063,71.1482,71.5958,72.4372,74.1797,74.5308,75.3472,75.3893,78.6048,79.1044,82.9658,84.5839,85.7768,85.801,87.3098,88.5685,90.1808,90.7255,90.8376,98.6981,105.253,110.814,113.353,121.319,121.753,123.502,135.917,161.667,168.173,175.225,185.996,210.664,235.977,20.8775
-7.83132,0.991993,0.094574,4,23,0,10.6125,0.302454,64.3887,0.378453,0.302454,64.3887,0.378453,69.8452,70.9323,72.5095,75.0764,75.5356,76.5557,76.6068,80.2018,80.7207,84.5112,86.0143,87.0988,87.1206,88.4676,89.5733,90.9692,91.436,91.5318,98.0639,103.313,107.675,109.646,115.767,116.099,117.431,126.813,146.015,150.836,156.053,164.007,182.19,200.821,15.3463
-7.46442,0.99984,0.094574,5,31,0,7.91797,0.340028,71.5897,-0.188976,0.340028,71.5897,-0.188976,72.1443,72.6737,73.5637,75.2504,75.5775,76.3277,76.366,79.2318,79.669,83.0072,84.3912,85.4078,85.4283,86.7105,87.7777,89.1422,89.6026,89.6974,96.3237,101.84,106.522,108.66,115.379,115.746,117.222,127.726,149.614,155.164,161.187,170.4,191.557,213.329,14.8968
-7.84931,0.766814,0.094574,4,31,0,10.0233,0.33239,62.7469,0.278407,0.33239,62.7469,0.278407,67.6563,68.6955,70.2196,72.7303,73.1825,74.1899,74.2404,77.8157,78.3343,82.1375,83.6516,84.7457,84.7677,86.1284,87.2467,88.66,89.133,89.2301,95.8636,101.209,105.658,107.67,113.922,114.261,115.622,125.216,144.866,149.801,155.142,163.285,181.899,200.97,15.1676
-7.63562,0.995399,0.094574,5,31,0,8.278,0.273138,70.8663,-0.0341171,0.273138,70.8663,-0.0341171,72.7071,73.3205,74.2827,75.9913,76.3122,77.0396,77.0765,79.7764,80.1809,83.227,84.474,85.3856,85.404,86.5492,87.4992,88.7103,89.1181,89.2019,95.0377,99.867,103.954,105.819,111.674,111.993,113.28,122.429,141.517,146.364,151.628,159.685,178.217,197.324,15.2608
-7.4174,0.974789,0.094574,4,31,0,9.87098,0.298161,67.544,0.115672,0.298161,67.544,0.115672,70.835,71.655,72.8921,74.9976,75.3839,76.2516,76.2953,79.4386,79.9014,83.3385,84.7251,85.7326,85.7529,87.012,88.0515,89.3706,89.8134,89.9044,96.1752,101.294,105.59,107.541,113.634,113.965,115.298,124.733,144.236,149.16,154.499,162.657,181.36,200.585,14.7743
-8.03461,0.968551,0.094574,5,31,0,9.3701,0.355653,61.9237,0.270118,0.355653,61.9237,0.270118,67.0146,68.0961,69.6821,72.2942,72.7645,73.8121,73.8646,77.58,78.1186,82.0656,83.6356,84.7698,84.7926,86.2025,87.3609,88.8243,89.3139,89.4144,96.2749,101.796,106.386,108.46,114.903,115.252,116.654,126.526,146.717,151.782,157.261,165.614,184.691,204.224,15.4038
-8.67397,0.84411,0.094574,4,31,0,10.7929,0.42306,66.8004,-0.182296,0.42306,66.8004,-0.182296,67.5324,68.1572,69.2007,71.163,71.5416,72.4083,72.4525,75.7411,76.2402,80.0313,81.594,82.7387,82.7619,84.2021,85.3981,86.9238,87.4377,87.5434,94.8967,100.968,106.089,108.421,115.72,116.117,117.716,129.042,152.458,158.366,164.766,174.538,196.908,219.855,17.1847
-7.78989,0.997704,0.094574,5,31,0,9.43439,0.286355,64.5363,0.409264,0.286355,64.5363,0.409264,69.9746,71.0426,72.5884,75.0975,75.5457,76.5409,76.5906,80.0927,80.5977,84.2843,85.7454,86.7993,86.8205,88.1292,89.2034,90.5593,91.0127,91.1058,97.4491,102.546,106.782,108.696,114.641,114.963,116.257,125.371,144.033,148.72,153.793,161.529,179.218,197.351,15.2788
-8.77656,0.964204,0.094574,6,63,0,10.1661,0.407221,74.228,-0.399785,0.407221,74.228,-0.399785,71.8587,72.0924,72.6412,73.9469,74.2246,74.8825,74.9168,77.622,78.0536,81.4551,82.9074,83.986,84.0079,85.3806,86.5321,88.0147,88.5172,88.6207,95.9531,102.151,107.449,109.878,117.532,117.951,119.638,131.655,156.749,163.113,170.018,180.578,204.807,229.714,17.3268
-8.05316,0.998937,0.094574,5,63,0,9.23505,0.391484,67.321,-0.081169,0.391484,67.321,-0.081169,69.2442,69.9938,71.1848,73.3221,73.7251,74.6397,74.6861,78.0852,78.5942,82.4212,83.9834,85.1237,85.1467,86.5769,87.7613,89.2686,89.7755,89.8797,97.0971,103.022,108.006,110.273,117.355,117.741,119.291,130.261,152.914,158.626,164.815,174.264,195.896,218.091,16.001
-7.47137,0.994661,0.094574,4,31,0,9.29873,0.356262,70.0985,-0.163577,0.356262,70.0985,-0.163577,70.9652,71.5485,72.5136,74.3153,74.662,75.4551,75.4955,78.5028,78.9593,82.4306,83.8638,84.9147,84.9359,86.2594,87.3595,88.7642,89.2377,89.3351,96.13,101.765,106.534,108.71,115.536,115.908,117.406,128.048,150.163,155.761,161.833,171.115,192.411,214.306,14.9297
-7.70423,0.993608,0.094574,4,31,0,10.2061,0.3529,76.2598,-0.44459,0.3529,76.2598,-0.44459,73.5644,73.6875,74.0632,75.0654,75.2868,75.818,75.846,78.094,78.4589,81.3735,82.6342,83.5755,83.5946,84.798,85.8117,87.1219,87.5672,87.6591,94.2157,99.8231,104.653,106.876,113.914,114.3,115.857,126.997,150.451,156.428,162.924,172.875,195.769,219.368,15.0034
-7.578,1,0.094574,5,47,0,7.80331,0.298694,65.0425,0.276797,0.298694,65.0425,0.276797,69.6186,70.5925,72.0233,74.3864,74.8127,75.7634,75.8111,79.1932,79.6847,83.2963,84.7372,85.7795,85.8004,87.0978,88.165,89.5147,89.9667,90.0595,96.412,101.547,105.829,107.768,113.801,114.129,115.444,124.728,143.803,148.602,153.8,161.732,179.886,198.512,14.9095
