# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb4_4_model
# start_datetime = 2023-07-26 13:00:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = Model3/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpxnpwqt8s/46tdhvv7.json
# random
#   seed = 35252
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/cmb/cmb4_4-20230726140045_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,c,h,Omega_b,Omega_c,wr,Omega_r,lambda,g1,g2,zstar,faketheta.1,faketheta.2,faketheta.3,faketheta.4,faketheta.5,faketheta.6,y1,dy1,y2,dy2,S.1.1,S.1.2,sol,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0228132
# Diagonal elements of inverse mass matrix:
# 0.000135341, 2.49616e-05, 9.44621e-05
2.41435,0.790421,0.0228132,6,67,0,0.808958,73.9392,0.0411461,0.254546,299790,0.739392,0.0411461,0.2134,4.15e-05,7.591e-05,0.416017,0.0606747,0.547969,1091.4,0.739392,0.0411461,0.2134,7.591e-05,0.416017,1091.4,1,0.270905,0,1,20974.3,3.44168,0.0358454,301.639,1.73642,0.0224946,0.0687773,-0.00428472,0.000214586
2.00386,0.994588,0.0228132,3,7,0,-0.963949,73.9947,0.0412371,0.255413,299790,0.739947,0.0412371,0.214176,4.15e-05,7.57962e-05,0.415705,0.0605035,0.54789,1091.34,0.739947,0.0412371,0.214176,7.57962e-05,0.415705,1091.34,1,0.271972,0,1,20995.5,3.437,0.0358176,301.462,1.737,0.0225782,-0.107653,-0.00369611,0.000298194
3.53937,0.955714,0.0228132,3,15,0,-1.19079,73.8852,0.0411379,0.255406,299790,0.738852,0.0411379,0.214268,4.15e-05,7.60208e-05,0.415707,0.0607514,0.548004,1091.47,0.738852,0.0411379,0.214268,7.60208e-05,0.415707,1091.47,1,0.271963,0,1,21007.2,3.437,0.0358065,301.555,1.73698,0.0224573,-0.0148076,-0.00372157,0.000177325
3.07264,0.921516,0.0228132,3,15,0,-2.54295,73.9214,0.0411692,0.255076,299790,0.739214,0.0411692,0.213907,4.15e-05,7.59464e-05,0.415826,0.060671,0.547967,1091.41,0.739214,0.0411692,0.213907,7.59464e-05,0.415826,1091.41,1,0.271557,0,1,20992.5,3.4388,0.0358221,301.582,1.73677,0.0224964,0.0120841,-0.00393482,0.000216406
3.90444,0.999674,0.0228132,6,103,0,-0.957843,72.6693,0.0420808,0.26789,299790,0.726693,0.0420808,0.225809,4.15e-05,7.85862e-05,0.411187,0.0612397,0.548226,1091.99,0.726693,0.0420808,0.225809,7.85862e-05,0.411187,1091.99,1,0.287461,0,1,21492.8,3.37107,0.0351162,301.585,1.7448,0.0222221,0.0153557,0.00409986,-5.78732e-05
3.07587,0.844929,0.0228132,5,43,0,-2.07659,72.4736,0.0421788,0.270178,299790,0.724736,0.0421788,0.227999,4.15e-05,7.90112e-05,0.410354,0.0613826,0.54829,1092.13,0.724736,0.0421788,0.227999,7.90112e-05,0.410354,1092.13,1,0.290326,0,1,21580.6,3.35944,0.0350021,301.525,1.74619,0.0221541,-0.0450941,0.00549209,-0.00012592
3.61204,1,0.0228132,2,3,0,-3.10752,72.4663,0.042269,0.270178,299790,0.724663,0.042269,0.227909,4.15e-05,7.9027e-05,0.410353,0.0612923,0.54825,1092.06,0.724663,0.042269,0.227909,7.9027e-05,0.410353,1092.06,1,0.290326,0,1,21579.1,3.35943,0.0349952,301.584,1.74619,0.022197,0.0135186,0.00548905,-8.29597e-05
2.96578,0.984705,0.0228132,5,47,0,-2.32206,72.8047,0.0421779,0.267506,299790,0.728047,0.0421779,0.225328,4.15e-05,7.82941e-05,0.411327,0.0609597,0.5481,1091.82,0.728047,0.0421779,0.225328,7.82941e-05,0.411327,1091.82,1,0.286981,0,1,21466.1,3.37307,0.0351449,301.517,1.74458,0.0223565,-0.0525709,0.00388395,7.64943e-05
