# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb4_4_model
# start_datetime = 2023-07-27 08:25:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = Model3/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpi41g4h3w/qahj9hqm.json
# random
#   seed = 43854
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/cmb/cmb4_4-20230727092527_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,c,h,Omega_b,Omega_c,wr,Omega_r,lambda,g1,g2,zstar,faketheta.1,faketheta.2,faketheta.3,faketheta.4,faketheta.5,faketheta.6,y1,dy1,y2,dy2,S.1.1,S.1.2,sol,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0239808
# Diagonal elements of inverse mass matrix:
# 0.000127003, 2.48928e-05, 8.50991e-05
2.88789,0.951444,0.0239808,6,111,0,-1.78776,72.6441,0.0417904,0.266661,299790,0.726441,0.0417904,0.224871,4.15e-05,7.86407e-05,0.411633,0.0615949,0.548384,1092.17,0.726441,0.0417904,0.224871,7.86407e-05,0.411633,1092.17,1,0.285927,0,1,21463,3.37732,0.0351715,301.669,1.74402,0.0220535,0.0992645,0.00332368,-0.000226492
2.7614,0.932827,0.0239808,2,3,0,-2.5877,72.6504,0.0417134,0.266746,299790,0.726504,0.0417134,0.225033,4.15e-05,7.86272e-05,0.411603,0.0616732,0.548418,1092.23,0.726504,0.0417134,0.225033,7.86272e-05,0.411603,1092.23,1,0.286032,0,1,21467.1,3.37689,0.0351746,301.605,1.74408,0.0220166,0.0345153,0.00338006,-0.000263357
2.99181,0.999453,0.0239808,4,31,0,-2.43402,72.8757,0.0421165,0.266758,299790,0.728757,0.0421165,0.224642,4.15e-05,7.81417e-05,0.411598,0.0609369,0.548089,1091.8,0.728757,0.0421165,0.224642,7.81417e-05,0.411598,1091.8,1,0.286047,0,1,21437.5,3.37691,0.0351855,301.513,1.74413,0.0223675,-0.0571481,0.00342729,8.75211e-05
2.17491,0.855485,0.0239808,4,15,0,-0.653424,72.9238,0.0419941,0.266399,299790,0.729238,0.0419941,0.224405,4.15e-05,7.80386e-05,0.411729,0.0610106,0.548123,1091.85,0.729238,0.0419941,0.224405,7.80386e-05,0.411729,1091.85,1,0.285598,0,1,21424.7,3.37877,0.0352132,301.441,1.74391,0.022332,-0.129144,0.00321162,5.19568e-05
2.54544,0.988379,0.0239808,4,15,0,-1.83573,72.9222,0.0422095,0.26602,299790,0.729222,0.0422095,0.22381,4.15e-05,7.8042e-05,0.411867,0.0607756,0.548015,1091.67,0.729222,0.0422095,0.22381,7.8042e-05,0.411867,1091.67,1,0.285125,0,1,21407.5,3.3807,0.0352119,301.625,1.74367,0.0224455,0.0548994,0.0029668,0.000165541
3.15902,0.779001,0.0239808,2,3,0,-0.452547,72.8839,0.0421349,0.265994,299790,0.728839,0.0421349,0.223859,4.15e-05,7.81241e-05,0.411876,0.0609062,0.548075,1091.74,0.728839,0.0421349,0.223859,7.81241e-05,0.411876,1091.74,1,0.285093,0,1,21411.9,3.38082,0.0352113,301.641,1.74364,0.0223823,0.070792,0.00294342,0.00010231
2.92826,0.933606,0.0239808,1,1,0,-2.79398,72.8819,0.0421534,0.265974,299790,0.728819,0.0421534,0.223821,4.15e-05,7.81284e-05,0.411883,0.0608884,0.548067,1091.73,0.728819,0.0421534,0.223821,7.81284e-05,0.411883,1091.73,1,0.285069,0,1,21411,3.38092,0.0352104,301.657,1.74363,0.0223909,0.0869066,0.00293054,0.000110915
3.12674,0.999742,0.0239808,6,75,0,-1.85667,72.2788,0.0422482,0.271579,299790,0.722788,0.0422482,0.229331,4.15e-05,7.94377e-05,0.409843,0.0615571,0.548367,1092.25,0.722788,0.0422482,0.229331,7.94377e-05,0.409843,1092.25,1,0.292083,0,1,21640.9,3.35236,0.0349198,301.598,1.74702,0.0220714,0.0282819,0.00632141,-0.000208623
3.34549,0.858269,0.0239808,4,15,0,-0.116626,72.42,0.0421979,0.269776,299790,0.7242,0.0421979,0.227578,4.15e-05,7.91281e-05,0.4105,0.0614304,0.548311,1092.12,0.7242,0.0421979,0.227578,7.91281e-05,0.4105,1092.12,1,0.289822,0,1,21572.2,3.36144,0.0350053,301.676,1.74593,0.0221314,0.106016,0.00522933,-0.000148646
3.05281,0.939243,0.0239808,5,63,0,-1.40417,72.8231,0.0419748,0.266914,299790,0.728231,0.0419748,0.224939,4.15e-05,7.82546e-05,0.411542,0.0611603,0.54819,1091.94,0.728231,0.0419748,0.224939,7.82546e-05,0.411542,1091.94,1,0.286241,0,1,21450.5,3.3761,0.0351807,301.481,1.74422,0.0222601,-0.0888621,0.00351719,-1.98996e-05
