# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb4_4_model
# start_datetime = 2023-07-26 13:00:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = Model3/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpxnpwqt8s/46tdhvv7.json
# random
#   seed = 35252
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/cmb/cmb4_4-20230726140045_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,c,h,Omega_b,Omega_c,wr,Omega_r,lambda,g1,g2,zstar,faketheta.1,faketheta.2,faketheta.3,faketheta.4,faketheta.5,faketheta.6,y1,dy1,y2,dy2,S.1.1,S.1.2,sol,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0241922
# Diagonal elements of inverse mass matrix:
# 0.000110496, 2.48226e-05, 7.53945e-05
3.61811,0.999998,0.0241922,6,79,0,-2.32335,73.8466,0.0411683,0.255852,299790,0.738466,0.0411683,0.214683,4.15e-05,7.61005e-05,0.415546,0.0607657,0.548011,1091.49,0.738466,0.0411683,0.214683,7.61005e-05,0.415546,1091.49,1,0.272513,0,1,21024.3,3.43457,0.0357823,301.546,1.73727,0.0224504,-0.0239333,-0.00343322,0.000170378
3.63506,0.891103,0.0241922,5,35,0,-2.79698,73.7409,0.0412366,0.257176,299790,0.737409,0.0412366,0.215939,4.15e-05,7.63188e-05,0.415069,0.0608215,0.548037,1091.56,0.737409,0.0412366,0.215939,7.63188e-05,0.415069,1091.56,1,0.274147,0,1,21074.8,3.4274,0.0357137,301.495,1.73812,0.0224233,-0.0749318,-0.00257794,0.00014328
3.91638,0.938155,0.0241922,4,15,0,-2.96524,73.6901,0.0412537,0.257282,299790,0.736901,0.0412537,0.216028,4.15e-05,7.6424e-05,0.41503,0.0608661,0.548057,1091.58,0.736901,0.0412537,0.216028,7.6424e-05,0.41503,1091.58,1,0.274279,0,1,21082.2,3.42681,0.0357005,301.555,1.73818,0.0224017,-0.0151232,-0.00251857,0.000121728
3.71179,0.985059,0.0241922,6,79,0,-2.6081,73.9831,0.0408729,0.253769,299790,0.739831,0.0408729,0.212896,4.15e-05,7.582e-05,0.416297,0.0609281,0.548085,1091.55,0.739831,0.0408729,0.212896,7.582e-05,0.416297,1091.55,1,0.269948,0,1,20951.9,3.44594,0.0358988,301.563,1.73591,0.0223717,-0.00708427,-0.00479184,9.17416e-05
1.8182,0.627868,0.0241922,2,3,0,-1.45118,73.9798,0.0410717,0.253797,299790,0.739798,0.0410717,0.212725,4.15e-05,7.58266e-05,0.416287,0.0607076,0.547984,1091.4,0.739798,0.0410717,0.212725,7.58266e-05,0.416287,1091.4,1,0.269982,0,1,20948.2,3.44578,0.0358838,301.675,1.73592,0.0224786,0.104711,-0.00477742,0.000198603
3.33596,0.973181,0.0241922,6,111,0,0.926937,72.3071,0.0423971,0.271407,299790,0.723071,0.0423971,0.22901,4.15e-05,7.93754e-05,0.409905,0.0613563,0.548278,1092.11,0.723071,0.0423971,0.22901,7.93754e-05,0.409905,1092.11,1,0.291868,0,1,21629.2,3.35322,0.0349207,301.668,1.74692,0.0221666,0.0975503,0.0062182,-0.000113438
2.18536,0.946239,0.0241922,2,7,0,-0.930346,72.3707,0.0425828,0.272363,299790,0.723707,0.0425828,0.22978,4.15e-05,7.9236e-05,0.409557,0.0610712,0.54815,1091.97,0.723707,0.0425828,0.22978,7.9236e-05,0.409557,1091.97,1,0.293068,0,1,21649.2,3.34848,0.0348882,301.522,1.74752,0.0223028,-0.0478521,0.00681977,2.28236e-05
4.04368,0.559184,0.0241922,6,95,0,3.52755,73.5099,0.0412001,0.258333,299790,0.735099,0.0412001,0.217133,4.15e-05,7.67992e-05,0.414651,0.0611536,0.548187,1091.77,0.735099,0.0412001,0.217133,7.67992e-05,0.414651,1091.77,1,0.275578,0,1,21133.3,3.42113,0.0356375,301.586,1.73884,0.0222633,0.0164081,-0.00186209,-1.67001e-05
4.05626,0.971564,0.0241922,4,15,0,-3.10347,73.4917,0.0412474,0.259011,299790,0.734917,0.0412474,0.217764,4.15e-05,7.68372e-05,0.414406,0.0611233,0.548174,1091.77,0.734917,0.0412474,0.217764,7.68372e-05,0.414406,1091.77,1,0.276417,0,1,21155.6,3.41751,0.0356078,301.519,1.73928,0.0222778,-0.0506081,-0.00142122,-2.17388e-06
4.09251,0.988726,0.0241922,6,95,0,-3.5757,73.2059,0.0415266,0.2616,299790,0.732059,0.0415266,0.220073,4.15e-05,7.74383e-05,0.41347,0.0611719,0.548196,1091.83,0.732059,0.0415266,0.220073,7.74383e-05,0.41347,1091.83,1,0.279625,0,1,21257.4,3.40373,0.0354528,301.616,1.7409,0.0222546,0.0463734,0.000201889,-2.54355e-05
2.62427,0.789726,0.0241922,4,23,0,-1.99305,73.1006,0.0418518,0.262953,299790,0.731006,0.0418518,0.221101,4.15e-05,7.76617e-05,0.41298,0.0609435,0.548092,1091.7,0.731006,0.0418518,0.221101,7.76617e-05,0.41298,1091.7,1,0.281306,0,1,21302.2,3.39662,0.035368,301.707,1.74175,0.0223643,0.137239,0.00104817,8.43141e-05
2.58969,0.996873,0.0241922,6,127,0,-0.214107,72.6224,0.0418932,0.268206,299790,0.726224,0.0418932,0.226312,4.15e-05,7.86877e-05,0.411072,0.0615081,0.548346,1092.17,0.726224,0.0418932,0.226312,7.86877e-05,0.411072,1092.17,1,0.287856,0,1,21511.7,3.36946,0.0351099,301.495,1.74499,0.0220945,-0.0749541,0.00429235,-0.000185472
3.88119,0.955892,0.0241922,2,3,0,-2.37056,72.6107,0.0420993,0.268268,299790,0.726107,0.0420993,0.226169,4.15e-05,7.87131e-05,0.411049,0.0612943,0.54825,1092.02,0.726107,0.0420993,0.226169,7.87131e-05,0.411049,1092.02,1,0.287935,0,1,21509.6,3.36912,0.0350928,301.612,1.74503,0.0221961,0.0423876,0.00432564,-8.39371e-05
2.86703,0.648543,0.0241922,6,87,0,0.43497,73.0329,0.0415577,0.262563,299790,0.730329,0.0415577,0.221006,4.15e-05,7.78056e-05,0.413121,0.0613574,0.548279,1091.95,0.730329,0.0415577,0.221006,7.78056e-05,0.413121,1091.95,1,0.280822,0,1,21302.9,3.39863,0.0353892,301.705,1.74149,0.0221661,0.13489,0.000788344,-0.000113942
