# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb4_4_model
# start_datetime = 2023-07-27 08:25:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = Model3/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpi41g4h3w/qahj9hqm.json
# random
#   seed = 43854
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/cmb/cmb4_4-20230727092527_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,c,h,Omega_b,Omega_c,wr,Omega_r,lambda,g1,g2,zstar,faketheta.1,faketheta.2,faketheta.3,faketheta.4,faketheta.5,faketheta.6,y1,dy1,y2,dy2,S.1.1,S.1.2,sol,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.022215
# Diagonal elements of inverse mass matrix:
# 0.000104263, 2.47821e-05, 7.31515e-05
-0.278947,0.947131,0.022215,3,7,0,1.16772,73.656,0.0407166,0.254854,299790,0.73656,0.0407166,0.214137,4.15e-05,7.64948e-05,0.415906,0.0615186,0.54835,1091.9,0.73656,0.0407166,0.214137,7.64948e-05,0.415906,1091.9,1,0.271284,0,1,21019.5,3.43991,0.0358162,301.729,1.73657,0.0220896,0.158583,-0.00412981,-0.000190431
1.23045,1,0.022215,2,3,0,0.353249,73.6939,0.0405932,0.255238,299790,0.736939,0.0405932,0.214645,4.15e-05,7.64162e-05,0.415767,0.0616124,0.548392,1092,0.736939,0.0405932,0.214645,7.64162e-05,0.415767,1092,1,0.271758,0,1,21031.8,3.43784,0.0358172,301.54,1.73684,0.0220453,-0.0304908,-0.0038628,-0.000234706
3.61816,1,0.022215,4,15,0,-0.985642,73.7256,0.041303,0.257178,299790,0.737256,0.041303,0.215875,4.15e-05,7.63503e-05,0.415068,0.0607662,0.548011,1091.51,0.737256,0.041303,0.215875,7.63503e-05,0.415068,1091.51,1,0.27415,0,1,21074.5,3.42738,0.0357067,301.552,1.73812,0.0224501,-0.0175136,-0.00258077,0.00017011
3.17712,0.983271,0.022215,2,3,0,-3.06668,73.7479,0.0412668,0.257414,299790,0.737479,0.0412668,0.216148,4.15e-05,7.63043e-05,0.414983,0.0607789,0.548017,1091.54,0.737479,0.0412668,0.216148,7.63043e-05,0.414983,1091.54,1,0.274442,0,1,21081.1,3.42613,0.0357045,301.461,1.73828,0.022444,-0.109164,-0.00241943,0.00016397
0.895007,0.850836,0.022215,5,47,0,3.24376,74.3472,0.0409173,0.252105,299790,0.743472,0.0409173,0.211188,4.15e-05,7.50791e-05,0.416895,0.0604243,0.547853,1091.24,0.743472,0.0409173,0.211188,7.50791e-05,0.416895,1091.24,1,0.267902,0,1,20865.2,3.4552,0.0360155,301.394,1.73486,0.0226171,-0.176322,-0.00583928,0.000337065
2.11076,0.961013,0.022215,3,15,0,-0.213465,74.3443,0.0408857,0.251437,299790,0.743443,0.0408857,0.210551,4.15e-05,7.50849e-05,0.417135,0.0604635,0.547871,1091.23,0.743443,0.0408857,0.210551,7.50849e-05,0.417135,1091.23,1,0.267083,0,1,20844.3,3.45889,0.0360413,301.499,1.73441,0.0225978,-0.0712297,-0.00629224,0.000317844
2.97478,0.978931,0.022215,3,7,0,-1.76643,74.3042,0.0407216,0.251416,299790,0.743042,0.0407216,0.210694,4.15e-05,7.51659e-05,0.417143,0.0606988,0.54798,1091.38,0.743042,0.0407216,0.210694,7.51659e-05,0.417143,1091.38,1,0.267056,0,1,20851,3.459,0.0360468,301.463,1.73439,0.0224829,-0.107114,-0.00631196,0.000202895
3.17175,0.999593,0.022215,4,15,0,-2.73837,74.3077,0.0406568,0.251116,299790,0.743077,0.0406568,0.21046,4.15e-05,7.51589e-05,0.41725,0.0607681,0.548012,1091.42,0.743077,0.0406568,0.21046,7.51589e-05,0.41725,1091.42,1,0.266689,0,1,20842.5,3.46065,0.0360626,301.475,1.73419,0.0224492,-0.0951064,-0.00651338,0.000169172
3.04874,0.962674,0.022215,4,15,0,-2.10639,74.3569,0.0406105,0.250186,299790,0.743569,0.0406105,0.209575,4.15e-05,7.50596e-05,0.417585,0.0607596,0.548008,1091.38,0.743569,0.0406105,0.209575,7.50596e-05,0.417585,1091.38,1,0.265549,0,1,20808.9,3.46584,0.0361077,301.55,1.73356,0.0224533,-0.0204884,-0.00713656,0.000173335
