# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb4_4_model
# start_datetime = 2023-07-27 08:25:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = Model3/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpi41g4h3w/qahj9hqm.json
# random
#   seed = 43854
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/cmb/cmb4_4-20230727092527_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,c,h,Omega_b,Omega_c,wr,Omega_r,lambda,g1,g2,zstar,faketheta.1,faketheta.2,faketheta.3,faketheta.4,faketheta.5,faketheta.6,y1,dy1,y2,dy2,S.1.1,S.1.2,sol,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0209741
# Diagonal elements of inverse mass matrix:
# 0.000121075, 2.48121e-05, 8.03846e-05
2.91564,0.998591,0.0209741,3,7,0,-2.31288,72.9413,0.0414504,0.263811,299790,0.729413,0.0414504,0.222361,4.15e-05,7.80011e-05,0.412668,0.0615951,0.548384,1092.14,0.729413,0.0414504,0.222361,7.80011e-05,0.412668,1092.14,1,0.282374,0,1,21353.7,3.39211,0.0353385,301.558,1.74227,0.0220534,-0.0118012,0.00157454,-0.000226585
3.68354,0.953659,0.0209741,2,3,0,-2.36053,72.9663,0.0416897,0.263769,299790,0.729663,0.0416897,0.22208,4.15e-05,7.79477e-05,0.412683,0.0612945,0.548251,1091.94,0.729663,0.0416897,0.22208,7.79477e-05,0.412683,1091.94,1,0.282322,0,1,21344.3,3.39233,0.0353286,301.662,1.74225,0.022196,0.09219,0.00154829,-8.40319e-05
3.60273,0.988721,0.0209741,4,31,0,-0.40996,72.8711,0.0420785,0.266356,299790,0.728711,0.0420785,0.224278,4.15e-05,7.81514e-05,0.411744,0.0609845,0.548111,1091.81,0.728711,0.0420785,0.224278,7.81514e-05,0.411744,1091.81,1,0.285545,0,1,21426,3.37896,0.0352006,301.566,1.74387,0.0223445,-0.00397884,0.00317227,6.45448e-05
3.05165,0.99362,0.0209741,4,31,0,-2.56631,72.9097,0.0421444,0.266336,299790,0.729097,0.0421444,0.224191,4.15e-05,7.80687e-05,0.411752,0.0608629,0.548055,1091.74,0.729097,0.0421444,0.224191,7.80687e-05,0.411752,1091.74,1,0.285519,0,1,21420.3,3.37908,0.0352034,301.553,1.74387,0.0224032,-0.0170417,0.00316589,0.000123232
3.2658,0.973953,0.0209741,3,15,0,-1.74234,72.7788,0.0418082,0.26551,299790,0.727788,0.0418082,0.223702,4.15e-05,7.83498e-05,0.412052,0.0614021,0.548299,1092.03,0.727788,0.0418082,0.223702,7.83498e-05,0.412052,1092.03,1,0.284491,0,1,21413.8,3.38327,0.0352312,301.688,1.74332,0.0221448,0.118161,0.00262027,-0.0001352
2.76177,0.994156,0.0209741,5,63,0,-1.84826,72.7409,0.0422112,0.268232,299790,0.727409,0.0422112,0.226021,4.15e-05,7.84315e-05,0.411062,0.0610044,0.54812,1091.87,0.727409,0.0422112,0.226021,7.84315e-05,0.411062,1091.87,1,0.287889,0,1,21494.1,3.36936,0.0351082,301.501,1.74503,0.022335,-0.0691449,0.00432772,5.49546e-05
2.34057,0.958189,0.0209741,2,3,0,-1.91642,72.7424,0.0422503,0.268434,299790,0.727424,0.0422503,0.226184,4.15e-05,7.84284e-05,0.410989,0.0609596,0.5481,1091.84,0.727424,0.0422503,0.226184,7.84284e-05,0.410989,1091.84,1,0.288141,0,1,21499.4,3.36833,0.0350992,301.486,1.74515,0.0223565,-0.0835874,0.00445434,7.6536e-05
2.97583,1,0.0209741,2,3,0,-2.33886,72.732,0.0423113,0.26815,299790,0.72732,0.0423113,0.225838,4.15e-05,7.84507e-05,0.411092,0.060906,0.548075,1091.79,0.72732,0.0423113,0.225838,7.84507e-05,0.411092,1091.79,1,0.287786,0,1,21489.8,3.36977,0.0351031,301.581,1.74497,0.0223824,0.0113761,0.00427215,0.000102441
2.93634,0.927429,0.0209741,6,71,0,-1.75419,73.0598,0.0418393,0.26467,299790,0.730598,0.0418393,0.222831,4.15e-05,7.77484e-05,0.412357,0.0610091,0.548122,1091.81,0.730598,0.0418393,0.222831,7.77484e-05,0.412357,1091.81,1,0.283443,0,1,21361.2,3.3877,0.0353038,301.463,1.74284,0.0223327,-0.106868,0.00214194,5.27083e-05
4.12299,0.868179,0.0209741,4,15,0,-0.273021,73.1029,0.0416315,0.263177,299790,0.731029,0.0416315,0.221545,4.15e-05,7.76568e-05,0.412898,0.0611856,0.548202,1091.88,0.731029,0.0416315,0.221545,7.76568e-05,0.412898,1091.88,1,0.281584,0,1,21314.6,3.39546,0.0353751,301.545,1.7419,0.022248,-0.0254978,0.00119685,-3.19962e-05
