# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-26 21:05:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model4/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp8zh8u9ta/ilhn2vsg.json
# random
#   seed = 19381
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output4/bao/bao-20230726220534.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,lambda,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.197124
# Diagonal elements of inverse mass matrix:
# 12.6088, 0.00191285, 0.114759
-2.4361,0.979783,0.197124,4,15,0,3.41484,67.3059,0.325047,0.450844,67.3059,0.325047,0.450844,1285.37,1680.44,2061.46,2142.99,2471.04,3816.22,150,299790
-1.80698,0.992109,0.197124,3,11,0,2.86839,69.0531,0.303058,0.181082,69.0531,0.303058,0.181082,1272.65,1672.97,2062.35,2146.05,2483.94,3882.44,150,299790
-2.00949,0.996378,0.197124,4,31,0,2.38447,72.7037,0.357004,0.180664,72.7037,0.357004,0.180664,1272.48,1663.98,2040.9,2121.43,2444.94,3760.34,150,299790
-3.99993,0.7233,0.197124,2,3,0,4.63435,73.1887,0.343141,0.283618,73.1887,0.343141,0.283618,1256.03,1643.12,2016.31,2096.13,2417.02,3726.79,150,299790
-1.56151,0.988119,0.197124,3,15,0,3.9754,70.626,0.307394,-0.0147692,70.626,0.307394,-0.0147692,1264.79,1662.95,2050.2,2133.42,2469.33,3857.68,150,299790
-2.84271,0.978399,0.197124,3,11,0,3.35186,67.6291,0.25322,-0.0316964,67.6291,0.25322,-0.0316964,1251.26,1654.78,2051.91,2137.86,2486.91,3962.53,150,299790
-2.99471,0.94405,0.197124,4,15,0,3.68833,66.7938,0.273163,-0.158688,66.7938,0.273163,-0.158688,1272.69,1678.56,2075.94,2161.69,2509,3963.85,150,299790
-2.54727,0.80113,0.197124,2,7,0,6.20064,68.8611,0.273586,-0.225195,68.8611,0.273586,-0.225195,1251.4,1649.56,2039.1,2123.12,2463.38,3888.16,150,299790
-3.39723,0.71947,0.197124,3,15,0,8.221,73.7659,0.399524,-0.292602,73.7659,0.399524,-0.292602,1278.7,1664.18,2032.26,2110.55,2423.88,3682.93,150,299790
-3.71729,0.942935,0.197124,3,7,0,4.32817,74.0383,0.414733,-0.228769,74.0383,0.414733,-0.228769,1286.32,1672.94,2041.5,2119.81,2432.97,3687.1,150,299790
-6.22886,0.960018,0.197124,4,15,0,7.13053,69.7192,0.4255,-0.559518,69.7192,0.4255,-0.559518,1302.96,1685.24,2046.97,2123.56,2429.04,3645.72,150,299790
-5.39677,0.88423,0.197124,4,29,0,9.02933,75.0413,0.428339,0.34707,75.0413,0.428339,0.34707,1276.65,1656.51,2017.36,2093.9,2399.55,3619.09,150,299790
-3.98607,0.993516,0.197124,3,7,0,6.5164,74.6548,0.41411,-0.267282,74.6548,0.41411,-0.267282,1278.91,1662.82,2028.69,2106.42,2417.22,3661.92,150,299790
-4.57319,0.873356,0.197124,4,15,0,7.006,65.0522,0.246537,-0.0466169,65.0522,0.246537,-0.0466169,1269.45,1680.08,2084.85,2172.53,2528.94,4040.51,150,299790
-2.58354,0.986487,0.197124,4,31,0,5.2567,68.3989,0.294057,0.0503517,68.3989,0.294057,0.0503517,1275.58,1679.39,2073.18,2157.94,2500.54,3923.66,150,299790
-1.61974,0.89814,0.197124,3,7,0,3.37646,69.5812,0.295661,0.126102,69.5812,0.295661,0.126102,1264.59,1664.19,2053.63,2137.43,2476.04,3881.6,150,299790
-4.18899,0.8297,0.197124,3,15,0,5.59239,66.1571,0.257711,0.47807,66.1571,0.257711,0.47807,1245.05,1638.01,2021.99,2104.81,2440.31,3852.48,150,299790
-2.7977,0.615284,0.197124,4,23,0,6.7704,68.3989,0.260039,-0.0500323,68.3989,0.260039,-0.0500323,1249.81,1651.54,2046.26,2131.6,2477.9,3937.2,150,299790
-2.21639,0.983008,0.197124,2,3,0,2.97045,67.8743,0.267733,-0.0726728,67.8743,0.267733,-0.0726728,1260.48,1664.11,2059.99,2145.49,2492.09,3947.56,150,299790
-2.30268,0.875706,0.197124,4,31,0,4.18693,62.4893,0.260468,-0.649864,62.4893,0.260468,-0.649864,1262.48,1653.74,2033.71,2115.4,2445.64,3829.39,150,299790
-2.02863,0.521753,0.197124,2,5,0,2.95598,61.6326,0.251245,-0.632033,61.6326,0.251245,-0.632033,1265.51,1660.1,2044.33,2127.07,2461.96,3871.8,150,299790
-1.87702,0.99034,0.197124,4,19,0,2.9569,65.0733,0.262915,-0.448067,65.0733,0.262915,-0.448067,1262.45,1660.94,2050.17,2134.09,2473.93,3901.53,150,299790
-4.17061,0.4139,0.197124,4,31,0,6.43089,70.4562,0.360391,0.535798,70.4562,0.360391,0.535798,1268.23,1650.02,2015.17,2092.96,2404.73,3667.82,150,299790
-4.1196,1,0.197124,4,15,0,5.58803,64.9683,0.242891,0.113296,64.9683,0.242891,0.113296,1265.85,1675.64,2079.83,2167.43,2523.61,4036.88,150,299790
-2.03647,0.800207,0.197124,4,15,0,5.941,69.5102,0.307322,0.00596508,69.5102,0.307322,0.00596508,1274.73,1676.04,2066.35,2150.24,2488.81,3888.23,150,299790
-1.60707,1,0.197124,2,3,0,1.96032,70.2461,0.300472,-0.000430728,70.2461,0.300472,-0.000430728,1263.58,1662.55,2051.14,2134.72,2472.31,3871.21,150,299790
-1.50271,0.904421,0.197124,3,11,0,2.8512,69.4135,0.30781,-0.269495,69.4135,0.30781,-0.269495,1268.45,1665.34,2050.65,2133.38,2467.15,3845.76,150,299790
-1.77065,0.971449,0.197124,3,15,0,1.91499,70.3811,0.324892,-0.328745,70.3811,0.324892,-0.328745,1266.96,1659.44,2038.87,2120.15,2447.43,3790.81,150,299790
-2.95797,0.95624,0.197124,5,47,0,3.11015,63.8143,0.276316,-0.660905,63.8143,0.276316,-0.660905,1260.74,1648.32,2023.32,2103.77,2428.36,3778.8,150,299790
-2.51904,0.788248,0.197124,3,9,0,4.24266,64.6157,0.268846,-0.41627,64.6157,0.268846,-0.41627,1274.57,1676.76,2069.4,2154.01,2496.53,3932.05,150,299790
-2.11996,0.942987,0.197124,2,3,0,2.78064,65.4337,0.270807,-0.511042,65.4337,0.270807,-0.511042,1259.1,1653.08,2036.62,2119.16,2452.94,3849.08,150,299790
-2.89542,0.538015,0.197124,4,31,0,5.31911,71.0989,0.360693,-0.199178,71.0989,0.360693,-0.199178,1287.8,1683.21,2063.59,2144.84,2471.06,3796.01,150,299790
-2.32635,0.999769,0.197124,4,15,0,3.09185,72.3274,0.364041,-0.0555167,72.3274,0.364041,-0.0555167,1282.42,1676.79,2056.26,2137.31,2462.75,3783.56,150,299790
-1.86268,0.954835,0.197124,4,17,0,3.29283,69.1622,0.317015,-0.261656,69.1622,0.317015,-0.261656,1277.09,1675.28,2061.18,2143.96,2477.61,3851.27,150,299790
-2.69532,0.915188,0.197124,4,17,0,3.40644,66.6821,0.311936,0.424695,66.6821,0.311936,0.424695,1285.28,1683.2,2068.15,2150.67,2483.15,3853.05,150,299790
-2.04468,0.987629,0.197124,3,15,0,6.71452,67.7451,0.332624,0.505197,67.7451,0.332624,0.505197,1280.51,1671.2,2046.99,2127.29,2450.02,3769.2,150,299790
-2.00579,0.468509,0.197124,2,3,0,4.07668,68.3783,0.335605,0.49019,68.3783,0.335605,0.49019,1277.95,1667.88,2042.88,2123,2444.95,3759.97,150,299790
-1.61768,0.997956,0.197124,4,31,0,2.76081,69.8965,0.32755,-0.332988,69.8965,0.32755,-0.332988,1272.61,1666.32,2046.72,2128.18,2456.11,3800.91,150,299790
-2.47291,0.894241,0.197124,4,23,0,4.27738,71.8589,0.370952,-0.339719,71.8589,0.370952,-0.339719,1278.65,1667.37,2040.01,2119.46,2438.05,3727.46,150,299790
-3.20044,0.884163,0.197124,4,31,0,4.53821,66.3626,0.243717,0.247883,66.3626,0.243717,0.247883,1248.35,1650.65,2046.85,2132.65,2481.36,3961.73,150,299790
-2.99465,0.942598,0.197124,4,31,0,3.68852,73.6427,0.393879,0.0385821,73.6427,0.393879,0.0385821,1285.65,1676.57,2050.85,2130.57,2449.9,3735.71,150,299790
-3.64379,0.990444,0.197124,3,7,0,4.1699,74.5158,0.415574,-0.0978919,74.5158,0.415574,-0.0978919,1286.88,1674.8,2044.9,2123.57,2438.19,3698.38,150,299790
-1.57228,0.982509,0.197124,4,15,0,5.02259,67.7236,0.2889,-0.351724,67.7236,0.2889,-0.351724,1265.57,1663.1,2050.02,2133.24,2469.5,3867.82,150,299790
-1.67284,0.667778,0.197124,4,15,0,4.71003,66.7339,0.293701,-0.486599,66.7339,0.293701,-0.486599,1266.5,1659.74,2040.98,2122.83,2453.03,3821.86,150,299790
-1.88407,0.962611,0.197124,4,31,0,2.99463,72.3477,0.330154,-0.0707049,72.3477,0.330154,-0.0707049,1263.4,1657.19,2038.43,2120.14,2449.23,3798.69,150,299790
-1.67403,0.999952,0.197124,3,15,0,2.40395,69.581,0.294853,-0.0244816,69.581,0.294853,-0.0244816,1265.61,1666.18,2056.77,2140.83,2480.6,3891.52,150,299790
-2.24745,0.798912,0.197124,3,15,0,4.9578,69.1982,0.281378,0.227718,69.1982,0.281378,0.227718,1254.12,1651.73,2040.05,2123.72,2462.27,3875.23,150,299790
-4.3668,0.968152,0.197124,4,15,0,5.15145,63.6034,0.230904,0.233411,63.6034,0.230904,0.233411,1263.4,1673.28,2078.3,2166.19,2524.01,4053.26,150,299790
-5.18378,1,0.197124,3,7,0,5.45554,63.9957,0.211539,0.1474,63.9957,0.211539,0.1474,1243.24,1651.58,2057.48,2145.87,2506.84,4067.04,150,299790
