# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-26 21:05:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model4/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp8zh8u9ta/ilhn2vsg.json
# random
#   seed = 19381
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output4/bao/bao-20230726220534.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,lambda,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.116933
# Diagonal elements of inverse mass matrix:
# 25.527, 0.00242512, 0.17846
-2.49367,0.826141,0.116933,3,15,0,4.28416,61.7289,0.292722,0.736094,61.7289,0.292722,0.736094,1282.98,1671.11,2044.28,2124.06,2445.06,3768.82,150,299790
-2.09853,0.635074,0.116933,4,31,0,4.76072,63.581,0.294266,0.672339,63.581,0.294266,0.672339,1274.87,1663.35,2037.72,2117.85,2440.5,3772.89,150,299790
-4.12281,0.415044,0.116933,1,1,0,4.16923,63.8728,0.29108,0.724674,63.8728,0.29108,0.724674,1262.1,1644.73,2012.92,2091.67,2408.62,3717.03,150,299790
-2.28347,1,0.116933,1,1,0,3.43526,63.7198,0.293841,0.680294,63.7198,0.293841,0.680294,1272.07,1659.4,2032.59,2112.45,2434.02,3761.87,150,299790
-2.07792,0.939486,0.116933,2,7,0,3.44219,64.0302,0.283296,0.543739,64.0302,0.283296,0.543739,1278.7,1675.49,2060.38,2143.05,2476.77,3864.72,150,299790
-1.99976,0.955495,0.116933,4,27,0,4.40947,69.6419,0.336941,0.329118,69.6419,0.336941,0.329118,1280.73,1675.53,2056.34,2137.82,2465.5,3805.23,150,299790
-1.89772,0.993261,0.116933,5,31,0,2.89273,69.6659,0.324019,-0.401443,69.6659,0.324019,-0.401443,1267.39,1658.44,2036.06,2116.91,2442.37,3777.98,150,299790
