# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-26 21:05:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model4/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp8zh8u9ta/ilhn2vsg.json
# random
#   seed = 19381
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output4/bao/bao-20230726220534.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,lambda,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.148855
# Diagonal elements of inverse mass matrix:
# 20.0581, 0.00209817, 0.142782
-2.1749,0.981308,0.148855,4,23,0,3.0179,68.6084,0.271266,-0.120636,68.6084,0.271266,-0.120636,1255.61,1656.74,2049.74,2134.57,2478.3,3919.37,150,299790
-2.61945,0.980961,0.148855,3,15,0,5.61296,69.4576,0.275642,0.148429,69.4576,0.275642,0.148429,1250.59,1649.08,2039.05,2123.17,2463.81,3889.25,150,299790
-2.62344,0.989737,0.148855,4,31,0,3.18859,65.4029,0.317631,0.559842,65.4029,0.317631,0.559842,1287.42,1680.67,2059.39,2140.39,2466.22,3803.66,150,299790
-1.6219,0.958082,0.148855,3,15,0,3.34048,69.2903,0.297102,0.161541,69.2903,0.297102,0.161541,1267.15,1666.98,2056.42,2140.2,2478.64,3882.62,150,299790
-1.93509,0.918281,0.148855,4,31,0,3.18724,68.0835,0.279789,0.317749,68.0835,0.279789,0.317749,1257.94,1655.41,2043.24,2126.77,2464.7,3875.43,150,299790
-1.71069,0.964212,0.148855,3,15,0,2.2253,67.1339,0.280418,0.386341,67.1339,0.280418,0.386341,1262.15,1659.21,2046.11,2129.4,2466.14,3870.91,150,299790
-2.04079,0.982152,0.148855,4,19,0,2.45814,63.3902,0.257852,0.569663,63.3902,0.257852,0.569663,1261.6,1656.43,2041.18,2124.05,2459.47,3869.13,150,299790
-1.74721,0.945189,0.148855,4,31,0,3.15932,67.2914,0.280756,0.381484,67.2914,0.280756,0.381484,1261.33,1658.2,2044.93,2128.17,2464.76,3868.74,150,299790
-2.55713,0.996311,0.148855,4,15,0,3.25364,70.4204,0.365754,0.433386,70.4204,0.365754,0.433386,1281.41,1669.49,2041.22,2120.46,2438.15,3724.85,150,299790
-3.47273,0.966568,0.148855,4,31,0,3.96794,65.6738,0.240255,0.0597366,65.6738,0.240255,0.0597366,1257.7,1665.68,2068.45,2155.78,2511.04,4022.49,150,299790
-1.87642,0.871838,0.148855,4,15,0,4.84586,69.7169,0.322773,-0.392023,69.7169,0.322773,-0.392023,1266.93,1658.28,2036.34,2117.31,2443.28,3781.66,150,299790
-2.26443,0.767915,0.148855,2,3,0,3.62489,69.6593,0.333911,-0.268079,69.6593,0.333911,-0.268079,1282.54,1679.55,2063.04,2145.15,2475.54,3828.1,150,299790
-2.01729,0.995509,0.148855,4,19,0,2.78903,67.9038,0.297326,0.2729,67.9038,0.297326,0.2729,1274.96,1675.62,2065.4,2149.19,2487.6,3890.84,150,299790
-2.29139,0.95875,0.148855,4,19,0,2.67211,72.1278,0.319172,0.117362,72.1278,0.319172,0.117362,1257.79,1651.36,2033.1,2115.02,2445.24,3804.32,150,299790
-2.06592,0.996952,0.148855,3,15,0,4.32699,72.7007,0.333398,-0.0639135,72.7007,0.333398,-0.0639135,1262.35,1655.32,2035.54,2117.01,2445,3788.57,150,299790
-2.37699,0.991046,0.148855,3,11,0,2.85642,71.9719,0.358856,0.00343478,71.9719,0.358856,0.00343478,1283.14,1678.64,2059.57,2140.97,2467.98,3797.18,150,299790
-2.05194,0.883546,0.148855,1,3,0,4.01151,73.3592,0.354466,0.00694032,73.3592,0.354466,0.00694032,1268.81,1660.57,2038.19,2118.92,2443.36,3763.79,150,299790
-1.81675,0.981093,0.148855,5,31,0,2.7701,68.2862,0.318216,-0.377097,68.2862,0.318216,-0.377097,1278.27,1674.24,2057.2,2139.27,2469.85,3829.43,150,299790
-1.76715,0.768014,0.148855,3,11,0,4.46249,70.6121,0.326273,0.108917,70.6121,0.326273,0.108917,1275.58,1673.59,2059.14,2141.8,2474.83,3842.17,150,299790
-5.01271,0.747899,0.148855,2,7,0,5.86901,69.8233,0.347342,0.0737299,69.8233,0.347342,0.0737299,1295.61,1696.61,2083.59,2166.38,2499.28,3857,150,299790
-2.16671,1,0.148855,2,3,0,5.18294,71.2177,0.346788,0.13657,71.2177,0.346788,0.13657,1281.38,1677.65,2059.99,2141.79,2470.66,3812.07,150,299790
-2.29299,0.997439,0.148855,4,31,0,3.68391,71.6209,0.357048,0.15955,71.6209,0.357048,0.15955,1282.69,1677.54,2057.74,2138.99,2465.36,3792.43,150,299790
-2.02344,0.984683,0.148855,4,23,0,3.97941,71.9636,0.328978,0.194556,71.9636,0.328978,0.194556,1262.69,1655.41,2035.42,2116.85,2444.76,3789.65,150,299790
-2.51145,0.998888,0.148855,4,15,0,2.98772,71.55,0.371889,-0.342212,71.55,0.371889,-0.342212,1281.67,1671.11,2044.37,2123.95,2443.01,3733.97,150,299790
-2.62629,0.992667,0.148855,3,7,0,2.73321,71.2808,0.372355,-0.391636,71.2808,0.372355,-0.391636,1280.61,1668.54,2040.02,2119.17,2436.48,3719.72,150,299790
-2.53713,0.999743,0.148855,5,31,0,2.94675,72.2698,0.376465,-0.294997,72.2698,0.376465,-0.294997,1280.67,1670.05,2043.22,2122.77,2441.66,3730.69,150,299790
-2.01538,0.988503,0.148855,3,15,0,6.95226,72.0576,0.319419,-0.0468148,72.0576,0.319419,-0.0468148,1259.72,1654.22,2036.95,2119.09,2450.22,3812.98,150,299790
-1.81835,0.981511,0.148855,4,31,0,3.02112,69.5606,0.326949,-0.291296,69.5606,0.326949,-0.291296,1277.94,1674.24,2057.42,2139.51,2470.02,3826.03,150,299790
-1.91226,0.980044,0.148855,4,31,0,3.00802,66.9825,0.276781,-0.292477,66.9825,0.276781,-0.292477,1267.42,1668.92,2061.11,2145.63,2487.71,3917.75,150,299790
-2.64163,0.936871,0.148855,4,31,0,3.47979,63.6452,0.278445,-0.664862,63.6452,0.278445,-0.664862,1263.49,1651.39,2026.48,2106.92,2431.39,3779.99,150,299790
-1.72419,0.994769,0.148855,4,23,0,2.95089,68.0097,0.304323,-0.337571,68.0097,0.304323,-0.337571,1274.67,1672.75,2059.08,2142.03,2476.68,3860.22,150,299790
-2.02961,0.896958,0.148855,4,31,0,3.28053,70.6899,0.35181,0.343101,70.6899,0.35181,0.343101,1278.73,1670.29,2046.88,2127.32,2450.39,3765.14,150,299790
-2.46636,0.842005,0.148855,4,15,0,4.6191,69.7173,0.329297,-0.453345,69.7173,0.329297,-0.453345,1265.6,1653.85,2027.98,2108,2429.83,3747.59,150,299790
-3.46937,0.998188,0.148855,4,31,0,4.61884,71.327,0.385599,-0.468809,71.327,0.385599,-0.468809,1279.98,1663.76,2029.9,2107.77,2419.44,3674.49,150,299790
-3.81954,0.999504,0.148855,3,7,0,3.99128,69.8511,0.38852,-0.490967,69.8511,0.38852,-0.490967,1292.48,1678.93,2047.27,2125.57,2438.84,3699.01,150,299790
-3.7269,0.980098,0.148855,2,3,0,3.9373,70.0467,0.387677,-0.532812,70.0467,0.387677,-0.532812,1285.95,1669.25,2034.25,2111.81,2422.04,3669.52,150,299790
-2.82727,0.888945,0.148855,4,15,0,5.42087,74.6975,0.387689,-0.031232,74.6975,0.387689,-0.031232,1273.88,1662.14,2034.25,2113.55,2431.37,3713.08,150,299790
-1.66004,0.989693,0.148855,3,15,0,6.00547,68.3837,0.301825,-0.398254,68.3837,0.301825,-0.398254,1264.95,1658.94,2041.07,2123.1,2454,3822.74,150,299790
-1.93555,0.986542,0.148855,4,23,0,2.74231,68.3598,0.275576,-0.159448,68.3598,0.275576,-0.159448,1260.05,1661.45,2054.24,2138.97,2482.06,3917.75,150,299790
-2.21605,0.965891,0.148855,4,19,0,2.60553,72.2968,0.351545,-0.271995,72.2968,0.351545,-0.271995,1268.91,1658.86,2034.31,2114.54,2436.89,3749.3,150,299790
-2.20021,0.929872,0.148855,4,15,0,3.2973,73.6693,0.361683,-0.0378976,73.6693,0.361683,-0.0378976,1269.8,1660.71,2037.01,2117.41,2440.27,3751.56,150,299790
-2.18203,0.994633,0.148855,3,7,0,2.38057,73.5472,0.359044,-0.0712895,73.5472,0.359044,-0.0712895,1269.11,1660.1,2036.62,2117.08,2440.28,3753.86,150,299790
-3.06744,0.972615,0.148855,3,11,0,4.6787,74.5456,0.400824,0.09532,74.5456,0.400824,0.09532,1280.31,1668.36,2039.44,2118.42,2434.61,3705.55,150,299790
-3.347,0.975406,0.148855,5,31,0,5.45252,73.1535,0.401205,0.303832,73.1535,0.401205,0.303832,1284.05,1670.7,2039.74,2118.22,2432.25,3693.53,150,299790
-3.92641,0.972317,0.148855,2,7,0,4.77064,73.3775,0.408214,0.366461,73.3775,0.408214,0.366461,1281,1664.49,2029.79,2107.39,2417.67,3661.28,150,299790
-2.34269,0.861872,0.148855,4,27,0,5.3429,70.8883,0.339829,-0.385647,70.8883,0.339829,-0.385647,1267.13,1656.01,2030.56,2110.63,2432.5,3746.76,150,299790
-2.1546,0.921457,0.148855,3,7,0,3.08655,69.3838,0.345925,-0.409638,69.3838,0.345925,-0.409638,1282.12,1674.05,2050.93,2131.44,2454.83,3772.56,150,299790
-2.66392,0.399062,0.148855,2,3,0,10.0647,69.0786,0.336563,-0.321327,69.0786,0.336563,-0.321327,1286.17,1682.87,2065.59,2147.48,2476.85,3823.73,150,299790
-1.86204,0.796602,0.148855,3,15,0,5.51319,69.0011,0.310212,-0.405685,69.0011,0.310212,-0.405685,1264.3,1656.52,2036.23,2117.66,2445.84,3799.07,150,299790
-2.35357,0.967078,0.148855,4,23,0,3.37566,62.4634,0.248379,-0.514249,62.4634,0.248379,-0.514249,1268.83,1669.72,2061.89,2146.53,2489.72,3939.85,150,299790
-1.99676,0.98088,0.148855,4,15,0,3.51974,61.9852,0.275905,-0.688883,61.9852,0.275905,-0.688883,1274.65,1665.27,2042.82,2123.78,2450.3,3807.94,150,299790
-1.65917,0.582579,0.148855,4,15,0,3.3169,67.7816,0.283411,-0.305618,67.7816,0.283411,-0.305618,1264.18,1663.22,2052.38,2136.17,2475,3887.52,150,299790
-2.1121,0.947165,0.148855,4,31,0,2.95018,61.5419,0.26734,-0.650785,61.5419,0.26734,-0.650785,1277.64,1672.38,2055.17,2137.4,2469.53,3856.97,150,299790
-1.94825,0.999159,0.148855,4,15,0,2.15611,63.2997,0.254937,-0.528279,63.2997,0.254937,-0.528279,1264.75,1662.67,2051.18,2134.95,2474.25,3903.22,150,299790
-2.19045,0.664871,0.148855,3,9,0,3.79601,61.2885,0.271184,-0.677987,61.2885,0.271184,-0.677987,1279.56,1672.99,2053.78,2135.51,2465.32,3839.78,150,299790
-1.75634,0.901468,0.148855,4,31,0,2.72903,66.8352,0.283816,-0.353546,66.8352,0.283816,-0.353546,1269.98,1669.73,2059.22,2143.05,2481.93,3894.02,150,299790
-1.81494,0.986815,0.148855,4,15,0,2.59904,69.4188,0.329092,-0.326563,69.4188,0.329092,-0.326563,1278.28,1673.64,2055.55,2137.33,2466.49,3815.7,150,299790
-2.19877,0.998763,0.148855,5,31,0,2.59046,73.2071,0.361144,-0.166001,73.2071,0.361144,-0.166001,1270.84,1661.34,2037.08,2117.33,2439.61,3748.47,150,299790
-1.92049,0.967092,0.148855,2,7,0,2.77689,72.8808,0.349754,-0.100977,72.8808,0.349754,-0.100977,1269.35,1661.7,2040.12,2121.06,2446.42,3772.4,150,299790
-2.15107,0.971537,0.148855,4,27,0,3.11697,69.0036,0.343145,0.429846,69.0036,0.343145,0.429846,1282.28,1674.14,2051,2131.51,2454.94,3773.74,150,299790
-4.32853,0.725673,0.148855,4,19,0,6.53031,53.8465,0.184361,0.774866,53.8465,0.184361,0.774866,1255.61,1651.85,2041.31,2125.72,2469.57,3963.76,150,299790
-3.58805,0.970029,0.148855,3,7,0,5.15242,54.0392,0.198632,0.786039,54.0392,0.198632,0.786039,1269.66,1666.99,2055.9,2139.97,2481.68,3952.59,150,299790
-3.76044,0.403098,0.148855,2,7,0,4.88528,53.3536,0.211523,0.914243,53.3536,0.211523,0.914243,1269.31,1656.02,2030.52,2111,2436.55,3816.69,150,299790
-3.50974,0.207056,0.148855,2,7,0,5.71152,53.9072,0.201968,0.846414,53.9072,0.201968,0.846414,1264.58,1656,2037.5,2119.79,2453.61,3882.9,150,299790
-4.00047,0.234564,0.148855,3,11,0,4.78384,53.9083,0.194448,0.82874,53.9083,0.194448,0.82874,1258.57,1650.6,2033.78,2116.56,2452.89,3900.9,150,299790
-4.00047,0.0305805,0.148855,3,7,0,5.22101,53.9083,0.194448,0.82874,53.9083,0.194448,0.82874,1258.57,1650.6,2033.78,2116.56,2452.89,3900.9,150,299790
-2.53961,0.816619,0.148855,3,11,0,4.45876,57.8672,0.22843,0.743741,57.8672,0.22843,0.743741,1266.96,1660.48,2043.8,2126.41,2461.09,3880.83,150,299790
-4.81363,0.32742,0.148855,3,15,0,6.89852,57.1034,0.20052,0.725945,57.1034,0.20052,0.725945,1247.44,1640.85,2026.94,2110.51,2450.5,3916.42,150,299790
-6.25178,0.511268,0.148855,1,3,0,8.11233,56.9638,0.191463,0.709653,56.9638,0.191463,0.709653,1240.44,1634.2,2021.81,2105.87,2448.38,3934.42,150,299790
-5.04468,0.738631,0.148855,4,15,0,5.86478,55.4208,0.189954,0.641164,55.4208,0.189954,0.641164,1265.4,1670.89,2071.46,2158.48,2513.58,4059.52,150,299790
-5.04468,0.72256,0.148855,1,3,0,6.18212,55.4208,0.189954,0.641164,55.4208,0.189954,0.641164,1265.4,1670.89,2071.46,2158.48,2513.58,4059.52,150,299790
-1.79552,0.4445,0.148855,4,27,0,9.26197,67.5138,0.311856,0.418447,67.5138,0.311856,0.418447,1277.95,1673.78,2056.77,2138.87,2469.7,3832.9,150,299790
-1.99231,0.928201,0.148855,3,15,0,2.6549,65.9142,0.290121,0.433793,65.9142,0.290121,0.433793,1276.73,1675.39,2062.66,2145.88,2481.92,3877.69,150,299790
-2.85953,0.956066,0.148855,4,31,0,4.4076,71.4632,0.358163,0.412523,71.4632,0.358163,0.412523,1269.98,1656.27,2026.92,2106,2423.3,3711.48,150,299790
-3.32228,0.920149,0.148855,4,31,0,5.18003,69.8846,0.278042,0.199999,69.8846,0.278042,0.199999,1246.78,1643.03,2030.43,2113.96,2452.05,3865.19,150,299790
-2.92066,0.936254,0.148855,4,19,0,4.60622,68.3438,0.29843,-0.0764102,68.3438,0.29843,-0.0764102,1278.79,1682.73,2076.26,2160.92,2502.94,3921.21,150,299790
-3.82404,0.962838,0.148855,4,27,0,4.54568,65.2484,0.270254,-0.294148,65.2484,0.270254,-0.294148,1278.68,1684.9,2082.26,2167.97,2515.1,3970.32,150,299790
-2.0919,1,0.148855,4,31,0,5.44014,72.5059,0.359738,0.229247,72.5059,0.359738,0.229247,1273.62,1664.42,2040.33,2120.61,2442.98,3752.53,150,299790
-1.91952,0.898151,0.148855,3,7,0,3.22253,72.448,0.355909,0.0935888,72.448,0.355909,0.0935888,1276.54,1670.19,2049.46,2130.52,2456.24,3781.27,150,299790
-1.71742,0.999855,0.148855,4,15,0,2.12653,71.9155,0.337776,0.171057,71.9155,0.337776,0.171057,1269.09,1662.67,2042.94,2124.36,2451.97,3791.89,150,299790
-3.01546,0.981659,0.148855,4,15,0,3.68703,68.7374,0.365466,0.542901,68.7374,0.365466,0.542901,1285.67,1671.72,2040.57,2119.1,2433.7,3706.25,150,299790
-3.18204,0.78905,0.148855,4,15,0,4.45648,68.9537,0.334071,0.542039,68.9537,0.334071,0.542039,1266.32,1651.23,2020.99,2099.95,2417.16,3712.51,150,299790
-2.40739,0.992095,0.148855,4,17,0,4.18859,66.2645,0.274609,0.489621,66.2645,0.274609,0.489621,1256.46,1649.7,2032.42,2114.77,2447.69,3838.42,150,299790
-1.90762,0.999539,0.148855,5,31,0,2.47744,69.1831,0.331782,-0.446873,69.1831,0.331782,-0.446873,1272.49,1662.65,2038.5,2118.88,2442.07,3764.42,150,299790
-2.75057,0.992728,0.148855,4,15,0,2.99265,70.6809,0.366443,-0.454451,70.6809,0.366443,-0.454451,1277.54,1663.76,2033.51,2112.3,2428.15,3706.85,150,299790
-2.56175,0.994411,0.148855,2,3,0,2.83319,70.773,0.367993,-0.414005,70.773,0.367993,-0.414005,1281.08,1669.24,2041.05,2120.3,2438.03,3724.3,150,299790
-1.7442,0.986031,0.148855,5,31,0,3.311,65.8641,0.29545,0.549268,65.8641,0.29545,0.549268,1269.22,1660.84,2039.73,2120.98,2448.57,3804.36,150,299790
-3.46281,0.758623,0.148855,4,27,0,4.04565,71.2858,0.374396,-0.232421,71.2858,0.374396,-0.232421,1291.69,1685.75,2063.82,2144.45,2467.82,3776.02,150,299790
-1.8351,0.983633,0.148855,4,19,0,4.47113,66.058,0.278904,0.485425,66.058,0.278904,0.485425,1262.11,1656.52,2040.07,2122.56,2455.9,3845.94,150,299790
-4.77683,0.571697,0.148855,2,3,0,5.83211,64.4379,0.279775,0.388055,64.4379,0.279775,0.388055,1287.28,1692.31,2087.03,2172,2515.58,3949.25,150,299790
-3.30872,1,0.148855,1,1,0,4.64337,64.7271,0.278575,0.41022,64.7271,0.278575,0.41022,1281.66,1684.53,2077.06,2161.55,2503.2,3929.25,150,299790
-4.34722,0.917409,0.148855,2,3,0,7.46512,62.9101,0.274802,0.50228,62.9101,0.274802,0.50228,1287.88,1690.47,2082.16,2166.42,2507.03,3929.5,150,299790
-2.03142,0.984454,0.148855,2,7,0,3.60527,63.3386,0.275423,0.565051,63.3386,0.275423,0.565051,1277,1673.79,2059.06,2141.86,2476.33,3871.42,150,299790
-2.16684,0.896884,0.148855,4,19,0,2.99178,59.9373,0.252951,0.725421,59.9373,0.252951,0.725421,1271.09,1662.62,2042.28,2123.86,2453.53,3836.41,150,299790
-2.70883,0.793582,0.148855,2,5,0,2.89025,59.2502,0.260188,0.735199,59.2502,0.260188,0.735199,1283.16,1676.68,2057.51,2139.25,2469.25,3848.47,150,299790
-2.50498,0.992829,0.148855,4,15,0,2.73971,60.6295,0.238899,0.591225,60.6295,0.238899,0.591225,1269.73,1669.6,2060.64,2145.05,2487.4,3938.67,150,299790
-1.77927,0.999605,0.148855,4,15,0,2.48025,64.3453,0.29205,0.601834,64.3453,0.29205,0.601834,1275.12,1667.09,2045.94,2127.15,2454.49,3809.74,150,299790
-1.86113,0.988635,0.148855,3,15,0,3.27032,65.3849,0.264563,0.428393,65.3849,0.264563,0.428393,1262.63,1661.46,2051.08,2135.08,2475.25,3903.46,150,299790
-2.43645,0.850733,0.148855,4,19,0,2.91471,67.4413,0.273096,0.3856,67.4413,0.273096,0.3856,1253.8,1649.53,2035.75,2118.96,2455.7,3864.8,150,299790
-2.88092,0.787546,0.148855,2,5,0,4.97089,65.2456,0.25751,0.2881,65.2456,0.25751,0.2881,1268.62,1674.1,2071.91,2157.87,2506.55,3976.71,150,299790
-2.97788,0.977713,0.148855,4,15,0,5.23397,67.4322,0.346349,0.516913,67.4322,0.346349,0.516913,1290.23,1681.38,2056.57,2136.62,2457.92,3765.39,150,299790
-1.63609,0.984033,0.148855,4,15,0,3.50233,71.7963,0.324826,-0.00245561,71.7963,0.324826,-0.00245561,1265.5,1660.98,2044.28,2126.5,2457.75,3818.57,150,299790
-1.6676,0.997397,0.148855,5,47,0,1.94162,68.7694,0.321696,0.423839,68.7694,0.321696,0.423839,1272.17,1664.47,2043.29,2124.41,2450.93,3791.73,150,299790
-2.04546,0.847271,0.148855,4,15,0,3.63877,72.7015,0.361617,0.00273477,72.7015,0.361617,0.00273477,1278.22,1671.77,2050.64,2131.58,2456.66,3776.95,150,299790
