# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = together_model
# start_datetime = 2023-07-20 13:49:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/3together.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpnw0av1uc/ms19231p.json
# random
#   seed = 84814
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/together/together-20230720144903.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.237581
# Diagonal elements of inverse mass matrix:
# 0.000173574, 1.78519, 2.93467e-05
-58.9961,0.87211,0.237581,1,3,0,59.184,0.285551,68.8517,0.000222295,68.8517,0.285551,0.000222295,3.2621e+07,1.37042e+06,57571.6,23.8157,23.7563,23.7819,23.781,23.7823,23.7729,23.7432,23.7753,23.7715,23.8787,23.8138,23.8776,23.8538,23.797,23.8237,23.8783,23.8038,23.7479,23.8213,23.8193,23.8031,23.8087,23.7984,23.7979,23.767,23.7991,23.8356,23.808,23.8028,23.8142,23.8042,23.8248,23.7987,23.8241,23.7824,23.7748,23.8162,23.8173,23.7791,23.6808,71.0332,71.6983,72.7305,74.5426,74.8808,75.6456,75.6844,78.5054,78.926,82.0831,83.3706,84.3104,84.3293,85.5084,86.4853,87.7293,88.1479,88.2339,94.2084,99.1369,103.3,105.198,111.152,111.477,112.784,122.077,141.464,146.391,151.745,159.95,178.868,198.46,1265.37,1667.32,2059.85,2144.41,2486.34,3905.38,150,299790
-58.0951,0.966873,0.237581,3,15,0,60.6235,0.270342,68.1362,0.00397534,68.1362,0.270342,0.00397534,3.26181e+07,1.37035e+06,57571.6,23.8156,23.7561,23.7816,23.7806,23.7818,23.7723,23.7425,23.7745,23.7707,23.8778,23.8128,23.8765,23.8526,23.7957,23.8223,23.8769,23.8022,23.7462,23.8195,23.8175,23.8011,23.8067,23.7963,23.7957,23.7647,23.7968,23.8332,23.8055,23.8003,23.8118,23.8019,23.8227,23.7968,23.8228,23.7817,23.7755,23.8187,23.823,23.7938,23.7117,70.2441,70.8895,71.8939,73.6648,73.9964,74.7476,74.7856,77.5714,77.9889,81.1383,82.4313,83.3781,83.3972,84.5889,85.5794,86.8448,87.2716,87.3594,93.5105,98.6664,103.08,105.111,111.553,111.908,113.339,123.676,146.19,152.125,158.675,168.921,193.528,220.507,1255.86,1654.07,2041.18,2124.2,2457.97,3758.95,150,299790
-58.4209,0.903394,0.237581,2,7,0,62.1275,0.276946,67.4986,0.00386079,67.4986,0.276946,0.00386079,3.26253e+07,1.37051e+06,57571.6,23.8157,23.7563,23.7819,23.7809,23.7822,23.7728,23.7431,23.7752,23.7715,23.8786,23.8137,23.8776,23.8537,23.7969,23.8236,23.8783,23.8038,23.7479,23.8214,23.8194,23.8032,23.8089,23.7987,23.7983,23.7675,23.7997,23.8364,23.809,23.804,23.8158,23.8061,23.8273,23.8017,23.8281,23.7874,23.7818,23.8256,23.8305,23.8023,23.7209,69.6335,70.2868,71.303,73.0937,73.4289,74.188,74.2264,77.0396,77.4609,80.6374,81.9404,82.8942,82.9135,84.1137,85.1108,86.3843,86.8137,86.9021,93.0852,98.2602,102.685,104.72,111.168,111.523,112.955,123.281,145.714,151.616,158.125,168.295,192.68,219.357,1266.95,1667.62,2056.67,2140.06,2475.17,3781.79,150,299790
-58.1893,0.994446,0.237581,3,7,0,58.6812,0.274539,68.4353,0.00356438,68.4353,0.274539,0.00356438,3.26214e+07,1.37042e+06,57571.6,23.8156,23.7562,23.7817,23.7808,23.782,23.7726,23.7428,23.7749,23.7711,23.8782,23.8133,23.8771,23.8531,23.7963,23.823,23.8776,23.803,23.7471,23.8205,23.8185,23.8022,23.8078,23.7975,23.797,23.7661,23.7982,23.8347,23.8072,23.8021,23.8137,23.8039,23.8248,23.799,23.8251,23.7841,23.7781,23.8213,23.8255,23.7959,23.7127,70.5769,71.2322,72.2516,74.0477,74.3839,75.1451,75.1837,78.0046,78.4271,81.6115,82.9176,83.8736,83.8929,85.0956,86.0948,87.3708,87.801,87.8895,94.082,99.2618,103.689,105.723,112.169,112.523,113.953,124.263,146.616,152.487,158.957,169.059,193.238,219.631,1256.89,1655.06,2042.13,2125.15,2459.06,3768.35,150,299790
-58.2405,0.999115,0.237581,3,7,0,58.4097,0.276972,67.803,0.00210172,67.803,0.276972,0.00210172,3.26184e+07,1.37036e+06,57571.6,23.8156,23.7562,23.7817,23.7808,23.782,23.7725,23.7427,23.7748,23.771,23.8781,23.8132,23.8769,23.853,23.7961,23.8228,23.8774,23.8028,23.7468,23.8201,23.8181,23.8018,23.8074,23.797,23.7964,23.7654,23.7975,23.8339,23.8062,23.801,23.8124,23.8024,23.8231,23.797,23.8226,23.7811,23.7742,23.8163,23.8189,23.7851,23.6951,69.9188,70.5653,71.57,73.3377,73.6682,74.4162,74.4541,77.2208,77.6344,80.7469,82.0205,82.9518,82.9706,84.1409,85.1121,86.3509,86.7682,86.8541,92.8413,97.8217,102.059,104,110.125,110.461,111.814,121.519,142.257,147.638,153.539,162.692,184.321,207.531,1266.29,1668.34,2060.16,2144.38,2484,3849.28,150,299790
-57.9767,0.990874,0.237581,3,7,0,58.7732,0.274787,68.5368,0.00281646,68.5368,0.274787,0.00281646,3.26187e+07,1.37037e+06,57571.6,23.8156,23.7562,23.7817,23.7807,23.782,23.7725,23.7427,23.7747,23.7709,23.8781,23.8131,23.8768,23.8529,23.796,23.8227,23.8773,23.8027,23.7467,23.82,23.818,23.8017,23.8072,23.7968,23.7963,23.7653,23.7974,23.8338,23.8062,23.8009,23.8124,23.8025,23.8232,23.7972,23.823,23.7817,23.775,23.8176,23.8209,23.789,23.7021,70.671,71.3236,72.3383,74.1251,74.4594,75.2161,75.2544,78.0562,78.4755,81.6332,82.9269,83.8734,83.8925,85.0827,86.0709,87.3322,87.7573,87.8447,93.9539,99.0507,103.397,105.391,111.698,112.045,113.442,123.484,145.108,150.756,156.965,166.63,189.628,214.539,1257.07,1655.92,2044.23,2127.62,2463.5,3797.53,150,299790
