lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.193565
# Diagonal elements of inverse mass matrix:
# 0.000391749, 3.17137, 3.50386e-05
-10463.1,1,0.193565,3,11,0,10466.2,0.234669,67.3089,0.0106984,0.234669,67.3089,0.0106984,3.26028e+07,1.37003e+06,57571.6,23.8151,23.7554,23.7806,23.7794,23.7804,23.7706,23.7405,23.7723,23.7682,23.875,23.8098,23.8731,23.849,23.7917,23.818,23.8723,23.7973,23.741,23.8139,23.8115,23.7947,23.7999,23.7891,23.7882,23.7568,23.7885,23.8245,23.7965,23.791,23.8022,23.7921,23.8128,23.7869,23.8131,23.7725,23.7679,23.8135,23.8221,23.806,23.7466,69.2389,69.8353,70.7686,72.429,72.7421,73.4535,73.4897,76.1577,76.5614,79.6386,80.9178,81.8604,81.8795,83.0729,84.0706,85.3527,85.7871,85.8766,92.2428,97.7227,102.513,104.746,111.951,112.353,113.98,125.967,153.393,160.888,169.273,182.612,215.622,253.107,0.105873,0.131314,0.156702,0.162329,0.185957,0.316055,150,299790
-10463.9,0.967148,0.193565,3,15,0,10465.4,0.226759,66.4286,0.0118796,0.226759,66.4286,0.0118796,3.25981e+07,1.36994e+06,57571.6,23.8149,23.7552,23.7804,23.7791,23.7801,23.7702,23.74,23.7718,23.7676,23.8743,23.809,23.8723,23.848,23.7907,23.817,23.8711,23.796,23.7396,23.8124,23.8099,23.7931,23.7982,23.7872,23.7862,23.7547,23.7862,23.8221,23.794,23.7884,23.7994,23.7892,23.8098,23.7838,23.8099,23.7694,23.7649,23.8107,23.8199,23.8057,23.7496,68.2949,68.8729,69.7782,71.3919,71.6966,72.3894,72.4246,75.0289,75.4237,78.4395,79.6963,80.6235,80.6423,81.8176,82.8012,84.0666,84.4956,84.584,90.8922,96.348,101.134,103.371,110.605,111.009,112.647,124.749,152.626,160.277,168.852,182.516,216.432,255.068,0.103711,0.128646,0.15355,0.159072,0.182279,0.310657,150,299790
-10462.6,0.963337,0.193565,4,15,0,10465.2,0.229743,68.0708,0.00936314,0.229743,68.0708,0.00936314,3.25917e+07,1.3698e+06,57571.6,23.8149,23.7551,23.7803,23.779,23.7799,23.77,23.7398,23.7715,23.7673,23.874,23.8086,23.8718,23.8476,23.7901,23.8164,23.8704,23.7953,23.7388,23.8115,23.8089,23.792,23.7969,23.7858,23.7847,23.753,23.7844,23.82,23.7917,23.7858,23.7964,23.7858,23.8058,23.7793,23.8045,23.763,23.7568,23.8007,23.8071,23.7863,23.7211,69.9637,70.5484,71.4629,73.0889,73.3953,74.0915,74.1268,76.7355,77.1299,80.1344,81.3822,82.3012,82.3198,83.4829,84.4547,85.7031,86.1259,86.213,92.4018,97.7181,102.358,104.519,111.482,111.87,113.44,124.992,151.33,158.508,166.534,179.285,210.783,246.479,0.105026,0.130248,0.155404,0.160977,0.184369,0.312813,150,299790
-10462.3,0.990148,0.193565,5,31,0,10464.3,0.238737,67.7578,0.00918667,0.238737,67.7578,0.00918667,3.26016e+07,1.37001e+06,57571.6,23.8151,23.7554,23.7807,23.7795,23.7805,23.7707,23.7406,23.7724,23.7683,23.8751,23.8099,23.8732,23.8491,23.7918,23.8182,23.8724,23.7974,23.7411,23.814,23.8116,23.7949,23.8,23.7892,23.7883,23.7568,23.7885,23.8244,23.7964,23.7908,23.8018,23.7916,23.8121,23.786,23.8118,23.7709,23.7655,23.8102,23.8174,23.7977,23.7331,69.7059,70.3069,71.2462,72.9147,73.2288,73.9423,73.9786,76.6487,77.0519,80.12,81.3925,82.329,82.348,83.5325,84.5216,85.7913,86.2211,86.3097,92.5903,97.971,102.658,104.838,111.851,112.241,113.82,125.421,151.765,158.927,166.926,179.622,210.926,246.333,0.106967,0.132651,0.158263,0.163935,0.187736,0.318122,150,299790
-10462.2,0.975751,0.193565,2,7,0,10463.2,0.245194,67.7461,0.00630913,0.245194,67.7461,0.00630913,3.25978e+07,1.36993e+06,57571.6,23.8151,23.7554,23.7807,23.7795,23.7805,23.7707,23.7407,23.7724,23.7683,23.8752,23.8099,23.8733,23.8491,23.7918,23.8182,23.8724,23.7974,23.741,23.8139,23.8114,23.7946,23.7997,23.7888,23.7878,23.7563,23.7878,23.8236,23.7954,23.7896,23.8003,23.7898,23.8099,23.7832,23.8083,23.7665,23.7595,23.8022,23.8065,23.7795,23.7038,69.6941,70.2932,71.2278,72.8825,73.1934,73.8985,73.9342,76.5626,76.9583,79.9571,81.1953,82.1046,82.123,83.2706,84.2269,85.452,85.866,85.9513,91.9648,97.0677,101.479,103.521,110.052,110.413,111.875,122.537,146.334,152.723,159.825,171.035,198.399,229.001,0.108393,0.134384,0.16026,0.165984,0.189964,0.319895,150,299790
-10463.9,0.98937,0.193565,4,15,0,10464.3,0.277561,66.6415,0.00169434,0.277561,66.6415,0.00169434,3.26175e+07,1.37034e+06,57571.6,23.8156,23.7562,23.7817,23.7807,23.782,23.7725,23.7427,23.7748,23.771,23.8781,23.8131,23.8769,23.8529,23.7961,23.8227,23.8773,23.8027,23.7467,23.82,23.818,23.8017,23.8072,23.7968,23.7962,23.7652,23.7972,23.8336,23.8059,23.8006,23.812,23.8019,23.8225,23.7964,23.8218,23.7802,23.773,23.8148,23.817,23.7819,23.6899,68.7187,69.3531,70.3389,72.0726,72.3967,73.1299,73.1671,75.8779,76.2829,79.3296,80.5755,81.4862,81.5046,82.6487,83.5979,84.8082,85.2159,85.2997,91.1422,95.9945,100.117,102.004,107.951,108.277,109.589,118.985,138.97,144.137,149.792,158.545,179.14,201.108,0.114909,0.142399,0.16969,0.175712,0.200864,0.333673,150,299790
-10464.9,0.862927,0.193565,4,15,0,10467.6,0.210242,67.3385,0.0118146,0.210242,67.3385,0.0118146,3.25783e+07,1.36952e+06,57571.6,23.8146,23.7547,23.7797,23.7783,23.779,23.7689,23.7385,23.77,23.7656,23.8721,23.8066,23.8695,23.8451,23.7874,23.8135,23.8673,23.7918,23.7351,23.8075,23.8047,23.7874,23.7921,23.7806,23.7792,23.7472,23.7781,23.8134,23.7847,23.7784,23.7886,23.7776,23.7973,23.7703,23.7951,23.7534,23.7471,23.7912,23.7985,23.7812,23.7229,69.1074,69.6563,70.5172,72.0545,72.3452,73.0067,73.0403,75.5324,75.9109,78.8083,80.0188,80.9128,80.931,82.0655,83.016,84.2402,84.6556,84.7413,90.8672,96.1894,100.874,103.068,110.18,110.578,112.191,124.148,151.847,159.477,168.039,181.703,215.696,254.512,0.100149,0.124229,0.148287,0.153624,0.17606,0.300616,150,299790
-10463.3,0.989558,0.193565,4,15,0,10465.3,0.233742,66.7307,0.0107817,0.233742,66.7307,0.0107817,3.2602e+07,1.37002e+06,57571.6,23.815,23.7554,23.7806,23.7794,23.7804,23.7706,23.7405,23.7722,23.7681,23.8749,23.8097,23.873,23.8488,23.7915,23.8179,23.8721,23.7971,23.7408,23.8137,23.8113,23.7945,23.7997,23.7888,23.7879,23.7565,23.7881,23.8241,23.7962,23.7906,23.8018,23.7916,23.8123,23.7864,23.8125,23.772,23.7673,23.8129,23.8215,23.8055,23.7462,68.6387,69.2285,70.1514,71.7936,72.1033,72.8071,72.8428,75.4827,75.8822,78.928,80.1945,81.1278,81.1467,82.3285,83.3166,84.5864,85.0166,85.1053,91.4129,96.8447,101.595,103.809,110.957,111.355,112.969,124.866,152.104,159.549,167.882,181.138,213.953,251.227,0.105431,0.130766,0.156051,0.161656,0.185189,0.314825,150,299790
-10462.2,0.997159,0.193565,3,15,0,10465.2,0.241454,68.6798,0.00649756,0.241454,68.6798,0.00649756,3.25941e+07,1.36985e+06,57571.6,23.815,23.7553,23.7806,23.7793,23.7803,23.7705,23.7403,23.7721,23.7679,23.8747,23.8094,23.8727,23.8485,23.7912,23.8175,23.8716,23.7965,23.7401,23.8129,23.8104,23.7935,23.7986,23.7875,23.7865,23.7548,23.7862,23.8219,23.7936,23.7877,23.7983,23.7876,23.8076,23.7807,23.8056,23.7637,23.7564,23.7989,23.803,23.7758,23.7003,70.6298,71.2298,72.1661,73.8246,74.1363,74.8435,74.8794,77.517,77.9143,80.927,82.1717,83.0862,83.1047,84.2591,85.2215,86.4547,86.8715,86.9574,93.0175,98.167,102.623,104.688,111.295,111.661,113.142,123.949,148.127,154.63,161.864,173.289,201.219,232.504,0.107927,0.133808,0.15958,0.165281,0.189171,0.318799,150,299790
-10462.6,0.951223,0.193565,3,15,0,10463.2,0.262594,68.9436,0.00264801,0.262594,68.9436,0.00264801,3.26037e+07,1.37005e+06,57571.6,23.8153,23.7558,23.7811,23.78,23.7811,23.7715,23.7415,23.7734,23.7695,23.8764,23.8113,23.8748,23.8507,23.7936,23.82,23.8744,23.7995,23.7434,23.8164,23.8141,23.7974,23.8027,23.7919,23.7911,23.7597,23.7913,23.8273,23.7992,23.7935,23.8043,23.7938,23.8139,23.7871,23.8118,23.7696,23.7615,23.8027,23.8042,23.769,23.6788,70.9958,71.6239,72.6009,74.3225,74.6447,75.3744,75.4114,78.1153,78.5201,81.5718,82.8231,83.7389,83.7574,84.9093,85.8662,87.0878,87.4997,87.5844,93.5084,98.457,102.681,104.62,110.757,111.094,112.453,122.235,143.325,148.837,154.899,164.337,186.8,211.137,0.112696,0.139669,0.166466,0.172382,0.197113,0.328594,150,299790
