lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.21682
# Diagonal elements of inverse mass matrix:
# 0.000130418, 1.5197, 2.86373e-05
-58.2136,0.998175,0.21682,4,23,0,62.0546,0.272651,68.3211,0.00197642,68.3211,0.272651,0.00197642,3.26129e+07,1.37025e+06,57571.6,23.8155,23.756,23.7815,23.7805,23.7817,23.7722,23.7423,23.7743,23.7705,23.8775,23.8125,23.8762,23.8522,23.7953,23.8218,23.8763,23.8016,23.7456,23.8188,23.8167,23.8002,23.8057,23.7952,23.7945,23.7634,23.7953,23.8315,23.8037,23.7982,23.8094,23.7992,23.8196,23.7932,23.8185,23.7767,23.7691,23.8107,23.8126,23.7774,23.6858,70.4188,71.0598,72.0562,73.8097,74.1376,74.8797,74.9173,77.6628,78.0733,81.1629,82.4274,83.352,83.3707,84.5328,85.4972,86.7274,87.1419,87.2272,93.174,98.1216,102.331,104.259,110.345,110.678,112.023,121.663,142.254,147.595,153.45,162.528,183.966,206.948,1258.39,1658.81,2049.51,2133.56,2472.7,3841.06,150,299790
-60.8575,0.963595,0.21682,4,15,0,61.82,0.299272,70.5517,0.000266878,70.5517,0.299272,0.000266878,3.26371e+07,1.37075e+06,57571.6,23.8161,23.7568,23.7825,23.7817,23.7832,23.774,23.7444,23.7767,23.7732,23.8806,23.8158,23.8799,23.8562,23.7997,23.8265,23.8815,23.8072,23.7516,23.8253,23.8236,23.8077,23.8136,23.8037,23.8036,23.7731,23.8056,23.8426,23.8155,23.8108,23.8229,23.8135,23.8349,23.8095,23.8359,23.7952,23.7891,23.8319,23.8349,23.7999,23.705,72.8934,73.6066,74.713,76.6539,77.0159,77.8344,77.8758,80.8919,81.3414,84.7117,86.0851,87.0871,87.1073,88.3639,89.4048,90.7296,91.1753,91.2669,97.6223,102.858,107.277,109.29,115.602,115.946,117.331,127.17,147.674,152.882,158.54,167.208,187.192,207.89,1259.75,1657.49,2044.75,2128.02,2464.23,3851.17,150,299790
-62.0053,0.914256,0.21682,4,15,0,64.5687,0.278449,70.7338,0.00243227,70.7338,0.278449,0.00243227,3.26215e+07,1.37043e+06,57571.6,23.8157,23.7562,23.7818,23.7809,23.7821,23.7727,23.7429,23.775,23.7713,23.8784,23.8135,23.8773,23.8534,23.7966,23.8232,23.8779,23.8033,23.7474,23.8208,23.8188,23.8026,23.8082,23.7979,23.7974,23.7665,23.7986,23.8351,23.8076,23.8024,23.814,23.8041,23.825,23.7991,23.8249,23.7837,23.7771,23.8198,23.823,23.7906,23.7026,72.9581,73.6378,74.6943,76.5536,76.9013,77.6882,77.7281,80.6394,81.0748,84.3517,85.6931,86.674,86.6939,87.9268,88.9503,90.2559,90.6958,90.7863,97.101,102.359,106.836,108.888,115.369,115.725,117.158,127.447,149.499,155.237,161.536,171.32,194.511,219.5,1240.85,1634.27,2017.3,2099.57,2431.07,3755.22,150,299790
-59.3692,0.971146,0.21682,4,15,0,62.8474,0.276847,67.7957,0.00493915,67.7957,0.276847,0.00493915,3.26294e+07,1.37059e+06,57571.6,23.8158,23.7564,23.7819,23.7811,23.7824,23.773,23.7433,23.7754,23.7717,23.8789,23.8141,23.8779,23.8541,23.7974,23.8241,23.8788,23.8044,23.7486,23.8221,23.8202,23.8041,23.8099,23.7997,23.7994,23.7687,23.8011,23.8378,23.8106,23.8058,23.8178,23.8084,23.8298,23.8045,23.8313,23.7911,23.7864,23.8311,23.8373,23.8124,23.7359,69.957,70.6189,71.6492,73.4664,73.8068,74.5779,74.6169,77.4779,77.9068,81.1443,82.4742,83.4485,83.4682,84.6948,85.7147,87.0181,87.4579,87.5484,93.8933,99.2221,103.792,105.896,112.585,112.953,114.442,125.212,148.808,155.057,161.968,172.804,198.955,227.801,1262.84,1661.25,2047.29,2129.89,2461.14,3730.16,150,299790
-60.2961,0.945323,0.21682,3,15,0,61.0105,0.262481,67.6275,0.00183778,67.6275,0.262481,0.00183778,3.26003e+07,1.36998e+06,57571.6,23.8153,23.7557,23.7811,23.7799,23.781,23.7714,23.7414,23.7732,23.7692,23.8762,23.811,23.8745,23.8504,23.7932,23.8196,23.8739,23.799,23.7428,23.8158,23.8134,23.7967,23.8019,23.7911,23.7902,23.7587,23.7902,23.826,23.7978,23.792,23.8027,23.792,23.8118,23.7848,23.8092,23.7666,23.7577,23.7981,23.7985,23.7605,23.666,69.6264,70.2377,71.1881,72.8617,73.1748,73.8836,73.9195,76.5432,76.9357,79.8915,81.102,81.9874,82.0053,83.1184,84.0424,85.2214,85.6186,85.7004,91.4043,96.1544,100.198,102.051,107.902,108.223,109.517,118.792,138.617,143.761,149.4,158.143,178.789,200.913,1256.82,1658.71,2051.82,2136.51,2478.76,3867.99,150,299790
-58.2721,1,0.21682,2,3,0,60.284,0.262446,67.6772,0.00411472,67.6772,0.262446,0.00411472,3.26094e+07,1.37017e+06,57571.6,23.8154,23.7558,23.7813,23.7802,23.7813,23.7717,23.7418,23.7738,23.7698,23.8768,23.8117,23.8753,23.8513,23.7942,23.8207,23.8751,23.8004,23.7442,23.8173,23.8151,23.7986,23.804,23.7933,23.7926,23.7614,23.7932,23.8293,23.8014,23.796,23.8071,23.7969,23.8173,23.791,23.8164,23.7748,23.7679,23.8104,23.8139,23.7835,23.7006,69.7148,70.3392,71.3113,73.0265,73.3479,74.076,74.113,76.8157,77.221,80.2812,81.5387,82.46,82.4786,83.6386,84.6032,85.836,86.252,86.3376,92.3394,97.3793,101.7,103.689,110.009,110.357,111.762,121.925,144.134,150.003,156.486,166.638,191.075,217.938,1253.57,1652.32,2040.49,2123.8,2458.9,3764.49,150,299790
-58.0705,0.982344,0.21682,3,15,0,58.9986,0.264197,67.0068,0.00408121,67.0068,0.264197,0.00408121,3.26113e+07,1.37021e+06,57571.6,23.8154,23.7559,23.7813,23.7803,23.7814,23.7719,23.742,23.7739,23.77,23.877,23.812,23.8756,23.8515,23.7945,23.8211,23.8755,23.8008,23.7447,23.8178,23.8157,23.7992,23.8046,23.794,23.7933,23.7621,23.794,23.8302,23.8023,23.7969,23.8081,23.798,23.8185,23.7923,23.8178,23.7763,23.7696,23.8122,23.8159,23.7858,23.7031,69.0365,69.6584,70.6264,72.3342,72.6542,73.379,73.4157,76.1058,76.5091,79.5539,80.8047,81.721,81.7396,82.8933,83.8525,85.0783,85.4919,85.577,91.5428,96.5504,100.842,102.818,109.091,109.437,110.832,120.916,142.936,148.752,155.175,165.23,189.421,215.999,1261.21,1662.1,2052.24,2135.96,2472.67,3784.73,150,299790
-58.0875,0.959148,0.21682,4,19,0,58.6738,0.275978,68.3162,0.00186626,68.3162,0.275978,0.00186626,3.26163e+07,1.37032e+06,57571.6,23.8156,23.7561,23.7816,23.7807,23.7819,23.7724,23.7426,23.7747,23.7708,23.8779,23.813,23.8767,23.8527,23.7958,23.8225,23.877,23.8024,23.7464,23.8197,23.8176,23.8013,23.8068,23.7964,23.7958,23.7647,23.7967,23.833,23.8053,23.8,23.8113,23.8012,23.8218,23.7956,23.821,23.7794,23.7721,23.8139,23.8161,23.7813,23.6898,70.4367,71.0845,72.0912,73.8622,74.1933,74.9426,74.9805,77.7514,78.1656,81.2815,82.5563,83.4882,83.507,84.678,85.6497,86.8889,87.3063,87.3922,93.3782,98.354,102.584,104.521,110.631,110.966,112.315,121.981,142.587,147.924,153.77,162.829,184.185,207.031,1261.12,1661.92,2052.79,2136.86,2476.04,3845.78,150,299790
-59.3309,0.975209,0.21682,4,15,0,60.5431,0.2619,68.3931,0.0030585,68.3931,0.2619,0.0030585,3.26046e+07,1.37007e+06,57571.6,23.8153,23.7558,23.7811,23.7801,23.7812,23.7715,23.7415,23.7735,23.7695,23.8764,23.8113,23.8748,23.8507,23.7936,23.8201,23.8745,23.7996,23.7434,23.8165,23.8142,23.7975,23.8028,23.7921,23.7912,23.7599,23.7915,23.8275,23.7995,23.7938,23.8047,23.7942,23.8143,23.7877,23.8125,23.7705,23.7626,23.8041,23.8061,23.7721,23.6839,70.4306,71.0544,72.0251,73.7362,74.0566,74.7822,74.819,77.5092,77.9122,80.9516,82.1987,83.1117,83.1301,84.2789,85.2335,86.4526,86.8637,86.9483,92.8673,97.8198,102.053,103.998,110.16,110.499,111.866,121.717,143.044,148.637,154.797,164.406,187.359,212.347,1247.92,1645.93,2034.29,2117.8,2454.41,3790.63,150,299790
-58.573,0.986037,0.21682,3,15,0,60.7303,0.279008,68.8832,0.000875026,68.8832,0.279008,0.000875026,3.2616e+07,1.37031e+06,57571.6,23.8156,23.7562,23.7817,23.7807,23.782,23.7725,23.7427,23.7748,23.7709,23.8781,23.8131,23.8768,23.8529,23.796,23.8226,23.8772,23.8026,23.7466,23.8199,23.8178,23.8015,23.807,23.7965,23.7959,23.7649,23.7969,23.8332,23.8054,23.8001,23.8113,23.8012,23.8216,23.7953,23.8205,23.7786,23.7709,23.8121,23.8133,23.7759,23.6797,71.0274,71.6818,72.698,74.4838,74.8174,75.572,75.6102,78.3969,78.8129,81.9386,83.2151,84.1476,84.1664,85.3371,86.3077,87.5446,87.9609,88.0466,94.0022,98.9318,103.108,105.015,111.013,111.341,112.661,122.078,141.912,146.994,152.538,161.074,180.955,201.855,1259.47,1660.12,2051.39,2135.65,2476.18,3875.47,150,299790
