# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb3_model
# start_datetime = 2023-07-27 10:33:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = Meu_Codigo_Normal_Model/CMB/data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmphxu43met/hsfotjd6.json
# random
#   seed = 22372
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/normal/cmb/cmb3-20230727113305_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0253127
# Diagonal elements of inverse mass matrix:
# 0.000117457, 2.49699e-05, 9.9438e-05
0.437151,0.960439,0.0253127,4,15,0,0.106038,69.0822,0.0462726,0.289139,0.690822,0.0462726,0.242867,4.15e-05,8.69593e-05,0.710774,0.690822,0.0462726,0.242867,8.69593e-05,0.710774,0.0615328,0.548356,1091.89,0,0,3.22599,3.22599,0.0336099,301.54,1.73467,0.0220829,-0.0296203,-0.00603381,-0.000197116
0.857587,0.865841,0.0253127,5,47,0,1.77315,69.0239,0.047435,0.294197,0.690239,0.047435,0.246762,4.15e-05,8.71062e-05,0.705716,0.690239,0.047435,0.246762,8.71062e-05,0.705716,0.0604602,0.54787,1091.34,0,0,3.2038,3.2038,0.0333897,301.442,1.73774,0.0225994,-0.128398,-0.00296126,0.000319445
3.19597,0.98677,0.0253127,3,11,0,-0.65527,68.9602,0.0469441,0.292881,0.689602,0.0469441,0.245937,4.15e-05,8.72671e-05,0.707031,0.689602,0.0469441,0.245937,8.72671e-05,0.707031,0.0610265,0.54813,1091.65,0,0,3.20949,3.20949,0.0334439,301.487,1.73693,0.0223243,-0.0825792,-0.00376897,4.43133e-05
3.37653,0.981995,0.0253127,5,63,0,-2.94191,68.835,0.0471019,0.294275,0.68835,0.0471019,0.247173,4.15e-05,8.75849e-05,0.705638,0.68835,0.0471019,0.247173,8.75849e-05,0.705638,0.0610395,0.548136,1091.67,0,0,3.2034,3.2034,0.0333746,301.54,1.73775,0.0223181,-0.0297907,-0.00295034,3.81002e-05
3.09195,0.701277,0.0253127,4,15,0,0.532434,68.7688,0.0473352,0.295943,0.687688,0.0473352,0.248608,4.15e-05,8.77537e-05,0.703969,0.687688,0.0473352,0.248608,8.77537e-05,0.703969,0.0608996,0.548072,1091.62,0,0,3.19618,3.19618,0.0333033,301.504,1.73874,0.0223855,-0.0655297,-0.00195802,0.000105488
2.42381,0.81482,0.0253127,5,39,0,-1.15623,68.959,0.04716,0.293977,0.68959,0.04716,0.246817,4.15e-05,8.72702e-05,0.705936,0.68959,0.04716,0.246817,8.72702e-05,0.705936,0.0608155,0.548034,1091.55,0,0,3.20473,3.20473,0.0334004,301.433,1.7376,0.0224262,-0.137285,-0.00310487,0.0001462
-0.497093,0.756544,0.0253127,4,15,0,1.6281,68.9166,0.0471161,0.295069,0.689166,0.0471161,0.247953,4.15e-05,8.73778e-05,0.704843,0.689166,0.0471161,0.247953,8.73778e-05,0.704843,0.0609157,0.54808,1091.65,0,0,3.2,3.2,0.0333645,301.312,1.73825,0.0223777,-0.258423,-0.00245015,9.77403e-05
