# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb3_model
# start_datetime = 2023-07-27 10:33:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = Meu_Codigo_Normal_Model/CMB/data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmphxu43met/hsfotjd6.json
# random
#   seed = 22372
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/normal/cmb/cmb3-20230727113305_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0272212
# Diagonal elements of inverse mass matrix:
# 6.04859e-05, 2.46337e-05, 5.36695e-05
2.0424,0.996023,0.0272212,4,15,0,0.0851301,69.5854,0.0463526,0.284275,0.695854,0.0463526,0.237922,4.15e-05,8.57062e-05,0.71564,0.695854,0.0463526,0.237922,8.57062e-05,0.71564,0.0607777,0.548016,1091.34,0,0,3.24797,3.24797,0.0338334,301.589,1.73173,0.0224445,0.0193097,-0.00896661,0.000164516
2.55784,0.998282,0.0272212,5,51,0,-1.45717,69.3788,0.0466355,0.287151,0.693788,0.0466355,0.240516,4.15e-05,8.62174e-05,0.712763,0.693788,0.0466355,0.240516,8.62174e-05,0.712763,0.0607714,0.548014,1091.38,0,0,3.23494,3.23494,0.0336977,301.589,1.73349,0.0224476,0.0194719,-0.00721075,0.000167584
2.31555,0.990387,0.0272212,4,27,0,-2.05245,69.4354,0.0467178,0.286992,0.694354,0.0467178,0.240275,4.15e-05,8.60768e-05,0.712921,0.694354,0.0467178,0.240275,8.60768e-05,0.712921,0.0606146,0.547941,1091.29,0,0,3.23567,3.23567,0.0337071,301.573,1.7334,0.0225239,0.00273271,-0.0072986,0.000243921
2.29196,0.968963,0.0272212,3,11,0,-1.15958,69.4034,0.0462641,0.286514,0.694034,0.0462641,0.24025,4.15e-05,8.61563e-05,0.713399,0.694034,0.0462641,0.24025,8.61563e-05,0.713399,0.0611091,0.548167,1091.6,0,0,3.23781,3.23781,0.0337414,301.466,1.7331,0.0222846,-0.103973,-0.00759716,4.64388e-06
2.24413,0.999869,0.0272212,6,119,0,0.122231,68.1193,0.0478116,0.303369,0.681193,0.0478116,0.255558,4.15e-05,8.9435e-05,0.696541,0.681193,0.0478116,0.255558,8.9435e-05,0.696541,0.061316,0.54826,1091.98,0,0,3.16457,3.16457,0.0329629,301.606,1.74301,0.0221857,0.0357258,0.00231446,-9.42739e-05
2.08333,0.75933,0.0272212,2,3,0,-0.248069,68.119,0.047745,0.303074,0.68119,0.047745,0.255329,4.15e-05,8.94359e-05,0.696837,0.68119,0.047745,0.255329,8.94359e-05,0.696837,0.0613814,0.548289,1092.01,0,0,3.1658,3.1658,0.0329745,301.617,1.74284,0.0221546,0.0467365,0.00214175,-0.000125374
2.68766,0.89546,0.0272212,7,135,0,2.98202,69.1389,0.046799,0.291042,0.691389,0.046799,0.244243,4.15e-05,8.68167e-05,0.708871,0.691389,0.046799,0.244243,8.68167e-05,0.708871,0.0609301,0.548086,1091.57,0,0,3.21761,3.21761,0.0335347,301.431,1.73585,0.0223708,-0.138978,-0.00485451,9.07873e-05
2.77157,0.98563,0.0272212,6,95,0,-1.64042,68.7399,0.0474889,0.296171,0.687399,0.0474889,0.248682,4.15e-05,8.78274e-05,0.703741,0.687399,0.0474889,0.248682,8.78274e-05,0.703741,0.0607884,0.548021,1091.54,0,0,3.19518,3.19518,0.0332837,301.588,1.73887,0.0224394,0.017742,-0.00182911,0.000159358
3.21356,0.999813,0.0272212,3,9,0,-2.64217,68.7207,0.0471689,0.295723,0.687207,0.0471689,0.248554,4.15e-05,8.78766e-05,0.704189,0.687207,0.0471689,0.248554,8.78766e-05,0.704189,0.0611278,0.548176,1091.75,0,0,3.19711,3.19711,0.0333106,301.526,1.7386,0.0222757,-0.0442303,-0.00209891,-4.3371e-06
3.07309,0.84117,0.0272212,6,71,0,-1.69541,69.0678,0.046709,0.290657,0.690678,0.046709,0.243948,4.15e-05,8.69956e-05,0.709256,0.690678,0.046709,0.243948,8.69956e-05,0.709256,0.061115,0.54817,1091.66,0,0,3.21927,3.21927,0.0335391,301.548,1.73559,0.0222818,-0.022259,-0.00510638,1.82712e-06
3.03894,0.999733,0.0272212,6,111,0,-1.77892,68.617,0.0475169,0.29784,0.68617,0.0475169,0.250323,4.15e-05,8.81423e-05,0.702072,0.68617,0.0475169,0.250323,8.81423e-05,0.702072,0.0609268,0.548085,1091.66,0,0,3.18801,3.18801,0.0332147,301.536,1.73985,0.0223724,-0.0343427,-0.0008527,9.23518e-05
