# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cc_model
# start_datetime = 2023-07-21 15:10:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model3/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp04urymr_/mtihphj_.json
# random
#   seed = 83402
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/cc/cc-20230721161048.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,theta.1,theta.2,lambda,yy0.1,yy0.2,yp0.1,yp0.2,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.7.1,S.8.1,S.9.1,S.10.1,S.11.1,S.12.1,S.13.1,S.14.1,S.15.1,S.16.1,S.17.1,S.18.1,S.19.1,S.20.1,S.21.1,S.22.1,S.23.1,S.24.1,S.25.1,S.26.1,S.27.1,S.28.1,S.29.1,S.30.1,S.31.1,S.32.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,S.7.2,S.8.2,S.9.2,S.10.2,S.11.2,S.12.2,S.13.2,S.14.2,S.15.2,S.16.2,S.17.2,S.18.2,S.19.2,S.20.2,S.21.2,S.22.2,S.23.2,S.24.2,S.25.2,S.26.2,S.27.2,S.28.2,S.29.2,S.30.2,S.31.2,S.32.2,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32
# Adaptation terminated
# Step size = 0.364628
# Diagonal elements of inverse mass matrix:
# 0.00259618, 9.11832
-8.01311,0.948058,0.364628,3,7,0,8.63522,0.269881,71.779,71.779,0.269881,0.410491,1,0,0.289826,1,1.02182,1.02864,1.03937,1.05861,1.06226,1.07058,1.071,1.10243,1.10721,1.14382,1.1591,1.17037,1.1706,1.18488,1.19681,1.21215,1.21734,1.21841,1.29415,1.35847,1.41381,1.43929,1.52,1.52443,1.5423,1.67033,1.94048,2.0094,2.0843,2.19905,2.46301,2.73497,0.0692648,0.0887731,0.117788,0.165461,0.173948,0.192703,0.193637,0.258074,0.267125,0.331119,0.355438,0.372609,0.372951,0.39384,0.410635,0.431392,0.438224,0.43962,0.52965,0.595279,0.645795,0.667527,0.73109,0.734375,0.747418,0.832794,0.978942,1.01085,1.04359,1.0903,1.18483,1.26766,73.3456,73.8348,74.6046,75.986,76.248,76.8449,76.8753,79.1312,79.4744,82.1026,83.1993,84.0083,84.0247,85.0494,85.9062,87.0069,87.3796,87.4563,92.8927,97.5099,101.482,103.311,109.104,109.422,110.705,119.894,139.286,144.233,149.609,157.846,176.793,196.313
-8.0168,0.881825,0.364628,1,3,0,9.0899,0.299283,72.8488,72.8488,0.299283,0.399658,1,0,0.327275,1,1.02463,1.03232,1.04441,1.06609,1.07019,1.07955,1.08002,1.1153,1.12066,1.16161,1.17865,1.1912,1.19146,1.20734,1.22059,1.2376,1.24335,1.24454,1.32811,1.39863,1.45902,1.48674,1.57427,1.57906,1.59838,1.73634,2.02551,2.09898,2.17875,2.30077,2.58089,2.86891,0.0691716,0.0886183,0.117512,0.164903,0.173329,0.191936,0.192862,0.256658,0.265603,0.328724,0.352654,0.369534,0.369869,0.390381,0.406856,0.427197,0.433888,0.435255,0.523187,0.587034,0.636041,0.65709,0.718541,0.721713,0.734302,0.816553,0.95684,0.987394,1.01872,1.06339,1.15367,1.23268,74.6434,75.2035,76.0843,77.6632,77.9624,78.6437,78.6784,81.2486,81.639,84.6219,85.8633,86.7777,86.7962,87.953,88.9188,90.1578,90.5768,90.6631,96.7511,101.889,106.288,108.307,114.683,115.033,116.44,126.49,147.556,152.909,158.719,167.608,188.015,208.997
-10.3631,0.940949,0.364628,3,9,0,11.5355,0.447269,65.11,65.11,0.447269,0.34098,1,0,0.535089,1,1.04007,1.05248,1.07191,1.10642,1.11291,1.12764,1.12839,1.18326,1.1915,1.25369,1.27918,1.29782,1.2982,1.32162,1.34104,1.36578,1.37411,1.37583,1.49469,1.59246,1.6747,1.71208,1.82879,1.83514,1.86065,2.04089,2.4112,2.50422,2.60485,2.7582,3.10824,3.46615,0.0686634,0.0877797,0.116026,0.161946,0.170057,0.18791,0.188797,0.249393,0.257815,0.316739,0.33885,0.354372,0.35468,0.373461,0.388485,0.406958,0.413016,0.414253,0.493073,0.549471,0.592337,0.610645,0.663771,0.6665,0.677323,0.74763,0.866184,0.891822,0.918055,0.955362,1.03049,1.09599,67.7189,68.5271,69.7918,72.0387,72.4615,73.4207,73.4693,77.0421,77.5786,81.6277,83.2875,84.5012,84.5257,86.0504,87.3149,88.9262,89.4685,89.58,97.3194,103.685,109.04,111.474,119.073,119.486,121.147,132.883,156.993,163.05,169.602,179.587,202.378,225.681
-10.1795,1,0.364628,2,3,0,10.6068,0.43781,63.6472,63.6472,0.43781,0.344961,1,0,0.520827,1,1.03902,1.05112,1.07005,1.10372,1.11006,1.12444,1.12517,1.1788,1.18686,1.24774,1.27272,1.29099,1.29136,1.31433,1.33338,1.35767,1.36585,1.36753,1.48434,1.58054,1.66153,1.69836,1.81342,1.81967,1.84483,2.02267,2.38834,2.48023,2.57966,2.73121,3.07722,3.43108,0.0686977,0.0878361,0.116125,0.162141,0.170272,0.188174,0.189063,0.24986,0.258315,0.317494,0.339714,0.355317,0.355627,0.37451,0.389618,0.408199,0.414294,0.415538,0.494873,0.55168,0.594878,0.613332,0.666898,0.669651,0.680567,0.751492,0.87115,0.897035,0.923522,0.961195,1.03707,1.10323,66.1307,66.9006,68.1059,70.2488,70.6522,71.5678,71.6142,75.0276,75.5406,79.4153,81.0052,82.1682,82.1917,83.6534,84.8662,86.412,86.9325,87.0395,94.474,100.597,105.752,108.096,115.419,115.817,117.418,128.737,152.011,157.86,164.188,173.834,195.856,218.379
-12.9483,0.871284,0.364628,2,3,0,13.3561,0.466175,60.8995,60.8995,0.466175,0.332916,1,0,0.563997,1,1.04219,1.05524,1.07564,1.11184,1.11864,1.13407,1.13485,1.1922,1.2008,1.26558,1.29208,1.31145,1.31184,1.33615,1.35629,1.38194,1.39057,1.39234,1.51524,1.61608,1.70077,1.73923,1.85919,1.86571,1.89191,2.07687,2.45627,2.55149,2.65448,2.81137,3.16935,3.53521,0.068594,0.0876659,0.115826,0.161555,0.169625,0.187382,0.188263,0.248459,0.256817,0.315235,0.337132,0.352497,0.352802,0.371383,0.38624,0.404501,0.410488,0.41171,0.489527,0.545129,0.587353,0.605378,0.657654,0.660339,0.670984,0.7401,0.856536,0.881702,0.907446,0.944051,1.01774,1.08197,63.4687,64.2635,65.5062,67.7105,68.1247,69.0641,69.1118,72.6042,73.1278,77.073,78.6872,79.8665,79.8903,81.3706,82.5973,84.1593,84.6847,84.7927,92.2776,98.4184,103.576,105.918,113.224,113.621,115.216,126.48,149.586,155.384,161.656,171.211,193.011,215.292
-8.6346,0.892238,0.364628,3,15,0,14.5997,0.402243,66.636,66.636,0.402243,0.359631,1,0,0.468399,1,1.03515,1.04607,1.0632,1.09372,1.09947,1.11256,1.11322,1.16215,1.16953,1.22541,1.24842,1.26529,1.26563,1.28686,1.3045,1.32702,1.33461,1.33617,1.44501,1.53512,1.61126,1.64595,1.75454,1.76046,1.78425,1.95272,2.30039,2.38794,2.48272,2.62728,2.95765,3.29586,0.0688246,0.0880449,0.116493,0.162868,0.171075,0.189159,0.190057,0.251617,0.260195,0.320353,0.342991,0.358905,0.359221,0.378497,0.393934,0.412935,0.419172,0.420445,0.501795,0.560216,0.604728,0.623764,0.679082,0.681927,0.693212,0.766614,0.89071,0.91759,0.945107,0.984261,1.06318,1.13203,68.9782,69.706,70.8471,72.881,73.2646,74.1362,74.1805,77.441,77.9325,81.6562,83.1897,84.3135,84.3363,85.7509,86.9264,88.427,88.9328,89.0369,96.2895,102.295,107.368,109.679,116.916,117.31,118.895,130.122,153.289,159.123,165.438,175.071,197.086,219.623
-7.50544,0.995827,0.364628,4,15,0,8.77721,0.329752,70.6413,70.6413,0.329752,0.388165,1,0,0.367405,1,1.02764,1.03625,1.0498,1.07404,1.07863,1.08907,1.0896,1.12891,1.13487,1.18029,1.19913,1.21299,1.21327,1.23078,1.24538,1.26408,1.27039,1.27169,1.36309,1.43975,1.50509,1.53501,1.62919,1.63434,1.65507,1.80269,2.11034,2.18825,2.27275,2.40186,2.69777,3.00153,0.0690722,0.0884536,0.117218,0.164313,0.172674,0.191128,0.192046,0.255178,0.264013,0.326239,0.349776,0.366359,0.366689,0.386821,0.402975,0.422901,0.429451,0.430788,0.51665,0.578765,0.626322,0.646717,0.706166,0.70923,0.72139,0.800717,0.935589,0.964906,0.994949,1.03775,1.12417,1.19972,72.5936,73.2024,74.159,75.8716,76.1957,76.9334,76.9709,79.7476,80.1685,83.3769,84.7082,85.6874,85.7072,86.944,87.9752,89.296,89.7423,89.8341,96.2907,101.706,106.321,108.435,115.088,115.452,116.917,127.344,149.077,154.581,160.55,169.671,190.574,212.032
