# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cc_model
# start_datetime = 2023-07-21 15:10:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model3/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp04urymr_/mtihphj_.json
# random
#   seed = 83402
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/cc/cc-20230721161048.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,theta.1,theta.2,lambda,yy0.1,yy0.2,yp0.1,yp0.2,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.7.1,S.8.1,S.9.1,S.10.1,S.11.1,S.12.1,S.13.1,S.14.1,S.15.1,S.16.1,S.17.1,S.18.1,S.19.1,S.20.1,S.21.1,S.22.1,S.23.1,S.24.1,S.25.1,S.26.1,S.27.1,S.28.1,S.29.1,S.30.1,S.31.1,S.32.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,S.7.2,S.8.2,S.9.2,S.10.2,S.11.2,S.12.2,S.13.2,S.14.2,S.15.2,S.16.2,S.17.2,S.18.2,S.19.2,S.20.2,S.21.2,S.22.2,S.23.2,S.24.2,S.25.2,S.26.2,S.27.2,S.28.2,S.29.2,S.30.2,S.31.2,S.32.2,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32
# Adaptation terminated
# Step size = 0.404119
# Diagonal elements of inverse mass matrix:
# 0.00232144, 7.0281
-8.18681,0.992936,0.404119,2,3,0,8.51599,0.272758,70.9568,70.9568,0.272758,0.409441,1,0,0.293436,1,1.0221,1.029,1.03985,1.05933,1.06303,1.07144,1.07187,1.10368,1.10851,1.14555,1.161,1.1724,1.17263,1.18707,1.19913,1.21463,1.21988,1.22096,1.29748,1.36242,1.41826,1.44397,1.52536,1.52983,1.54785,1.67688,1.94895,2.01833,2.09372,2.2092,2.47479,2.74836,0.0692558,0.0887581,0.117761,0.165407,0.173888,0.192629,0.193562,0.257936,0.266977,0.330885,0.355165,0.372308,0.372649,0.3935,0.410264,0.430979,0.437798,0.439191,0.529011,0.59446,0.644824,0.666487,0.729835,0.733108,0.746105,0.831161,0.976704,1.00847,1.04106,1.08756,1.18165,1.26408,72.5246,73.0142,73.7846,75.1669,75.429,76.0262,76.0566,78.3132,78.6565,81.2847,82.3811,83.1898,83.2062,84.2304,85.0867,86.1864,86.5588,86.6355,92.0648,96.673,100.635,102.459,108.235,108.552,109.83,118.986,138.291,143.214,148.564,156.758,175.603,195.015
-7.2452,0.990996,0.404119,2,7,0,8.70815,0.319007,69.7799,69.7799,0.319007,0.39225,1,0,0.353099,1,1.02657,1.03485,1.04788,1.07121,1.07563,1.08569,1.0862,1.12408,1.12983,1.17367,1.19189,1.20529,1.20556,1.2225,1.23663,1.25473,1.26085,1.26211,1.35079,1.42531,1.48894,1.51809,1.60997,1.615,1.63525,1.77952,2.08079,2.15717,2.24002,2.36668,2.65713,2.95543,0.0691075,0.0885122,0.117323,0.164522,0.172906,0.191414,0.192335,0.255701,0.264575,0.327115,0.35079,0.367477,0.367809,0.388073,0.404339,0.42441,0.431008,0.432356,0.518936,0.581649,0.629705,0.650324,0.710459,0.71356,0.725867,0.806191,0.942903,0.97264,1.00312,1.04655,1.13428,1.21099,71.6338,72.212,73.121,74.7491,75.0573,75.7591,75.7948,78.4384,78.8394,81.8989,83.1697,84.1049,84.1238,85.3058,86.2916,87.5552,87.9822,88.0701,94.2577,99.4583,103.898,105.932,112.344,112.695,114.107,124.175,145.197,150.527,156.309,165.147,185.414,206.23
-7.24781,0.929815,0.404119,2,3,0,7.77221,0.31224,70.3372,70.3372,0.31224,0.394805,1,0,0.344175,1,1.0259,1.03398,1.04668,1.06944,1.07376,1.08357,1.08407,1.12106,1.12667,1.16952,1.18734,1.20045,1.20071,1.21729,1.23112,1.24885,1.25485,1.25608,1.34302,1.41619,1.47871,1.50738,1.59779,1.60274,1.62267,1.76481,2.06198,2.13737,2.21918,2.34427,2.63121,2.92603,0.0691296,0.0885488,0.117388,0.164653,0.173052,0.191594,0.192517,0.25603,0.264928,0.327667,0.351429,0.368182,0.368515,0.388863,0.405201,0.425363,0.431994,0.433348,0.520386,0.583483,0.63186,0.652624,0.713202,0.716327,0.728729,0.8097,0.947609,0.977618,1.00838,1.05223,1.1408,1.21828,72.1589,72.7272,73.6208,75.2217,75.5249,76.2152,76.2503,78.8521,79.247,82.261,83.5138,84.4361,84.4547,85.6206,86.5935,87.8407,88.2624,88.3492,94.464,99.6105,104.008,106.025,112.384,112.732,114.134,124.131,145.034,150.337,156.091,164.889,185.072,205.809
-7.24963,0.999986,0.404119,2,3,0,7.25123,0.314013,70.4765,70.4765,0.314013,0.394136,1,0,0.346507,1,1.02607,1.03421,1.047,1.06991,1.07425,1.08412,1.08463,1.12185,1.1275,1.17061,1.18853,1.20172,1.20198,1.21865,1.23256,1.25039,1.25642,1.25766,1.34505,1.41858,1.48139,1.51019,1.60099,1.60596,1.62597,1.76867,2.06692,2.14257,2.22466,2.35016,2.63803,2.93376,0.0691239,0.0885392,0.117371,0.164619,0.173014,0.191547,0.192469,0.255944,0.264836,0.327523,0.351262,0.367997,0.36833,0.388656,0.404975,0.425113,0.431735,0.433088,0.520006,0.583001,0.631293,0.652019,0.71248,0.715599,0.727975,0.808776,0.946368,0.976305,1.00699,1.05073,1.13908,1.21636,72.3141,72.8874,73.7887,75.4033,75.7091,76.4052,76.4407,79.0641,79.4622,82.5006,83.7633,84.6927,84.7115,85.8864,86.8667,88.1233,88.5482,88.6356,94.7947,99.9766,104.403,106.433,112.832,113.182,114.593,124.65,145.669,151.001,156.786,165.631,185.919,206.762
-7.70467,0.985946,0.404119,3,11,0,8.17382,0.361208,67.3939,67.3939,0.361208,0.375996,1,0,0.410268,1,1.03083,1.04044,1.05551,1.08245,1.08755,1.09913,1.09972,1.1432,1.14977,1.19977,1.22045,1.23563,1.23594,1.25509,1.27104,1.29143,1.29831,1.29973,1.3989,1.48158,1.55177,1.58383,1.68449,1.68998,1.71209,1.86909,2.19472,2.27696,2.36606,2.5021,2.81345,3.13262,0.0689666,0.0882791,0.116908,0.163692,0.171987,0.190281,0.19119,0.253638,0.26236,0.323678,0.346818,0.363105,0.363428,0.38318,0.399015,0.418529,0.424939,0.426247,0.510082,0.570523,0.616693,0.636467,0.694022,0.696986,0.708743,0.785337,0.91521,0.943392,0.972257,1.01336,1.09627,1.16868,69.4719,70.119,71.135,72.9507,73.2939,74.0744,74.1141,77.0445,77.4877,80.8572,82.2508,83.2742,83.2949,84.5856,85.6601,87.0344,87.4982,87.5937,94.2772,99.8496,104.58,106.74,113.524,113.894,115.384,125.965,147.911,153.453,159.458,168.626,189.609,211.119
-7.27304,0.986258,0.404119,4,15,0,8.82685,0.332327,69.2293,69.2293,0.332327,0.38718,1,0,0.370858,1,1.0279,1.03659,1.05026,1.07472,1.07935,1.08989,1.09042,1.13007,1.13608,1.18187,1.20087,1.21484,1.21512,1.23277,1.24748,1.26632,1.27268,1.27399,1.36604,1.4432,1.50894,1.53904,1.63377,1.63895,1.6598,1.8082,2.11737,2.19564,2.28052,2.41022,2.70742,3.01247,0.0690636,0.0884395,0.117193,0.164262,0.172619,0.191059,0.191976,0.255052,0.263878,0.326029,0.349533,0.366092,0.366421,0.386521,0.402649,0.422541,0.429079,0.430414,0.516106,0.578079,0.625518,0.645861,0.705148,0.708203,0.72033,0.799422,0.933864,0.963083,0.993024,1.03568,1.1218,1.19707,71.1604,71.7625,72.7086,74.4021,74.7226,75.452,75.489,78.2339,78.6499,81.8203,83.1354,84.1025,84.1221,85.3436,86.3619,87.6661,88.1067,88.1974,94.5698,99.9116,104.463,106.547,113.105,113.463,114.907,125.18,146.584,152.002,157.879,166.858,187.433,208.551
