# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cc_model
# start_datetime = 2023-07-21 15:10:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model3/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp04urymr_/mtihphj_.json
# random
#   seed = 83402
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/cc/cc-20230721161048.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,theta.1,theta.2,lambda,yy0.1,yy0.2,yp0.1,yp0.2,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.7.1,S.8.1,S.9.1,S.10.1,S.11.1,S.12.1,S.13.1,S.14.1,S.15.1,S.16.1,S.17.1,S.18.1,S.19.1,S.20.1,S.21.1,S.22.1,S.23.1,S.24.1,S.25.1,S.26.1,S.27.1,S.28.1,S.29.1,S.30.1,S.31.1,S.32.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,S.7.2,S.8.2,S.9.2,S.10.2,S.11.2,S.12.2,S.13.2,S.14.2,S.15.2,S.16.2,S.17.2,S.18.2,S.19.2,S.20.2,S.21.2,S.22.2,S.23.2,S.24.2,S.25.2,S.26.2,S.27.2,S.28.2,S.29.2,S.30.2,S.31.2,S.32.2,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32
# Adaptation terminated
# Step size = 0.555145
# Diagonal elements of inverse mass matrix:
# 0.00165899, 5.38415
-7.6454,0.948614,0.555145,1,3,0,7.92996,0.316649,71.584,71.584,0.316649,0.393141,1,0,0.349982,1,1.02633,1.03455,1.04746,1.0706,1.07498,1.08495,1.08546,1.12303,1.12873,1.17223,1.1903,1.2036,1.20387,1.22068,1.23471,1.25268,1.25876,1.26001,1.34808,1.42214,1.48538,1.51437,1.60574,1.61074,1.63087,1.77441,2.07425,2.15029,2.23278,2.3589,2.64813,2.94522,0.0691152,0.088525,0.117345,0.164568,0.172957,0.191477,0.192398,0.255816,0.264698,0.327308,0.351013,0.367722,0.368055,0.388348,0.404639,0.424742,0.431351,0.432701,0.51944,0.582286,0.630453,0.651123,0.711411,0.71452,0.72686,0.807409,0.944534,0.974365,1.00494,1.04852,1.13654,1.21352,73.4691,74.0572,74.9816,76.6375,76.9511,77.6649,77.7012,80.3908,80.7989,83.9127,85.2064,86.1586,86.1779,87.3813,88.3853,89.6721,90.1071,90.1967,96.501,101.802,106.329,108.404,114.945,115.303,116.744,127.019,148.483,153.926,159.831,168.859,189.563,210.831
-7.39765,1,0.555145,2,7,0,7.59107,0.303794,70.0602,70.0602,0.303794,0.397974,1,0,0.333131,1,1.02507,1.0329,1.0452,1.06725,1.07143,1.08094,1.08143,1.1173,1.12275,1.16436,1.18167,1.19442,1.19468,1.2108,1.22426,1.24152,1.24735,1.24856,1.3333,1.40476,1.46589,1.49394,1.58248,1.58733,1.60687,1.74629,2.03828,2.11242,2.1929,2.316,2.59852,2.88893,0.069157,0.0885942,0.117469,0.164816,0.173232,0.191817,0.192742,0.25644,0.265368,0.328356,0.352228,0.369063,0.369397,0.389852,0.406279,0.426558,0.433227,0.43459,0.522208,0.585792,0.634577,0.655526,0.716669,0.719824,0.732347,0.814147,0.953592,0.983954,1.01508,1.05946,1.14913,1.2276,71.8168,72.365,73.227,74.7719,75.0646,75.7311,75.765,78.2784,78.6601,81.5753,82.788,83.6811,83.6992,84.8287,85.7716,86.9809,87.3898,87.474,93.4115,98.4175,102.7,104.666,110.869,111.209,112.578,122.346,142.802,147.997,153.635,162.26,182.053,202.399
-7.82043,0.977398,0.555145,3,7,0,8.00999,0.275059,71.7601,71.7601,0.275059,0.408601,1,0,0.296331,1,1.02231,1.02928,1.04024,1.05991,1.06364,1.07214,1.07257,1.10468,1.10956,1.14694,1.16253,1.17402,1.17426,1.18882,1.20099,1.21662,1.22191,1.223,1.30014,1.36558,1.42182,1.4477,1.52964,1.53414,1.55228,1.6821,1.9557,2.02544,2.10122,2.21728,2.48417,2.75902,0.0692486,0.0887461,0.11774,0.165364,0.17384,0.192569,0.193502,0.257825,0.266858,0.330698,0.354947,0.372067,0.372408,0.393229,0.409967,0.43065,0.437457,0.438848,0.528501,0.593808,0.64405,0.665658,0.728835,0.732099,0.745059,0.829862,0.974926,1.00658,1.03906,1.08539,1.17913,1.26125,73.3612,73.8612,74.648,76.0594,76.3271,76.9368,76.9679,79.2716,79.622,82.3043,83.423,84.2481,84.2648,85.3097,86.1831,87.3048,87.6845,87.7628,93.2981,97.9939,102.03,103.887,109.767,110.09,111.391,120.708,140.341,145.346,150.784,159.112,178.264,197.987
-8.1656,0.990983,0.555145,2,3,0,8.17661,0.284524,73.485,73.485,0.284524,0.405127,1,0,0.308321,1,1.02321,1.03046,1.04186,1.06231,1.06619,1.07502,1.07547,1.10881,1.11388,1.15265,1.16881,1.18072,1.18096,1.19604,1.20864,1.22481,1.23028,1.23141,1.31108,1.37853,1.43641,1.46302,1.54718,1.5518,1.5704,1.70345,1.98324,2.05446,2.13182,2.25025,2.52238,2.80246,0.0692187,0.0886965,0.117651,0.165184,0.173641,0.192323,0.193253,0.257371,0.266369,0.329927,0.354051,0.371076,0.371415,0.392115,0.408749,0.429297,0.436059,0.43744,0.526412,0.59114,0.640891,0.662276,0.724764,0.727991,0.740803,0.824583,0.967726,0.998937,1.03095,1.07661,1.16895,1.24981,75.1908,75.7234,76.5612,78.0638,78.3487,78.9976,79.0306,81.4807,81.8532,84.7024,85.8898,86.7651,86.7829,87.8908,88.8166,90.005,90.4072,90.49,96.3447,101.301,105.555,107.51,113.695,114.034,115.401,125.178,145.738,150.972,156.657,165.36,185.357,205.939
-7.46278,0.977485,0.555145,3,7,0,8.30595,0.306662,69.6569,69.6569,0.306662,0.3969,1,0,0.336869,1,1.02535,1.03326,1.0457,1.06799,1.07222,1.08183,1.08232,1.11858,1.12408,1.16611,1.18359,1.19646,1.19672,1.213,1.22659,1.24401,1.2499,1.25111,1.3366,1.40864,1.47025,1.49851,1.58769,1.59257,1.61225,1.7526,2.04635,2.12092,2.20186,2.32564,2.60966,2.90158,0.0691477,0.0885788,0.117441,0.164761,0.173171,0.191741,0.192666,0.256301,0.265219,0.328122,0.351957,0.368763,0.369098,0.389516,0.405913,0.426152,0.432808,0.434167,0.521588,0.585005,0.633651,0.654537,0.715487,0.718631,0.731113,0.812629,0.951547,0.981787,1.01279,1.05698,1.14628,1.22441,71.4229,71.9739,72.8404,74.3932,74.6873,75.3571,75.3912,77.9165,78.2999,81.2277,82.4453,83.3419,83.36,84.4938,85.4401,86.6536,87.0639,87.1484,93.1036,98.1215,102.413,104.382,110.594,110.934,112.304,122.08,142.542,147.737,153.375,161.996,181.781,202.115
-7.33021,0.938391,0.555145,2,3,0,7.90035,0.302173,70.5635,70.5635,0.302173,0.39858,1,0,0.331023,1,1.02491,1.03269,1.04492,1.06683,1.07099,1.08044,1.08092,1.11658,1.122,1.16337,1.18058,1.19326,1.19352,1.20955,1.22294,1.24011,1.24592,1.24711,1.33144,1.40256,1.46342,1.49136,1.57953,1.58436,1.60382,1.74272,2.0337,2.1076,2.18783,2.31054,2.5922,2.88175,0.0691623,0.0886029,0.117484,0.164847,0.173267,0.19186,0.192785,0.256518,0.265453,0.328488,0.352381,0.369232,0.369567,0.390042,0.406486,0.426787,0.433465,0.434829,0.52256,0.586237,0.635102,0.656087,0.71734,0.720501,0.733048,0.815009,0.954755,0.985185,1.01639,1.06086,1.15076,1.22942,72.3216,72.8702,73.7331,75.2795,75.5725,76.2397,76.2736,78.79,79.1722,82.0915,83.3061,84.2007,84.2188,85.3503,86.2949,87.5064,87.9162,88.0005,93.9508,98.9693,103.264,105.235,111.457,111.798,113.171,122.973,143.505,148.72,154.381,163.04,182.914,203.346
