lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,theta.1,theta.2,lambda,yy0.1,yy0.2,yp0.1,yp0.2,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.7.1,S.8.1,S.9.1,S.10.1,S.11.1,S.12.1,S.13.1,S.14.1,S.15.1,S.16.1,S.17.1,S.18.1,S.19.1,S.20.1,S.21.1,S.22.1,S.23.1,S.24.1,S.25.1,S.26.1,S.27.1,S.28.1,S.29.1,S.30.1,S.31.1,S.32.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,S.7.2,S.8.2,S.9.2,S.10.2,S.11.2,S.12.2,S.13.2,S.14.2,S.15.2,S.16.2,S.17.2,S.18.2,S.19.2,S.20.2,S.21.2,S.22.2,S.23.2,S.24.2,S.25.2,S.26.2,S.27.2,S.28.2,S.29.2,S.30.2,S.31.2,S.32.2,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32
# Adaptation terminated
# Step size = 0.516917
# Diagonal elements of inverse mass matrix:
# 0.00127486, 4.29564
-7.27916,1,0.516917,2,3,0,7.38521,0.332564,69.1608,69.1608,0.332564,0.387089,1,0,0.371178,1,1.02792,1.03662,1.0503,1.07478,1.07942,1.08996,1.0905,1.13018,1.13619,1.18202,1.20103,1.21501,1.21529,1.23295,1.24767,1.26652,1.27289,1.2742,1.36631,1.44352,1.5093,1.53941,1.63419,1.63937,1.66023,1.80871,2.11801,2.19632,2.28124,2.41099,2.70831,3.01348,0.0690628,0.0884382,0.117191,0.164258,0.172613,0.191053,0.19197,0.25504,0.263865,0.32601,0.349511,0.366067,0.366397,0.386494,0.402619,0.422507,0.429044,0.430379,0.516055,0.578016,0.625444,0.645782,0.705054,0.708109,0.720232,0.799303,0.933705,0.962915,0.992847,1.03549,1.12158,1.19683,71.0917,71.6937,72.6397,74.3329,74.6533,75.3825,75.4196,78.1639,78.5798,81.7494,83.0643,84.0311,84.0507,85.2719,86.2899,87.5937,88.0341,88.1248,94.495,99.8347,104.384,106.467,113.022,113.38,114.823,125.092,146.483,151.899,157.772,166.746,187.309,208.414
-7.30346,0.997168,0.516917,3,11,0,7.52744,0.305354,70.9751,70.9751,0.305354,0.39739,1,0,0.335163,1,1.02522,1.0331,1.04547,1.06766,1.07186,1.08143,1.08191,1.11799,1.12347,1.16531,1.18272,1.19553,1.19579,1.212,1.22552,1.24287,1.24874,1.24995,1.3351,1.40687,1.46826,1.49643,1.58532,1.59019,1.6098,1.74973,2.04267,2.11705,2.19778,2.32125,2.60459,2.89582,0.069152,0.0885859,0.117454,0.164786,0.173199,0.191776,0.192701,0.256364,0.265287,0.328229,0.35208,0.3689,0.369234,0.389669,0.40608,0.426337,0.432999,0.43436,0.521871,0.585363,0.634073,0.654987,0.716025,0.719174,0.731675,0.81332,0.952477,0.982773,1.01383,1.05811,1.14758,1.22586,72.7655,73.3242,74.2027,75.777,76.0753,76.7544,76.789,79.3498,79.7387,82.7082,83.9434,84.8529,84.8713,86.0216,86.9817,88.2129,88.6293,88.715,94.7588,99.8528,104.21,106.209,112.518,112.864,114.256,124.187,144.979,150.258,155.988,164.751,184.861,205.531
-8.23872,0.846029,0.516917,2,7,0,8.67,0.343906,70.9291,70.9291,0.343906,0.382728,1,0,0.38651,1,1.02906,1.03812,1.05235,1.0778,1.08261,1.09357,1.09413,1.13531,1.14155,1.18903,1.20871,1.22317,1.22346,1.24171,1.25692,1.27639,1.28296,1.28431,1.37925,1.45865,1.52621,1.5571,1.65425,1.65955,1.68092,1.83282,2.14869,2.22858,2.31518,2.44746,2.75041,3.0612,0.069025,0.0883757,0.11708,0.164035,0.172367,0.190748,0.191662,0.254486,0.26327,0.325086,0.348443,0.364892,0.365219,0.385178,0.401187,0.420925,0.427411,0.428736,0.513672,0.575019,0.621939,0.642049,0.700624,0.703642,0.715617,0.79368,0.926234,0.955024,0.98452,1.02653,1.11132,1.18541,72.9906,73.633,74.6422,76.4474,76.7889,77.5658,77.6054,80.5266,80.9689,84.337,85.7325,86.7581,86.7789,88.0735,89.1522,90.533,90.9993,91.0952,97.829,103.461,108.252,110.444,117.334,117.711,119.226,130,152.405,158.071,164.214,173.596,195.084,217.128
-7.83362,1,0.516917,1,1,0,8.20382,0.340719,70.5804,70.5804,0.340719,0.383958,1,0,0.382183,1,1.02874,1.0377,1.05177,1.07695,1.08171,1.09255,1.0931,1.13386,1.14004,1.18706,1.20655,1.22087,1.22116,1.23925,1.25432,1.27361,1.28013,1.28147,1.37562,1.45441,1.52147,1.55215,1.64863,1.6539,1.67513,1.82607,2.14011,2.21956,2.30569,2.43726,2.73865,3.04787,0.0690357,0.0883933,0.117111,0.164098,0.172436,0.190834,0.191749,0.254642,0.263438,0.325346,0.348743,0.365222,0.365549,0.385547,0.401589,0.421369,0.427869,0.429196,0.514339,0.575857,0.622919,0.643092,0.701861,0.704889,0.716905,0.795247,0.928313,0.95722,0.986837,1.02902,1.11417,1.18858,72.6089,73.2412,74.2345,76.0116,76.3477,77.1127,77.1516,80.0286,80.4644,83.7831,85.1586,86.1697,86.1902,87.4667,88.5304,89.8922,90.3522,90.4468,97.0917,102.653,107.386,109.551,116.361,116.733,118.231,128.885,151.05,156.657,162.737,172.023,193.295,215.12
-7.99796,0.998404,0.516917,2,7,0,8.10737,0.284308,70.2321,70.2321,0.284308,0.405206,1,0,0.308047,1,1.02319,1.03043,1.04182,1.06225,1.06613,1.07495,1.0754,1.10871,1.11378,1.15252,1.16866,1.18057,1.18081,1.19587,1.20846,1.22462,1.23009,1.23122,1.31083,1.37823,1.43608,1.46267,1.54678,1.5514,1.56999,1.70297,1.98261,2.0538,2.13113,2.2495,2.52152,2.80148,0.0692194,0.0886977,0.117653,0.165188,0.173646,0.192328,0.193258,0.257381,0.26638,0.329945,0.354072,0.371099,0.371438,0.39214,0.408777,0.429328,0.436091,0.437472,0.52646,0.5912,0.640962,0.662352,0.724856,0.728084,0.740899,0.824702,0.967888,0.999109,1.03113,1.07681,1.16918,1.25007,71.8609,72.3694,73.1695,74.6043,74.8763,75.496,75.5275,77.8672,78.2229,80.9438,82.0777,82.9136,82.9305,83.9886,84.8727,86.0076,86.3917,86.4708,92.0623,96.7962,100.859,102.727,108.634,108.958,110.264,119.603,139.243,144.243,149.674,157.987,177.092,196.754
-8.05788,0.953464,0.516917,3,15,0,9.4411,0.381807,66.8775,66.8775,0.381807,0.367853,1,0,0.439135,1,1.03298,1.04324,1.05934,1.08807,1.09349,1.10583,1.10645,1.15267,1.15965,1.21262,1.23448,1.25051,1.25083,1.27104,1.28784,1.30932,1.31656,1.31805,1.42214,1.50861,1.58183,1.61524,1.71995,1.72565,1.74862,1.91148,2.24836,2.3333,2.4253,2.56569,2.88673,3.2156,0.0688959,0.0881625,0.116701,0.163281,0.171532,0.18972,0.190624,0.252625,0.261274,0.322006,0.344892,0.360989,0.361309,0.380819,0.396452,0.415704,0.422026,0.423317,0.505882,0.565287,0.610604,0.629998,0.686399,0.689302,0.700815,0.775758,0.902635,0.93014,0.958305,0.998393,1.07922,1.14979,69.0832,69.7693,70.8458,72.7673,73.1302,73.9549,73.9968,77.0878,77.5546,81.0967,82.5586,83.631,83.6527,85.004,86.1278,87.5638,88.0481,88.1477,95.109,100.892,105.789,108.023,115.026,115.407,116.944,127.835,150.365,156.046,162.198,171.587,193.057,215.051
-7.61015,0.874948,0.516917,2,3,0,9.08735,0.361203,68.2188,68.2188,0.361203,0.375998,1,0,0.410261,1,1.03083,1.04044,1.05551,1.08245,1.08754,1.09913,1.09971,1.1432,1.14977,1.19977,1.22045,1.23563,1.23594,1.25509,1.27103,1.29143,1.29831,1.29972,1.39889,1.48158,1.55176,1.58382,1.68448,1.68997,1.71208,1.86908,2.19471,2.27694,2.36605,2.50209,2.81343,3.1326,0.0689666,0.0882792,0.116908,0.163693,0.171988,0.190281,0.19119,0.253638,0.26236,0.323678,0.346818,0.363105,0.363429,0.383181,0.399016,0.418529,0.424939,0.426248,0.510083,0.570524,0.616694,0.636469,0.694024,0.696987,0.708745,0.78534,0.915213,0.943395,0.972261,1.01336,1.09627,1.16869,70.3222,70.9772,72.0057,73.8436,74.1909,74.981,75.0211,77.9874,78.436,81.8467,83.2574,84.2933,84.3142,85.6207,86.7084,88.0995,88.569,88.6656,95.4308,101.071,105.859,108.046,114.913,115.288,116.796,127.506,149.72,155.33,161.409,170.689,191.929,213.702
-7.2947,0.995023,0.516917,2,7,0,8.36912,0.314565,69.7203,69.7203,0.314565,0.393928,1,0,0.347233,1,1.02613,1.03428,1.04709,1.07005,1.0744,1.0843,1.0848,1.1221,1.12776,1.17095,1.1889,1.20211,1.20238,1.21908,1.23301,1.25087,1.25691,1.25815,1.34569,1.41933,1.48223,1.51107,1.60198,1.60696,1.627,1.76987,2.06846,2.14419,2.22636,2.35199,2.64014,2.93617,0.0691221,0.0885363,0.117365,0.164608,0.173002,0.191532,0.192454,0.255917,0.264807,0.327478,0.35121,0.367939,0.368272,0.388592,0.404905,0.425035,0.431655,0.433007,0.519887,0.582851,0.631117,0.651832,0.712256,0.715373,0.727742,0.808489,0.945983,0.975898,1.00656,1.05026,1.13855,1.21576,71.542,72.1103,73.0038,74.6043,74.9074,75.5974,75.6325,78.2329,78.6275,81.6389,82.8903,83.8114,83.8301,84.9944,85.9659,87.2112,87.6321,87.7188,93.8217,98.9558,103.341,105.352,111.691,112.038,113.435,123.396,144.213,149.494,155.223,163.982,184.072,204.71
-7.67566,0.889384,0.516917,2,7,0,8.74931,0.316905,71.6243,71.6243,0.316905,0.393045,1,0,0.350319,1,1.02636,1.03458,1.04751,1.07066,1.07505,1.08503,1.08554,1.12314,1.12885,1.17238,1.19047,1.20378,1.20405,1.22088,1.23492,1.25291,1.25899,1.26024,1.34837,1.42248,1.48576,1.51477,1.60619,1.6112,1.63135,1.77496,2.07496,2.15103,2.23357,2.35974,2.6491,2.94633,0.0691144,0.0885236,0.117343,0.164563,0.172952,0.19147,0.192392,0.255804,0.264685,0.327287,0.350989,0.367696,0.368028,0.388318,0.404607,0.424706,0.431314,0.432664,0.519386,0.582217,0.630372,0.651037,0.711308,0.714416,0.726752,0.807277,0.944357,0.974178,1.00474,1.0483,1.13629,1.21324,73.5123,74.1013,75.0271,76.6855,76.9995,77.7144,77.7508,80.4443,80.853,83.9712,85.2667,86.2202,86.2395,87.4446,88.45,89.7385,90.1741,90.2638,96.5763,101.884,106.417,108.494,115.043,115.401,116.844,127.13,148.618,154.066,159.978,169.015,189.74,211.029
-8.13432,0.940895,0.516917,3,11,0,9.46032,0.344708,70.7536,70.7536,0.344708,0.382419,1,0,0.387601,1,1.02914,1.03823,1.05249,1.07801,1.08284,1.09382,1.09438,1.13567,1.14193,1.18953,1.20925,1.22374,1.22404,1.24233,1.25757,1.27708,1.28367,1.28503,1.38016,1.45972,1.5274,1.55835,1.65566,1.66097,1.68237,1.83451,2.15085,2.23084,2.31756,2.45002,2.75337,3.06455,0.0690223,0.0883712,0.117072,0.164019,0.172349,0.190727,0.191641,0.254447,0.263228,0.325021,0.348367,0.364809,0.365136,0.385085,0.401086,0.420814,0.427296,0.42862,0.513504,0.574809,0.621693,0.641787,0.700314,0.703329,0.715294,0.793287,0.925714,0.954474,0.983941,1.02591,1.11061,1.18462,72.8157,73.4583,74.4677,76.2734,76.6149,77.392,77.4315,80.353,80.7954,84.1633,85.5587,86.5842,86.6049,87.8994,88.9778,90.3582,90.8244,90.9203,97.6514,103.28,108.069,110.259,117.144,117.52,119.034,129.798,152.18,157.84,163.976,173.347,194.81,216.828
