# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-25 10:45:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model3/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpkqw66c8c/_e_nzfz2.json
# random
#   seed = 18528
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/bao/bao-20230725114542.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,lambda,yy0.1,yy0.2,yp0.1,yp0.2,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.367923
# Diagonal elements of inverse mass matrix:
# 0.0007232, 0.0149394
1.16193,0.919654,0.367923,2,7,0,0.121149,76.3375,0.335612,76.3375,0.335612,0.385921,1,0,0.37528,1,1.16279,1.24641,1.35011,1.37586,1.4946,2.40764,0.298487,0.398228,0.498499,0.520511,0.611201,1.02891,1260.43,1659.72,2046.26,2128.94,2460.77,3793.32,150,299790
0.967442,0.999746,0.367923,3,7,0,-0.871022,76.6683,0.371727,76.6683,0.371727,0.371856,1,0,0.42493,1,1.18285,1.27549,1.38931,1.4174,1.54635,2.52078,0.296033,0.393789,0.491498,0.512877,0.600715,1.00166,1276.37,1674.09,2056.13,2137.49,2462.98,3757.75,150,299790
1.01941,0.996068,0.367923,1,3,0,-0.727091,77.2862,0.372854,77.2862,0.372854,0.37141,1,0,0.42651,1,1.18348,1.2764,1.39052,1.41869,1.54795,2.52423,0.295957,0.393652,0.491283,0.512643,0.600396,1.00085,1271.86,1667.97,2048.38,2129.39,2453.42,3742.05,150,299790
1.36198,0.993214,0.367923,3,13,0,-0.773786,75.926,0.339799,75.926,0.339799,0.384312,1,0,0.380937,1,1.1651,1.24978,1.35468,1.3807,1.50066,2.42102,0.298202,0.39771,0.497677,0.519613,0.60996,1.02562,1266.12,1666.44,2053.61,2136.37,2468.43,3800.26,150,299790
-0.685921,0.961388,0.367923,3,9,0,0.913591,71.0866,0.25873,71.0866,0.25873,0.414535,1,0,0.275947,1,1.12115,1.18496,1.26572,1.28603,1.38093,2.14796,0.303684,0.40786,0.514077,0.537592,0.635189,1.09648,1251.43,1662.98,2069.32,2157.24,2513.52,3986.3,150,299790
0.47302,0.99609,0.367923,4,15,0,1.04893,72.648,0.284969,72.648,0.284969,0.404963,1,0,0.308888,1,1.13516,1.20581,1.29461,1.31684,1.42022,2.23978,0.301918,0.404551,0.508664,0.531641,0.626744,1.07175,1258.65,1667.2,2067.66,2153.93,2502.24,3925.44,150,299790
0.479243,0.992631,0.367923,2,3,0,-0.402615,72.6273,0.286965,72.6273,0.286965,0.404226,1,0,0.311435,1,1.13624,1.20741,1.2968,1.31918,1.42319,2.24662,0.301783,0.4043,0.508256,0.531193,0.626112,1.06994,1260.28,1668.96,2069.34,2155.57,2503.6,3924.54,150,299790
0.175748,0.904771,0.367923,2,3,0,-0.0230733,73.1918,0.2788,73.1918,0.2788,0.407231,1,0,0.301055,1,1.13185,1.2009,1.28782,1.3096,1.41102,2.21851,0.302334,0.405327,0.509928,0.533029,0.628705,1.07739,1249.45,1656.25,2055.67,2141.8,2489.82,3915.47,150,299790
0.965084,0.839807,0.367923,3,11,0,2.53975,75.7172,0.356605,75.7172,0.356605,0.377797,1,0,0.403905,1,1.17442,1.26331,1.37295,1.40007,1.52482,2.47402,0.297061,0.39564,0.494404,0.516042,0.605046,1.01277,1276.78,1677.35,2063.35,2145.69,2475.54,3792.56,150,299790
0.265368,0.857156,0.367923,1,1,0,-0.253137,75.4722,0.365651,75.4722,0.365651,0.374252,1,0,0.416441,1,1.17946,1.2706,1.38274,1.41045,1.53773,2.50209,0.296446,0.394531,0.492661,0.514143,0.602445,1.00608,1283.36,1684.35,2070.01,2152.2,2481.16,3791.67,150,299790
