# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-25 13:30:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model3/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpk2mlqffo/go02ozrp.json
# random
#   seed = 89813
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/bao/bao-20230725143046.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,lambda,yy0.1,yy0.2,yp0.1,yp0.2,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.293347
# Diagonal elements of inverse mass matrix:
# 0.0010928, 0.0179356
1.32859,0.989118,0.293347,3,15,0,-0.840035,75.2979,0.33426,75.2979,0.33426,0.38644,1,0,0.373458,1,1.16204,1.24532,1.34864,1.37429,1.49264,2.4033,0.298578,0.398396,0.498766,0.520802,0.611603,1.02998,1268.21,1670.22,2059.52,2142.8,2477.1,3820.08,150,299790
1.2944,0.990578,0.293347,2,7,0,-1.20629,75.4259,0.339524,75.4259,0.339524,0.384418,1,0,0.380563,1,1.16495,1.24956,1.35438,1.38038,1.50026,2.42014,0.298221,0.397744,0.497731,0.519672,0.610042,1.02584,1270.1,1671.73,2060.19,2143.23,2476.41,3812.87,150,299790
1.22095,0.988321,0.293347,2,3,0,-1.14944,76.3125,0.337449,76.3125,0.337449,0.385216,1,0,0.377758,1,1.1638,1.24789,1.35212,1.37798,1.49726,2.41352,0.298362,0.398001,0.498138,0.520117,0.610656,1.02747,1261.66,1661,2047.43,2130.06,2461.66,3792.54,150,299790
1.14067,0.992094,0.293347,3,11,0,-0.684698,74.7095,0.329994,74.7095,0.329994,0.388072,1,0,0.367729,1,1.15969,1.24189,1.34398,1.36935,1.48645,2.38957,0.298868,0.398925,0.499608,0.521722,0.612877,1.03338,1270.66,1674.26,2065.48,2149.21,2485.49,3838.15,150,299790
1.29446,0.981469,0.293347,2,7,0,-0.791599,76.1894,0.338563,76.1894,0.338563,0.384788,1,0,0.379263,1,1.16442,1.24879,1.35333,1.37927,1.49887,2.41707,0.298286,0.397863,0.49792,0.519878,0.610326,1.02659,1263.28,1662.93,2049.55,2132.22,2463.9,3794.72,150,299790
1.34127,0.996914,0.293347,2,3,0,-1.26352,76.0752,0.339926,76.0752,0.339926,0.384264,1,0,0.381108,1,1.16517,1.24988,1.35482,1.38084,1.50084,2.42142,0.298194,0.397695,0.497652,0.519586,0.609923,1.02553,1264.97,1664.9,2051.68,2134.36,2466.07,3796.49,150,299790
0.764582,0.902858,0.293347,2,3,0,-0.640785,76.6755,0.33235,76.6755,0.33235,0.387171,1,0,0.37089,1,1.16099,1.24379,1.34656,1.37208,1.48987,2.39717,0.298708,0.398632,0.499142,0.521214,0.612172,1.0315,1255.84,1654.29,2040.31,2122.9,2454.54,3787.54,150,299790
0.408394,0.929911,0.293347,3,7,0,0.67643,77.9255,0.399403,77.9255,0.399403,0.360782,1,0,0.464295,1,1.19838,1.29777,1.41904,1.44886,1.58524,2.60424,0.294155,0.390436,0.486278,0.507201,0.593005,0.982355,1278.41,1671.93,2047.94,2127.79,2446.52,3706.81,150,299790
0.350397,0.983211,0.293347,3,7,0,-0.107572,78.5677,0.384269,78.5677,0.384269,0.36687,1,0,0.442627,1,1.18987,1.28559,1.40282,1.4317,1.56406,2.55893,0.295182,0.392264,0.489117,0.510286,0.597187,0.992757,1266.78,1659.31,2035.43,2115.43,2435.12,3703.23,150,299790
-2.79377,0.72285,0.293347,2,7,0,3.96015,74.9376,0.389817,74.9376,0.389817,0.364648,1,0,0.45053,1,1.19299,1.29006,1.40877,1.438,1.57185,2.57563,0.294805,0.391592,0.488072,0.50915,0.595644,0.988901,1299.15,1700.72,2085.12,2166.83,2493.21,3786.33,150,299790
