# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-25 10:45:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model3/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpkqw66c8c/_e_nzfz2.json
# random
#   seed = 18528
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/bao/bao-20230725114542.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,lambda,yy0.1,yy0.2,yp0.1,yp0.2,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.282793
# Diagonal elements of inverse mass matrix:
# 0.00129954, 0.0230247
0.695485,0.97693,0.282793,2,3,0,-0.646952,77.2809,0.386649,77.2809,0.386649,0.365918,1,0,0.446011,1,1.19121,1.28751,1.40537,1.43441,1.5674,2.56611,0.29502,0.391976,0.488668,0.509798,0.596524,0.991097,1278.19,1673.84,2052.78,2133.36,2455.3,3731.7,150,299790
0.940553,0.985477,0.282793,3,15,0,-0.205202,74.2906,0.326174,74.2906,0.326174,0.389529,1,0,0.362622,1,1.15759,1.23882,1.33981,1.36492,1.4809,2.37721,0.299127,0.399399,0.500364,0.522549,0.614023,1.03646,1271.94,1676.67,2069.33,2153.42,2491.25,3851.72,150,299790
1.17114,0.965807,0.282793,1,3,0,-0.647827,74.9027,0.313303,74.9027,0.313303,0.394404,1,0,0.345571,1,1.15053,1.22849,1.32572,1.34995,1.46209,2.33511,0.3,0.401001,0.502929,0.525355,0.617926,1.04706,1258.94,1662,2054.24,2138.38,2476.93,3845.9,150,299790
1.18769,1,0.282793,1,1,0,-1.15963,74.8667,0.31357,74.8667,0.31357,0.394304,1,0,0.345923,1,1.15068,1.2287,1.32602,1.35026,1.46248,2.33599,0.299982,0.400968,0.502875,0.525296,0.617844,1.04683,1259.4,1662.56,2054.87,2139.03,2477.61,3846.61,150,299790
1.27483,0.97246,0.282793,2,7,0,-0.804234,75.6832,0.32746,75.6832,0.32746,0.389039,1,0,0.364339,1,1.15829,1.23986,1.34122,1.36641,1.48277,2.38138,0.29904,0.399239,0.500109,0.52227,0.613636,1.03542,1261.1,1662.14,2051.1,2134.39,2468.93,3815.64,150,299790
0.519015,0.850482,0.282793,2,3,0,0.046497,76.479,0.324167,76.479,0.324167,0.390292,1,0,0.359948,1,1.15649,1.23721,1.33762,1.36259,1.47797,2.3707,0.299264,0.399648,0.500762,0.522984,0.614627,1.03809,1252.68,1651.67,2038.93,2121.89,2455.24,3798.5,150,299790
