# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-25 13:30:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model3/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpk2mlqffo/go02ozrp.json
# random
#   seed = 89813
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/bao/bao-20230725143046.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,lambda,yy0.1,yy0.2,yp0.1,yp0.2,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.468417
# Diagonal elements of inverse mass matrix:
# 0.000612029, 0.01082
0.680827,0.994489,0.468417,2,7,0,0.0296903,73.4079,0.289394,73.4079,0.289394,0.403329,1,0,0.31454,1,1.13755,1.20934,1.29947,1.32202,1.4268,2.25492,0.301619,0.403995,0.50776,0.530649,0.625346,1.06776,1255.4,1662.01,2060.11,2145.81,2491.63,3902.14,150,299790
0.617133,0.84221,0.468417,2,7,0,0.478779,73.9935,0.326663,73.9935,0.326663,0.389343,1,0,0.363274,1,1.15786,1.23922,1.34034,1.36548,1.48161,2.3788,0.299094,0.399338,0.500267,0.522443,0.613876,1.03606,1274.74,1680.28,2073.67,2157.91,2496.33,3858.96,150,299790
0.921598,1,0.468417,2,3,0,-0.563612,74.3739,0.328766,74.3739,0.328766,0.388541,1,0,0.366086,1,1.15901,1.24091,1.34264,1.36792,1.48467,2.38561,0.298951,0.399077,0.49985,0.521987,0.613244,1.03437,1272.76,1677.27,2069.47,2153.43,2490.66,3847.62,150,299790
0.802484,0.982009,0.468417,3,11,0,-0.587582,76.5092,0.329748,76.5092,0.329748,0.388166,1,0,0.367399,1,1.15955,1.2417,1.34371,1.36906,1.4861,2.38878,0.298885,0.398955,0.499656,0.521775,0.61295,1.03358,1255.7,1654.59,2041.26,2124.03,2456.43,3793.56,150,299790
1.15236,0.931067,0.468417,2,7,0,-0.242784,75.1242,0.339235,75.1242,0.339235,0.384529,1,0,0.380172,1,1.16479,1.24933,1.35406,1.38005,1.49985,2.41922,0.298241,0.39778,0.497788,0.519734,0.610127,1.02607,1272.45,1674.88,2064.13,2147.35,2481.24,3820.63,150,299790
1.12555,0.992506,0.468417,2,5,0,-1.01616,74.9165,0.335502,74.9165,0.335502,0.385964,1,0,0.375131,1,1.16273,1.24632,1.34999,1.37573,1.49444,2.40729,0.298494,0.398242,0.498521,0.520535,0.611234,1.029,1272.09,1675.11,2065.26,2148.7,2483.65,3828.71,150,299790
