lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,M,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,dL.16,dL.17,dL.18,dL.19,dL.20,dL.21,dL.22,dL.23,dL.24,dL.25,dL.26,dL.27,dL.28,dL.29,dL.30,dL.31,dL.32,dL.33,dL.34,dL.35,dL.36,dL.37,dL.38,dL.39,dL.40,mbtheo.1,mbtheo.2,mbtheo.3,mbtheo.4,mbtheo.5,mbtheo.6,mbtheo.7,mbtheo.8,mbtheo.9,mbtheo.10,mbtheo.11,mbtheo.12,mbtheo.13,mbtheo.14,mbtheo.15,mbtheo.16,mbtheo.17,mbtheo.18,mbtheo.19,mbtheo.20,mbtheo.21,mbtheo.22,mbtheo.23,mbtheo.24,mbtheo.25,mbtheo.26,mbtheo.27,mbtheo.28,mbtheo.29,mbtheo.30,mbtheo.31,mbtheo.32,mbtheo.33,mbtheo.34,mbtheo.35,mbtheo.36,mbtheo.37,mbtheo.38,mbtheo.39,mbtheo.40,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.123684
# Diagonal elements of inverse mass matrix:
# 0.671895, 0.00101342, 0.000787787
-37.5661,0.988557,0.123684,2,7,0,37.7097,70.0729,0.275575,-19.3586,70.0729,0.275575,-19.3586,72.2131,72.8658,73.8792,75.6589,75.9913,76.7428,76.7808,79.5538,79.9675,83.0729,84.3398,85.2647,85.2834,86.444,87.4056,88.6303,89.0424,89.1272,95.011,99.8656,103.966,105.836,111.699,112.019,113.306,122.45,141.494,146.325,151.569,159.593,178.039,197.048,60.5578,84.2675,115.291,144.389,174.673,210.756,250.031,287.42,325.691,368.699,406.383,461.151,495.772,557.831,599.887,660.38,724.307,785.399,861.767,931.101,1019.6,1102.76,1209.95,1298.1,1417.49,1542.59,1690.03,1837.17,1997.73,2216.99,2418.02,2675.11,2974.84,3376.02,3780.46,4486.63,5241.92,6293.6,8704.56,12148.9,14.5523,15.2697,15.9504,16.4391,16.8525,17.2603,17.6314,17.934,18.2054,18.4748,18.6861,18.9606,19.1178,19.3739,19.5318,19.7404,19.941,20.1169,20.3184,20.4864,20.6836,20.8538,21.0553,21.2079,21.399,21.5827,21.7809,21.9622,22.1441,22.3702,22.5587,22.7781,23.0087,23.2834,23.5291,23.901,24.2389,24.6359,25.3401,26.0641,1247.37,1645.57,2035.48,2119.61,2460.34,3886.4,150,299790
-36.63,0.930217,0.123684,2,7,0,38.4325,69.92,0.279867,-19.3603,69.92,0.279867,-19.3603,72.0883,72.7494,73.7756,75.5774,75.9138,76.6744,76.7129,79.5187,79.9372,83.0777,84.3586,85.2935,85.3124,86.4854,87.4573,88.6948,89.1112,89.1968,95.1398,100.041,104.18,106.066,111.98,112.303,113.601,122.822,142.013,146.879,152.161,160.243,178.816,197.951,60.6875,84.4464,115.533,144.689,175.032,211.185,250.533,287.989,326.327,369.409,407.155,462.011,496.685,558.836,600.951,661.527,725.537,786.703,863.159,932.567,1021.15,1104.39,1211.67,1299.87,1419.35,1544.51,1692.01,1839.19,1999.78,2219.04,2420.05,2677.07,2976.67,3377.59,3781.69,4487.08,5241.33,6291.24,8697.13,12132.6,14.5552,15.2726,15.9533,16.4419,16.8553,17.263,17.634,17.9366,18.208,18.4773,18.6885,18.963,19.1201,19.3761,19.5339,19.7425,19.943,20.1188,20.3202,20.4881,20.6852,20.8553,21.0566,21.2092,21.4002,21.5837,21.7817,21.9629,22.1446,22.3706,22.5588,22.778,23.0084,23.2828,23.5282,23.8995,24.2369,24.6334,25.3366,26.0595,1251.92,1650.8,2041.01,2125.15,2465.8,3888.88,150,299790
-38.3204,0.660704,0.123684,2,7,0,40.5706,70.0755,0.274793,-19.3527,70.0755,0.274793,-19.3527,72.2097,72.8607,73.8714,75.6464,75.9779,76.7275,76.7654,79.5314,79.9441,83.0419,84.3058,85.2286,85.2472,86.405,87.3645,88.5864,88.9976,89.0821,94.9529,99.7973,103.89,105.756,111.607,111.926,113.211,122.338,141.348,146.17,151.405,159.416,177.832,196.811,60.5561,84.2654,115.289,144.386,174.67,210.754,250.031,287.42,325.693,368.703,406.389,461.162,495.786,557.85,599.91,660.41,724.345,785.445,861.825,931.171,1019.68,1102.86,1210.07,1298.24,1417.67,1542.8,1690.28,1837.47,1998.08,2217.42,2418.53,2675.72,2975.59,3376.95,3781.61,4488.18,5243.94,6296.32,8709.09,12156.3,14.5581,15.2755,15.9562,16.4449,16.8584,17.2661,17.6372,17.9399,18.2113,18.4806,18.692,18.9665,19.1237,19.3799,19.5377,19.7463,19.947,20.1228,20.3244,20.4924,20.6896,20.8599,21.0613,21.214,21.4051,21.5888,21.7871,21.9684,22.1503,22.3765,22.565,22.7845,23.0151,23.2899,23.5356,23.9076,24.2456,24.6427,25.3471,26.0713,1246.76,1644.91,2034.82,2118.96,2459.78,3886.64,150,299790
-37.581,0.993553,0.123684,2,7,0,38.362,70.1159,0.275548,-19.3558,70.1159,0.275548,-19.3558,72.2572,72.9103,73.9242,75.7048,76.0374,76.7892,76.8273,79.6018,80.0157,83.1228,84.3903,85.3157,85.3344,86.4956,87.4578,88.6831,89.0954,89.1802,95.0672,99.9244,104.028,105.898,111.764,112.084,113.372,122.522,141.576,146.409,151.656,159.685,178.141,197.16,60.5207,84.2158,115.22,144.3,174.566,210.627,249.878,287.244,325.491,368.474,406.134,460.869,495.469,557.49,599.52,659.977,723.865,784.92,861.242,930.534,1018.98,1102.09,1209.21,1297.31,1416.63,1541.65,1689.01,1836.06,1996.52,2215.65,2416.56,2673.49,2973.05,3373.98,3778.19,4483.94,5238.78,6289.84,8699.39,12141.7,14.5537,15.2711,15.9518,16.4405,16.854,17.2617,17.6328,17.9354,18.2069,18.4762,18.6875,18.9621,19.1193,19.3754,19.5332,19.7418,19.9425,20.1183,20.3198,20.4878,20.685,20.8553,21.0567,21.2094,21.4005,21.5841,21.7823,21.9636,22.1455,22.3717,22.5602,22.7796,23.0102,23.2849,23.5306,23.9025,24.2403,24.6374,25.3416,26.0656,1246.97,1645.05,2034.84,2118.94,2459.58,3885.24,150,299790
-40.7113,0.7496,0.123684,4,19,0,41.5844,68.4692,0.307359,-19.3867,68.4692,0.307359,-19.3867,70.7976,71.5062,72.605,74.5312,74.8903,75.702,75.743,78.7315,79.1765,82.5111,83.8685,84.8585,84.8785,86.1196,87.1471,88.4545,88.8941,88.9845,95.2468,100.396,104.735,106.711,112.895,113.232,114.588,124.202,144.148,149.195,154.669,163.039,182.246,202.005,61.9556,86.2014,117.917,147.655,178.595,215.449,255.547,293.704,332.748,376.607,415.023,470.831,506.095,569.279,612.078,673.615,738.611,800.692,878.256,948.636,1038.42,1122.73,1231.33,1320.58,1441.39,1567.86,1716.81,1865.32,2027.24,2248.13,2450.44,2708.89,3009.85,3412.09,3817.03,4522.78,5276.12,6322.91,8715.64,12122.8,14.5737,15.2909,15.9712,16.4596,16.8727,17.28,17.6507,17.9529,18.2239,18.4928,18.7037,18.9776,19.1345,19.3899,19.5473,19.7554,19.9554,20.1306,20.3314,20.4988,20.6952,20.8647,21.0652,21.2171,21.4072,21.5898,21.7869,21.9671,22.1478,22.3724,22.5595,22.7773,23.006,23.2784,23.5219,23.8903,24.2249,24.6179,25.3148,26.0313,1284.28,1688.59,2081.82,2166.32,2507.42,3917.27,150,299790
-40.0991,1,0.123684,2,3,0,40.5796,68.6736,0.307892,-19.3939,68.6736,0.307892,-19.3939,71.013,71.7249,72.8288,74.7639,75.1247,75.94,75.9813,78.9833,79.4303,82.7798,84.1433,85.1377,85.1578,86.4044,87.4364,88.7495,89.191,89.2818,95.5713,100.743,105.1,107.084,113.294,113.633,114.994,124.648,144.676,149.743,155.239,163.642,182.926,202.763,61.7707,85.9441,117.565,147.214,178.061,214.803,254.78,292.822,331.747,375.474,413.772,469.41,504.567,567.558,610.225,671.572,736.367,798.257,875.58,945.74,1035.24,1119.29,1227.55,1316.52,1436.94,1563.01,1711.49,1859.52,2020.92,2241.09,2442.75,2700.35,3000.32,3401.24,3804.82,4508.2,5258.98,6302.18,8686.6,12081.8,14.56,15.2772,15.9575,16.4458,16.8589,17.2663,17.6369,17.9391,18.2101,18.479,18.6899,18.9638,19.1207,19.3761,19.5335,19.7415,19.9416,20.1168,20.3176,20.4849,20.6813,20.8508,21.0513,21.2032,21.3933,21.5759,21.773,21.9531,22.1338,22.3584,22.5455,22.7632,22.9919,23.2643,23.5078,23.8761,24.2106,24.6035,25.3003,26.0167,1282.74,1686.48,2079.1,2163.48,2504.02,3911.27,150,299790
-41.5923,0.715016,0.123684,1,3,0,41.9654,68.7449,0.307487,-19.3954,68.7449,0.307487,-19.3954,71.0836,71.7954,72.8991,74.8338,75.1945,76.0097,76.051,79.0526,79.4996,82.8487,84.2122,85.2065,85.2266,86.4731,87.5051,88.8182,89.2597,89.3505,95.64,100.812,105.17,107.154,113.365,113.703,115.064,124.72,144.752,149.82,155.318,163.723,183.012,202.855,61.7069,85.8555,117.444,147.062,177.878,214.584,254.52,292.524,331.41,375.094,413.354,468.938,504.06,566.989,609.616,670.904,735.637,797.468,874.718,944.814,1034.23,1118.2,1226.36,1315.25,1435.57,1561.53,1709.87,1857.78,2019.03,2239.03,2440.51,2697.91,2997.64,3398.24,3801.51,4504.37,5254.61,6297.09,8679.94,12073,14.5563,15.2734,15.9537,16.4421,16.8552,17.2626,17.6332,17.9354,18.2064,18.4753,18.6862,18.9602,19.117,19.3725,19.5299,19.7379,19.9379,20.1132,20.3139,20.4813,20.6777,20.8472,21.0477,21.1996,21.3897,21.5723,21.7694,21.9496,22.1303,22.3549,22.542,22.7597,22.9885,23.2609,23.5044,23.8728,24.2073,24.6003,25.2972,26.0137,1281.82,1685.33,2077.78,2162.12,2502.53,3909.46,150,299790
-40.6287,0.997022,0.123684,2,7,0,42.2776,68.6637,0.305659,-19.3797,68.6637,0.305659,-19.3797,70.986,71.6928,72.789,74.7106,75.069,75.8788,75.9198,78.9019,79.346,82.6741,84.0291,85.0174,85.0374,86.2763,87.3021,88.6074,89.0463,89.1365,95.3896,100.532,104.866,106.84,113.018,113.354,114.709,124.314,144.248,149.292,154.763,163.129,182.329,202.082,61.7812,85.9593,117.587,147.243,178.098,214.851,254.841,292.896,331.835,375.579,413.894,469.557,504.73,567.753,610.443,671.825,736.659,798.588,875.964,946.175,1035.74,1119.86,1228.21,1317.26,1437.79,1563.99,1712.62,1860.82,2022.4,2242.85,2444.77,2702.72,3003.13,3404.67,3808.92,4513.55,5265.76,6311.09,8700.83,12104.3,14.5746,15.2917,15.9721,16.4604,16.8736,17.281,17.6516,17.9538,18.2249,18.4938,18.7047,18.9787,19.1356,19.3911,19.5485,19.7566,19.9566,20.1319,20.3327,20.5001,20.6965,20.8661,21.0666,21.2186,21.4088,21.5914,21.7886,21.9688,22.1496,22.3743,22.5615,22.7793,23.0081,23.2806,23.5243,23.8929,24.2276,24.6208,25.3181,26.035,1281.35,1685.04,2077.79,2162.21,2503.03,3912.58,150,299790
-39.5794,1,0.123684,2,3,0,40.8976,68.6573,0.305112,-19.3823,68.6573,0.305112,-19.3823,70.9753,71.6808,72.775,74.6933,75.051,75.8594,75.9003,78.8774,79.3208,82.6435,83.9963,84.9831,85.003,86.24,87.2642,88.5675,89.0057,89.0958,95.3396,100.475,104.803,106.774,112.943,113.279,114.632,124.226,144.134,149.172,154.638,162.994,182.172,201.903,61.7873,85.968,117.6,147.259,178.118,214.876,254.871,292.931,331.876,375.627,413.947,469.62,504.799,567.833,610.532,671.926,736.774,798.716,876.108,946.336,1035.92,1120.06,1228.44,1317.51,1438.09,1564.32,1713,1861.24,2022.88,2243.41,2445.4,2703.46,3004,3405.71,3810.14,4515.12,5267.72,6313.64,8704.83,12110.6,14.5722,15.2894,15.9698,16.4581,16.8713,17.2787,17.6493,17.9516,18.2226,18.4915,18.7025,18.9765,19.1333,19.3888,19.5463,19.7543,19.9544,20.1297,20.3305,20.498,20.6944,20.8639,21.0645,21.2165,21.4067,21.5894,21.7865,21.9667,22.1476,22.3723,22.5595,22.7773,23.0062,23.2788,23.5224,23.8911,24.2258,24.6191,25.3165,26.0336,1281.05,1684.73,2077.52,2161.96,2502.86,3913.01,150,299790
-38.3741,0.948293,0.123684,4,31,0,40.7182,68.4739,0.298696,-19.4031,68.4739,0.298696,-19.4031,70.7378,71.4273,72.4967,74.3722,74.722,75.5128,75.5528,78.466,78.9,82.1538,83.4791,84.446,84.4655,85.6778,86.6818,87.9594,88.3892,88.4775,94.6024,99.6432,103.894,105.83,111.892,112.223,113.552,122.986,142.576,147.536,152.917,161.146,180.039,199.482,61.9569,86.2064,117.929,147.677,178.629,215.5,255.622,293.806,332.88,376.779,415.233,471.103,506.411,569.68,612.541,674.175,739.282,801.478,879.197,949.728,1039.71,1124.24,1233.13,1322.63,1443.8,1570.68,1720.14,1869.2,2031.75,2253.56,2456.78,2716.45,3018.94,3423.37,3830.66,4540.85,5299.33,6353.82,8765.97,12203.7,14.5574,15.2746,15.955,16.4435,16.8567,17.2641,17.6349,17.9372,18.2083,18.4773,18.6884,18.9625,19.1194,19.3751,19.5326,19.7408,19.941,20.1164,20.3173,20.4849,20.6815,20.8512,21.0519,21.2041,21.3944,21.5773,21.7747,21.9552,22.1363,22.3613,22.5487,22.7669,22.9962,23.2692,23.5133,23.8826,24.218,24.6121,25.3109,26.0294,1278.38,1682.34,2075.92,2160.59,2502.67,3921.09,150,299790
