# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-19 14:18:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmprxp6705z/2zmdpp1c.json
# random
#   seed = 8536
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/bao/bao-20230719151849.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.122922
# Diagonal elements of inverse mass matrix:
# 0.00748528, 82.1989, 32.4057
-10406.5,0.75,0.122922,2,4,1,10410.1,0.257157,64.7832,0.33872,0.257157,64.7832,0.33872,0.110827,0.138211,0.165894,0.172071,0.198134,0.3427,150,299790
-10406.5,0.745063,0.122922,2,4,1,10407,0.25477,65.7003,1.63337,0.25477,65.7003,1.63337,0.107867,0.133205,0.15843,0.164017,0.187474,0.316213,150,299790
-10407.4,0.997312,0.122922,3,15,0,10408.3,0.206961,60.7945,3.09861,0.206961,60.7945,3.09861,0.0923131,0.113334,0.134194,0.13881,0.158178,0.264516,150,299790
-10407.2,0.999975,0.122922,2,7,0,10407.5,0.219929,61.846,2.61968,0.219929,61.846,2.61968,0.0965222,0.118684,0.140691,0.145562,0.165999,0.278184,150,299790
-10407.4,0.874817,0.122922,3,8,1,10408.2,0.218248,60.4947,4.32427,0.218248,60.4947,4.32427,0.0926532,0.113406,0.13398,0.138531,0.157629,0.262554,150,299790
-10406.9,1,0.122922,4,15,0,10407.5,0.2505,61.6396,2.61041,0.2505,61.6396,2.61041,0.102997,0.12664,0.150116,0.155312,0.177114,0.296794,150,299790
-10406.6,0.944259,0.122922,4,18,1,10408,0.374442,75.4422,5.64066,0.374442,75.4422,5.64066,0.12611,0.153978,0.181591,0.187699,0.21333,0.354261,150,299790
-10407.2,0.955864,0.122922,4,23,1,10407.4,0.321501,81.8406,7.91517,0.321501,81.8406,7.91517,0.115855,0.141089,0.166088,0.171617,0.194824,0.322535,150,299790
-10407.7,0.998788,0.122922,4,15,0,10408.1,0.309014,86.1636,7.01852,0.309014,86.1636,7.01852,0.116274,0.141731,0.166952,0.172531,0.195942,0.324738,150,299790
-10408.3,0.93182,0.122922,3,15,1,10409.1,0.257244,88.8536,5.54572,0.257244,88.8536,5.54572,0.108922,0.133028,0.156915,0.162199,0.184372,0.306272,150,299790
-10408.6,0.748588,0.122922,2,4,1,10411.2,0.233251,90.6707,1.06355,0.233251,90.6707,1.06355,0.113477,0.140675,0.167849,0.173876,0.199201,0.338304,150,299790
-10407.3,0.236396,0.122922,4,31,0,10409.4,0.292786,86.4048,0.423784,0.292786,86.4048,0.423784,0.127179,0.158447,0.189966,0.196987,0.226578,0.390217,150,299790
-10407.3,0,0.122922,0,1,1,10408.3,0.292786,86.4048,0.423784,0.292786,86.4048,0.423784,0.127179,0.158447,0.189966,0.196987,0.226578,0.390217,150,299790
-10406.1,0.947314,0.122922,4,19,1,10407.4,0.32655,67.7872,0.867036,0.32655,67.7872,0.867036,0.125354,0.155545,0.185748,0.192452,0.220629,0.375559,150,299790
-10406.3,0.980227,0.122922,4,31,0,10406.4,0.29287,76.5234,0.640524,0.29287,76.5234,0.640524,0.122961,0.15291,0.18297,0.189652,0.217767,0.372637,150,299790
-10406.6,0.998518,0.122922,4,31,0,10407.3,0.298939,80.8298,0.691184,0.298939,80.8298,0.691184,0.12585,0.156424,0.187087,0.1939,0.222559,0.380338,150,299790
-10406.6,0,0.122922,0,1,1,10407.9,0.298939,80.8298,0.691184,0.298939,80.8298,0.691184,0.12585,0.156424,0.187087,0.1939,0.222559,0.380338,150,299790
-10406.7,0.5,0.122922,1,2,1,10407.6,0.30047,82.1285,0.194932,0.30047,82.1285,0.194932,0.127169,0.15855,0.190337,0.197441,0.227474,0.395324,150,299790
-10406.7,0,0.122922,0,1,1,10407.7,0.30047,82.1285,0.194932,0.30047,82.1285,0.194932,0.127169,0.15855,0.190337,0.197441,0.227474,0.395324,150,299790
