# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-19 14:13:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpnxt5f_9e/a1eegjcz.json
# random
#   seed = 46926
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/bao/bao-20230719151303.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.506394
# Diagonal elements of inverse mass matrix:
# 0.0109299, 67.1384, 24.17
-10408.8,0.994234,0.506394,3,7,0,10409.9,0.291423,80.3729,19.2779,0.291423,80.3729,19.2779,0.100223,0.121349,0.14228,0.146913,0.166361,0.273631,150,299790
-10407.8,0.822936,0.506394,2,6,1,10410,0.373623,66.8505,15.4234,0.373623,66.8505,15.4234,0.111163,0.134765,0.158146,0.16332,0.185039,0.304773,150,299790
-10406.6,0.999502,0.506394,3,7,0,10408,0.312318,65.2318,6.79482,0.312318,65.2318,6.79482,0.109239,0.133189,0.156917,0.162166,0.184192,0.305353,150,299790
-10406.8,0.985554,0.506394,3,7,0,10407.6,0.350654,71.7324,9.03547,0.350654,71.7324,9.03547,0.115657,0.140709,0.165525,0.171015,0.194055,0.320892,150,299790
-10408.5,0.5952,0.506394,1,3,1,10414.5,0.176253,67.042,13.4574,0.176253,67.042,13.4574,0.0771779,0.0936501,0.109968,0.113579,0.128735,0.212252,150,299790
-10407.3,0.964809,0.506394,3,7,0,10410.5,0.402491,63.5444,9.15323,0.402491,63.5444,9.15323,0.120095,0.14609,0.171839,0.177535,0.201443,0.333061,150,299790
-10408.3,0.741603,0.506394,2,4,1,10409.5,0.425618,72.5977,16.3751,0.425618,72.5977,16.3751,0.120455,0.145976,0.171259,0.176853,0.20034,0.32984,150,299790
-10416.1,0.72754,0.506394,2,7,1,10416.7,0.70462,81.5023,18.1307,0.70462,81.5023,18.1307,0.158223,0.191617,0.224702,0.232023,0.262761,0.432292,150,299790
-10407.1,0.746729,0.506394,2,4,1,10418.5,0.407083,79.728,5.05524,0.407083,79.728,5.05524,0.134517,0.164384,0.193982,0.200529,0.228001,0.379022,150,299790
-10407.2,0.661897,0.506394,1,3,1,10407.7,0.41406,82.0027,2.98576,0.41406,82.0027,2.98576,0.141502,0.173702,0.205652,0.212721,0.242385,0.405285,150,299790
-10407.6,0.498809,0.506394,1,2,1,10408.4,0.386316,85.2558,5.5886,0.386316,85.2558,5.5886,0.132239,0.161472,0.190437,0.196844,0.22373,0.37156,150,299790
-10407.6,0,0.506394,0,1,1,10411.9,0.386316,85.2558,5.5886,0.386316,85.2558,5.5886,0.132239,0.161472,0.190437,0.196844,0.22373,0.37156,150,299790
-10406.5,0.965465,0.506394,2,7,0,10409.8,0.349298,64.4635,4.43392,0.349298,64.4635,4.43392,0.119144,0.14577,0.172163,0.178001,0.202499,0.337121,150,299790
-10407.4,0.615159,0.506394,1,3,1,10408.7,0.413443,58.2784,3.33008,0.413443,58.2784,3.33008,0.128832,0.157998,0.186927,0.193327,0.220183,0.367688,150,299790
-10407,0.666667,0.506394,1,3,1,10407.5,0.382211,59.0226,2.11631,0.382211,59.0226,2.11631,0.127302,0.156765,0.186042,0.192522,0.219721,0.369032,150,299790
-10407.9,0.759973,0.506394,2,5,1,10409.5,0.160913,64.7491,4.62876,0.160913,64.7491,4.62876,0.0804156,0.0983767,0.116181,0.12012,0.136647,0.227458,150,299790
-10406.7,0.987734,0.506394,2,3,0,10408.4,0.245916,70.8379,5.25516,0.245916,70.8379,5.25516,0.100953,0.123352,0.145551,0.150461,0.171066,0.284329,150,299790
-10407.7,0.957838,0.506394,2,3,0,10407.9,0.185248,66.3608,7.70981,0.185248,66.3608,7.70981,0.083341,0.101525,0.119539,0.123524,0.140248,0.232264,150,299790
-10409.3,0.927535,0.506394,2,3,0,10409.6,0.108991,61.8856,5.93459,0.108991,61.8856,5.93459,0.064028,0.0781672,0.0921782,0.0952775,0.108283,0.179788,150,299790
-10409.1,0.666667,0.506394,1,3,1,10410.1,0.120986,64.6286,8.43141,0.120986,64.6286,8.43141,0.0661897,0.0805805,0.0948369,0.0979906,0.111226,0.184067,150,299790
-10409.1,0.658559,0.506394,1,3,1,10410.1,0.105988,67.2438,5.70884,0.105988,67.2438,5.70884,0.0646755,0.0789837,0.0931628,0.0962993,0.109461,0.181816,150,299790
-10409.1,0.8,0.506394,2,5,1,10409.6,0.10862,69.4436,7.2269,0.10862,69.4436,7.2269,0.0647197,0.0788853,0.0929199,0.0960245,0.109053,0.180722,150,299790
-10407.8,0.5,0.506394,1,2,1,10410.8,0.152293,71.686,2.40987,0.152293,71.686,2.40987,0.0836148,0.102914,0.122088,0.126332,0.144143,0.241885,150,299790
-10407.5,0.857143,0.506394,2,7,1,10408.8,0.180118,77.5891,1.88134,0.180118,77.5891,1.88134,0.0939449,0.115894,0.137729,0.142564,0.162859,0.27423,150,299790
-10407.5,0,0.506394,0,1,1,10408.1,0.180118,77.5891,1.88134,0.180118,77.5891,1.88134,0.0939449,0.115894,0.137729,0.142564,0.162859,0.27423,150,299790
-10406.8,0.666667,0.506394,1,3,1,10408.2,0.228338,73.1349,3.08613,0.228338,73.1349,3.08613,0.101683,0.124836,0.147812,0.152896,0.174228,0.291354,150,299790
-10406.3,0.5,0.506394,1,2,1,10407.1,0.268239,73.0575,1.00887,0.268239,73.0575,1.00887,0.11539,0.143076,0.170745,0.176883,0.202676,0.344385,150,299790
-10406.3,0,0.506394,0,1,1,10407,0.268239,73.0575,1.00887,0.268239,73.0575,1.00887,0.11539,0.143076,0.170745,0.176883,0.202676,0.344385,150,299790
-10406.3,0.638821,0.506394,1,3,1,10408.6,0.391949,73.5893,0.891764,0.391949,73.5893,0.891764,0.140156,0.173802,0.207436,0.214898,0.246261,0.418703,150,299790
-10406.8,0.974072,0.506394,3,7,0,10407.8,0.405882,80.4321,0.0485282,0.405882,80.4321,0.0485282,0.146519,0.181979,0.217528,0.225429,0.258698,0.443737,150,299790
