# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-20 13:48:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpqnwu57i0/u2xb1q4t.json
# random
#   seed = 37728
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/bao/bao-20230720144840.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.15262
# Diagonal elements of inverse mass matrix:
# 0.00428669, 0.0380923, 5.12631e-05
0.849893,0.960941,0.15262,3,7,0,-0.398961,72.8534,0.319757,-0.00361684,72.8534,0.319757,-0.00361684,1257.59,1654.57,2042.5,2126.24,2466.19,3965.76,150,299790
0.918098,0.992413,0.15262,3,11,0,0.0596667,75.2347,0.390651,-0.00201988,75.2347,0.390651,-0.00201988,1273.11,1662.29,2036.45,2116.38,2437.75,3774.33,150,299790
-1.05509,0.788384,0.15262,4,23,0,3.36649,70.3321,0.322073,0.00822096,70.3321,0.322073,0.00822096,1267.14,1656.73,2028.77,2107.62,2420.91,3558.85,150,299790
0.171864,0.991468,0.15262,2,3,0,1.36793,69.6467,0.324758,0.00689165,69.6467,0.324758,0.00689165,1276.47,1669.6,2045.75,2125.6,2443.49,3618.44,150,299790
1.22457,0.99655,0.15262,2,7,0,0.606682,69.8917,0.3151,0.00351919,69.8917,0.3151,0.00351919,1272.16,1668.31,2050.38,2131.97,2458.92,3729.75,150,299790
0.988943,0.900616,0.15262,3,15,0,0.225941,68.3267,0.298749,0.00491802,68.3267,0.298749,0.00491802,1273.87,1672.05,2056.23,2138.24,2466.49,3719.21,150,299790
0.655333,0.84853,0.15262,4,15,0,3.79054,72.267,0.308271,-0.0024316,72.267,0.308271,-0.0024316,1254,1650.77,2038.49,2122.14,2461.36,3930.17,150,299790
-0.575954,0.96012,0.15262,3,15,0,1.73822,70.7915,0.334446,0.00734268,70.7915,0.334446,0.00734268,1271.53,1661.28,2033.3,2112.15,2425.64,3576.26,150,299790
0.37197,0.99342,0.15262,3,15,0,0.952312,68.4968,0.314125,0.00473551,68.4968,0.314125,0.00473551,1282.8,1681.38,2064.98,2146.76,2473.77,3721.8,150,299790
0.105684,0.99693,0.15262,2,7,0,0.421743,69.5995,0.315766,0.0070767,69.5995,0.315766,0.0070767,1271.05,1663.76,2039.97,2119.88,2438.12,3612.49,150,299790
1.15408,0.998694,0.15262,3,15,0,0.0288453,70.1619,0.292295,-0.000788889,70.1619,0.292295,-0.000788889,1259.66,1659.52,2050.28,2134.52,2475.63,3915.34,150,299790
-0.748967,0.777546,0.15262,2,3,0,1.23593,71.2689,0.282287,-0.00220163,71.2689,0.282287,-0.00220163,1244.58,1642.71,2033.8,2118.43,2462.52,3965.23,150,299790
1.46042,0.989841,0.15262,3,7,0,1.42879,70.6012,0.304705,7.50643e-05,70.6012,0.304705,7.50643e-05,1263.18,1661.23,2048.52,2131.77,2467.83,3856.28,150,299790
0.472331,0.820558,0.15262,3,11,0,0.518848,71.1173,0.329974,-0.00293274,71.1173,0.329974,-0.00293274,1277.99,1679.06,2069.63,2153.74,2494.35,3968.63,150,299790
1.36158,0.97178,0.15262,2,7,0,0.811644,72.0169,0.347935,-0.000236249,72.0169,0.347935,-0.000236249,1277.15,1672.71,2054.62,2136.35,2465.13,3811.11,150,299790
1.57019,0.95715,0.15262,2,3,0,-0.935681,71.9896,0.332527,-0.00018343,71.9896,0.332527,-0.00018343,1268.61,1663.95,2046.69,2128.74,2459.19,3817.56,150,299790
1.50952,0.868579,0.15262,2,7,0,-0.0577509,71.0448,0.312103,-1.10578e-05,71.0448,0.312103,-1.10578e-05,1264.18,1661.37,2047.31,2130.21,2464.66,3844.92,150,299790
1.25357,0.915799,0.15262,3,15,0,0.365905,72.8444,0.335391,-0.00387539,72.8444,0.335391,-0.00387539,1267.21,1664.8,2052.28,2135.8,2474.43,3964.01,150,299790
1.47608,0.993089,0.15262,2,7,0,-0.784806,72.8552,0.343039,-0.00298354,72.8552,0.343039,-0.00298354,1270.38,1666.94,2052.16,2134.99,2470.03,3913,150,299790
0.422499,0.967162,0.15262,3,15,0,-0.0104856,71.273,0.345071,0.00477837,71.273,0.345071,0.00477837,1276.31,1667.96,2042.83,2122.5,2440.32,3646.43,150,299790
-1.2703,0.862844,0.15262,4,15,0,1.47204,72.1871,0.394537,0.00243977,72.1871,0.394537,0.00243977,1296.06,1688.2,2062.07,2141.44,2458.13,3689.34,150,299790
-1.48262,0.883151,0.15262,3,7,0,3.6706,73.4712,0.303368,-0.004076,73.4712,0.303368,-0.004076,1242.61,1638.08,2026.28,2110.32,2452.47,3991.15,150,299790
-0.885122,0.980883,0.15262,4,19,0,2.8476,76.4722,0.444903,-0.00113489,76.4722,0.444903,-0.00113489,1284.29,1668.5,2034.2,2111.87,2422.42,3677.9,150,299790
-1.00207,0.993081,0.15262,3,7,0,1.30383,75.8733,0.355851,-0.00910722,75.8733,0.355851,-0.00910722,1259.06,1655.2,2043.69,2127.92,2472.22,4152.92,150,299790
-2.77832,0.900274,0.15262,4,23,0,4.91874,69.0822,0.348817,0.0123896,69.0822,0.348817,0.0123896,1289.48,1678.61,2046.03,2123.29,2427.88,3479.58,150,299790
0.143252,0.956173,0.15262,4,23,0,5.11245,72.858,0.344386,-0.00580084,72.858,0.344386,-0.00580084,1274.4,1674.42,2065.05,2149.41,2492.43,4055.48,150,299790
-0.719666,0.885452,0.15262,4,19,0,1.94696,69.9422,0.339733,0.000228398,69.9422,0.339733,0.000228398,1290.5,1691.13,2078.17,2161.02,2494.24,3851.32,150,299790
0.29055,0.991336,0.15262,2,7,0,1.53269,71.3445,0.322068,0.00407815,71.3445,0.322068,0.00407815,1263.01,1654.72,2031.63,2111.99,2433.52,3670.94,150,299790
-0.394085,0.996759,0.15262,4,19,0,2.38576,74.7769,0.421723,-0.00362945,74.7769,0.421723,-0.00362945,1292.2,1683.89,2059.57,2139.78,2462.29,3824.81,150,299790
-0.484908,0.952806,0.15262,4,31,0,3.17249,68.9902,0.311982,-0.000701897,68.9902,0.311982,-0.000701897,1283.35,1687.2,2080.17,2164.67,2506.04,3932.89,150,299790
-1.13388,0.986942,0.15262,2,7,0,3.02912,72.2301,0.336103,0.0054833,72.2301,0.336103,0.0054833,1262.06,1650.14,2021.68,2100.63,2415.42,3599.88,150,299790
-3.07392,0.961362,0.15262,3,7,0,5.50117,73.344,0.325271,-0.00892305,73.344,0.325271,-0.00892305,1263.04,1665.54,2062.77,2149.23,2503.89,4273.67,150,299790
-2.00464,0.928762,0.15262,3,7,0,5.45472,74.8432,0.445371,0.00124185,74.8432,0.445371,0.00124185,1295.58,1681.39,2047.21,2124.66,2433.29,3641.51,150,299790
-1.53981,0.980693,0.15262,4,23,0,4.39144,63.8881,0.213975,0.0014136,63.8881,0.213975,0.0014136,1247.37,1655.9,2060.59,2148.46,2506.03,3999.85,150,299790
-0.0075416,0.840075,0.15262,2,7,0,3.89579,63.0889,0.233792,0.00799586,63.0889,0.233792,0.00799586,1267.01,1671.62,2064.69,2148.79,2485.46,3722.98,150,299790
-0.376886,0.936528,0.15262,3,11,0,0.898531,62.9672,0.23625,0.00676196,62.9672,0.23625,0.00676196,1272.12,1679.07,2075.26,2160.18,2500.87,3777.68,150,299790
-0.625286,0.999406,0.15262,2,7,0,0.669792,63.22,0.222881,0.00860395,63.22,0.222881,0.00860395,1254.13,1656.05,2046.93,2130.59,2465.43,3686.16,150,299790
0.212643,0.968126,0.15262,4,19,0,1.84994,67.5533,0.254336,0.00220971,67.5533,0.254336,0.00220971,1250.29,1651.22,2043.81,2128.43,2470.41,3852.75,150,299790
-0.0948087,0.998099,0.15262,3,7,0,0.157618,66.5924,0.261557,0.000319523,66.5924,0.261557,0.000319523,1267.53,1674.45,2073.88,2160.17,2510.04,3973.73,150,299790
-0.408,0.594446,0.15262,2,7,0,5.62543,67.1553,0.269023,0.00813282,67.1553,0.269023,0.00813282,1258.82,1654.49,2036.01,2117.3,2441.61,3626.48,150,299790
-1.6143,0.992619,0.15262,3,15,0,3.43597,70.2796,0.267882,-0.00340729,70.2796,0.267882,-0.00340729,1243.81,1645.46,2042.41,2128.67,2480.98,4076.86,150,299790
-0.789036,0.975811,0.15262,2,3,0,2.19454,69.5344,0.268398,-0.00297609,69.5344,0.268398,-0.00297609,1250.24,1653.46,2051.51,2137.94,2490.57,4070.84,150,299790
-0.297516,0.947418,0.15262,2,3,0,2.00123,69.4762,0.275969,-0.00299088,69.4762,0.275969,-0.00299088,1256.57,1660.44,2058.43,2144.75,2496.6,4066.4,150,299790
0.304447,0.999696,0.15262,2,3,0,0.354568,69.6056,0.279685,-0.00224386,69.6056,0.279685,-0.00224386,1257.29,1659.99,2055.85,2141.55,2490.14,4016.05,150,299790
0.534689,0.999639,0.15262,2,3,0,-0.255264,69.8125,0.281413,-0.00180599,69.8125,0.281413,-0.00180599,1256.19,1657.82,2052.1,2137.37,2483.81,3984.63,150,299790
0.571597,0.998269,0.15262,4,19,0,0.262551,67.0491,0.28401,0.00716144,67.0491,0.28401,0.00716144,1272.49,1670.75,2054.41,2136.15,2462.43,3669.37,150,299790
0.60791,0.906812,0.15262,4,23,0,1.0733,70.8203,0.307482,0.00310718,70.8203,0.307482,0.00310718,1259.49,1653.29,2033.94,2115.35,2442.01,3722.2,150,299790
0.892106,1,0.15262,4,23,0,-0.341759,73.4072,0.332581,-0.00156412,73.4072,0.332581,-0.00156412,1258.1,1651.32,2033.03,2115.03,2446.14,3841.01,150,299790
0.56897,1,0.15262,4,17,0,-0.372671,75.8676,0.381762,-0.00278611,75.8676,0.381762,-0.00278611,1264.61,1653.13,2027.72,2107.91,2430.96,3795.92,150,299790
1.54835,0.93683,0.15262,4,19,0,0.77311,71.3873,0.319448,-0.00110126,71.3873,0.319448,-0.00110126,1267.08,1664.9,2051.72,2134.88,2470.83,3881.36,150,299790
1.15652,0.97034,0.15262,4,31,0,-0.826012,74.9449,0.371664,-0.00270896,74.9449,0.371664,-0.00270896,1267.32,1658.15,2035.59,2116.46,2442.52,3823.52,150,299790
1.06211,0.999681,0.15262,3,7,0,-0.969282,74.4084,0.369632,-0.0055252,74.4084,0.369632,-0.0055252,1274.04,1669.58,2053.72,2136.4,2471.48,3968.4,150,299790
-0.386405,0.781499,0.15262,4,27,0,2.42128,77.529,0.381577,-0.00682495,77.529,0.381577,-0.00682495,1255.62,1644.64,2022.51,2103.9,2434.12,3938.68,150,299790
-0.314642,0.907287,0.15262,2,3,0,3.10162,76.9011,0.382829,-0.00955503,76.9011,0.382829,-0.00955503,1264.36,1658.12,2042.52,2125.65,2464.64,4102.72,150,299790
-2.24144,0.912005,0.15262,3,7,0,2.9851,75.7988,0.445702,0.00242134,75.7988,0.445702,0.00242134,1286.35,1668.53,2030.23,2106.71,2410.89,3583.88,150,299790
-2.24144,0.808975,0.15262,2,3,0,4.01707,75.7988,0.445702,0.00242134,75.7988,0.445702,0.00242134,1286.35,1668.53,2030.23,2106.71,2410.89,3583.88,150,299790
0.939947,0.988586,0.15262,4,15,0,3.01359,75.9625,0.380527,-0.00666037,75.9625,0.380527,-0.00666037,1267.64,1660.41,2041.89,2124.04,2457.3,3971.52,150,299790
-2.78357,0.830343,0.15262,3,11,0,4.99329,74.0962,0.315198,-0.00825254,74.0962,0.315198,-0.00825254,1249.85,1649.32,2043.9,2129.81,2482.17,4224.54,150,299790
-1.9613,1,0.15262,3,7,0,2.83237,73.7739,0.320814,-0.00805391,73.7739,0.320814,-0.00805391,1255.71,1655.88,2050.47,2136.28,2487.82,4208.05,150,299790
0.236243,1,0.15262,4,15,0,3.12979,69.4603,0.33038,0.0055799,69.4603,0.33038,0.0055799,1283.11,1678.47,2057.3,2137.83,2458.99,3666.79,150,299790
-0.986187,0.956621,0.15262,4,15,0,1.31145,64.2191,0.234076,0.00154272,64.2191,0.234076,0.00154272,1264.27,1674.19,2078.09,2165.5,2520.14,3984.14,150,299790
-0.260936,0.987955,0.15262,4,27,0,2.98936,74.9489,0.394873,0.00134792,74.9489,0.394873,0.00134792,1273.65,1659.79,2028.61,2107.01,2420.38,3657.37,150,299790
-1.72792,0.914024,0.15262,3,7,0,5.05198,76.2245,0.428025,0.00162339,76.2245,0.428025,0.00162339,1276.82,1659.09,2022.22,2099.18,2405.96,3604.65,150,299790
0.505173,0.942797,0.15262,3,15,0,2.94148,72.4446,0.326489,-0.00506733,72.4446,0.326489,-0.00506733,1266.86,1666.89,2058.42,2143.06,2487.42,4048.49,150,299790
1.53776,0.909291,0.15262,4,27,0,1.79834,70.5598,0.309067,0.00050256,70.5598,0.309067,0.00050256,1265.89,1663.68,2050.05,2133,2467.43,3836.43,150,299790
1.01562,0.94469,0.15262,4,15,0,-0.266922,67.3781,0.282889,0.00420142,67.3781,0.282889,0.00420142,1272.14,1673.1,2061.71,2144.9,2478.8,3771.65,150,299790
0.840629,0.897528,0.15262,4,19,0,0.427513,72.3824,0.321811,0.000284412,72.3824,0.321811,0.000284412,1258.29,1651.76,2033.14,2114.93,2444.4,3792.56,150,299790
0.393517,0.971523,0.15262,4,17,0,0.235978,67.1151,0.254665,0.00359162,67.1151,0.254665,0.00359162,1252.9,1653.31,2044.2,2128.24,2466.94,3801.42,150,299790
0.830029,0.918501,0.15262,3,11,0,0.863222,68.6133,0.304612,0.00234605,68.6133,0.304612,0.00234605,1278.3,1679.12,2067.36,2150.51,2484.74,3811.94,150,299790
0.325925,0.901103,0.15262,1,1,0,-0.2547,68.3508,0.307286,0.0025322,68.3508,0.307286,0.0025322,1282.28,1683.74,2072.24,2155.4,2489.47,3811.02,150,299790
0.799655,0.999656,0.15262,2,7,0,0.160397,69.4802,0.305328,0.00517935,69.4802,0.305328,0.00517935,1267.54,1662.43,2042.78,2123.88,2448.18,3679.51,150,299790
0.118742,0.968447,0.15262,2,7,0,1.96629,68.9156,0.282925,-0.00211555,68.9156,0.282925,-0.00211555,1265.71,1670.41,2067.82,2153.79,2503.27,4026.12,150,299790
0.188741,0.999715,0.15262,4,31,0,1.86363,74.9176,0.415928,-0.00202165,74.9176,0.415928,-0.00202165,1286.82,1676.48,2049.56,2129.07,2448.12,3764.85,150,299790
0.313869,0.961819,0.15262,4,27,0,1.50917,68.301,0.261205,0.000752927,68.301,0.261205,0.000752927,1250.98,1652.24,2045.78,2130.75,2474.9,3902.37,150,299790
1.39283,0.998562,0.15262,4,27,0,0.282497,72.7195,0.350018,0.000178763,72.7195,0.350018,0.000178763,1271.71,1664.91,2044.11,2125.19,2451.06,3775.21,150,299790
-1.30512,0.907327,0.15262,3,15,0,4.2933,74.4087,0.395033,0.00404689,74.4087,0.395033,0.00404689,1275.28,1659.86,2025.51,2102.97,2411.26,3584.26,150,299790
-2.10899,0.989788,0.15262,3,15,0,3.59236,74.9703,0.440073,0.00288406,74.9703,0.440073,0.00288406,1290.68,1674.57,2037.9,2114.71,2420.11,3592,150,299790
1.53359,0.77241,0.15262,3,15,0,5.70951,70.6408,0.31847,0.00112406,70.6408,0.31847,0.00112406,1270.42,1667.53,2052.04,2134.42,2465.89,3804.17,150,299790
1.435,0.988808,0.15262,4,15,0,-0.726393,70.3409,0.301079,-2.81731e-07,70.3409,0.301079,-2.81731e-07,1263.15,1661.88,2050.19,2133.7,2471,3868.38,150,299790
