# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-19 14:18:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmprxp6705z/2zmdpp1c.json
# random
#   seed = 8536
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/bao/bao-20230719151849.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.402943
# Diagonal elements of inverse mass matrix:
# 0.00675532, 150.566, 26.6756
-10408.8,0.824661,0.402943,2,6,1,10409.9,0.509675,78.6917,9.42614,0.509675,78.6917,9.42614,0.142423,0.173203,0.203692,0.210437,0.238745,0.39461,150,299790
-10407.9,0.666667,0.402943,1,3,1,10411.2,0.44866,82.0477,6.45268,0.44866,82.0477,6.45268,0.139582,0.170231,0.200596,0.207312,0.235498,0.390536,150,299790
-10407.5,0.793099,0.402943,2,5,1,10408.9,0.367371,86.1662,4.08806,0.367371,86.1662,4.08806,0.132286,0.161957,0.191372,0.19788,0.225184,0.375207,150,299790
-10407.1,0.832095,0.402943,2,6,1,10408,0.388867,81.3926,4.5702,0.388867,81.3926,4.5702,0.133128,0.162827,0.192264,0.198776,0.226099,0.376264,150,299790
-10407.3,0.666653,0.402943,1,3,1,10408.3,0.369,81.8225,7.39573,0.369,81.8225,7.39573,0.124939,0.152225,0.179255,0.185234,0.210326,0.348391,150,299790
-10407.4,0.986664,0.402943,3,7,0,10408,0.408616,57.3727,2.83713,0.408616,57.3727,2.83713,0.128767,0.158143,0.187296,0.193747,0.220816,0.369454,150,299790
-10409,0.767546,0.402943,2,5,1,10409.2,0.379515,48.1909,4.2518,0.379515,48.1909,4.2518,0.115735,0.141643,0.167326,0.173008,0.196847,0.327842,150,299790
-10408.7,0.666667,0.402943,1,3,1,10409.3,0.389537,49.0395,2.96929,0.389537,49.0395,2.96929,0.120499,0.147935,0.175159,0.181183,0.206459,0.345262,150,299790
-10407.4,0.999486,0.402943,3,7,0,10409.1,0.330548,84.5435,6.3719,0.330548,84.5435,6.3719,0.120699,0.147234,0.173523,0.179339,0.203742,0.33796,150,299790
-10407.5,0.977396,0.402943,3,7,0,10409.3,0.301984,78.7856,12.4109,0.301984,78.7856,12.4109,0.106467,0.129251,0.15182,0.156814,0.177774,0.293258,150,299790
-10407.2,0.884395,0.402943,3,9,1,10407.9,0.390883,61.5505,8.09391,0.390883,61.5505,8.09391,0.118714,0.14454,0.170123,0.175782,0.199533,0.330245,150,299790
-10408.6,0.775714,0.402943,2,5,1,10410.7,0.453825,79.753,13.9065,0.453825,79.753,13.9065,0.129669,0.157294,0.18466,0.190715,0.216133,0.356221,150,299790
-10408.9,0.798086,0.402943,2,5,1,10411.7,0.347991,76.0354,21.4622,0.347991,76.0354,21.4622,0.106786,0.129219,0.151446,0.156365,0.17702,0.290975,150,299790
-10409.4,0.842326,0.402943,2,7,1,10410.7,0.35819,69.2118,23.7782,0.35819,69.2118,23.7782,0.104551,0.126446,0.148142,0.152944,0.173108,0.284381,150,299790
