# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-19 14:13:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpnxt5f_9e/a1eegjcz.json
# random
#   seed = 46926
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/bao/bao-20230719151303.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.120452
# Diagonal elements of inverse mass matrix:
# 0.0058192, 94.8057, 35.6275
-10406.8,0.666667,0.120452,1,3,1,10408.8,0.419575,64.7624,3.18999,0.419575,64.7624,3.18999,0.133653,0.163969,0.194044,0.200697,0.228617,0.381959,150,299790
-10406.9,0.874839,0.120452,3,8,1,10408.8,0.429766,70.2284,5.74626,0.429766,70.2284,5.74626,0.132547,0.161804,0.190791,0.197203,0.22411,0.372068,150,299790
-10408,0.998313,0.120452,4,31,0,10408.8,0.476995,76.3098,8.23318,0.476995,76.3098,8.23318,0.138388,0.168462,0.198252,0.204842,0.232498,0.384722,150,299790
-10407.5,0.999958,0.120452,4,15,0,10408.2,0.443733,73.6951,9.09791,0.443733,73.6951,9.09791,0.131057,0.159427,0.187529,0.193745,0.219837,0.36348,150,299790
-10407.7,0.965966,0.120452,4,30,1,10408.8,0.359551,83.5235,9.56878,0.359551,83.5235,9.56878,0.121081,0.147247,0.173166,0.1789,0.202966,0.335469,150,299790
-10407.5,0.999746,0.120452,5,31,0,10409,0.297315,57.9237,8.37219,0.297315,57.9237,8.37219,0.101508,0.123569,0.145422,0.150256,0.170544,0.282208,150,299790
-10407.3,0.928184,0.120452,3,14,1,10408.3,0.309463,61.1429,10.175,0.309463,61.1429,10.175,0.103102,0.125333,0.147354,0.152225,0.172673,0.28527,150,299790
