# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-25 13:31:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpihu4ha8p/qgklovjt.json
# random
#   seed = 33781
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/bao/bao-20230725143122.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.202621
# Diagonal elements of inverse mass matrix:
# 0.00229589, 0.0231086, 4.33484e-05
0.0601801,0.993772,0.202621,4,31,0,0.449707,77.4425,0.44766,-0.00564856,77.4425,0.44766,-0.00564856,1282.25,1668.76,2039.23,2118.35,2436.86,3814.5,150,299790
-0.216157,0.95469,0.202621,3,7,0,0.616165,78.7777,0.416326,-0.00869045,78.7777,0.416326,-0.00869045,1262.82,1650.25,2025.5,2106.24,2433.79,3953.34,150,299790
-0.218984,0.9832,0.202621,3,15,0,1.07785,78.6914,0.460768,-0.00971735,78.6914,0.460768,-0.00971735,1281.25,1668.64,2041.72,2121.74,2445.64,3941.31,150,299790
-0.0789288,0.986854,0.202621,2,7,0,1.13796,78.4037,0.442293,-0.0102722,78.4037,0.442293,-0.0102722,1277.57,1666.92,2043.38,2124.33,2452.89,4002.62,150,299790
-0.586201,0.906452,0.202621,4,15,0,2.22668,78.0083,0.453046,-0.0104149,78.0083,0.453046,-0.0104149,1284.82,1674.92,2051.52,2132.44,2460.57,4002.9,150,299790
1.19225,0.9924,0.202621,4,27,0,2.30365,69.1869,0.290266,0.00305388,69.1869,0.290266,0.00305388,1262.33,1659.95,2045.64,2128.29,2460.5,3769.1,150,299790
0.962505,0.980752,0.202621,4,31,0,-0.444737,66.9958,0.262893,0.00378258,66.9958,0.262893,0.00378258,1260.61,1661.82,2052.63,2136.55,2474.29,3797.62,150,299790
