# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-19 14:13:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpnxt5f_9e/a1eegjcz.json
# random
#   seed = 46926
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/bao/bao-20230719151303.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.284948
# Diagonal elements of inverse mass matrix:
# 0.00855866, 104.816, 32.9769
-10408.3,0,0.284948,0,1,1,10409.8,0.302881,50.0694,1.48225,0.302881,50.0694,1.48225,0.110218,0.136198,0.162075,0.167808,0.191879,0.324015,150,299790
-10407.3,0.799914,0.284948,2,5,1,10408.4,0.345687,54.782,1.12365,0.345687,54.782,1.12365,0.121498,0.150452,0.179347,0.185754,0.212666,0.360498,150,299790
-10408.4,0.792789,0.284948,2,5,1,10408.5,0.337535,49.1769,1.06521,0.337535,49.1769,1.06521,0.116971,0.144913,0.172812,0.179,0.204993,0.347797,150,299790
-10407.3,0.5,0.284948,1,2,1,10409.7,0.340476,54.6803,0.206789,0.340476,54.6803,0.206789,0.12216,0.15224,0.182663,0.189456,0.218153,0.378251,150,299790
-10406.8,0.89605,0.284948,3,14,1,10408.2,0.245356,66.399,4.77001,0.245356,66.399,4.77001,0.0999269,0.122199,0.144276,0.149159,0.16965,0.282263,150,299790
-10407.3,0.827695,0.284948,2,7,1,10411.1,0.266209,83.5136,3.94597,0.266209,83.5136,3.94597,0.111854,0.137008,0.161949,0.167467,0.190619,0.317802,150,299790
-10407,0.5,0.284948,1,2,1,10411.1,0.282994,79.1077,7.72866,0.282994,79.1077,7.72866,0.107925,0.13146,0.154775,0.159932,0.181576,0.300676,150,299790
-10407.6,0.855098,0.284948,2,7,1,10408.5,0.336224,81.2925,11.3983,0.336224,81.2925,11.3983,0.114282,0.138813,0.163114,0.16849,0.191057,0.315361,150,299790
-10407.5,0.99923,0.284948,4,15,0,10409,0.324514,59.7826,11.0389,0.324514,59.7826,11.0389,0.10417,0.12656,0.148738,0.153644,0.174239,0.287673,150,299790
-10407.3,0.995489,0.284948,3,15,0,10408.3,0.285922,85.5225,1.31336,0.285922,85.5225,1.31336,0.123127,0.152321,0.181429,0.18788,0.214972,0.363715,150,299790
-10407.3,0,0.284948,0,1,1,10407.9,0.285922,85.5225,1.31336,0.285922,85.5225,1.31336,0.123127,0.152321,0.181429,0.18788,0.214972,0.363715,150,299790
-10408,0.5,0.284948,1,2,1,10409,0.258196,88.9227,0.281382,0.258196,88.9227,0.281382,0.120332,0.150104,0.180247,0.186979,0.21541,0.37354,150,299790
-10408.2,0.487684,0.284948,1,2,1,10408.6,0.273231,90.5889,1.25262,0.273231,90.5889,1.25262,0.122295,0.151363,0.180358,0.186786,0.213779,0.361996,150,299790
-10407.8,0.75,0.284948,2,4,1,10409.2,0.211672,83.1085,4.85217,0.211672,83.1085,4.85217,0.0980536,0.119896,0.141547,0.146336,0.166432,0.276873,150,299790
-10408.5,0.736818,0.284948,2,4,1,10409.5,0.271699,91.7787,1.43137,0.271699,91.7787,1.43137,0.12184,0.150627,0.179312,0.185667,0.212355,0.358853,150,299790
-10409.4,0.87271,0.284948,3,8,1,10411.5,0.234555,89.1629,12.9406,0.234555,89.1629,12.9406,0.096265,0.116837,0.137217,0.141726,0.160654,0.264945,150,299790
-10410.3,0.925628,0.284948,3,15,1,10411,0.280649,95.4148,11.7677,0.280649,95.4148,11.7677,0.108283,0.131503,0.154504,0.159593,0.180953,0.298622,150,299790
-10410.1,0.89753,0.284948,3,11,1,10414.1,0.456382,84.3088,19.2979,0.456382,84.3088,19.2979,0.127264,0.154082,0.180654,0.186534,0.211222,0.347398,150,299790
-10406.9,0.868365,0.284948,3,8,1,10413.1,0.413801,69.7506,6.93123,0.413801,69.7506,6.93123,0.127834,0.155823,0.18355,0.189684,0.215423,0.357024,150,299790
-10406.7,0.998831,0.284948,3,7,0,10407.1,0.39848,71.1022,6.38878,0.39848,71.1022,6.38878,0.126903,0.154788,0.182415,0.188526,0.21417,0.355221,150,299790
-10406.9,0.872051,0.284948,3,8,1,10407.6,0.436537,74.8461,3.73732,0.436537,74.8461,3.73732,0.140046,0.17157,0.202828,0.209743,0.238759,0.398164,150,299790
