# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-19 14:18:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmprxp6705z/2zmdpp1c.json
# random
#   seed = 8536
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/bao/bao-20230719151849.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.166016
# Diagonal elements of inverse mass matrix:
# 0.00853777, 101.056, 50.4259
-10408.2,0.953546,0.166016,4,22,1,10410.5,0.137079,68.2639,4.17802,0.137079,68.2639,4.17802,0.0757136,0.0927124,0.109567,0.113296,0.128941,0.214887,150,299790
-10407.4,0.832238,0.166016,2,6,1,10409.8,0.200715,72.9703,7.80402,0.200715,72.9703,7.80402,0.0888077,0.108173,0.127357,0.131601,0.149411,0.24741,150,299790
-10407.1,0.922173,0.166016,3,13,1,10408.4,0.356179,70.0418,11.7459,0.356179,70.0418,11.7459,0.112959,0.137178,0.161169,0.166476,0.188756,0.311489,150,299790
-10407,0.931794,0.166016,3,15,1,10408.1,0.2885,69.9052,10.9255,0.2885,69.9052,10.9255,0.102233,0.124216,0.145993,0.150811,0.171033,0.282408,150,299790
-10410.2,0.989182,0.166016,4,15,0,10410.8,0.557716,77.1119,13.3403,0.557716,77.1119,13.3403,0.143283,0.173846,0.204122,0.21082,0.238939,0.393903,150,299790
-10407.3,0.99961,0.166016,4,15,0,10410.8,0.385062,73.5791,11.8115,0.385062,73.5791,11.8115,0.118907,0.144394,0.169641,0.175226,0.198672,0.327835,150,299790
-10408.4,0.924742,0.166016,3,14,1,10409.8,0.469189,70.2509,13.6893,0.469189,70.2509,13.6893,0.127904,0.155167,0.182175,0.18815,0.213235,0.35148,150,299790
-10408.4,0.885115,0.166016,3,9,1,10410.3,0.516948,80.0225,2.63923,0.516948,80.0225,2.63923,0.158243,0.194416,0.230317,0.238261,0.271597,0.454664,150,299790
-10407.4,0.874947,0.166016,3,8,1,10408.6,0.463823,77.2779,4.1968,0.463823,77.2779,4.1968,0.144429,0.176757,0.208803,0.215892,0.245637,0.409092,150,299790
-10408.4,0.937248,0.166016,4,16,1,10409.8,0.379494,66.3918,18.4744,0.379494,66.3918,18.4744,0.109653,0.132795,0.155723,0.160797,0.1821,0.299587,150,299790
