# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-20 13:48:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpqnwu57i0/u2xb1q4t.json
# random
#   seed = 37728
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/bao/bao-20230720144840.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.151697
# Diagonal elements of inverse mass matrix:
# 0.00371521, 0.0333945, 5.20509e-05
-0.270178,0.98193,0.151697,3,7,0,1.02452,74.0293,0.35848,0.00186758,74.0293,0.35848,0.00186758,1263.12,1651.01,2023.37,2102.74,2420.55,3675.43,150,299790
0.820524,1,0.151697,2,3,0,0.436469,73.6796,0.359267,0.000630665,73.6796,0.359267,0.000630665,1267.89,1658.12,2033.51,2113.65,2435.24,3729.2,150,299790
0.881051,0.957192,0.151697,4,27,0,0.560673,74.4713,0.390029,-0.00101295,74.4713,0.390029,-0.00101295,1278.1,1668.12,2042.45,2122.32,2442.88,3755.15,150,299790
0.00482921,0.918075,0.151697,4,23,0,0.363216,72.6761,0.307249,-0.00206604,72.6761,0.307249,-0.00206604,1249.43,1644.6,2030.56,2113.79,2451.1,3901.57,150,299790
1.38797,0.997706,0.151697,3,15,0,0.143659,72.4672,0.326339,-0.00265236,72.4672,0.326339,-0.00265236,1263.72,1660.68,2047.31,2130.57,2467.69,3921.3,150,299790
0.895134,0.95423,0.151697,4,31,0,-0.295516,68.1563,0.299454,0.00468112,68.1563,0.299454,0.00468112,1276.21,1675.21,2060.31,2142.53,2471.78,3732.71,150,299790
1.17728,0.998145,0.151697,4,15,0,0.384055,67.6228,0.274347,0.00340107,67.6228,0.274347,0.00340107,1264.37,1665.08,2054.77,2138.38,2474.77,3797.51,150,299790
