# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-25 13:31:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpihu4ha8p/qgklovjt.json
# random
#   seed = 33781
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/bao/bao-20230725143122.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.137074
# Diagonal elements of inverse mass matrix:
# 0.00591925, 0.0509258, 6.64217e-05
0.457868,0.984203,0.137074,2,3,0,-0.0547076,77.9803,0.420262,-0.00772328,77.9803,0.420262,-0.00772328,1269.68,1657.88,2032.96,2113.51,2439.66,3920.95,150,299790
-0.276198,0.883083,0.137074,4,23,0,2.02641,66.2885,0.261841,0.000689514,66.2885,0.261841,0.000689514,1270.17,1677.52,2077.04,2163.29,2512.7,3963.42,150,299790
0.571505,0.997716,0.137074,2,3,0,0.287383,66.8204,0.253086,0.00166325,66.8204,0.253086,0.00166325,1256.64,1660.36,2056.25,2141.68,2487.39,3900.23,150,299790
1.32953,0.937565,0.137074,4,15,0,4.79723,75.016,0.376862,-0.00387786,75.016,0.376862,-0.00387786,1270.58,1662.55,2041.56,2122.87,2451.18,3868,150,299790
-0.00141585,0.922235,0.137074,3,7,0,1.92794,74.6586,0.357489,-0.00774584,74.6586,0.357489,-0.00774584,1268.37,1665.99,2054.74,2138.83,2481.52,4098.59,150,299790
0.263147,0.909394,0.137074,2,7,0,2.19489,75.9912,0.404357,-0.00158585,75.9912,0.404357,-0.00158585,1272.44,1659.08,2029.66,2108.68,2425.81,3730.22,150,299790
0.255745,0.974399,0.137074,2,3,0,0.364829,75.4421,0.419979,-0.00216289,75.4421,0.419979,-0.00216289,1284.23,1672.64,2044.36,2123.58,2441.39,3754.31,150,299790
-1.85256,0.745514,0.137074,3,15,0,2.95505,72.2787,0.368624,-0.00523117,72.2787,0.368624,-0.00523117,1291.56,1692.45,2081.65,2165.39,2504.62,4012.07,150,299790
-1.17942,0.964266,0.137074,4,31,0,5.90453,70.5134,0.271013,-0.00160152,70.5134,0.271013,-0.00160152,1242,1640.78,2033.02,2117.95,2463.26,3960.79,150,299790
-0.769721,0.859922,0.137074,2,3,0,3.35528,68.0532,0.282271,-0.00184007,68.0532,0.282271,-0.00184007,1272.77,1679.59,2078.9,2165.25,2516.09,4036.36,150,299790
-0.431227,1,0.137074,3,11,0,1.08662,68.8814,0.330791,0.00672085,68.8814,0.330791,0.00672085,1287.33,1682.99,2061.3,2141.58,2461.16,3644.27,150,299790
-0.438303,0.991196,0.137074,3,7,0,0.827149,70.2073,0.318096,0.00723685,70.2073,0.318096,0.00723685,1266.9,1657.84,2032.08,2111.53,2427.83,3592.22,150,299790
0.733471,0.996291,0.137074,4,31,0,0.733357,68.6748,0.273926,0.00273933,68.6748,0.273926,0.00273933,1255.25,1653.76,2041.85,2125.22,2461.07,3797.15,150,299790
-1.14689,0.916746,0.137074,4,27,0,2.2197,64.9474,0.25117,0.011248,64.9474,0.25117,0.011248,1260.95,1657.57,2038.98,2120.01,2441.9,3569.25,150,299790
-4.12776,0.973286,0.137074,3,7,0,4.69179,64.6141,0.297805,0.0165558,64.6141,0.297805,0.0165558,1294.83,1689.89,2063.11,2141.47,2449.24,3462.72,150,299790
-2.03971,0.994576,0.137074,4,15,0,4.81425,64.6868,0.267789,0.0146818,64.6868,0.267789,0.0146818,1273.4,1668.16,2044.16,2123.5,2436.53,3486.94,150,299790
1.00283,0.999957,0.137074,3,7,0,2.34648,67.246,0.278493,0.0052011,67.246,0.278493,0.0052011,1268.86,1668.65,2055.69,2138.45,2470.15,3735.2,150,299790
0.201741,0.897853,0.137074,4,31,0,0.8701,63.5881,0.233676,0.00611908,63.5881,0.233676,0.00611908,1264.31,1669.86,2065.45,2150.36,2491.55,3784.6,150,299790
-0.269451,0.928133,0.137074,3,11,0,0.84282,62.7327,0.218215,0.00722389,62.7327,0.218215,0.00722389,1255.8,1660.46,2055.6,2140.43,2481.04,3751.71,150,299790
