# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-25 13:31:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpihu4ha8p/qgklovjt.json
# random
#   seed = 33781
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/bao/bao-20230725143122.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.165043
# Diagonal elements of inverse mass matrix:
# 0.00412661, 0.042037, 5.19864e-05
0.441092,0.852967,0.165043,2,3,0,-0.137303,72.4949,0.358545,-0.00365552,72.4949,0.358545,-0.00365552,1282.65,1681.07,2067.46,2150.48,2486.19,3940.48,150,299790
0.0981185,0.992657,0.165043,4,23,0,1.53007,67.4101,0.294547,0.00308076,67.4101,0.294547,0.00308076,1281.65,1684.59,2075.09,2158.72,2494.74,3816.31,150,299790
0.783468,0.999858,0.165043,2,7,0,0.0116089,67.8914,0.271767,0.00438265,67.8914,0.271767,0.00438265,1258.72,1657.21,2044.16,2127.08,2460.12,3749.01,150,299790
0.246281,0.803336,0.165043,1,3,0,0.730638,66.7944,0.283505,0.00355823,66.7944,0.283505,0.00355823,1278.84,1682.39,2073.97,2157.87,2495.03,3814.23,150,299790
0.543855,0.999511,0.165043,2,7,0,0.147726,67.4227,0.274112,0.00638932,67.4227,0.274112,0.00638932,1262.43,1659.9,2044.11,2126.15,2454.36,3684.16,150,299790
-1.18051,0.892075,0.165043,4,15,0,3.12985,64.0816,0.259954,0.0129067,64.0816,0.259954,0.0129067,1274.92,1672.96,2053.9,2134.54,2453.82,3548.18,150,299790
-2.4539,0.861228,0.165043,2,7,0,2.96951,64.5265,0.255793,0.0145765,64.5265,0.255793,0.0145765,1265.03,1659.24,2035.58,2115.09,2429.07,3483.3,150,299790
-3.63005,0.995587,0.165043,3,7,0,3.9035,62.1931,0.260663,0.016489,62.1931,0.260663,0.016489,1290.12,1689.68,2069.45,2149.43,2464.18,3498.19,150,299790
-1.91185,1,0.165043,2,3,0,3.69055,62.9274,0.246771,0.0148867,62.9274,0.246771,0.0148867,1272.36,1670.09,2050.19,2130.52,2447.77,3508.48,150,299790
-0.961517,0.896699,0.165043,4,23,0,4.80559,76.2018,0.34895,-0.00759089,76.2018,0.34895,-0.00759089,1251.03,1644.48,2029.72,2113.11,2453.22,4062.02,150,299790
-0.222512,0.999989,0.165043,4,31,0,1.63659,70.1085,0.344992,0.00626904,70.1085,0.344992,0.00626904,1284.95,1678.07,2053.35,2132.94,2449.69,3627.58,150,299790
0.132925,1,0.165043,2,3,0,0.418337,70.2491,0.324214,0.00645236,70.2491,0.324214,0.00645236,1271.24,1663.2,2038.56,2118.3,2435.99,3617.32,150,299790
0.890695,0.948962,0.165043,4,19,0,3.18321,76.4699,0.409611,-0.00647404,76.4699,0.409611,-0.00647404,1276.19,1666.98,2044.43,2125.44,2453.02,3913.96,150,299790
1.4828,0.988668,0.165043,4,31,0,0.960788,70.2569,0.313415,0.000533461,70.2569,0.313415,0.000533461,1271.34,1670.09,2057.02,2140.05,2474.62,3841.48,150,299790
0.883549,0.955307,0.165043,4,23,0,-0.160537,70.034,0.303741,0.00385717,70.034,0.303741,0.00385717,1263.08,1657.98,2039.41,2120.92,2447.66,3714.07,150,299790
1.28454,0.976034,0.165043,4,23,0,-0.349725,72.4641,0.331615,-0.00346076,72.4641,0.331615,-0.00346076,1267.81,1665.86,2053.78,2137.37,2476.17,3956.88,150,299790
-0.37954,0.86663,0.165043,3,7,0,1.66779,73.5801,0.313983,-0.00429324,73.5801,0.313983,-0.00429324,1248.7,1644.46,2032.21,2116.07,2457.19,3988.87,150,299790
-0.553205,0.969643,0.165043,2,3,0,1.86183,72.0075,0.326953,-0.00588328,72.0075,0.326953,-0.00588328,1271.89,1674.17,2068.5,2153.86,2501.71,4107.31,150,299790
-1.05538,0.962926,0.165043,3,7,0,2.55443,74.4293,0.378007,0.00323452,74.4293,0.378007,0.00323452,1268.03,1653.45,2021.38,2099.51,2411.24,3613.46,150,299790
-1.60047,0.927286,0.165043,2,3,0,2.10531,72.4637,0.402143,0.00129578,72.4637,0.402143,0.00129578,1298.36,1690.97,2065.58,2145.17,2463.15,3717.36,150,299790
0.895147,0.995446,0.165043,3,11,0,2.03841,71.8642,0.334737,0.00272068,71.8642,0.334737,0.00272068,1267.61,1659.86,2037.39,2117.94,2440.66,3705.2,150,299790
0.565997,0.995874,0.165043,2,3,0,-0.398619,71.3898,0.35453,0.00325344,71.3898,0.35453,0.00325344,1282.23,1675.47,2052.29,2132.48,2452.94,3693.72,150,299790
1.23838,0.989426,0.165043,3,7,0,-0.374241,72.4948,0.343852,0.00105536,72.4948,0.343852,0.00105536,1269.25,1661.94,2040.45,2121.33,2446.07,3749.29,150,299790
0.399183,0.947368,0.165043,2,7,0,0.440532,72.8647,0.350215,0.0027174,72.8647,0.350215,0.0027174,1267.66,1657.52,2031.73,2111.46,2430.46,3676.39,150,299790
0.704706,0.986104,0.165043,4,15,0,0.0193257,69.8411,0.28788,-0.00200724,69.8411,0.28788,-0.00200724,1260.86,1663,2057.38,2142.63,2488.85,3990.13,150,299790
0.553964,0.844236,0.165043,4,23,0,1.25065,73.7742,0.384529,0.00101553,73.7742,0.384529,0.00101553,1279.18,1668.76,2041.69,2121.07,2438.78,3701.78,150,299790
0.949556,0.981051,0.165043,3,11,0,0.529361,75.5545,0.399483,-0.00299481,75.5545,0.399483,-0.00299481,1275.5,1664.87,2039.28,2119.32,2441.37,3798.3,150,299790
0.826821,0.960249,0.165043,2,7,0,-0.200894,75.2,0.396095,-0.00577749,75.2,0.396095,-0.00577749,1280.1,1673.58,2054.06,2135.74,2466.09,3929.75,150,299790
-2.41545,0.960773,0.165043,3,11,0,4.22119,80.2513,0.530709,-0.0108727,80.2513,0.530709,-0.0108727,1291.48,1673.41,2038.05,2115.9,2429.79,3859.79,150,299790
-1.52911,0.923873,0.165043,3,7,0,3.47669,80.9403,0.480772,-0.0138819,80.9403,0.480772,-0.0138819,1274.63,1660.32,2033.15,2113.42,2440,4059.7,150,299790
-3.00634,0.912565,0.165043,2,3,0,3.69483,82.0148,0.485974,-0.0162648,82.0148,0.485974,-0.0162648,1270.55,1656.04,2029.87,2110.59,2440.14,4158.74,150,299790
-0.368186,0.867069,0.165043,4,27,0,5.05803,69.0477,0.324869,0.00173646,69.0477,0.324869,0.00173646,1288.05,1689.07,2076.44,2159.31,2492.13,3819.89,150,299790
0.968777,0.999222,0.165043,4,19,0,0.437255,74.1411,0.382481,-0.00407818,74.1411,0.382481,-0.00407818,1280.86,1675.3,2056.45,2138.19,2468.2,3894.14,150,299790
-0.186733,0.988666,0.165043,4,15,0,0.747738,75.7981,0.435598,-0.00359166,75.7981,0.435598,-0.00359166,1289.05,1677.78,2049.78,2129.11,2447.67,3786.63,150,299790
0.888729,1,0.165043,3,7,0,0.23462,75.832,0.382754,-0.00358346,75.832,0.382754,-0.00358346,1266.27,1655.78,2031.81,2112.39,2437.43,3829.43,150,299790
0.789105,0.981664,0.165043,4,15,0,0.647323,71.935,0.306272,-0.00166729,71.935,0.306272,-0.00166729,1254.66,1651.29,2038.45,2121.89,2459.82,3902.16,150,299790
0.937956,0.99849,0.165043,2,7,0,-0.342642,69.92,0.32358,0.00124039,69.92,0.32358,0.00124039,1279.9,1679.01,2065.01,2147.65,2479.92,3816.85,150,299790
0.417609,0.929171,0.165043,3,7,0,0.352483,70.3607,0.309147,-0.0029183,70.3607,0.309147,-0.0029183,1271.79,1674.47,2068.3,2153.32,2498.43,4007.1,150,299790
-0.761613,0.987804,0.165043,3,15,0,1.76593,74.7378,0.42748,2.186e-05,74.7378,0.42748,2.186e-05,1290.82,1678.53,2047.82,2126.24,2439.64,3691.25,150,299790
0.538349,0.953986,0.165043,4,23,0,1.77647,66.569,0.276419,0.00378899,66.569,0.276419,0.00378899,1275.32,1678.8,2070.68,2154.69,2492.35,3810.7,150,299790
0.265588,0.972798,0.165043,2,3,0,-0.0590985,66.6467,0.280623,0.00356367,66.6467,0.280623,0.00356367,1278.07,1681.88,2073.92,2157.96,2495.73,3818.13,150,299790
0.917478,0.995994,0.165043,2,3,0,-0.355644,67.3923,0.270752,0.00484702,67.3923,0.270752,0.00484702,1261.95,1661.22,2048.64,2131.61,2464.58,3743.68,150,299790
1.31788,0.93064,0.165043,4,23,0,0.087544,71.6776,0.338745,-0.0013613,71.6776,0.338745,-0.0013613,1276.29,1674.02,2059.48,2142.2,2475.91,3873.26,150,299790
1.27319,0.992409,0.165043,3,15,0,0.183435,68.2532,0.280364,0.00207608,68.2532,0.280364,0.00207608,1264.75,1665.73,2056.25,2140.17,2478.44,3837.45,150,299790
1.2385,0.964199,0.165043,3,15,0,-0.860154,69.2564,0.295724,0.000171135,69.2564,0.295724,0.000171135,1268.99,1670.34,2061.49,2145.65,2485.63,3892.44,150,299790
1.47418,0.999956,0.165043,4,31,0,-1.11193,72.9557,0.352307,-0.000632983,72.9557,0.352307,-0.000632983,1271.85,1665.4,2045.35,2126.67,2453.91,3800.65,150,299790
1.20384,0.944533,0.165043,4,31,0,0.180481,68.8609,0.298048,0.00411651,68.8609,0.298048,0.00411651,1269.46,1667.07,2051.36,2133.49,2462.76,3735.26,150,299790
0.442846,0.786098,0.165043,3,11,0,1.21707,64.8784,0.248975,0.00460457,64.8784,0.248975,0.00460457,1267.79,1673.05,2068.3,2153.2,2494.84,3819.11,150,299790
1.10833,0.999878,0.165043,4,31,0,-0.0381716,71.5422,0.346866,0.00184972,71.5422,0.346866,0.00184972,1278.31,1672.68,2052.04,2132.98,2457.45,3742.42,150,299790
0.277935,0.937625,0.165043,4,31,0,0.173075,76.0642,0.425563,-0.00607077,76.0642,0.425563,-0.00607077,1285.63,1676.64,2053.01,2133.61,2458.87,3888.49,150,299790
0.547418,0.995782,0.165043,2,7,0,0.570089,76.2729,0.398858,-0.00298065,76.2729,0.398858,-0.00298065,1269.27,1656.82,2029.51,2109.18,2429.78,3780.55,150,299790
-0.393007,0.706124,0.165043,3,9,0,3.50592,78.7798,0.445654,-0.0062296,78.7798,0.445654,-0.0062296,1271.37,1655.31,2023.78,2102.56,2420,3807.45,150,299790
-0.22016,0.973946,0.165043,4,15,0,1.97302,77.7212,0.421805,-0.0104794,77.7212,0.421805,-0.0104794,1275.46,1667.36,2047.79,2129.81,2463.45,4064.81,150,299790
0.296958,0.991092,0.165043,2,3,0,0.359841,78.3944,0.430884,-0.00834812,78.3944,0.430884,-0.00834812,1271.23,1658.82,2033.05,2113.41,2438.78,3926.04,150,299790
1.31947,0.991561,0.165043,4,31,0,1.46611,74.0611,0.354326,-0.00452079,74.0611,0.354326,-0.00452079,1268,1663.27,2047.55,2130.27,2465.44,3944.72,150,299790
0.561776,0.984704,0.165043,4,23,0,0.052384,65.3116,0.252635,0.00675587,65.3116,0.252635,0.00675587,1264.2,1665.65,2055.11,2138.43,2472.16,3719.68,150,299790
1.09191,0.96385,0.165043,4,23,0,3.19051,74.9139,0.391173,-0.00445324,74.9139,0.391173,-0.00445324,1278.78,1671.55,2050.76,2132.05,2460.22,3882.56,150,299790
0.732332,0.975571,0.165043,2,3,0,-0.719098,74.7082,0.39548,-0.00479383,74.7082,0.39548,-0.00479383,1282.85,1676.49,2056.48,2137.94,2466.88,3898.62,150,299790
1.08426,0.945982,0.165043,3,7,0,0.873525,75.5489,0.372036,-0.00552741,75.5489,0.372036,-0.00552741,1265.7,1658.27,2039.36,2121.35,2453.61,3936.1,150,299790
0.94917,0.959109,0.165043,4,31,0,1.38246,73.3863,0.378693,-0.0011336,73.3863,0.378693,-0.0011336,1282.15,1675.2,2053.25,2134.01,2458.52,3794,150,299790
1.34215,0.997886,0.165043,3,15,0,-0.525093,71.4814,0.340076,2.63727e-05,71.4814,0.340076,2.63727e-05,1277.15,1673.76,2057.03,2139.09,2469.27,3818.36,150,299790
0.247911,0.981887,0.165043,3,15,0,0.78746,75.1127,0.417608,-0.00251323,75.1127,0.417608,-0.00251323,1286.41,1676.09,2049.38,2128.99,2448.6,3777.04,150,299790
0.50924,0.976862,0.165043,3,11,0,0.223817,73.5106,0.34062,-0.00601516,73.5106,0.34062,-0.00601516,1266.98,1665.49,2055.11,2139.32,2482.02,4054.65,150,299790
1.24159,0.998889,0.165043,3,15,0,-0.0299222,72.7838,0.325888,-0.00284946,72.7838,0.325888,-0.00284946,1260.97,1657.31,2043.53,2126.73,2463.76,3922.94,150,299790
0.344521,0.814322,0.165043,2,3,0,0.293202,72.884,0.312519,-0.00292114,72.884,0.312519,-0.00292114,1252.03,1647.88,2034.74,2118.23,2456.96,3935.32,150,299790
0.344521,0.550719,0.165043,1,3,0,3.63303,72.884,0.312519,-0.00292114,72.884,0.312519,-0.00292114,1252.03,1647.88,2034.74,2118.23,2456.96,3935.32,150,299790
-0.0236407,0.995722,0.165043,3,7,0,0.66432,70.5067,0.309024,-0.00374696,70.5067,0.309024,-0.00374696,1271.41,1674.74,2069.89,2155.32,2502.66,4048.23,150,299790
0.0813061,0.985612,0.165043,4,15,0,0.641681,75.187,0.390886,0.000216914,75.187,0.390886,0.000216914,1271.11,1657.92,2028.32,2107.21,2423.19,3692.34,150,299790
0.235829,0.997373,0.165043,4,15,0,0.231489,74.7612,0.385002,0.000601618,74.7612,0.385002,0.000601618,1271.51,1659.01,2030.18,2109.23,2425.81,3691.9,150,299790
0.0111508,0.958991,0.165043,2,3,0,0.529082,74.6955,0.391101,0.0012153,74.6955,0.391101,0.0012153,1274.21,1661.16,2031.06,2109.73,2424.33,3669.53,150,299790
0.184466,0.940734,0.165043,4,23,0,0.918241,71.0657,0.290161,-0.000337998,71.0657,0.290161,-0.000337998,1249.71,1646.38,2033.84,2117.33,2455.16,3869.79,150,299790
-0.632895,0.904904,0.165043,3,15,0,1.71634,74.6091,0.342723,-0.000752894,74.6091,0.342723,-0.000752894,1252.83,1642.1,2018.66,2099.36,2424.42,3769.2,150,299790
