# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-19 14:18:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmprxp6705z/2zmdpp1c.json
# random
#   seed = 8536
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/bao/bao-20230719151849.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.129626
# Diagonal elements of inverse mass matrix:
# 0.00889383, 83.711, 39.9486
-10407.5,0.907947,0.129626,3,11,1,10410.4,0.206992,81.8646,1.41644,0.206992,81.8646,1.41644,0.103262,0.127711,0.152081,0.157482,0.180159,0.304626,150,299790
-10406.3,0.999961,0.129626,4,15,0,10408.2,0.277919,70.4714,3.23664,0.277919,70.4714,3.23664,0.110898,0.136076,0.161055,0.166582,0.189773,0.317121,150,299790
-10406.4,0.999925,0.129626,3,7,0,10406.4,0.273528,70.688,3.18356,0.273528,70.688,3.18356,0.110208,0.135251,0.160098,0.165595,0.188664,0.315335,150,299790
-10406.3,0.799934,0.129626,2,5,1,10407.3,0.274938,69.5165,2.4123,0.274938,69.5165,2.4123,0.111742,0.137484,0.163053,0.168712,0.192461,0.322819,150,299790
-10406.5,0.933084,0.129626,3,15,1,10406.7,0.254793,66.8424,2.34341,0.254793,66.8424,2.34341,0.106635,0.131244,0.155691,0.161102,0.18381,0.308452,150,299790
-10406.2,0.99839,0.129626,3,15,0,10407.4,0.283219,68.5352,1.45774,0.283219,68.5352,1.45774,0.115459,0.142708,0.169855,0.175869,0.201124,0.339754,150,299790
-10406.4,0.888889,0.129626,3,9,1,10406.7,0.329804,68.7891,5.26847,0.329804,68.7891,5.26847,0.116174,0.141934,0.16746,0.173107,0.196801,0.327055,150,299790
-10406.2,0.74954,0.129626,2,4,1,10408.5,0.349214,67.1054,2.28026,0.349214,67.1054,2.28026,0.125244,0.154143,0.182851,0.189205,0.215871,0.362256,150,299790
-10406.4,0.962785,0.129626,4,27,1,10406.6,0.288732,68.4483,4.36915,0.288732,68.4483,4.36915,0.110017,0.134633,0.159034,0.164432,0.187082,0.311539,150,299790
-10406.4,0.832267,0.129626,2,6,1,10410.9,0.303516,65.3668,3.58082,0.303516,65.3668,3.58082,0.113023,0.13855,0.163867,0.169468,0.192971,0.322058,150,299790
-10406.3,0.666513,0.129626,1,3,1,10408.3,0.29368,66.6944,2.40294,0.29368,66.6944,2.40294,0.114327,0.140662,0.166819,0.172609,0.196904,0.330267,150,299790
-10406.7,0.888638,0.129626,3,9,1,10407,0.284137,63.5445,4.86255,0.284137,63.5445,4.86255,0.106262,0.129919,0.153365,0.158552,0.180315,0.299927,150,299790
-10406.3,0.888889,0.129626,3,9,1,10407.2,0.343848,65.5176,2.49926,0.343848,65.5176,2.49926,0.122955,0.151201,0.17925,0.185458,0.211507,0.354516,150,299790
-10406.2,0.928304,0.129626,3,14,1,10407,0.316515,66.7225,2.40843,0.316515,66.7225,2.40843,0.118713,0.146045,0.173192,0.1792,0.204414,0.342825,150,299790
-10406.4,0.857078,0.129626,2,7,1,10406.8,0.316741,64.7351,3.23248,0.316741,64.7351,3.23248,0.115932,0.142243,0.168345,0.17412,0.198353,0.331431,150,299790
-10406.7,0.922638,0.129626,3,13,1,10407.1,0.347224,62.0194,4.91674,0.347224,62.0194,4.91674,0.116746,0.142712,0.168445,0.174137,0.198023,0.32931,150,299790
-10406.6,0.922629,0.129626,3,13,1,10408,0.329233,68.7098,7.54744,0.329233,68.7098,7.54744,0.112644,0.137227,0.161581,0.166968,0.189576,0.313975,150,299790
-10407.2,0.899262,0.129626,3,10,1,10409.5,0.353157,71.6506,12.5247,0.353157,71.6506,12.5247,0.112388,0.136428,0.160242,0.16551,0.187626,0.309481,150,299790
-10409,0.997311,0.129626,4,15,0,10409.2,0.180447,65.6079,16.6188,0.180447,65.6079,16.6188,0.0759339,0.0920211,0.107959,0.111486,0.126292,0.207927,150,299790
-10409.1,0.962913,0.129626,4,27,1,10410.2,0.20812,59.1555,16.5461,0.20812,59.1555,16.5461,0.079546,0.0964001,0.113098,0.116793,0.132305,0.21783,150,299790
-10408.8,0.999778,0.129626,5,31,0,10411.2,0.492354,72.0576,13.7071,0.492354,72.0576,13.7071,0.131883,0.159992,0.187836,0.193997,0.219859,0.362392,150,299790
-10408,0.99996,0.129626,5,31,0,10410,0.167156,71.2952,8.37244,0.167156,71.2952,8.37244,0.0799703,0.0973591,0.114585,0.118396,0.134389,0.222403,150,299790
-10408.8,0.99784,0.129626,4,15,0,10409.2,0.117337,69.9119,6.6728,0.117337,69.9119,6.6728,0.0678813,0.082791,0.0975636,0.100831,0.114544,0.189964,150,299790
-10407.9,0.875,0.129626,3,8,1,10409.6,0.146885,68.7951,2.39425,0.146885,68.7951,2.39425,0.0812771,0.100045,0.118691,0.122819,0.140139,0.235193,150,299790
-10408.7,0.874689,0.129626,3,8,1,10410.5,0.152422,60.5274,8.40971,0.152422,60.5274,8.40971,0.0731894,0.0891018,0.104865,0.108353,0.122987,0.20353,150,299790
-10407.6,0.950285,0.129626,4,21,1,10411.6,0.469013,77.1447,5.30745,0.469013,77.1447,5.30745,0.142723,0.174329,0.205647,0.212575,0.241644,0.401468,150,299790
-10406.8,0.962961,0.129626,4,27,1,10408.1,0.312844,75.5495,8.82424,0.312844,75.5495,8.82424,0.11087,0.134911,0.158727,0.163995,0.186106,0.307818,150,299790
-10406.4,0.874275,0.129626,3,8,1,10409,0.382248,77.6693,1.21979,0.382248,77.6693,1.21979,0.139283,0.172329,0.205281,0.212584,0.243258,0.411729,150,299790
-10406.5,0.922708,0.129626,3,13,1,10407.7,0.4242,71.4569,1.24913,0.4242,71.4569,1.24913,0.143563,0.177552,0.211432,0.21894,0.250471,0.423655,150,299790
-10406.5,0.666667,0.129626,1,3,1,10407,0.418248,71.3662,1.92511,0.418248,71.3662,1.92511,0.140337,0.17294,0.205351,0.212526,0.242643,0.407979,150,299790
-10406.9,0.832905,0.129626,2,6,1,10408.2,0.438305,68.1217,3.15842,0.438305,68.1217,3.15842,0.13846,0.169875,0.201039,0.207934,0.236866,0.395768,150,299790
-10407.6,0.943491,0.129626,4,18,1,10408.3,0.42981,82.5124,5.06934,0.42981,82.5124,5.06934,0.139425,0.170373,0.201041,0.207825,0.236291,0.392777,150,299790
-10407.8,0.85618,0.129626,2,7,1,10408.6,0.466789,81.6072,3.14187,0.466789,81.6072,3.14187,0.149645,0.183595,0.217274,0.224725,0.255991,0.427717,150,299790
-10407.7,0.749875,0.129626,2,4,1,10408.7,0.472321,81.2855,2.09827,0.472321,81.2855,2.09827,0.153565,0.189066,0.224338,0.232145,0.264912,0.444813,150,299790
-10408.6,0.898951,0.129626,3,10,1,10409.2,0.512344,80.1279,5.59865,0.512344,80.1279,5.59865,0.15003,0.183167,0.215999,0.223261,0.253735,0.421311,150,299790
-10408.7,0.888885,0.129626,3,9,1,10410.2,0.467094,84.1637,9.45738,0.467094,84.1637,9.45738,0.138594,0.168547,0.198217,0.204781,0.232328,0.384007,150,299790
-10407.8,0.951262,0.129626,4,21,1,10410.5,0.255859,85.9397,5.05426,0.255859,85.9397,5.05426,0.108488,0.132602,0.1565,0.161787,0.183969,0.305895,150,299790
-10407.5,0.874994,0.129626,3,8,1,10409.1,0.208467,81.4652,1.86937,0.208467,81.4652,1.86937,0.102413,0.126334,0.15013,0.1554,0.177519,0.298901,150,299790
-10407.8,0.832204,0.129626,2,6,1,10409.1,0.189407,82.1056,1.4847,0.189407,82.1056,1.4847,0.09866,0.121977,0.145212,0.15036,0.171976,0.290609,150,299790
-10408.2,0.666392,0.129626,1,3,1,10410,0.170341,82.0964,2.55812,0.170341,82.0964,2.55812,0.0912847,0.112285,0.133141,0.137757,0.157128,0.263444,150,299790
-10408.2,0.928436,0.129626,3,14,1,10409.6,0.148375,78.758,2.69315,0.148375,78.758,2.69315,0.0840103,0.103292,0.122438,0.126675,0.144456,0.242049,150,299790
-10408.3,0.666556,0.129626,1,3,1,10410.3,0.153524,78.9934,4.32394,0.153524,78.9934,4.32394,0.0829969,0.101597,0.120038,0.124117,0.141235,0.235276,150,299790
-10406.2,0.997949,0.129626,3,15,0,10409.7,0.280514,69.3519,1.68504,0.280514,69.3519,1.68504,0.114641,0.141515,0.168261,0.174185,0.199053,0.335541,150,299790
-10406.5,0.856923,0.129626,2,7,1,10407.3,0.264532,64.9918,2.52288,0.264532,64.9918,2.52288,0.107489,0.1322,0.15674,0.162171,0.184963,0.31007,150,299790
-10406.8,0.99834,0.129626,3,15,0,10407.4,0.238528,64.0713,3.33318,0.238528,64.0713,3.33318,0.100046,0.122737,0.145248,0.150229,0.171127,0.28589,150,299790
-10407.5,0.996483,0.129626,4,15,0,10408.5,0.28245,54.4665,1.55363,0.28245,54.4665,1.55363,0.108534,0.134073,0.159505,0.165138,0.188791,0.31862,150,299790
-10406.5,0.92849,0.129626,3,14,1,10409.3,0.354192,61.8912,1.93051,0.354192,61.8912,1.93051,0.124523,0.153483,0.182275,0.18865,0.215406,0.362277,150,299790
-10406.5,0.83332,0.129626,2,6,1,10407.4,0.369627,63.9671,3.28466,0.369627,63.9671,3.28466,0.124795,0.153078,0.181135,0.187342,0.213389,0.356439,150,299790
-10406.4,0.997557,0.129626,3,15,0,10407.9,0.355218,65.2767,2.80312,0.355218,65.2767,2.80312,0.124097,0.152444,0.180578,0.186804,0.212928,0.356366,150,299790
