# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = Supernova_dL_model
# start_datetime = 2023-07-27 14:28:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Meu_Codigo_Normal_Model/Supernova/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmppqzl4pgk/7ux50jrm.json
# random
#   seed = 93134
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/normal/snia/Supernova_dL-20230727152814.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 1.18412
# Diagonal elements of inverse mass matrix:
# 0.000856374
-51.179,1,1.18412,2,3,0,51.4873,0.279345,3.26129e+07,1.37024e+06,57571.6,23.8156,23.7561,23.7816,23.7807,23.7819,23.7724,23.7426,23.7746,23.7708,23.8779,23.8129,23.8766,23.8526,23.7957,23.8223,23.8768,23.8022,23.7461,23.8194,23.8173,23.8009,23.8063,23.7958,23.7951,23.764,23.7959,23.8321,23.8042,23.7988,23.8098,23.7995,23.8198,23.7932,23.818,23.7758,23.7673,23.8078,23.8079,23.7674,23.6664
-51.5119,0.968629,1.18412,2,3,0,51.5256,0.275669,3.26086e+07,1.37015e+06,57571.6,23.8155,23.756,23.7815,23.7805,23.7816,23.7721,23.7422,23.7742,23.7703,23.8774,23.8123,23.876,23.852,23.795,23.8215,23.876,23.8012,23.7452,23.8183,23.8161,23.7996,23.805,23.7944,23.7936,23.7624,23.7941,23.8302,23.8022,23.7966,23.8075,23.797,23.8171,23.7902,23.8148,23.7723,23.7635,23.8035,23.8031,23.7617,23.6598
-51.0209,1,1.18412,1,3,0,51.3868,0.283083,3.26173e+07,1.37034e+06,57571.6,23.8157,23.7562,23.7818,23.7809,23.7821,23.7727,23.7429,23.775,23.7712,23.8784,23.8134,23.8772,23.8533,23.7964,23.8231,23.8777,23.8031,23.7471,23.8205,23.8184,23.8021,23.8077,23.7973,23.7967,23.7657,23.7977,23.834,23.8063,23.8009,23.8122,23.8021,23.8225,23.7961,23.8213,23.7793,23.7713,23.8121,23.8127,23.7731,23.673
-51.094,0.882522,1.18412,2,3,0,51.654,0.280843,3.26146e+07,1.37028e+06,57571.6,23.8156,23.7562,23.7817,23.7807,23.782,23.7725,23.7427,23.7748,23.7709,23.8781,23.8131,23.8768,23.8529,23.796,23.8226,23.8772,23.8025,23.7465,23.8198,23.8177,23.8014,23.8069,23.7964,23.7958,23.7647,23.7966,23.8328,23.805,23.7996,23.8108,23.8005,23.8209,23.7944,23.8193,23.7772,23.7689,23.8096,23.8098,23.7697,23.669
-51.0167,0.994934,1.18412,1,3,0,51.1053,0.285702,3.26203e+07,1.3704e+06,57571.6,23.8157,23.7563,23.7819,23.781,23.7823,23.7729,23.7431,23.7753,23.7715,23.8787,23.8138,23.8776,23.8537,23.7969,23.8236,23.8783,23.8037,23.7478,23.8212,23.8192,23.803,23.8086,23.7983,23.7978,23.7668,23.7989,23.8353,23.8077,23.8025,23.8139,23.8038,23.8244,23.7982,23.8235,23.7817,23.774,23.8151,23.816,23.7771,23.6776
-51.0505,0.894053,1.18412,2,3,0,51.561,0.287119,3.2622e+07,1.37044e+06,57571.6,23.8158,23.7564,23.782,23.7811,23.7824,23.773,23.7433,23.7754,23.7717,23.8789,23.814,23.8778,23.854,23.7972,23.8239,23.8786,23.8041,23.7482,23.8216,23.8197,23.8034,23.8091,23.7988,23.7983,23.7675,23.7996,23.836,23.8085,23.8033,23.8148,23.8048,23.8255,23.7993,23.8247,23.783,23.7755,23.8168,23.8178,23.7792,23.68
-51.6344,0.865852,1.18412,1,3,0,51.6398,0.294541,3.26306e+07,1.37062e+06,57571.6,23.8159,23.7566,23.7823,23.7815,23.7829,23.7735,23.7439,23.7762,23.7725,23.8799,23.8151,23.879,23.8552,23.7986,23.8254,23.8803,23.8059,23.7502,23.8237,23.8219,23.8059,23.8117,23.8017,23.8014,23.7707,23.8031,23.8398,23.8125,23.8076,23.8194,23.8098,23.8308,23.8051,23.8311,23.7899,23.7831,23.8252,23.8272,23.7903,23.6929
-51.5335,1,1.18412,1,1,0,51.7526,0.293692,3.26296e+07,1.3706e+06,57571.6,23.8159,23.7566,23.7822,23.7814,23.7828,23.7735,23.7439,23.7761,23.7724,23.8798,23.8149,23.8789,23.8551,23.7985,23.8253,23.8801,23.8057,23.7499,23.8235,23.8217,23.8056,23.8114,23.8013,23.801,23.7703,23.8027,23.8394,23.812,23.8071,23.8189,23.8092,23.8302,23.8045,23.8304,23.7891,23.7823,23.8243,23.8261,23.789,23.6914
-52.3853,0.92297,1.18412,2,3,0,52.3948,0.269961,3.26018e+07,1.37001e+06,57571.6,23.8154,23.7558,23.7812,23.7801,23.7813,23.7716,23.7417,23.7736,23.7697,23.8766,23.8115,23.875,23.851,23.7939,23.8203,23.8747,23.7998,23.7436,23.8167,23.8144,23.7977,23.803,23.7922,23.7913,23.7598,23.7914,23.8272,23.7991,23.7932,23.8038,23.7931,23.8129,23.7857,23.8098,23.7669,23.7574,23.7969,23.7956,23.7529,23.6495
