# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = Supernova_dL_model
# start_datetime = 2023-07-22 21:01:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Meu_Codigo_Normal_Model/Supernova/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpg_e5obpy/97x3tqkm.json
# random
#   seed = 9768
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/normal/snia/Supernova_dL-20230722220118.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 1.04537
# Diagonal elements of inverse mass matrix:
# 0.000955922
-52.1495,0.720868,1.04537,2,3,0,53.2711,0.298088,3.26347e+07,1.3707e+06,57571.6,23.816,23.7567,23.7824,23.7817,23.7831,23.7738,23.7443,23.7766,23.773,23.8803,23.8156,23.8796,23.8559,23.7993,23.8262,23.8811,23.8068,23.7511,23.8248,23.823,23.8071,23.813,23.803,23.8028,23.7723,23.8047,23.8416,23.8144,23.8097,23.8217,23.8122,23.8334,23.8079,23.8341,23.7932,23.7868,23.8292,23.8317,23.7956,23.6989
-51.1887,1,1.04537,1,3,0,51.8826,0.289882,3.26252e+07,1.3705e+06,57571.6,23.8158,23.7564,23.7821,23.7812,23.7826,23.7732,23.7435,23.7757,23.772,23.8793,23.8144,23.8783,23.8544,23.7977,23.8245,23.8792,23.8048,23.7489,23.8224,23.8205,23.8044,23.8101,23.7999,23.7995,23.7687,23.8009,23.8374,23.81,23.8049,23.8165,23.8067,23.8275,23.8015,23.8271,23.7856,23.7783,23.8199,23.8213,23.7834,23.6848
-52.1412,0.728203,1.04537,1,3,0,52.9726,0.271299,3.26034e+07,1.37005e+06,57571.6,23.8154,23.7559,23.7813,23.7802,23.7814,23.7717,23.7418,23.7738,23.7698,23.8768,23.8117,23.8752,23.8512,23.7941,23.8206,23.875,23.8002,23.744,23.8171,23.8148,23.7982,23.8034,23.7927,23.7918,23.7604,23.792,23.8279,23.7998,23.794,23.8047,23.794,23.8139,23.7868,23.811,23.7682,23.7588,23.7984,23.7974,23.755,23.6519
-51.7876,1,1.04537,2,3,0,52.181,0.273532,3.2606e+07,1.3701e+06,57571.6,23.8155,23.7559,23.7814,23.7803,23.7815,23.7719,23.742,23.774,23.7701,23.8771,23.812,23.8756,23.8516,23.7946,23.8211,23.8755,23.8007,23.7446,23.8177,23.8155,23.7989,23.8042,23.7935,23.7928,23.7614,23.7931,23.8291,23.801,23.7953,23.8061,23.7956,23.8155,23.7885,23.813,23.7703,23.7612,23.801,23.8003,23.7584,23.656
-53.5336,0.649473,1.04537,1,1,0,53.5418,0.264893,3.25958e+07,1.36989e+06,57571.6,23.8153,23.7557,23.781,23.7799,23.7809,23.7712,23.7412,23.7731,23.7691,23.8759,23.8108,23.8742,23.8501,23.7929,23.8193,23.8735,23.7986,23.7423,23.8152,23.8128,23.796,23.8011,23.7902,23.7892,23.7576,23.789,23.8246,23.7963,23.7902,23.8006,23.7896,23.8091,23.7816,23.8054,23.7621,23.752,23.7909,23.789,23.7449,23.6402
-52.9454,1,1.04537,1,1,0,53.7461,0.267293,3.25986e+07,1.36995e+06,57571.6,23.8153,23.7557,23.7811,23.78,23.7811,23.7714,23.7415,23.7733,23.7693,23.8763,23.8111,23.8746,23.8505,23.7933,23.8198,23.8741,23.7992,23.7429,23.8159,23.8135,23.7968,23.802,23.7911,23.7902,23.7587,23.7901,23.8259,23.7976,23.7917,23.8021,23.7913,23.8109,23.7835,23.8075,23.7644,23.7546,23.7937,23.7921,23.7487,23.6446
