lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.975651
# Diagonal elements of inverse mass matrix:
# 0.000926307
-51.7253,0.986547,0.975651,1,1,0,51.8506,0.273976,3.26066e+07,1.37011e+06,57571.6,23.8155,23.7559,23.7814,23.7804,23.7815,23.772,23.7421,23.774,23.7701,23.8771,23.8121,23.8757,23.8517,23.7946,23.8212,23.8756,23.8008,23.7447,23.8178,23.8156,23.7991,23.8044,23.7937,23.7929,23.7616,23.7933,23.8293,23.8013,23.7956,23.8064,23.7959,23.8158,23.7889,23.8134,23.7707,23.7617,23.8016,23.8009,23.7591,23.6568
-52.1932,0.905772,0.975651,1,1,0,52.2532,0.271003,3.2603e+07,1.37004e+06,57571.6,23.8154,23.7559,23.7813,23.7802,23.7813,23.7717,23.7418,23.7737,23.7698,23.8768,23.8117,23.8752,23.8511,23.7941,23.8205,23.8749,23.8001,23.7439,23.817,23.8147,23.7981,23.8033,23.7926,23.7917,23.7603,23.7919,23.8278,23.7996,23.7939,23.8045,23.7938,23.8136,23.7865,23.8107,23.7679,23.7585,23.7981,23.797,23.7545,23.6514
-51.2802,0.881241,0.975651,1,3,0,53.3912,0.291108,3.26266e+07,1.37053e+06,57571.6,23.8159,23.7565,23.7821,23.7813,23.7826,23.7733,23.7436,23.7758,23.7721,23.8794,23.8146,23.8785,23.8546,23.798,23.8247,23.8795,23.8051,23.7493,23.8228,23.8209,23.8048,23.8105,23.8003,23.8,23.7692,23.8015,23.8381,23.8106,23.8056,23.8173,23.8075,23.8284,23.8024,23.8282,23.7867,23.7796,23.8213,23.8229,23.7852,23.687
-51.0308,0.998944,0.975651,1,3,0,51.2411,0.286425,3.26212e+07,1.37042e+06,57571.6,23.8158,23.7563,23.7819,23.781,23.7823,23.7729,23.7432,23.7753,23.7716,23.8788,23.8139,23.8777,23.8538,23.7971,23.8237,23.8784,23.8039,23.748,23.8214,23.8194,23.8032,23.8088,23.7985,23.7981,23.7671,23.7992,23.8357,23.8081,23.8029,23.8143,23.8043,23.8249,23.7988,23.8241,23.7824,23.7747,23.816,23.8169,23.7782,23.6788
-51.7446,0.86218,0.975651,1,3,0,51.8456,0.295395,3.26316e+07,1.37064e+06,57571.6,23.816,23.7566,23.7823,23.7815,23.7829,23.7736,23.744,23.7763,23.7726,23.88,23.8152,23.8792,23.8554,23.7988,23.8256,23.8804,23.8061,23.7504,23.824,23.8222,23.8062,23.812,23.802,23.8017,23.7711,23.8035,23.8402,23.813,23.8081,23.82,23.8104,23.8315,23.8058,23.8318,23.7907,23.784,23.8262,23.8283,23.7916,23.6943
-51.7446,0.827651,0.975651,1,1,0,52.3845,0.295395,3.26316e+07,1.37064e+06,57571.6,23.816,23.7566,23.7823,23.7815,23.7829,23.7736,23.744,23.7763,23.7726,23.88,23.8152,23.8792,23.8554,23.7988,23.8256,23.8804,23.8061,23.7504,23.824,23.8222,23.8062,23.812,23.802,23.8017,23.7711,23.8035,23.8402,23.813,23.8081,23.82,23.8104,23.8315,23.8058,23.8318,23.7907,23.784,23.8262,23.8283,23.7916,23.6943
-51.0726,0.971555,0.975651,2,3,0,51.9705,0.287722,3.26227e+07,1.37045e+06,57571.6,23.8158,23.7564,23.782,23.7811,23.7824,23.773,23.7433,23.7755,23.7717,23.879,23.8141,23.8779,23.8541,23.7973,23.824,23.8787,23.8042,23.7484,23.8218,23.8198,23.8036,23.8093,23.799,23.7986,23.7677,23.7999,23.8363,23.8088,23.8036,23.8151,23.8052,23.8259,23.7998,23.8253,23.7836,23.7761,23.8175,23.8186,23.7801,23.6811
-51.0078,0.999079,0.975651,1,3,0,51.0773,0.284586,3.2619e+07,1.37037e+06,57571.6,23.8157,23.7563,23.7818,23.7809,23.7822,23.7728,23.743,23.7751,23.7714,23.8786,23.8136,23.8774,23.8535,23.7967,23.8234,23.878,23.8034,23.7475,23.8209,23.8189,23.8026,23.8082,23.7978,23.7973,23.7663,23.7984,23.8347,23.8071,23.8018,23.8132,23.8031,23.8236,23.7973,23.8226,23.7807,23.7728,23.8139,23.8146,23.7754,23.6756
-51.0523,0.989057,0.975651,1,3,0,51.0688,0.281874,3.26158e+07,1.37031e+06,57571.6,23.8156,23.7562,23.7817,23.7808,23.782,23.7726,23.7428,23.7749,23.7711,23.8782,23.8132,23.877,23.853,23.7962,23.8228,23.8774,23.8028,23.7468,23.8201,23.818,23.8017,23.8072,23.7968,23.7962,23.7651,23.7971,23.8334,23.8056,23.8002,23.8114,23.8012,23.8216,23.7952,23.8202,23.7782,23.77,23.8107,23.8111,23.7713,23.6708
-51.454,0.92975,0.975651,1,3,0,51.4837,0.276189,3.26092e+07,1.37017e+06,57571.6,23.8155,23.756,23.7815,23.7805,23.7817,23.7721,23.7423,23.7743,23.7704,23.8774,23.8124,23.876,23.852,23.7951,23.8216,23.8761,23.8014,23.7453,23.8185,23.8163,23.7998,23.8052,23.7946,23.7938,23.7626,23.7944,23.8305,23.8025,23.7969,23.8078,23.7974,23.8175,23.7907,23.8153,23.7728,23.764,23.8041,23.8038,23.7625,23.6607
-51.6158,0.835256,0.975651,2,7,0,52.9204,0.29439,3.26304e+07,1.37061e+06,57571.6,23.8159,23.7566,23.7823,23.7815,23.7828,23.7735,23.7439,23.7762,23.7725,23.8798,23.815,23.879,23.8552,23.7986,23.8254,23.8802,23.8059,23.7501,23.8237,23.8219,23.8059,23.8117,23.8016,23.8013,23.7707,23.803,23.8397,23.8124,23.8075,23.8193,23.8097,23.8307,23.805,23.831,23.7898,23.783,23.8251,23.827,23.7901,23.6926
-51.011,1,0.975651,2,3,0,51.5493,0.283808,3.26181e+07,1.37035e+06,57571.6,23.8157,23.7563,23.7818,23.7809,23.7822,23.7727,23.743,23.7751,23.7713,23.8784,23.8135,23.8773,23.8534,23.7966,23.8232,23.8778,23.8033,23.7473,23.8207,23.8186,23.8023,23.8079,23.7975,23.797,23.766,23.798,23.8344,23.8067,23.8014,23.8127,23.8026,23.823,23.7967,23.8219,23.78,23.772,23.813,23.8136,23.7742,23.6742
-51.009,0.974691,0.975651,2,3,0,51.1825,0.284092,3.26184e+07,1.37036e+06,57571.6,23.8157,23.7563,23.7818,23.7809,23.7822,23.7727,23.743,23.7751,23.7713,23.8785,23.8135,23.8773,23.8534,23.7966,23.8233,23.8779,23.8033,23.7474,23.8207,23.8187,23.8024,23.808,23.7976,23.7971,23.7661,23.7981,23.8345,23.8068,23.8015,23.8128,23.8027,23.8232,23.7969,23.8221,23.7802,23.7723,23.8133,23.814,23.7746,23.6747
-51.0445,0.883875,0.975651,2,3,0,51.8396,0.282118,3.26161e+07,1.37031e+06,57571.6,23.8157,23.7562,23.7817,23.7808,23.7821,23.7726,23.7428,23.7749,23.7711,23.8782,23.8133,23.877,23.8531,23.7962,23.8229,23.8774,23.8028,23.7469,23.8202,23.8181,23.8018,23.8073,23.7969,23.7963,23.7652,23.7972,23.8335,23.8057,23.8004,23.8116,23.8014,23.8218,23.7954,23.8204,23.7784,23.7702,23.811,23.8114,23.7716,23.6713
-51.089,0.990135,0.975651,1,1,0,51.0903,0.280951,3.26148e+07,1.37028e+06,57571.6,23.8156,23.7562,23.7817,23.7807,23.782,23.7725,23.7427,23.7748,23.7709,23.8781,23.8131,23.8768,23.8529,23.796,23.8226,23.8772,23.8026,23.7466,23.8198,23.8178,23.8014,23.8069,23.7964,23.7958,23.7647,23.7966,23.8329,23.8051,23.7997,23.8109,23.8006,23.821,23.7944,23.8194,23.7773,23.769,23.8097,23.8099,23.7698,23.6692
