# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = Supernova_dL_model
# start_datetime = 2023-07-27 14:28:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Meu_Codigo_Normal_Model/Supernova/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmppqzl4pgk/7ux50jrm.json
# random
#   seed = 93134
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/normal/snia/Supernova_dL-20230727152814.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.952485
# Diagonal elements of inverse mass matrix:
# 0.000967459
-52.473,1,0.952485,2,7,0,52.4752,0.269511,3.26013e+07,1.37e+06,57571.6,23.8154,23.7558,23.7812,23.7801,23.7812,23.7716,23.7417,23.7736,23.7696,23.8766,23.8114,23.875,23.8509,23.7938,23.8202,23.8746,23.7997,23.7435,23.8165,23.8142,23.7976,23.8028,23.792,23.7911,23.7596,23.7912,23.827,23.7988,23.793,23.8036,23.7928,23.8125,23.7853,23.8094,23.7665,23.7569,23.7963,23.795,23.7522,23.6487
-51.0479,0.995438,0.952485,2,3,0,52.5027,0.28201,3.2616e+07,1.37031e+06,57571.6,23.8157,23.7562,23.7817,23.7808,23.782,23.7726,23.7428,23.7749,23.7711,23.8782,23.8132,23.877,23.8531,23.7962,23.8228,23.8774,23.8028,23.7468,23.8201,23.8181,23.8017,23.8073,23.7968,23.7962,23.7652,23.7971,23.8334,23.8057,23.8003,23.8115,23.8013,23.8217,23.7953,23.8203,23.7783,23.7701,23.8109,23.8113,23.7715,23.6711
-58.0854,0.499096,0.952485,2,3,0,59.2232,0.318876,3.26585e+07,1.3712e+06,57571.6,23.8165,23.7574,23.7833,23.7828,23.7844,23.7754,23.7462,23.7787,23.7754,23.8831,23.8186,23.883,23.8595,23.8033,23.8304,23.8857,23.8118,23.7566,23.8307,23.8294,23.8139,23.8203,23.811,23.8112,23.7813,23.8144,23.852,23.8256,23.8216,23.8345,23.8259,23.8482,23.8239,23.8515,23.812,23.8078,23.8523,23.8572,23.8256,23.7335
-53.879,1,0.952485,1,1,0,57.137,0.30618,3.2644e+07,1.3709e+06,57571.6,23.8162,23.757,23.7828,23.7821,23.7836,23.7744,23.745,23.7774,23.7739,23.8814,23.8167,23.8809,23.8573,23.8009,23.8278,23.8829,23.8087,23.7532,23.8271,23.8255,23.8098,23.8159,23.8061,23.8061,23.7758,23.8085,23.8457,23.8188,23.8143,23.8267,23.8175,23.8392,23.8141,23.8409,23.8005,23.795,23.8383,23.8417,23.8074,23.7126
-51.033,0.974383,0.952485,1,3,0,53.789,0.286512,3.26213e+07,1.37042e+06,57571.6,23.8158,23.7563,23.7819,23.781,23.7823,23.7729,23.7432,23.7753,23.7716,23.8788,23.8139,23.8777,23.8538,23.7971,23.8238,23.8784,23.8039,23.748,23.8214,23.8195,23.8032,23.8089,23.7986,23.7981,23.7672,23.7993,23.8357,23.8081,23.8029,23.8144,23.8044,23.825,23.7988,23.8242,23.7825,23.7748,23.8161,23.8171,23.7783,23.679
-51.0176,1,0.952485,1,1,0,51.0296,0.285759,3.26204e+07,1.3704e+06,57571.6,23.8157,23.7563,23.7819,23.781,23.7823,23.7729,23.7431,23.7753,23.7715,23.8787,23.8138,23.8776,23.8537,23.7969,23.8236,23.8783,23.8037,23.7478,23.8212,23.8192,23.803,23.8086,23.7983,23.7978,23.7669,23.7989,23.8353,23.8077,23.8025,23.8139,23.8039,23.8245,23.7982,23.8236,23.7818,23.7741,23.8152,23.8161,23.7772,23.6777
