lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 1.37767
# Diagonal elements of inverse mass matrix:
# 0.000598638
-51.2414,0.942287,1.37767,1,3,0,51.4073,0.290618,3.2626e+07,1.37052e+06,57571.6,23.8158,23.7565,23.7821,23.7813,23.7826,23.7732,23.7436,23.7758,23.7721,23.8793,23.8145,23.8784,23.8546,23.7979,23.8246,23.8794,23.8049,23.7491,23.8226,23.8207,23.8046,23.8103,23.8002,23.7998,23.769,23.8012,23.8378,23.8104,23.8053,23.817,23.8071,23.828,23.8021,23.8277,23.7863,23.7791,23.8208,23.8223,23.7845,23.6861
-51.6375,0.962196,1.37767,2,3,0,51.6609,0.294566,3.26306e+07,1.37062e+06,57571.6,23.8159,23.7566,23.7823,23.7815,23.7829,23.7735,23.7439,23.7762,23.7725,23.8799,23.8151,23.879,23.8552,23.7986,23.8254,23.8803,23.8059,23.7502,23.8237,23.8219,23.8059,23.8117,23.8017,23.8014,23.7707,23.8031,23.8398,23.8125,23.8076,23.8194,23.8098,23.8309,23.8051,23.8311,23.7899,23.7832,23.8253,23.8272,23.7903,23.6929
-51.2654,1,1.37767,1,1,0,51.555,0.290925,3.26264e+07,1.37053e+06,57571.6,23.8159,23.7565,23.7821,23.7813,23.7826,23.7733,23.7436,23.7758,23.7721,23.8794,23.8145,23.8784,23.8546,23.7979,23.8247,23.8794,23.805,23.7492,23.8227,23.8208,23.8047,23.8104,23.8003,23.7999,23.7691,23.8014,23.838,23.8105,23.8055,23.8172,23.8074,23.8282,23.8023,23.828,23.7866,23.7794,23.8211,23.8227,23.7849,23.6867
-51.0964,1,1.37767,2,3,0,51.222,0.288266,3.26233e+07,1.37046e+06,57571.6,23.8158,23.7564,23.782,23.7811,23.7824,23.7731,23.7434,23.7755,23.7718,23.879,23.8142,23.878,23.8542,23.7974,23.8241,23.8788,23.8044,23.7485,23.8219,23.82,23.8038,23.8095,23.7993,23.7988,23.768,23.8001,23.8366,23.8091,23.804,23.8155,23.8056,23.8263,23.8002,23.8257,23.7841,23.7767,23.8181,23.8193,23.7809,23.682
-51.9921,0.811345,1.37767,1,3,0,51.9994,0.297107,3.26336e+07,1.37068e+06,57571.6,23.816,23.7567,23.7824,23.7816,23.783,23.7737,23.7442,23.7764,23.7728,23.8802,23.8154,23.8794,23.8557,23.7991,23.826,23.8808,23.8065,23.7508,23.8245,23.8227,23.8068,23.8126,23.8027,23.8024,23.7718,23.8043,23.8411,23.8139,23.8091,23.821,23.8115,23.8327,23.8071,23.8333,23.7923,23.7858,23.8281,23.8304,23.7941,23.6973
-51.3849,1,1.37767,2,3,0,51.8473,0.292279,3.2628e+07,1.37056e+06,57571.6,23.8159,23.7565,23.7822,23.7813,23.7827,23.7734,23.7437,23.7759,23.7723,23.8796,23.8147,23.8787,23.8549,23.7982,23.825,23.8797,23.8053,23.7496,23.8231,23.8212,23.8052,23.8109,23.8008,23.8004,23.7697,23.802,23.8387,23.8113,23.8063,23.818,23.8083,23.8292,23.8034,23.8292,23.7878,23.7808,23.8227,23.8244,23.7869,23.689
-51.01,1,1.37767,1,3,0,51.3086,0.285111,3.26196e+07,1.37039e+06,57571.6,23.8157,23.7563,23.7819,23.781,23.7822,23.7728,23.7431,23.7752,23.7714,23.8786,23.8137,23.8775,23.8536,23.7968,23.8235,23.8781,23.8036,23.7477,23.821,23.819,23.8028,23.8084,23.798,23.7975,23.7666,23.7986,23.835,23.8074,23.8021,23.8135,23.8034,23.824,23.7977,23.823,23.7812,23.7734,23.8145,23.8153,23.7762,23.6765
-51.0291,0.994118,1.37767,1,3,0,51.0392,0.282688,3.26168e+07,1.37033e+06,57571.6,23.8157,23.7562,23.7818,23.7808,23.7821,23.7726,23.7429,23.7749,23.7712,23.8783,23.8133,23.8771,23.8532,23.7963,23.823,23.8776,23.803,23.747,23.8203,23.8183,23.802,23.8075,23.7971,23.7965,23.7655,23.7975,23.8338,23.8061,23.8007,23.812,23.8018,23.8222,23.7958,23.8209,23.7789,23.7708,23.8117,23.8122,23.7725,23.6723
-51.0096,0.987356,1.37767,2,3,0,51.1004,0.285049,3.26196e+07,1.37039e+06,57571.6,23.8157,23.7563,23.7819,23.781,23.7822,23.7728,23.7431,23.7752,23.7714,23.8786,23.8137,23.8775,23.8536,23.7968,23.8235,23.8781,23.8036,23.7477,23.821,23.819,23.8028,23.8084,23.798,23.7975,23.7665,23.7986,23.835,23.8073,23.8021,23.8135,23.8034,23.8239,23.7977,23.823,23.7811,23.7733,23.8144,23.8152,23.7761,23.6764
-51.0557,0.951629,1.37767,2,3,0,51.2655,0.281777,3.26157e+07,1.3703e+06,57571.6,23.8156,23.7562,23.7817,23.7808,23.782,23.7726,23.7428,23.7749,23.771,23.8782,23.8132,23.877,23.853,23.7962,23.8228,23.8774,23.8028,23.7468,23.8201,23.818,23.8017,23.8072,23.7967,23.7961,23.7651,23.797,23.8333,23.8056,23.8002,23.8114,23.8012,23.8216,23.7951,23.8201,23.7781,23.7699,23.8106,23.811,23.7711,23.6707
