# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = Supernova_dL_model
# start_datetime = 2023-07-22 21:01:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Meu_Codigo_Normal_Model/Supernova/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpg_e5obpy/97x3tqkm.json
# random
#   seed = 9768
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/normal/snia/Supernova_dL-20230722220118.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.99997
# Diagonal elements of inverse mass matrix:
# 0.000923509
-52.7179,1,0.99997,1,1,0,53.524,0.301167,3.26383e+07,1.37078e+06,57571.6,23.8161,23.7568,23.7826,23.7818,23.7833,23.7741,23.7445,23.7769,23.7733,23.8807,23.816,23.8801,23.8564,23.7999,23.8268,23.8817,23.8075,23.7519,23.8256,23.824,23.8081,23.8141,23.8042,23.8041,23.7736,23.8062,23.8432,23.8161,23.8114,23.8236,23.8142,23.8356,23.8103,23.8367,23.796,23.7899,23.8327,23.8355,23.8001,23.7042
-52.7179,0.413933,0.99997,1,1,0,55.2218,0.301167,3.26383e+07,1.37078e+06,57571.6,23.8161,23.7568,23.7826,23.7818,23.7833,23.7741,23.7445,23.7769,23.7733,23.8807,23.816,23.8801,23.8564,23.7999,23.8268,23.8817,23.8075,23.7519,23.8256,23.824,23.8081,23.8141,23.8042,23.8041,23.7736,23.8062,23.8432,23.8161,23.8114,23.8236,23.8142,23.8356,23.8103,23.8367,23.796,23.7899,23.8327,23.8355,23.8001,23.7042
-52.0571,1,0.99997,1,1,0,52.6873,0.297521,3.26341e+07,1.37069e+06,57571.6,23.816,23.7567,23.7824,23.7816,23.783,23.7738,23.7442,23.7765,23.7729,23.8803,23.8155,23.8795,23.8558,23.7992,23.826,23.8809,23.8066,23.7509,23.8246,23.8229,23.8069,23.8128,23.8028,23.8026,23.772,23.8045,23.8413,23.8141,23.8093,23.8213,23.8118,23.833,23.8074,23.8336,23.7926,23.7862,23.8286,23.831,23.7947,23.698
-52.2749,0.94604,0.99997,1,1,0,52.4871,0.298822,3.26356e+07,1.37072e+06,57571.6,23.816,23.7567,23.7825,23.7817,23.7831,23.7739,23.7443,23.7766,23.773,23.8804,23.8157,23.8797,23.856,23.7995,23.8263,23.8812,23.8069,23.7513,23.825,23.8232,23.8073,23.8133,23.8033,23.8031,23.7726,23.8051,23.842,23.8148,23.8101,23.8221,23.8126,23.8339,23.8084,23.8347,23.7938,23.7875,23.8301,23.8326,23.7966,23.7002
-51.01,0.99079,0.99997,1,3,0,52.2563,0.2851,3.26196e+07,1.37039e+06,57571.6,23.8157,23.7563,23.7819,23.781,23.7822,23.7728,23.7431,23.7752,23.7714,23.8786,23.8137,23.8775,23.8536,23.7968,23.8235,23.8781,23.8036,23.7477,23.821,23.819,23.8028,23.8084,23.798,23.7975,23.7666,23.7986,23.835,23.8074,23.8021,23.8135,23.8034,23.824,23.7977,23.823,23.7812,23.7734,23.8145,23.8152,23.7762,23.6765
-51.3935,0.904307,0.99997,1,3,0,51.5471,0.27677,3.26098e+07,1.37018e+06,57571.6,23.8155,23.756,23.7815,23.7805,23.7817,23.7722,23.7423,23.7743,23.7705,23.8775,23.8125,23.8761,23.8522,23.7952,23.8217,23.8762,23.8015,23.7455,23.8186,23.8165,23.8,23.8054,23.7948,23.7941,23.7629,23.7947,23.8307,23.8028,23.7972,23.8082,23.7978,23.8179,23.7911,23.8158,23.7734,23.7646,23.8048,23.8045,23.7634,23.6618
-51.2984,1,0.99997,1,1,0,51.4171,0.277787,3.2611e+07,1.37021e+06,57571.6,23.8156,23.7561,23.7816,23.7806,23.7818,23.7722,23.7424,23.7744,23.7706,23.8777,23.8126,23.8763,23.8523,23.7954,23.822,23.8765,23.8018,23.7457,23.8189,23.8168,23.8003,23.8058,23.7952,23.7945,23.7633,23.7951,23.8313,23.8034,23.7978,23.8088,23.7985,23.8186,23.7919,23.8167,23.7743,23.7657,23.806,23.8058,23.765,23.6636
-51.01,0.992773,0.99997,1,3,0,51.3487,0.285099,3.26196e+07,1.37039e+06,57571.6,23.8157,23.7563,23.7819,23.781,23.7822,23.7728,23.7431,23.7752,23.7714,23.8786,23.8137,23.8775,23.8536,23.7968,23.8235,23.8781,23.8036,23.7477,23.821,23.819,23.8028,23.8084,23.798,23.7975,23.7666,23.7986,23.835,23.8074,23.8021,23.8135,23.8034,23.824,23.7977,23.823,23.7812,23.7734,23.8145,23.8152,23.7762,23.6765
-51.2069,0.948608,0.99997,1,3,0,51.2929,0.278941,3.26124e+07,1.37023e+06,57571.6,23.8156,23.7561,23.7816,23.7806,23.7818,23.7723,23.7425,23.7746,23.7707,23.8778,23.8128,23.8765,23.8525,23.7956,23.8222,23.8767,23.8021,23.746,23.8193,23.8171,23.8007,23.8062,23.7956,23.795,23.7638,23.7957,23.8319,23.804,23.7985,23.8096,23.7993,23.8195,23.7928,23.8177,23.7754,23.7669,23.8073,23.8073,23.7668,23.6656
-51.3737,0.962594,0.99997,1,1,0,51.3894,0.276971,3.26101e+07,1.37019e+06,57571.6,23.8155,23.756,23.7815,23.7805,23.7817,23.7722,23.7423,23.7744,23.7705,23.8775,23.8125,23.8762,23.8522,23.7952,23.8218,23.8763,23.8016,23.7455,23.8187,23.8165,23.8001,23.8055,23.7949,23.7942,23.763,23.7948,23.8309,23.8029,23.7974,23.8083,23.7979,23.818,23.7913,23.816,23.7736,23.7648,23.8051,23.8048,23.7637,23.6621
-51.0633,0.998571,0.99997,1,3,0,51.3104,0.281568,3.26155e+07,1.3703e+06,57571.6,23.8156,23.7562,23.7817,23.7808,23.782,23.7725,23.7428,23.7748,23.771,23.8782,23.8132,23.8769,23.853,23.7961,23.8227,23.8773,23.8027,23.7467,23.82,23.8179,23.8016,23.8071,23.7967,23.7961,23.765,23.7969,23.8332,23.8054,23.8001,23.8112,23.801,23.8214,23.7949,23.82,23.7779,23.7697,23.8104,23.8107,23.7708,23.6703
-51.0089,0.836178,0.99997,2,3,0,52.2717,0.284939,3.26194e+07,1.37038e+06,57571.6,23.8157,23.7563,23.7819,23.781,23.7822,23.7728,23.7431,23.7752,23.7714,23.8786,23.8137,23.8775,23.8536,23.7968,23.8234,23.8781,23.8035,23.7476,23.821,23.819,23.8027,23.8083,23.798,23.7974,23.7665,23.7985,23.8349,23.8073,23.802,23.8134,23.8033,23.8239,23.7976,23.8229,23.781,23.7732,23.8143,23.815,23.7759,23.6762
-52.4815,0.687827,0.99997,1,3,0,53.0067,0.269468,3.26012e+07,1.37e+06,57571.6,23.8154,23.7558,23.7812,23.7801,23.7812,23.7716,23.7416,23.7736,23.7696,23.8766,23.8114,23.8749,23.8509,23.7938,23.8202,23.8746,23.7997,23.7435,23.8165,23.8142,23.7975,23.8028,23.792,23.7911,23.7596,23.7912,23.827,23.7988,23.7929,23.8035,23.7928,23.8125,23.7853,23.8094,23.7665,23.7569,23.7963,23.795,23.7521,23.6486
-53.1617,0.8637,0.99997,1,1,0,53.3391,0.266372,3.25975e+07,1.36992e+06,57571.6,23.8153,23.7557,23.7811,23.78,23.781,23.7714,23.7414,23.7732,23.7692,23.8761,23.811,23.8744,23.8503,23.7932,23.8196,23.8739,23.7989,23.7427,23.8156,23.8132,23.7965,23.8017,23.7908,23.7898,23.7582,23.7897,23.8254,23.7971,23.7911,23.8015,23.7907,23.8102,23.7828,23.8067,23.7635,23.7536,23.7926,23.7909,23.7472,23.6429
