# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = newbao_model
# start_datetime = 2023-07-20 10:25:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpal26qh23/sm0lah0q.json
# random
#   seed = 23928
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/bao/newbao-20230720112522.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6
# Adaptation terminated
# Step size = 0.0948409
# Diagonal elements of inverse mass matrix:
# 0.0109045, 0.000128136, 0.189245
3.70043,0.914665,0.0948409,4,27,0,-1.71053,77.2383,0.385414,-0.194519,77.2383,0.385414,-0.194519,1275.39,1671.57,2053.06,2134.49,2460.98,3769.31,150,299790,nan,nan,nan,nan,nan,nan
4.37145,0.910946,0.0948409,5,31,0,-2.96216,72.8896,0.323759,-0.112615,72.8896,0.323759,-0.112615,1267.18,1667.17,2055.93,2139.41,2475.92,3854.91,150,299790,nan,nan,nan,nan,nan,nan
4.32087,0.943926,0.0948409,5,31,0,-3.90228,71.6781,0.308534,-0.0507864,71.6781,0.308534,-0.0507864,1261.42,1659.99,2048,2131.41,2468.11,3857.63,150,299790,nan,nan,nan,nan,nan,nan
4.19157,0.989203,0.0948409,4,31,0,-3.96532,70.7021,0.29499,-0.0353772,70.7021,0.29499,-0.0353772,1259.22,1658.9,2048.93,2132.9,2472.34,3880.84,150,299790,nan,nan,nan,nan,nan,nan
3.84072,0.908834,0.0948409,2,3,0,-3.40522,71.3191,0.295692,-0.0386151,71.3191,0.295692,-0.0386151,1254.64,1652.84,2041.41,2125.06,2463.19,3865.77,150,299790,nan,nan,nan,nan,nan,nan
3.57313,0.974712,0.0948409,5,55,0,-3.17456,74.9516,0.339702,-0.0972349,74.9516,0.339702,-0.0972349,1257.87,1651.87,2033.5,2115.28,2444.45,3786.57,150,299790,nan,nan,nan,nan,nan,nan
3.72591,0.996639,0.0948409,4,19,0,-2.83551,75.0453,0.344364,-0.225672,75.0453,0.344364,-0.225672,1274.19,1677.25,2068.53,2152.44,2490.15,3859.59,150,299790,nan,nan,nan,nan,nan,nan
3.56519,1,0.0948409,3,15,0,-2.87245,76.4772,0.362434,-0.133922,76.4772,0.362434,-0.133922,1262.23,1655.43,2035.01,2116.19,2442.26,3760.7,150,299790,nan,nan,nan,nan,nan,nan
3.31017,0.927592,0.0948409,2,3,0,-2.91934,75.803,0.363975,-0.22674,75.803,0.363975,-0.22674,1279.54,1681.39,2070.09,2153.27,2487.42,3833.56,150,299790,nan,nan,nan,nan,nan,nan
3.85393,1,0.0948409,2,7,0,-3.34522,76.6772,0.365706,-0.159957,76.6772,0.365706,-0.159957,1265.4,1660.05,2041.05,2122.51,2449.69,3770.09,150,299790,nan,nan,nan,nan,nan,nan
3.02239,0.996759,0.0948409,5,31,0,-2.75741,81.6085,0.409801,-0.357803,81.6085,0.409801,-0.357803,1274.34,1673.48,2057.78,2139.72,2467.67,3763.51,150,299790,nan,nan,nan,nan,nan,nan
1.10303,0.648027,0.0948409,5,63,0,1.82682,56.2731,0.191905,0.827544,56.2731,0.191905,0.827544,1249.33,1645.54,2035.45,2120.02,2464.81,3974.23,150,299790,nan,nan,nan,nan,nan,nan
1.72519,0.987378,0.0948409,5,31,0,-0.538234,57.825,0.300152,1.04272,57.825,0.300152,1.04272,1292.56,1672.94,2036.99,2114.77,2428.07,3748.28,150,299790,nan,nan,nan,nan,nan,nan
-1.16662,0.630326,0.0948409,2,7,0,2.79754,60.4156,0.287303,1.0129,60.4156,0.287303,1.0129,1261.11,1635.39,1994.57,2071.43,2381.31,3691.03,150,299790,nan,nan,nan,nan,nan,nan
2.23584,1,0.0948409,2,7,0,1.10335,59.0275,0.301861,0.921581,59.0275,0.301861,0.921581,1290.4,1672.51,2038.66,2116.92,2432.18,3758.01,150,299790,nan,nan,nan,nan,nan,nan
-0.222117,0.829121,0.0948409,4,15,0,1.10322,57.04,0.195007,0.45904,57.04,0.195007,0.45904,1267.31,1676.47,2081.37,2169.41,2528.87,4099.4,150,299790,nan,nan,nan,nan,nan,nan
3.64748,0.999991,0.0948409,5,31,0,0.918355,65.6261,0.306438,0.430838,65.6261,0.306438,0.430838,1269.08,1656.04,2029.27,2109.23,2431.55,3775.31,150,299790,nan,nan,nan,nan,nan,nan
3.00938,0.956037,0.0948409,3,11,0,-1.51517,63.7742,0.327783,0.528735,63.7742,0.327783,0.528735,1289.19,1675.76,2046.57,2125.78,2444.48,3767.49,150,299790,nan,nan,nan,nan,nan,nan
3.94098,0.996853,0.0948409,5,31,0,-2.61427,66.2985,0.315071,0.281867,66.2985,0.315071,0.281867,1281.58,1674.99,2054.82,2136.2,2464.13,3823.9,150,299790,nan,nan,nan,nan,nan,nan
3.21352,0.934572,0.0948409,2,3,0,-3.11967,67.3766,0.307798,0.33542,67.3766,0.307798,0.33542,1262.22,1649.45,2023.48,2103.65,2426.86,3771.49,150,299790,nan,nan,nan,nan,nan,nan
1.37502,0.978742,0.0948409,4,31,0,-0.21497,60.5333,0.296579,0.924835,60.5333,0.296579,0.924835,1271.63,1649.12,2011.18,2088.61,2400.64,3714.75,150,299790,nan,nan,nan,nan,nan,nan
3.39357,0.961403,0.0948409,5,47,0,-0.156953,68.6576,0.296694,0.196959,68.6576,0.296694,0.196959,1256.64,1648.08,2028.02,2109.64,2439.2,3811.88,150,299790,nan,nan,nan,nan,nan,nan
3.70522,0.997281,0.0948409,5,39,0,-2.83878,74.5003,0.332546,-0.0973618,74.5003,0.332546,-0.0973618,1257.39,1652.36,2035.46,2117.62,2448.55,3801.05,150,299790,nan,nan,nan,nan,nan,nan
3.66749,0.956164,0.0948409,3,11,0,-2.25485,77.252,0.32403,-0.338434,77.252,0.32403,-0.338434,1255.6,1660.1,2055.55,2140.65,2484.04,3882.2,150,299790,nan,nan,nan,nan,nan,nan
2.88149,0.789438,0.0948409,5,31,0,-1.73354,63.7932,0.286631,0.566965,63.7932,0.286631,0.566965,1263.36,1648.75,2021.08,2100.94,2423.35,3778.63,150,299790,nan,nan,nan,nan,nan,nan
3.03327,0.995933,0.0948409,4,31,0,-2.05879,66.8954,0.287108,0.0717025,66.8954,0.287108,0.0717025,1278.1,1681.77,2075.4,2160.15,2502.85,3932.13,150,299790,nan,nan,nan,nan,nan,nan
2.4683,0.961924,0.0948409,3,15,0,-1.50622,68.8137,0.265035,0.0596181,68.8137,0.265035,0.0596181,1245.2,1642.83,2032.57,2116.74,2457.94,3893.69,150,299790,nan,nan,nan,nan,nan,nan
0.514705,0.997329,0.0948409,4,15,0,0.523049,65.4055,0.219363,0.0448793,65.4055,0.219363,0.0448793,1237.04,1641.3,2042.15,2129.31,2484.79,4014.85,150,299790,nan,nan,nan,nan,nan,nan
3.72706,0.855221,0.0948409,4,15,0,1.38906,63.2593,0.263026,0.329706,63.2593,0.263026,0.329706,1272.98,1672.17,2061.43,2145.31,2485.02,3920.65,150,299790,nan,nan,nan,nan,nan,nan
3.67993,0.997931,0.0948409,3,15,0,-2.93504,63.3223,0.300534,0.485545,63.3223,0.300534,0.485545,1283.24,1674.14,2051.26,2132.08,2457.97,3820.3,150,299790,nan,nan,nan,nan,nan,nan
2.61676,0.993381,0.0948409,4,31,0,-0.693321,67.8565,0.372427,0.343305,67.8565,0.372427,0.343305,1289.05,1673.28,2040.17,2118.31,2431.72,3713.31,150,299790,nan,nan,nan,nan,nan,nan
0.482966,0.653034,0.0948409,2,3,0,-0.114216,66.7162,0.372736,0.305381,66.7162,0.372736,0.305381,1304.15,1693.98,2066.42,2145.76,2463.97,3763.81,150,299790,nan,nan,nan,nan,nan,nan
0.847372,0.644227,0.0948409,2,3,0,5.32544,69.3648,0.349562,0.364119,69.3648,0.349562,0.364119,1262.87,1642.35,2005.95,2083.54,2395.24,3677.6,150,299790,nan,nan,nan,nan,nan,nan
3.70957,1,0.0948409,2,3,0,-0.837239,67.8479,0.343644,0.297575,67.8479,0.343644,0.297575,1280.67,1668.42,2040.74,2120.26,2439.94,3755.09,150,299790,nan,nan,nan,nan,nan,nan
3.34455,0.916569,0.0948409,5,39,0,-2.60837,62.6502,0.24424,0.300093,62.6502,0.24424,0.300093,1266.78,1668.64,2062.44,2147.54,2492.97,3963.93,150,299790,nan,nan,nan,nan,nan,nan
0.0531225,0.682605,0.0948409,5,47,0,0.679398,73.6204,0.362556,0.140919,73.6204,0.362556,0.140919,1255.29,1637.06,2003.49,2081.7,2395.67,3675.76,150,299790,nan,nan,nan,nan,nan,nan
-0.0717847,0.753717,0.0948409,2,3,0,5.08906,69.1158,0.372108,0.105659,69.1158,0.372108,0.105659,1303.62,1699.73,2079.57,2160.59,2485.6,3806.06,150,299790,nan,nan,nan,nan,nan,nan
2.68526,1,0.0948409,2,3,0,-0.357368,71.2049,0.373645,0.209472,71.2049,0.373645,0.209472,1273.74,1657.24,2024.19,2102.39,2416.06,3693.74,150,299790,nan,nan,nan,nan,nan,nan
2.39529,0.951324,0.0948409,4,27,0,0.189411,67.015,0.366964,0.438799,67.015,0.366964,0.438799,1284.51,1665.52,2029.11,2106.54,2417.21,3692.21,150,299790,nan,nan,nan,nan,nan,nan
0.281242,0.886081,0.0948409,5,31,0,0.922075,58.8597,0.190349,0.325025,58.8597,0.190349,0.325025,1251.26,1659.45,2065.01,2153.37,2514.69,4097.71,150,299790,nan,nan,nan,nan,nan,nan
4.25148,0.966162,0.0948409,5,39,0,2.81739,68.6718,0.286485,0.071588,68.6718,0.286485,0.071588,1261.27,1659.73,2048.34,2132.02,2470.4,3882,150,299790,nan,nan,nan,nan,nan,nan
4.44999,0.998611,0.0948409,3,15,0,-3.20279,68.0385,0.299537,0.147121,68.0385,0.299537,0.147121,1268.76,1664.95,2049.67,2132.33,2466.02,3853.24,150,299790,nan,nan,nan,nan,nan,nan
3.49183,0.997355,0.0948409,5,47,0,-3.09644,81.3395,0.378824,-0.386065,81.3395,0.378824,-0.386065,1263.45,1664.53,2053.09,2136.22,2469.89,3799.35,150,299790,nan,nan,nan,nan,nan,nan
3.72075,0.959842,0.0948409,5,31,0,-3.00857,78.3735,0.343284,-0.316583,78.3735,0.343284,-0.316583,1256.86,1658.07,2048.57,2132.39,2469.91,3835.06,150,299790,nan,nan,nan,nan,nan,nan
-1.67544,0.890617,0.0948409,5,31,0,2.67254,74.7176,0.259619,-0.594838,74.7176,0.259619,-0.594838,1249.38,1671.47,2093.29,2185.19,2559.71,4124.33,150,299790,nan,nan,nan,nan,nan,nan
3.06417,0.998825,0.0948409,4,31,0,3.75861,68.9316,0.266572,0.0235554,68.9316,0.266572,0.0235554,1248.47,1647.94,2039.67,2124.28,2467.26,3908.83,150,299790,nan,nan,nan,nan,nan,nan
3.7119,0.999471,0.0948409,4,15,0,-2.85319,67.1048,0.273517,0.18854,67.1048,0.273517,0.18854,1255.88,1651.58,2037.62,2120.79,2457.44,3871.63,150,299790,nan,nan,nan,nan,nan,nan
2.84073,0.999514,0.0948409,4,31,0,-1.68746,59.7375,0.234281,0.503582,59.7375,0.234281,0.503582,1272.68,1673.37,2065.45,2150.15,2494.06,3967.44,150,299790,nan,nan,nan,nan,nan,nan
2.04896,0.987984,0.0948409,4,15,0,-1.53888,59.69,0.212419,0.553967,59.69,0.212419,0.553967,1250.37,1647.77,2038.46,2123.1,2467.65,3959.36,150,299790,nan,nan,nan,nan,nan,nan
1.99878,0.981064,0.0948409,5,31,0,-0.912139,57.658,0.286212,0.96896,57.658,0.286212,0.96896,1293.48,1678.56,2048.39,2127.55,2446.79,3795.76,150,299790,nan,nan,nan,nan,nan,nan
