# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-19 10:00:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpgmdm9_d1/hjzuwgbp.json
# random
#   seed = 58054
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/bao/bao-20230719110027.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6
# Adaptation terminated
# Step size = 0.0713845
# Diagonal elements of inverse mass matrix:
# 0.0165966, 0.000102892, 0.0939147
4.07317,0.983001,0.0713845,4,31,0,-2.94585,67.6173,0.343922,0.155276,67.6173,0.343922,0.155276,1272.14,1661.86,2038.29,2118.94,2443.89,3786.56,150,299790,nan,nan,nan,nan,nan,nan
3.12353,0.9232,0.0713845,5,31,0,-2.92956,71.1882,0.364304,0.0922191,71.1882,0.364304,0.0922191,1266.35,1653,2025.15,2104.7,2424.47,3732.33,150,299790,nan,nan,nan,nan,nan,nan
4.18362,0.970262,0.0713845,4,23,0,-2.60623,71.705,0.33887,-0.00786879,71.705,0.33887,-0.00786879,1276.73,1673.68,2057.39,2139.55,2470.16,3821.28,150,299790,nan,nan,nan,nan,nan,nan
3.32042,0.796208,0.0713845,5,59,0,-1.53346,61.2121,0.252232,0.240782,61.2121,0.252232,0.240782,1262.16,1662.25,2055.34,2140.43,2486.4,3968,150,299790,nan,nan,nan,nan,nan,nan
4.11827,0.972725,0.0713845,6,63,0,-2.4479,70.3993,0.29507,0.00188887,70.3993,0.29507,0.00188887,1258.08,1656.18,2044.36,2127.9,2465.56,3867.8,150,299790,nan,nan,nan,nan,nan,nan
0.390501,0.981251,0.0713845,5,31,0,0.955417,94.4242,0.324542,-0.507781,94.4242,0.324542,-0.507781,1249.67,1661.95,2062.14,2147.64,2489.69,3821.2,150,299790,nan,nan,nan,nan,nan,nan
2.45857,0.976708,0.0713845,6,63,0,0.0777951,86.2829,0.322645,-0.384833,86.2829,0.322645,-0.384833,1262.45,1672.74,2070.98,2156.18,2497.9,3851.18,150,299790,nan,nan,nan,nan,nan,nan
1.79106,0.925512,0.0713845,6,63,0,0.248922,70.0234,0.427899,0.128304,70.0234,0.427899,0.128304,1290.98,1674.98,2041.19,2119.09,2431.01,3692.19,150,299790,nan,nan,nan,nan,nan,nan
1.25795,0.782572,0.0713845,2,3,0,-0.793416,70.8884,0.427164,0.146869,70.8884,0.427164,0.146869,1277.23,1656.75,2018.78,2095.8,2404.34,3654.05,150,299790,nan,nan,nan,nan,nan,nan
1.52962,0.65526,0.0713845,5,63,0,3.32044,83.0819,0.427502,-0.177729,83.0819,0.427502,-0.177729,1286.25,1678.68,2051.69,2130.69,2445.33,3677.37,150,299790,nan,nan,nan,nan,nan,nan
