# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-19 14:30:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp4szuegh3/bcgx00c_.json
# random
#   seed = 83815
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/bao/bao-20230719153015.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6
# Adaptation terminated
# Step size = 0.088053
# Diagonal elements of inverse mass matrix:
# 0.0121057, 0.00010904, 0.0631141
3.16854,0.804969,0.088053,2,3,0,-1.02916,65.605,0.304441,0.110305,65.605,0.304441,0.110305,1281.58,1682.03,2071.6,2155.39,2493.99,3905.73,150,299790,nan,nan,nan,nan,nan,nan
2.53644,0.871351,0.088053,3,15,0,0.553624,67.0965,0.331604,0.206018,67.0965,0.331604,0.206018,1258.36,1644.39,2018.03,2098.2,2421.67,3767.52,150,299790,nan,nan,nan,nan,nan,nan
4.33989,0.9855,0.088053,3,15,0,-1.54719,66.1921,0.318891,0.156384,66.1921,0.318891,0.156384,1272.77,1666.68,2048.81,2130.89,2462.26,3841.61,150,299790,nan,nan,nan,nan,nan,nan
4.05328,0.948457,0.088053,4,31,0,-0.266795,67.152,0.320251,0.102417,67.152,0.320251,0.102417,1278.02,1674.92,2059.89,2142.55,2476.05,3858.62,150,299790,nan,nan,nan,nan,nan,nan
2.43911,0.976685,0.088053,5,39,0,-2.21007,54.3268,0.26943,0.587472,54.3268,0.26943,0.587472,1279.52,1673.38,2058.35,2141.54,2479.66,3940.1,150,299790,nan,nan,nan,nan,nan,nan
2.61069,0.989319,0.088053,2,3,0,-2.17735,55.0447,0.272022,0.630866,55.0447,0.272022,0.630866,1264.34,1652.15,2030.97,2112.82,2445.45,3883.45,150,299790,nan,nan,nan,nan,nan,nan
2.48622,0.875198,0.088053,2,3,0,-1.26323,54.2178,0.275076,0.603181,54.2178,0.275076,0.603181,1280.37,1673.14,2056.63,2139.46,2475.97,3927.86,150,299790,nan,nan,nan,nan,nan,nan
2.86256,1,0.088053,3,9,0,-2.39017,54.4959,0.272271,0.638037,54.4959,0.272271,0.638037,1269.37,1658.54,2038.65,2120.78,2454.54,3897.72,150,299790,nan,nan,nan,nan,nan,nan
2.72063,0.994266,0.088053,5,31,0,-2.47283,54.5024,0.3062,0.64427,54.5024,0.3062,0.64427,1281.01,1667.8,2043.54,2124.47,2452.58,3858.82,150,299790,nan,nan,nan,nan,nan,nan
1.633,0.714118,0.088053,1,3,0,-0.671063,55.5043,0.304732,0.669251,55.5043,0.304732,0.669251,1264.14,1645.57,2016.17,2096.02,2419.78,3809.31,150,299790,nan,nan,nan,nan,nan,nan
1.84642,0.999569,0.088053,3,11,0,-1.28129,54.8904,0.305225,0.576543,54.8904,0.305225,0.576543,1290,1681.07,2061.06,2142.91,2474.61,3892.44,150,299790,nan,nan,nan,nan,nan,nan
3.48305,0.993882,0.088053,5,47,0,0.386687,72.5584,0.384874,0.0353132,72.5584,0.384874,0.0353132,1280.22,1669.74,2043.32,2122.99,2442.49,3736.09,150,299790,nan,nan,nan,nan,nan,nan
3.06242,0.940684,0.088053,5,63,0,-2.3945,68.2085,0.381102,0.135865,68.2085,0.381102,0.135865,1288.15,1677.67,2051.65,2131.5,2452.26,3763.2,150,299790,nan,nan,nan,nan,nan,nan
3.06242,0.264654,0.088053,1,3,0,1.11604,68.2085,0.381102,0.135865,68.2085,0.381102,0.135865,1288.15,1677.67,2051.65,2131.5,2452.26,3763.2,150,299790,nan,nan,nan,nan,nan,nan
4.03936,0.9922,0.088053,3,11,0,-2.30117,69.3539,0.355058,0.0917385,69.3539,0.355058,0.0917385,1278.54,1670.34,2048.04,2128.84,2453.89,3786.56,150,299790,nan,nan,nan,nan,nan,nan
4.31841,0.999846,0.088053,4,31,0,-3.24028,75.0694,0.327192,-0.0949573,75.0694,0.327192,-0.0949573,1265.24,1663.51,2049.39,2132.08,2464.86,3820.08,150,299790,nan,nan,nan,nan,nan,nan
3.42276,0.939996,0.088053,5,47,0,-1.97135,65.8838,0.256332,0.0545766,65.8838,0.256332,0.0545766,1258.27,1661.76,2058.4,2144.2,2492.64,3968.09,150,299790,nan,nan,nan,nan,nan,nan
2.96928,0.907028,0.088053,3,7,0,-2.79253,66.1308,0.255953,0.0838009,66.1308,0.255953,0.0838009,1249.4,1649.22,2042.19,2127.21,2472.51,3937.3,150,299790,nan,nan,nan,nan,nan,nan
