# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = newbao_model
# start_datetime = 2023-07-20 10:25:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpal26qh23/sm0lah0q.json
# random
#   seed = 23928
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/bao/newbao-20230720112522.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6
# Adaptation terminated
# Step size = 0.0931262
# Diagonal elements of inverse mass matrix:
# 0.0111491, 0.000143033, 0.191346
3.99842,0.980953,0.0931262,5,31,0,-2.48052,64.3591,0.269386,0.372297,64.3591,0.269386,0.372297,1263.19,1656.93,2040,2122.46,2456.11,3863.39,150,299790,nan,nan,nan,nan,nan,nan
4.47687,0.988488,0.0931262,5,43,0,-3.61433,69.5488,0.307714,0.0697381,69.5488,0.307714,0.0697381,1267.74,1664.55,2049.87,2132.63,2466.56,3848.63,150,299790,nan,nan,nan,nan,nan,nan
4.15108,0.950116,0.0931262,4,27,0,-3.99996,71.3763,0.319488,0.0370842,71.3763,0.319488,0.0370842,1262.14,1656.24,2038.3,2120.27,2450.68,3811.66,150,299790,nan,nan,nan,nan,nan,nan
4.43475,0.999309,0.0931262,5,31,0,-3.75977,72.4511,0.329386,-0.0511843,72.4511,0.329386,-0.0511843,1267.94,1665.14,2050.23,2132.82,2465.5,3828.3,150,299790,nan,nan,nan,nan,nan,nan
3.71891,0.928748,0.0931262,4,31,0,-3.40148,68.4896,0.288208,-0.00266381,68.4896,0.288208,-0.00266381,1271.11,1674.7,2068.82,2153.72,2497.1,3926.71,150,299790,nan,nan,nan,nan,nan,nan
3.60847,0.955772,0.0931262,5,31,0,-2.633,62.1285,0.267357,0.444235,62.1285,0.267357,0.444235,1277.86,1674.66,2060.39,2143.39,2479.23,3898.09,150,299790,nan,nan,nan,nan,nan,nan
