# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 21:32:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = Model4/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpyli5c534/d3la3cg2.json
# random
#   seed = 72628
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output4/cmb/cmb-20230727223248_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,lambda,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0492509
# Diagonal elements of inverse mass matrix:
# 0.00018289, 2.57309e-05, 0.344648, 3.3008e-05
-349.244,0.600494,0.0492509,4,23,0,351.054,76.1235,0.0401063,21.6966,1.39737,0.761235,0.0401063,21.6565,4.15e-05,7.16162e-05,-20.6967,0.761235,0.0401063,21.6565,7.16162e-05,-20.6967,1.39737,21.6966,0.0591819,0.547254,1321.67,0,0,0.357977,0.357977,0.0037357,301.047,1.66745,0.0232407,-0.523478,-0.0732549,0.000960725
-348.46,0.759832,0.0492509,2,7,0,352.845,76.0999,0.0405469,21.668,1.39648,0.760999,0.0405469,21.6274,4.15e-05,7.16605e-05,-20.668,0.760999,0.0405469,21.6274,7.16605e-05,-20.668,1.39648,21.668,0.0587165,0.547019,1319.07,0,0,0.35837,0.35837,0.00374331,300.763,1.66817,0.0234815,-0.806664,-0.0725304,0.00120153
-356.298,0.443525,0.0492509,2,3,0,356.982,76.0379,0.0409228,21.6475,1.39593,0.760379,0.0409228,21.6066,4.15e-05,7.17775e-05,-20.6476,0.760379,0.0409228,21.6066,7.17775e-05,-20.6476,1.39593,21.6475,0.0583753,0.546844,1317.01,0,0,0.358632,0.358632,0.0037485,300.567,1.6686,0.0236606,-1.0029,-0.0720978,0.00138056
-350.039,0.963171,0.0492509,3,11,0,357.284,76.0026,0.040093,21.7933,1.39697,0.760026,0.040093,21.7532,4.15e-05,7.18441e-05,-20.7933,0.760026,0.040093,21.7532,7.18441e-05,-20.7933,1.39697,21.7933,0.0593411,0.547333,1322.64,0,0,0.357322,0.357322,0.00372904,301.032,1.6681,0.0231593,-0.538337,-0.0726042,0.000879325
-347.927,0.954729,0.0492509,2,3,0,350.459,76.1161,0.0409091,21.7176,1.39681,0.761161,0.0409091,21.6767,4.15e-05,7.16301e-05,-20.7176,0.761161,0.0409091,21.6767,7.16301e-05,-20.7176,1.39681,21.7176,0.0582982,0.546804,1317.35,0,0,0.357917,0.357917,0.00373721,300.874,1.66797,0.0237013,-0.695897,-0.0727293,0.00142134
-346.87,0.673482,0.0492509,2,7,0,350.777,76.189,0.0405408,21.677,1.39679,0.76189,0.0405408,21.6365,4.15e-05,7.1493e-05,-20.6771,0.76189,0.0405408,21.6365,7.1493e-05,-20.6771,1.39679,21.677,0.058618,0.546969,1318.96,0,0,0.358237,0.358237,0.00374058,300.872,1.6679,0.023533,-0.698198,-0.0728008,0.00125297
-345.659,0.999072,0.0492509,6,63,0,347.83,73.7398,0.043247,22.2127,1.39825,0.737398,0.043247,22.1695,4.15e-05,7.6321e-05,-21.2128,0.737398,0.043247,22.1695,7.6321e-05,-21.2128,1.39825,22.2127,0.0586508,0.546986,1313.58,0,0,0.353893,0.353893,0.00369473,300.912,1.66791,0.0235158,-0.65817,-0.0727898,0.00123583
-346.118,0.797467,0.0492509,6,63,0,347.931,74.2658,0.042875,20.7369,1.40412,0.742658,0.042875,20.6941,4.15e-05,7.52437e-05,-19.737,0.742658,0.042875,20.6941,7.52437e-05,-19.737,1.40412,20.7369,0.0584004,0.546857,1305.19,0,0,0.364134,0.364134,0.00380293,300.81,1.65819,0.0236473,-0.759833,-0.0825137,0.00136732
-348.21,0.690721,0.0492509,6,63,0,349.673,73.784,0.043136,20.7089,1.40546,0.73784,0.043136,20.6657,4.15e-05,7.62297e-05,-19.7089,0.73784,0.043136,20.6657,7.62297e-05,-19.7089,1.40546,20.7089,0.0587125,0.547017,1304.81,0,0,0.364084,0.364084,0.00380077,300.94,1.65684,0.0234836,-0.629672,-0.0838623,0.00120357
-346.81,0.996404,0.0492509,3,15,0,348.97,73.7767,0.0436663,20.6246,1.40545,0.737767,0.0436663,20.5809,4.15e-05,7.62448e-05,-19.6247,0.737767,0.0436663,20.5809,7.62448e-05,-19.6247,1.40545,20.6246,0.0581734,0.546738,1301.71,0,0,0.364767,0.364767,0.00380948,300.815,1.65656,0.0237675,-0.755408,-0.084137,0.00148753
